,弹幕
1,我替我朋友看看
2,不是黑眼圈？
3,全中
4,无力加腰痛，我朋友玩了
5,完了全中
6,全有是不是废了
7,帮朋友
8,我帮我朋友刘钊看看
9,原来我不虚哈哈哈
10,完了完了
11,帮朋友看
12,我一条都不占
13, 完了
14,全中，但该冲还是冲
15,我要重开了
16,我帮王诗允看的
17,六分投了
18,我有一个朋友
19,我替我兄弟看看
20,我有一个朋友
21,帮盆友来看看
22,完了完了
23,我帮朋友看看
24,嗜睡  失眠  神奇
25,腰痛  怕冷
26,完了
27,没有
28,好家伙，前面三个你直接说我得了
29,我来帮蒋震看一下
30,我帮王睿看看
31,你们都不举啊？
32,怕冷是怎么回事
33,全中，完蛋
34,冬天怕冷，夏天怕热，不冬不夏怕冷又怕热，上完夜班白天失眠，晚上起不来，我是不是没救了
35,卧槽！我肾虚呜呜呜呜
36,腰疼
37,帮我朋友刘天元看看
38,淑女好
39,完了，我都有
40,我一个女生嗜睡的要死
41,你直接念我身份证号吧
42,我朋友让我帮他一哈！
43,我替我朋友肿假姨看看
44,我就是来看看都有谁虚
45,不举，失眠，腰疼，无力，我tm完了啊
46,凉凉了
47,全中
48,完了完了
49,我帮陈思远看一下 
50,嗜睡又失眠，怕冷又热
51,给我朋友看看
52,朋友全中
53,帮我朋友看看
54,帮朋友看看
55,重度没救了
56,我帮我的朋友姜弘毅看看 他最近身体不太好
57,我帮我朋友陈鑫禹 马涛看看
58,我帮我朋友陈鑫禹 马涛看看 
59,帮朋友看看
60,帮我朋友看看
61,完了完了，全中
62,我以为腰疼是因为这个，结果是我腰真的受伤了
63,我帮我的朋友司轩齐看看
64,全都不中
65,我帮屈鑫进来看看
66,你指的是肾阳虚还是肾阴虚
67,这是要无中生有嘛...
68,怕冷怎么整
69,白天嗜睡，晚上失眠，没毛病
70,偶尔嗜睡
71,怕冷
72,脸稍微有点黑
73, 那小说里的男主脸色一黑是。。。
74,完了完了
75,帮朋友了解一下
76,那到底怕冷好还是怕热好
77,惨了，我腰疼
78,完了完了
79,噫，好，我中了
80,处了怕冷都没有→_→哎那我是单纯瘦咯
81,帮我的好朋友韩林岳看看
82,我有个朋友
83,啪 没了
84,我兄弟他没了
85,我他娘的好慌，开局就中两条
86,无中生有
87,我脸白白的也不怕热
88,我帮我兄弟杜睿殷看看
89,帮朋友看看 
90,好嘛，我抽卡次次保底原来是我虚啊
91,那个全中的，你看告诉我怎么怕冷又怕热
92,我就想知道失眠和嗜睡咋同时出现……
93,我朋友已经没救了
94,我有一个曹姓朋友 他竟然全中
95,握草握草有点麻烦
96,溜了溜了 没我事
97,无中生友
98,我朋友全中了
99,我朋友让我来帮他看看
100,上哥推荐首页是瞧不起哥？
101,我没了
102,嗜睡和失眠都有关系？什么逻辑？
103,帮我朋友看看
104,全中
105,我帮我朋友常俊豪看看
106,帮我室友看看
107,帮姐妹看看
108,65%是我了。
109,出大问题了
110,帮朋友看看
111,我帮我朋友高伟看看
112,我看看我男朋友有没有问题
113,我尼玛orz，，
114,全中完了。
115,《  无  中  生  友  》
116,1845万播放。。。。。
117,重开吧
118,我有一个姓孟的室友要我帮他看看
119,帮室友看看
120,全中，起飞
121,卧槽全中
122,你听我狡辩
123,路过
124,我帮卓丰看看
125,肾虚竟是我自己
126,幸好我是女的
127,大东完了
128,我替朋友看看
129,我又失眠又嗜睡怎么弄
130,到底让不让睡？
131,关于《我有一个朋友这件事》
132,Van♂蛋，全中
133,怕热阶段
134,帮朋友看看
135,肾虚竟是我自己
136,好家伙全中
137,我来帮陈佳润开一下
138,我来帮田晟泽看一下
