,弹幕
1,真的为生民请命
2,致敬
3,致敬
4,致敬
5,致敬
6,国士无双
7,致敬
8,这币投给他
9,致敬
10,哭了。。。
11,真好
12,唉！心酸
13,致敬
14,致敬
15,不好意思，还会有
16,哭了T﹏T
17,致敬
18,这才是国士
19,致敬
20,致敬
21,致敬
22,致敬！
23,致敬
24,致敬
25,致敬
26,致敬
27,致敬
28,虽不能至，心向往之
29,致敬
30,致敬
31,致敬
32,致敬
33,致敬
34,真正的国士无双
35,致敬
36,教授以德为先
37,扫地僧
38,致敬
39,致敬
40,眼睛炯炯有神啊
41,致敬
42,这是仙人
43,致敬
44,致敬
45,古代要封圣的人
46,无聊
47,祖国强大起来吧！
48,致敬
49,英雄不记得，戏子满天下，究竟谁之过？？？
50,致敬
51,致敬
52,致敬
53,扫地僧
54,致敬
55,致敬
56,泪目
57,内幕内幕
58,致敬
59,致敬
60,致敬
61,国士无双是精神的引领。
62,致敬
63,致敬
64,致敬
65,致敬
66,致敬
67,位卑未敢忘忧国
68,致敬
69,致敬
70,致敬
71,致敬
72,致敬
73,致敬
74,致敬
75,这才是真教授
76,致敬
77,致敬
78,致敬
79,致敬
80,看哭了
81,致敬
82,致敬
83,致敬
84,敬礼
85,致敬
86,尬不
87,致敬！
88,致敬
89,致敬
90,总有天使降临人间
91,王者发型
92,致敬
93,致敬
94,致敬
95,致敬
96,国士无双
97,致敬
98,致敬
99,心中是有怎样的信念啊！！！
100,致敬
101,致敬
102,三千大千世界，皆是菩萨施身舍命之处​
103,致敬
104,致敬
105,致敬
106,致敬
107,致敬
108,致敬
109,致敬！
110,致敬
111,致敬
112,当年的人，有理想
113,致敬
114,光辉的灵魂无可遮蔽
115,致敬
116,致敬
117,致敬
118,致敬
119,致敬
120,泪目，致敬
121,致敬
122,承云仙去
123,致敬
124,致敬
125,致敬
126,致敬
127,致敬
128,致敬！
129,致敬
130,赚钱少等于不是人才
131,致敬
132,致敬
133,已是国士
134,致敬
135,致敬
136,致敬
137,致敬
138,最dream
139,致敬
140,致敬
141,致敬
142,致敬
143,啧啧啧
144,致敬
145,致敬
146,致敬
147,这才是知识分子
148,致敬！
149,致敬
150,致敬
151,致敬
152,致敬
153,致敬
154,致敬
155,致敬
156,致敬
157,致敬
158,致敬
159,。
160,致敬
161,致敬
162,致敬
163,致敬
164,致敬
165,致敬
166,致敬
167,致敬……
168,致敬……
169,致敬
170,致敬
171,致敬
172,致敬
173,致敬！
174,致敬
175,致敬
176,致敬
177,致敬
178,国之栋梁
179,致敬
180,致敬
181,致敬
182,致敬
183,致敬
184,致敬
185,致敬
186,致敬
187,致敬
188,致敬
189,致敬
190,致敬
191,致敬！
192,致敬
193, 致敬
194,致敬
195,致敬
196,致敬
197,致敬
198,国之志士
199,致敬
200,致敬
201,致敬
202,致敬
203,致敬
204,致敬！
205,有这样的父亲 如岳母岳飞一般
206,哭了
207,致敬
208,致敬
209,是神仙吧
210,致敬
211,致敬
212,大智若愚就是这样的意思吗？
213,致敬
214,国士无双
215,致敬
216,致敬
217,致敬
218,致敬
219,致敬
220,致敬
221,致敬
222,致敬
223,致敬
224,致敬
225,致敬
226,虽死犹生
227,致敬
228,致敬
229,这才是真正的国士
230,古时候这种人能封圣
231,致敬
232,致敬
233,致敬
234,他的境界在另外一个层次
235,致敬
236,致敬
237,致敬
238,我敬佩这样的人，因为我永远也做不到
239,再也不会有这样的教授和人了，这是开国科学家精神的最后余辉
240,致敬
241,致敬
242,致敬
243,致敬
244,致敬
245,致敬
246,致敬
247,致敬
248,致敬
249,他在替我们负重前行
250,在此，奉以最崇高的敬意，小子斗胆致敬
251,致敬
252,致敬
253,致敬
254,致敬
255,致敬
256,致敬
257,致敬
258,致敬
259,致敬
260,国士无双！！
261,凡人之躯 比肩神明
262,致敬！
263,。。
264,致敬
265,致敬
266,致敬
267,致敬
268,行走于人间的圣人
269,致敬！！！
270,共和国脊梁
271,致敬
272,得道之人 此生无悔，肉身成圣
273,致敬
274,致敬
275,致敬
276,致敬
277,先生当流芳千古
278,何家庆先生，向你致敬！
279,致敬
280,他，架鹤西去，羽化登仙，终有一日，踏月而归
281,致敬
282,致敬
283,致敬
284,致敬
285,致敬
286,国士无双
287,致敬
288,致敬
289,致敬
290,直接
291,致敬
292,致敬
293,致敬
294,这样的人，该是这种生活嘛。
295,致敬
296,这是大智慧
297,国士无双
298,致敬
299,致敬
300,致敬
301,致敬
302,致敬
303,致敬
304,致敬
305,致敬
306,致敬
307,"...,,,,"
308,致敬
309,致敬啊啊
310,致敬
311,致敬
312,  人 类 最 高 尚 的 事 业
313,致敬
314,致敬
315,致敬
316,致敬
317,致敬
318,致敬
319,地藏王菩萨
320,致敬
321,致敬
322,致敬
323,先生之风 山高水长
324,致敬
325,我何老都是安徽人，骄傲
326,致敬
327,国士无双
328,致敬
329,眼中有光，坚毅且韧劲
330,求bgm
331,上善若水
332,致敬
333,致敬
334,此乃中国力量脊柱
335,致敬
336,致敬
337,致敬！！！
338,致敬
339,致敬
340,别人笑我太疯癫，我笑他人看不穿！
341,致敬
342,致敬
343,致敬
344,致敬
345,致敬
346,泪目
347,致敬
348,致敬
349,致敬
350,致敬
351,致敬
352,致敬
353,致敬
354,致敬
355,为了让别人关注你，你也是煞费苦心！
356,国士无双
357,致敬
358,陆地神仙
359,致敬
360,赤胆忠心耿耿于怀
361,致敬
362,致敬
363,思想照耀后人
364,致敬！
365,信仰的力量
366,致敬
367,致敬
368,致敬
369,致敬
370,致敬
371,致敬
372,致敬
373,致敬
374,致敬
375,致敬
376,致敬
377,致敬
378,致敬！
379,位卑未敢忘忧国
380,致敬
381,致敬
382,致敬！
383,致敬
384,致敬
385,致敬
386,致敬
387,致敬
388,致敬
389,致敬
390,致敬
391,致敬
392,致敬
393,致敬
394,致敬
395,致敬
396,国士无双
397,致敬
398,致敬
399,致敬
400,致敬
401,厉害
402,致敬
403,致敬
404,致敬
405,致敬！！！
406,这样的国士应该享有至高的物质待遇！而不是如此贫穷！
407,致敬
408,流星坠落之时，应是群星暗淡。
409,国士无双
410,致敬
411,爱的深沉
412,就很荒唐
413,致敬
414,致敬
415,致敬
416,致敬
417,致敬
418,致敬
419,致敬
