,弹幕
1,哈哈哈哈哈哈哈哈灵魂拷问
2,记者在和稀泥，这不明摆着官官相护吗！
3,2张口
4,匿名？？？
5,全村人一起打哈哈
6,哈哈哈哈哈哈哈哈哈
7,那不惩罚？？
8,黑恶势力必死！
9,人均寿命长了啊，道德观发生变化了。
10,猩腐河
11,大啥码，公布出来大家怼
12,你就说你收了多少钱
13,看毛线
14,起诉没用，兄弟
15,还不是政府撑腰
16,有内鬼呀
17,如果是赵红兵 他们就被反杀了
18,这不是黑恶势力
19,什么都说是匿名，没有一次是匿名
20,支持村民
21,天注定剧情
22,宁愿涉及广一点也不能放过一个
23,要是重视举报完就关厂子了，有人撑腰收了钱
24,杀了杀了
25,请持续跟踪报道！
26,警察干什么吃的？？
27,负责人先直接抓了就行
28,直接全撤了，肯定就有说的
29,直接全撤了
30,打的人和告密直接 毙 了肯定好使
31,厉害了
32,顶
33,真敢搞啊 全都抓起来
34,你有什么可豪横的！？
35,全都抓起来 
36,顶上去！！！
37,正在处理！！！呵呵
38,看到这我也不敢了
39,严查！！！！！
40,屠龙勇士最终蜕变成一条恶龙
41,正常
42,当年三鹿奶粉举报那个记者不也没了么
43,打井，污水高压压进地下河，污染更大
44,赚钱就行了 管那些
45,快跑！！！！！！！！！
46,党？？？？？？？？？？？？
47,快逃！！！！！！！！
48,不好意思我笑了一下
49,断人财路
50,你们村里没有枪或者刀嘛？杀他全家嘛，一换多，然后全村养这个英雄的全家
51,这既是绿水青山？？？
52,估计某家族的势力，算了你们惹不起
53,中中中！
54,丢人
55,经典台词 你报警吧
56,真的，寒心
57,漂亮
58,靠靠靠靠
59,我就是怕有人报复，至少在我们这边的内部还蛮黑暗
60,需要抹吗？
61,顶
62,中啊
63,扫黑打恶 翻了天了还
64,用公用电话打
65,《加大了治理力度》
66,不中嘞
67,匿名都被打 这还要我们百姓干嘛
68,恶意举报？
69,上法庭已经可以判打人者蹲几年了
70,必须顶
71,党！
72,明知故问
73,说一套做一套
74,这不是黑势力是啥？
75,毫不客气的希望垃圾人都死绝
76,这么大的事，不可能跟他没关系
77,话都说不清了急了开始
78,该
79,必须顶
80,打人者判个20年吧
81,“都市”（3天白昼的都市）日报
82,举报的谁就是谁打的
83,牛逼
84,这什么玩意
85,就是黑恶势力！
86,连夜成立环保局
