,弹幕
1,最恶心的一对
2,平安
3,印度阿三来的
4,越富有越傲慢愚蠢→_→直到灭亡
5,女性字由 国家民族也九离灭亡不远了
6,真实点好
7,哈哈哈哈哈哈
8,我
9,平安
10,自己的生命
11,平安
12,平安
13,日本 直呼内行
14,大概只有思想钢印了吧
15,平安
16,可是我怕寂寞想找个人陪我
17,精神需求？还是年轻，别说7年之痒，4年都痒到极点
18,哈哈哈哈哈
19,我家小毛！
20,平安
21,他们真的离婚了吗
22,平安
23,真实
24,亲情和爱情永不动摇
25,因为娱乐圈太脏 能过得好的都是娶或嫁圈外人的 
26,什么叫她们的自由建立在别人的苦难上？谁的苦难？我不是很懂哦
27,/
28,平安
29,洗
30,平安
31,雪豹退出直播间
32,雪豹退出直播间
33,平安
34,小李子
35,开幕雷击
36,还是不结了
37,平安
38,封面选的好
39,平安
40,他俩到底离没离啊！
41,fuduji
42,企业文化
43,+++
44,+++++++++++++++++++++++++++++++++++++++++++++
45,乡土中国救命
46,说的好像经济独立就一定不会被背叛一样
47,出 入 平 安
48,平安
49,平安(ღ˘⌣˘ღ)
50,联姻
51,平安
52,哈哈哈
53,那不就是婊吗
54,小三怒劈大猪蹄
55,好胆，光明正大说明星就是出来掩盖矛盾的，干得漂亮
56,平安
57,阶级不可动摇
58,因为头脑发热才结的婚。
59,平安
60,郭碧婷
61,离
62,这是实话
63,应该说是极极极极极高收入群体
64,黄晓明被利用了，蠢货
65,顿顿升级了
66,这播放量
67,我婚前， 也不怕拖累。现实中，真的会拖累你组建的一个家庭。唉，努力吧！
68,不愧是“卑鄙”
69,说人话就是吃太饱了
70,闲的蛋疼 
71,说白了，就是吃太饱了
72,哈哈哈
73,哈哈哈
74,这就是得睡谁和想睡谁的区别
75,平安
76,扣图女王是谁
77,出入平安
78,说的一针见血
79,平均两秒一个字，，
80,平安
81,真实
82,平安
83,平安
84,平安
85,真实
86,平安
87,平安
88,我悟了
89,说反了啊
90,你这个假冒的鲁迅（不是）
91,爱情，亲情，友情都是为了生存发展出来的。
92,那你就相信爱情吧。反正最后竹篮打水一场空。你愿意拿钱拿时间换来一段经历也未尝不可。
93,所以说啊。童话的背后是现实。
94,所以说我真的很讨厌冰雪奇缘。因为生活中从来都没有let it go.说白了所谓的婚姻就是利益的交换而已。
95,平安
