,弹幕
1,《火 化》
2,哪个男孩不想拥有一身的脂肪呢？
3,下饭
4,卧槽
5,血管也会损失吧
6,皮咋办，会不会很松
7,麻了麻了
8,？？？？？？？？
9,说选择运动的，你要是能运动还会有这个行业？
10,这就是你的方法？！
11,牛逼
12,有被吓到
13,火化
14,弱者的选择，强大的人会通过运动减脂
15,我还是运动减肥吧
16,哦我的天
17,目的是科普抽脂，有概念才能有对比。好的锻炼的视频B站还少么*罒▽罒*
18,卧槽！？
19,骟人？
20,短时间内代谢大量脂肪 不会堵住血管吗？
21,肚子开始疼了
22,学习了
23,嗨喽
24,袖状胃手术和胃旁路手术
25,很完美的了
26,还是去做胃旁路手术吧
27,我裂开了
28,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
29,都有副作用
30,都红了
31,太恐怖了
32,我在吃饭呢，这看着都疼啊
33,等高线地形图？
34,这个手段是给那些有肥胖症的朋友的吧，一般比较健康的人正规医院也接吗？
35,漂亮宝贝，第二句就能整的不咋地
36,第一眼以为是大豆
37,能再表演下个那个吗？就是那个那个
38,ohhhhhhhhhhhh
39,细胞有啥错，要遭如此对待
40,别骂了别骂了
41,所以我大冬天光膀子就行了
42,哥们们，不吃肉就好了
43,？？？
44,这么费劲才27%
45,好好运动吧……
46,好疼
47,成功吓到我了
48,我就是反例
49,不想做了
50,哈哈哈哈
51,好痛啊
52,我勒个去
53,建议直接火化
54,我特么都捏不起来，是不是没救了
55,吸出后不可逆
56,还记得胖的火花省燃料
57,？？？
58,啊这。。。。
59,好可爱
60,哈哈哈哈哈
61,前面的能不能不要老是发肉蛋白？
62,我选择运动
63,卧槽
64,哇
65,？
66,卧槽
67,不，这是你的
68,我这就去吃肉减肥
69,我还是运动吧
70,卧槽
71,卧槽，，
72,我选择肥胖
73,最好的办法就一个字 跑！
74,出来挨打
75,我笑了
76,棒读
77,好的仙人
78,啊啊啊啊啊啊啊啊
79,只要不吃肉奶就不会有脂肪
80,还不如用运动
81,低温为什么会凋亡呢？
82,觉得有点害怕
83,不愧是我!
84,？？？？？？？？？？？？？
85,小胖子…
86,接广告了？
87,yundong
88,我觉得有点吓人，但还是有效果的，坚定不移锻炼减肥不做手术
89,卧槽？这有多大仇的人能这么捅啊
90,又不让中国人吃肉啦
91,上来就做手术，这个不好吧我说
92,好可怕
93,阔怕，
94,我选择继续胖下去
95,我还是老老实实去跑步吧～
96,告辞吧
97,告辞
98,暂停，看图。还有点可爱
99,不，这是你的脂肪C
100,为了脸尖一点骨头都能削，这算什么
101,这
102,我也在吃饼干
103,另类劝运动视频
104,前方高能预警注意
105,有！运动
106,我还是去锻炼吧
107,窒息了
108,楼上老音游人了
109,脂肪细胞会增殖
110,啊啊啊啊啊啊
111,少吃还是安全点
112,好想试试
113,啊这
114,不了不了 谢谢
115,我还是去锻炼吧
116,我已经很难受了
117,哥哥，我难受
118,现在就去运动
119,说火化的那个，你给我站住。
120,防御！
121,我选择运动了(๑°3°๑)
122,我凑 看得我想哭
123,减肥它不香嘛？
124,主要分两步 给钱和做手术
125,卧槽
126,开始痛了
127,我还是胖吧
128,请大家一起点不喜欢
129,运动运动运动
130,不要去小诊所！！！去大医院！！！！！
131,。
132,又转回来了
133,以为是教你锻炼节食，原来是抽脂软文
134,我情愿多运动也不去少吃一顿饭
135,?.????
136,卧槽
137,从小就瘦
138,我终于知道为什么我反弹这么快了，从小就微胖
139,太痛了我选择跑步
140,运动吧
141,我炸了
142,看的我肉疼
143,肉？
144,在这停顿
145,火化
146,听话，咱少吃多动
147,别骂了别骂了
148,又不让中国人吃肉？
149,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
150,还是运动吧
151,算了
152,不痛吗
153,我靠
154,难怪我身上的脂肪很多
155,呀也
156,害怕
157,这么说我有家族性高血压还不能抽了？
158,还是做个人吧
159,你就不能运动吗
160,？
161,你再骂
162,卧槽
163,卧槽
164,突然宫寒
165,我还是努力跳操吧
166,多啦A梦
167,完了 看半天还是要老老实实运动加调整饮食结构
168,我出生就是八斤 一直都胖
169,害怕
170,把害怕打在公屏上
171,注水肉吗？
172,卧槽卧槽卧槽  我错了  我去动我去动   恐怖故事
173,看这个太消食欲了
174,直接活化吧
175,？？？？？？？？
176,打扰了
177,你的
178,在海外，这段视频的标题叫什么？
179,看着爽，做着疼
180,退呢？
181,好痛啊看着
182,卧槽！我还是胖着吧
183,对不起我好好减肥
184,可怕
185,太疼了
186,我立马去锻炼
187,那岂不是说我这辈子都长不胖了
188,劝退现场
189,劝退
190,打麻药吗
191,卧槽
192,用嘴吸吗？
193,太可怕了
194,啊啊啊啊啊猝不及防
195,好吓人
196,一小时！？
197,算了算了
198,疼
199,啊
200,好疼
201,岂不是不能吃肉？
202,妈呀
203,疼
204,？？？？
205,？？？卧槽
206,有的人是因为基因问题，没办法。瘦不下来
207,我选择跳绳
208,运动吧
209,肿胀液也是麻药 醉了
210,脂肪太多太少都不好
211,啊...还能吃肉啊
212,小时候很瘦，现在胖了
213,利多卡因啊？
214,这个视频是讲抽脂手术的？
215,千     刀      万      刮
216,好好节食锻炼吧，太恐怖了
217,Woc 
218,头与肩膀同高
219,有点可爱
220,这油能炒菜嘛哈哈哈
221,妈呀
222,减肥减脂是只有手术才能达成了吗？最健康的运动在整个视频就提了一句？ 
223,我这就开始锻炼
224,卧槽
225,卧槽
226,有氧运动
227,这是我的软甲
228,我猜你们正在这样干
229,我猜你们现在正在掐自己的肚子
230,我我我...
231,运动最安全 其他都在扯
232,为啥不去冬泳
233,？？？？？？
234,那咋办嘛
235,这种也会反弹的，说到底还是靠自己才行
236,还行诶我觉得
237,我要管住嘴迈开腿
238,我的天啊
239,活受罪啊
240,？？？？？？
241,好的梦心衣
242,你在练油吗！
243,卧槽
244,？？？？？？？？？？？？？？
245,卧槽
246,麻了
247,还是很危险的好不好
248,都能受这个罪了还不如运动了，我去健身房了
249,正在喝酸奶表示很gan
250,这个温度在腹部对女孩子不太友好哦
251,我抽过，是挺疼得
252,吴姐姐
253,的
254,啊啊啊啊啊啊啊啊啊啊啊
255,好疼
256,火化
257,啊～～
258,尽量火化吧省事
259,火化
260,做3个月仰卧起坐不香吗？
261,我父母都有点胖，我从小就胖还有机会瘦咩
262,建议直接火花
263,是我了hhhhhhh
264,别做手术
265,是不是又是中国人不要吃肉，不然
266,还没有说超声波共振减脂呢
267,每天一遍，防止胡吃海塞。
268,每天一遍
269,哇哇哇哇我好疼
270,我我我我我我靠
271,你这个教唆有点过分吧
272,烤肉？
273,卧槽卧槽？？？？。
274,我試過了 效果不太好 我覺得凍傷又痛
275,要么当胖子，要么老实运动
276,妈耶，没有人提醒
277,是我
278,啊这
279,我丢 可是我出生时不胖啊 后来才胖
280,握草　(′～`；）！！！！！
281,对不起我马上去锻炼
282,靠
283,并不要
284,我选择节食锻炼……
285,去下keep
286,啊啊啊啊啊
287,建议解说慢一点
288,太……我还在吃东西
289,不不不我这就去锻炼！
290,卧槽
291,运动吧
292,真·“燃烧脂肪”
293,我还是锻炼吧
294,握草这是针孔？
295,还是运动吧
296,酷塑
297,你胡说
298,还会部分皮肤麻木
299,我小时候胖，现在超瘦……
300,栓塞se
301,？？？？？？？？？？？？？？？？？
302,你在逗我？
303,我宁可不吃
304,同田贯日
305,所以长期喝冷饮可以预防脂肪肝
306,我忍不住的掐了一下自己
307,枇杷
308,01
309,我小时候小胖子，大了瘦了
310,我还是少吃点吧
311,啊 这样抽吗？？
312,啊啊啊啊啊啊啊我去
313,运动不行吗？。
314,我没了
315,再见！！！不可能做
316,晕了！！！
317,抽脂有风险，胖子需谨慎！
318,好痛
319,卧槽 真厉害
320,我觉得我可以少吃点
321,我以为是教怎么样运动锻炼
322,别吃猪肉
323,西瓜汁
324,直接健身不香吗
325,我小时候胖长大瘦了
326,我选择健身
327,运动啦
328,？？？
329,火化
330,卧槽
331,我靠
332,我的天
333,卧槽
334,这不是重金属内裤吗？
335,痛痛痛...亲点...
336,？？？？？？？
337,拉倒吧
338,胡吃海塞谢谢
339,什么玩意儿？
340,克洛特罗加 T3 
341,搏击俱乐部里有一段是偷脂肪
342,这是你的
343,啊啊啊啊错了错了再也不吃了
344,我选择留着脂肪
345,抽脂的问题说一说呗
346,建议直接火化
347,如果二战的集中YING还在，三个月就能减脂成功。
348,还是多锻炼多吃瘦肉的好一点。
349,还是放个抽脂肪手术画面吧！有兴趣的去自己搜索一下。
350,这是减肥还是整容，抽脂是不是需要去宇宙国做。
351,多吃瘦肉，多运动
352,节食减肥坏处多
353,多吃瘦肉，欧美搞健身的只吃瘦肉，肥的直接扔了。
354,尽量？？？
355,运动
356,啧啧啧
357,好好健身吧
358,打扰了
359,还是跑步吧啊
360,卧槽
361,来了
362,我小时候是小胖子 现在还是小胖子
363,我还是继续运动吧
364,增肥的那个你可以出去吗
365,我的高中同桌！
366,啥时候倒闭
367,等高线好厉害的样子
368,流泪
369,说什么虎狼之词呢？吸什么呀？
370,就不能来着正常的？
371,好好运动，健康饮食就行，整哪花里胡哨的
372,可怕
373,不妥不妥都不妥
374,做肥皂
375,太可怕了，不去
376,好痛
377,还有内脏
378,棉袄
379,连他自己都不敢做
380,还是少吃肉，多运动。
381,不吃了不吃了
382,现在就去跑步
383,节食锻炼让我瘦了40斤
384,局部火化？
385,熟了
386,我这就去跑步
387,算了吧 我还是胖着吧
388,懂了。那我永远是个胖子了。。
389,不是节食锻炼没用 是对于从小就胖的人没用
390,还行 我从小就是瘦子 应该不存在减不下来的情况 就不需要抽脂
391,这tm？
392,？？？？？？
393,不考虑
394,ohhhhnonono
395,坚决不抽脂
396,不做抽脂
397,我小时候就胖
398,。。。。
399,。。。。
400,:)
401,*
402,啊这
403,卧槽！！
404,好可怕
405,我想要脂肪
406,密恐
407,妈妈我不抽脂了
408,怎么说呢，当年看抽脂手术的视频，俺舅说那手术看着跟村里杀猪一样一样的
409,已经不适了
410,哈哈哈，前面的，看起来确实有点像毛戈平老师
411,空降2:25
412,核能预警
413,额
414,啊啊啊啊啊啊啊啊啊啊啊啊！护体护体！！！
415,卧槽太可怕了
416,那完了我胖不了了
417,好吓人啊
418,？？？？
419,广告了
420,知道了这就去运动
421,好疼
422,卧槽
423,皮是不是需要绷一下
424,这段素材我用过…
425,可别说抽脂了，又想起那个画面了哈哈哈
426,哈哈，我们公司的
427,卧槽
428,这是你的脂肪
429,看着都疼
430,神他妈推荐抽脂
431,太扎心了
432,所以你为什么推荐抽脂？
433,手里的炸串突然就不香了
434,看着都不想活了
435,还是健身去吧！！
436,反向劝人运动
437,孩怕
438,啊啊啊啊啊啊啊
439,麻木？
440,不适不适严重不适
441,千万别做 少吃碳水就可以瘦
442,3个月运动不行吗
443,不会冻上吗？
444,还是运动吧
445,还是运动吧
446,加特林
447,淦
448,卧槽，好粗鲁
449,我选择吃糠咽菜和帕梅拉
450,我还是少吃多运动吧
451,啊啊啊啊啊
452,运动吧
453,肉蛋
454,应该是吃肉的吧
455,运动快乐
456,我选择运动
457,OK我选择节食运动减肥
458,幻痛
459,卧槽
460,什么叫不难！？你知道抽脂的风险性吗？！你这是误导！
461,运动
462,建议直接火化
463,这话太扎心了
464,看饿了
465,又不让中国人吃肉了？
466,害怕  害怕
467,你的！你的
468,对不起 我不吃了 我去运动！
469,我小学1-3年级很瘦特别瘦，3-6年级特别胖初一到初三又瘦下来了，后来又胖了工作后又瘦了现在又胖了………
470,算了算了
471,疼
472,疼
473,多吃肉
474,？？？
475,啊！！！！！
476,利多卡因可是好东西啊哈哈哈
477,不敢看
478,我的妈呀
479,中国人别吃肉就可以去除脂肪了
480,《 一 小 时》
481,？？？？？？？
482,好像水果
483,?
484,那你还让我去抽脂
485,还得换皮
486,不行，我就继续胖下去吧
487,前方高能预警
488,还是跳绳快乐
489,吓人
490,不了不了
491,少吃点
492,还是边吃点吧
493,不减了不减了胖就胖吧……
494,不让吃肉哪来的脂肪
495,不吃肉对吧
496,卧槽
497,少吃肉阿
498,?????????
499,你管这叫治疗？
500,啊啊啊
501,我错了我错了，我这就去运动，妈妈救我！
502,算了
503,拔冷罐哈哈哈哈哈
504,我去运动了
505,没吴松磊啊，真不错。
506,少吃猪肉
507,那我还不如自己来
508,天呐
509,不要不要
510,哎呀呀呀
511,我还是继续开心地吃吧
512,侮辱性极强
513,多吃肉
514,啊啊啊啊
515,卧槽
516,关于音游人不多你却能在各个视频里面看到他们
517,谢谢大家！！！跳过了到那段
518,有这功夫还不如锻炼呢....
519,所以脂肪去除指南就是做个手术吗，而不是运动？
520,你再骂
521,足够厚了
522,我小时候胖成个肉球，现在很瘦
523,运动吧 
524,？？？？？
525,好难过
526,诱人的视频
527,我还是选择锻炼吧哭
528,我觉得吓人
529,好可怕
530,看着都疼
531,卧槽
532,这个速度认真的吗
533,卧槽
534,还是胖着点好！
535,我运动3个月也能减肥
536,救命啊好可怕
537,获得脂肪指南
538,放屁
539,跟我想的有亿点点不一样呢
540,我还是好好锻炼吧！！！
541,这是在灌香肠吗
542,卧槽……
543,好爽看着
544,好爽看着
545,？？？
546,你再骂
547,不吃奶蛋肉
548,赶紧说，那个医院
549,哪个医院抽脂手术做的好呢？
550,我去 还是算了吧
551,我觉得胖点挺好
552,卧槽我还是锻炼吧
553,还是得锻炼
554,少吃肉就行
555,脂肪不是防冷么……
