,弹幕
1,觉得会松的男的是有多自信啊哈哈哈哈哈
2,啪了很容易得
3,放心了！我走了！
4,这下可以放心单身了～
5,众所周知，一般细的爱赖别人松
6,啪了不健康的风险才会变大
7,我自己手动解决
8,尼玛，水泥嘛！！！
9,散了散了
10,哈哈哈，你真够倒霉的
11,有关系啊。。。。
12,本科率百分之4点多
13,满足了，我走了
14,哈哈哈
15,没有影响
16,菊花呢
17,好 我走了
18,姐姐太可爱啦
19,太可爱了 关注了
20,好的，告辞
21,我就知道
22,中医就不会这么说了，还是有影响的。
23,好耶！
24,原来痛经是因为脑子有病？
25,哦耶！
26,我有一个朋友
27,万事不求人。
28,太好了
29,好耶
30,帮我自己看看
31,哈哈哈哈哈哈哈哈哈
32,女洞虽好我手更巧。
33,那没事了
34,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
35,不啪才对
36,？？？？？？？
37,那我可以走了
38,太好了
39,哈哈哈哈哈哈哈哈
40,好耶
41,好耶
42,好家伙
43,好耶
44,很好
45,哇，这个摞纸牌厉害了
46,有手就行。
47,一辈子呢
48,走了
49,好耶
50,？？？
51,厚礼蟹
52,好耶
53,安心当单身狗
54,帮自己看
55,我帮郭正看看
56,啪了才容易得
57,我有个朋友说想了解一下
58,可以成为大贤者
59,哈哈哈哈哈哈哈哈
60,没穿裤子
61,哈哈哈哈哈哈哈哈哈太好了
62,？？？？？？？？？？
63,那我就安心了，哈哈哈
64,用进废退
65,我好想那个
66,有了才会吧
67,那我走了
68,好可爱啊
69,放心了 我走了
70,夺笋呐
71,炎不炎和用没用没关系，但是肥大就有关系了
72,好耶
73,放心了
74,哈哈哈哈哈哈哈哈
75,你无了
76,姐姐好可爱！！！
77,甜甜圈！！！（哭
78,太好了！
79,好恐怖啊
80,那我就放心了
81,那我走了
82,太好了
83,DIY啊
84,……
85,哈哈哈哈哈哈……
86,挺好
87,低欲望？欲望只有这一种吗
88,不啪反而更好
89,。？？？？
90,哈哈哈哈哈哈哈哈哈
91,哈哈哈哈哈嗝
92,同款蘑菇人！
93,一直单身一直健康！
94,懂了，我去买陈醋
95,前面那个说自信的哈哈哈哈哈哈哈哈哈哈哈哈哈哈
96,救命啊
97,我快看完了
98,hepei
99,哈哈哈哈哈哈哈
100,？？？？？？
101,额。。。
102,论我为什么会滑到这个
103,好嘞去干别的了
104,说松弛的不反省一下是不是自己太针了？
105,懂了，这就拿醋泡
106,我帮我朋友看看
107,安心的当个单身狗了~
108,最爱松的
109,这里太好看了
110,太好了
111,哈哈哈哈哈你可笑死我了
112,笑死了
113,王文浩，我帮你看看
114,啊哈哈哈哈哈哈哈
115,不啪反而不容易发炎
116,我放心了
117,主要是细罢了
118,太好了
119,太棒了！！！
120,禁止好耶
121,哈哈哈哈哈哈哈哈
122,哈哈哈哈哈哈哈哈
123,喜庆！可爱！
124,或许，你知道玩具嘛。
125,6啊
126,太好了
127,放心了！
128,哈哈哈哈哈哈
129,好耶
130, 讲真，npy的久不久就自己吐痰.......（异地恋）
131,哈哈哈哈哈哈哈
132,哈哈哈哈哈哈哈
133,哈哈哈哈哈哈
134,哈哈哈哈哈哈哈
135,我替我朋友过来学习学习
136,太棒了
137,好耶好耶
138,确实会变浓，像果冻那样
139,哈哈哈哈哈哈哈哈哈哈哈哈哈
140,太好了
141,耶！喜大普奔！！！！放鞭炮！！
142,我一个单身狗居然来看这个
143,会
144,我有一个朋友
145,牡丹狗是？
146,那我就放心了
147,退化
148,说得好
149,哈哈哈
150,必须滴
151,想叫帅鸭
152,自己过算啦真的
153,哈哈哈
154,好可爱哈哈哈哈
155,我笑了哈哈哈
156,好可爱啊！！！！！！！
157,能换个配音吗？
158,哈哈哈哈
159,那我就放心了
160,我长胡子了女生
161,肌肉越锻炼越紧的。那里也是
162,我就自己排过一次
163,好的。告辞
164,耶！！
165,雷姆 老处男安心了
166,不过啪了以后真的痛经没那么厉害了。。。不知道有没有关联。。。
167,；
168,很多人单身的时候一直很健康，反而结婚后各种毛病
169,音乐好评！！！！
170,好烟
171,up主太好看了
172,我帮朋友来看看
173,我不和男票啪的那个月疯狂长痘。。
174,心理性的好像要去看心理科
175,哈哈哈哈哈哈哈哈
176,哈哈哈哈哈哈哈哈
177,好的，我不看了
178,我帮我朋友看看
179,我要把这条转给那些说我长痘是因为没男朋友的猥琐小人
180,看到这没有影响后就想退了
181,这个我听过无数次。我单身很久了，长痘。有些人就那么说。搞得我差点信了
182,我有一个朋友
183,摄拆懂?
184,继续单身
185,啊啊啊方吉！
186,放心了，我走了
187,你好可爱
188,哈哈哈哈哈哈哈哈哈
189,好可爱呀
190,不 男性会有问题 要定期手艺活
191,别骂了别骂了别骂了别骂了
192,笑死
193,懂了
194,哈哈哈哈哈哈哈哈h
195,？？？？？？？
196,哈哈哈哈
197,那好了，走了走了
198,化学物理没关系，生物学有关系，因为会打破人类与微生物的平衡，有害
199,???????
200,好漂亮
201,那就隔六个月谈一次（手动狗头）
202,夺笋呐
203,总结 superme打钱（doge）
