,弹幕
1,可以可以
2,？
3,孩儿王，求求你教教俺生物吧！！
4,术语：结晶体
5,牛
6,第二遍
7,RNA
8,孟婆汤掺多少水
9,我去
10,活体！
11,？
12,厉害
13,我靠高中知识
14,别念了
15,严    谨
16,不能这么比方。。。
17,卧槽高中生物
18,我也很懵 没整懂
19,这个年纪很厉害了
20,这个年纪很厉害了
21,要死不活
22,恍然大明白
23,牛逼
24,有dna病毒和rna病毒的，所以还是学的不够系统
25,高中生物？
26,牛的
27,啊～
28,真娘的学他爹好呀
29,醍醐灌顶
30,omg……高中生物……
31,ohhhhhhh
32,我靠这我高一学的
33,握草
34,小达尔文
35,哇哦
36,人才啊
37,好了，没听懂
38,初中生物
39,这孩子可以
40,卧槽
41, 牛的啊大哥
42,爱炸了
43,这不是初二的内容吗？
44,病毒内部是遗传物质，DNA RNA
45,结晶体
46,病毒结晶体 细菌芽孢
47,明白了
48,这孩子真棒
49,背后的书
50,高一感到惭愧
51,DNA是连续排列的碱基对
52,高中的
53,有的病毒是RNA
54,自愧不如
55,啊！这么回事儿
56,脱水
57,必修1
58,所以，我应该去学习了
59,我悟了
60,初二生物
61,天赋
62,哇厉害
63,绝了！！！
64,ohhhhhhhh
65,好厉害
66,惭愧惭愧
67,这不是就高中生物呢么
68,病毒不是细胞
69,我想认识这个厉害的小朋友(๑°3°๑)
70,666
71,大师，我悟了
72,牛啊
73,后面说的不对的
74,家教可以，赞
75,厉害了
76,？？？
77,牛逼
78,哇
79,？
80,我的生物居然学不过一个孩子
81,哈佛麻省，快快快收了他
82,这个孩子不简单
83,这孩子一定要上清华啊！阿姨看好你
84,让他更新！我学习！
85,长得好聪明的感觉呀!
86,操了，羞愧难当
87,我的天，这逆天了
88,大师 我悟了
89,好强
90,厉害了
91,好家伙 比我学的明白多了
92,？？？？
93,专业的表示讲的对
94,看后面的书就知道父母是教授大学老师
95,太聪明了高中生物
96,小朋友你太优秀了
97,此子 前途不可限也
98,还有朊病毒
99,屁孩，我悟了
100,我终于懂了
101,剪辑带师
102,剪辑带师
103,恍然大悟
104,太厉害了
105,毫无疑问，这确实是生物学天才！未来有多大成就还不好说
106,樊登老师？
107,我不知道哎
108,懂了，病毒是薛定谔的生命
109,？？？？我好废
110,大师我悟了！
111,没有细胞结构
112,高三学生默默点赞
113,？
114,大实话​
115,好厉害！
116,好家伙，我悟了
117,卧槽
118,好家伙
119,我高一了现在这些还分不清
120,NB
121,哦哦哦哦哦哦哦哦哦哦哦
122,卧槽！我懂了
123,好家伙！！！好厉害！
124,秒啊
125,一种植物
126,黑龙江八年级生物
127,大师我悟道了
128,《生 命 的 边 缘》
129,解释一下：定义是否为生命在于能否进行生物该有的代谢
130,病毒其实是生物
131,小～老师～
132,啊好厉害我八岁还在动画片
133,卧槽
134,满级大佬重回新手村
135,句句在理，这知识储量
136,感觉在念金刚经哈哈哈
137,卧槽
138,你看看背景板就明白小孩怎么这么厉害了
139,脱氧核糖核酸
140,大师我悟了
141,太可爱了
142,？
143,天哪参加高考吧哈哈哈哈哈
144,原来如此！
145,就是定义的问题，是不是生物交给哲学家（雾）
146,清清楚楚的嗷
147,我靠
148,我听懂了
149,老师~
150,牛逼牛逼牛逼，我高中才学的东西，小朋友除了懂还条理清晰
151,大师，我悟了！！！！！
152,rna
153,厉害
154,我悟了
155,我去 这孩子探知心很强
156,好家伙
157,曹，我怀疑孟婆汤兑水了！
158,生物学的不错
159,谢谢老师 我懂了
160,自愧不如！
161,钦佩，小弟弟未来必定名校学霸，未来可期
162,新冠在体外就活的时间很久了不单单像灰尘
163,爱剪辑
164,老板 请为他补上孟婆汤
165,病毒就是寄生属性
166,厉害厉害！
167,绝了
168,牛啊
169,《必修一》
170,我也会，高中生物，我高中生物老厉害了
171,发现最厉害最靠谱的年龄就是这个时候
172,妈呀
173,可以可以
174,建议保送北大
175,这小孩说话的样子像王小波
176,这小孩说话的样子像王小波。
177,高中生物必修一
178,补充，还有少部分RNA
179,因为它没有细胞结构，确实没定论，说得对
180,许墨那个别走
181,东北口音
182,而且孩子才八岁啊！！！
183,高一敬佩，太厉害了，我虽然有知识体系但是描述不清楚
184,前途无量
185,主要不是知识的问题，就是表达的好清晰啊瑞斯拜
186,？？？刷的弹幕吗
187,博士转世
188,这弟子我收了
189,？？？我傻了
190,我高中才知道的东西，你还没上小学就知道了
191,还是个学书法的孩子！羡慕！
192,中国书法全集！！
193,孩子太厉害了，清华北大的料
194,哇好厉害！！！
195,大学生也很惭愧
196,大师 我悟了
197,？！！！！好强！！！
198,太通透了
199,保送清华
200,666
201,小家伙 你很有前途
202,寄生
203,厉害厉害
