,弹幕
1,？？？？
2,哈塞
3,确实
4,感觉全是废话
5,我早上
6,俗称吃饱了撑的
7,各位刷到这个要好好反省
8,帮我朋友了解一下
9,你怎么知道
10,每时每刻都想
11,我朋友想看呢
12,帮朋友看看
13,一天都想的怎么办
14,75%？我不信 怎么也得95%
15,我帮我朋友看看
16,替我朋友来看看
17,你胡说
18,这个点不困死
19,全天OK～
20,全天
21,男人全天OK
22,可能是没人一起吃饭…
23,朋友叫我看的
24,帮朋友看一下
25,我踏马全天都有那我岂不是外星人？
26,这是你自己的体会吧
27,盲猜凌晨2点
28,这不是放屁么
29,？？？
30,哈哈哈哈哈哈哈哈哈
31,？？？
32,哈哈哈哈哈哈哈
33,哈哈哈，随时随刻的笑死我
34,我不信10点就是低估，因为我男朋友从七点兴奋到了10点，越来越激动的那种。还好我们异地。
35,真实
36,扯淡
37,在座的各位都是我的朋友
38,帮朋友看看
39,好家伙，男性居然不占九成
40,我这就转发给我朋友
41,朋友求我来看，我也不能推辞
42,噗哈哈哈哈
43,我有一个朋友
44,hhhh
45,哈哈哈哈，帮朋友看
46,怪不得
47,我又来了
48,无中生友
49,不愧是你
50,帮朋友看
51,夜间寝取成功率最高
52,所以4点要下班
53,现在男的太爱打拳没兴趣
54,老子早上10点都快憋炸了
55,帮朋友看看
56,我替我朋友来看一下
57,啧啧啧
58,女孩子笑得很欢
59,笑死我了，我女的
60,哈哈哈哈
61,→_→
62,哈哈哈哈
63,哈哈哈哈
64,我哥单身狗为什么会点进来……
65,不……我喜欢一早上就这样
66,？我下午只想睡觉
67,你是怎么知道的
68,真实
69,我进来干嘛
70,无中生友
71,大家都是朋友
72,替朋友看看
73,放屁 我早上刚睡醒最强！
74,就这？？？我都懂呀
75,不，晚睡第一名觉得，11点开始刚刚好
76,n哪有睡那么早的
77,？？？
78,我帮我朋友看看
79,我朋友让我来听的
80,这样我就不困啦
81,我男，我只要有呼吸就想。别赞，要脸。
82,帮友看
83,胡说八道
84,帮朋友看看
85,我是睡前
86,我有一个朋友
87,????
88,？？？
89,？？？？
90,朋友让我进来的
91,无时无刻
92,24小时
93,出来吧单身狗们
94,出来吧单身狗们
95,woc真的准
96,为什么科普这些？
97,？
98,懂了，把生物钟调一调
99,都睡着了
100,朋友看看
101,十点之后宿舍都关灯了
102,一整天
103,确实
104,你好
105,好家伙
106,评论区比视频有意思
107,帮唐巍看看
108,？？？？？？？
109,我帮我朋友看看
110,说读chai的文盲赶紧埋了吧
111,我有一个朋友
112,恐怖的播放量
113,真实
114,饿了
115,我替我朋友看看
116,好家伙
117,？？？？？？？？？？？
118,我朋友想知道 我来看看
119,哈哈哈哈哈哈哈前面发情那个笑死我
120,所以这就是同~性~恋频发的理由吗哈哈哈
121,女生怎么了
122,我明天早起最
123,我都行
124,为什么我生理期的时候想，平常的话性冷淡
125,我说我困得时候为什么她这么精神
126,随时都想
127,ohhhh
128,放屁一样
129,遗憾的事
130,好家伙我24小时都
131,你这不是通用于每个人的吧，别瞎扯赚流量
132,替朋友看看
133,24小时
134,帮朋友看看
135,我也是这个时间欲望最强
136,？我为什么进来？
137,每时每刻
138,哈哈哈真实
139,我：任何时间
140,我有个朋友
141,笑死我了
142,早起
143,我帮朋友看的
144,?
145,我有个朋友
146,帮忙看看
147,懂了，下午安排钟点房
148,你咋知道
149,餐桌上的是魔鬼吧
150,帮我朋友看看
151,封号斗罗
152,我替我朋友来看看
153,全天
154,替朋友看下
155,我朋友他....
156,我朋友他.....
157,在下一夜十三郎 
158,一到下午四点我就犯困
159,你说类型网站的时候你身上弹出来了一件三连和关注？？
160,帮朋友看看
161,那为什么会这个时间呢
162,24小时
163,哈哈哈
164,《 朋 友 》
165,替朋友看看
166,好准
167,帮朋友看看
168,哈哈哈
169,今天的B站就看到这
170,给不会聊天的直男们推荐一个小珵序叫[我会聊天]
171,？？？？？
172,我有很多个朋友都想知道
173,他在笑他在笑
174,哈哈哈哈哈哈雨我无瓜
175,哈哈哈哈哈哈哈哈雨我无瓜
176,替我女朋友看看
177,一早起来是女生
178,好像是…
179,随时都想的人厉害了
180,24小时待命
181,你在期待什么
182,早上
183,我来为我朋友…算了
184,？？？？
185,替朋友看看
186,996没有这个时间啊
187,？？？？
188,我早上醒了会
189,想说24小时都有激情，男，怎么办
190,试图了解自己
191,晚上
192,跟感情一样一样的
193,科学家怎么发现的？？？
194,整个片子全看完了，心里有很大触动，迸发出无数的热情，让我有一种感觉一定要做点什么的激情!  于是，我在床上翻了个身  然后发现充电器太短又翻回来了[doge]
195,[doge]
196,我以为90%
197,我朋友随时都想呢
198,十点都睡了？
199,喝多了后
200,我替我朋友看看
201,快两点了怎么办
202,全天
203,哈哈哈
204,不可能
205,这？
206,随时
207,进来学习
208,我一个朋友想看
209,2-4打盹睡觉，我是不是废了
210,我没看
211,我为什么会点进来
212,这种问题找同性不就全解决了？
213,随时随地
214,帮朋友看看
215,哈哈哈哈哈哈哈哈差强人意
216,所以同性更适合…
217,？？？
218,医生你没有结婚吧？
219,明白了这就去跟女票对线
220,我来帮我朋友看看
221,时刻准备着~
222,这个时候都睡着了
223,？
224,帮朋友看看
225,？
226,别让资本家看见，不然又要想办法了
227,哈哈哈哈哈哈哈哈
228,胡说八道真的
229,帮朋友看一下
230,我帮我朋友看看
231,帮朋友看
232,帮我朋友看看
233,随时随刻哈哈哈
234,我替我儿子看一下
235,看到这里我就准备退出了，和我不符（狗头）
236,我就帮朋友看看
237,同意
238,？？
239,我有一个朋友
240,？
241,我帮我朋友看
242,？？？
243,只要我想就会亲到她也想
244,25％是啥？
245,我有个朋友随时喜欢
246,差强人意：大体使人感觉满意
247,女性11点，男性凌晨4到7
248,太真实了
249,帮朋友看看
250,差强人意？？？？？成语用错了
251,同性才是王道，持久久久久
252,还是两个♂身好啊
253,开车
254,我帮朋友看的
255,不吃饭吗
256,帮朋友看
257,才75？
258,下午6点刚下班都累死了
259,我帮我朋友看看
260,明明一早起来最有兴致
261,帮朋友看
262,我啪一下点进来了，很快啊！
263,晚上八点最贵，十二点以后特便宜
264,晚上呀~
265,？
266,我帮我盆友看看
267,没有啊
268,哈哈哈哈学到了
269,我盆友让我来的
270,我有个朋友
271,？？
272,你在屏幕面前笑啥
273,确实
274,但是拍摄者都是70%都是女性啊
275,时刻准备着
276,两个女的一起，就解决了（狗头）
277,我有一个朋友想知道一下
278,拉倒吧，文献上都是凌晨2-4点
279,?
280,帮朋友看看
281,哈哈哈哈
282,这个是因为快下班了，真不想干活来
283,对对对
284,朋友竟是我自己
285,不，我要睡午觉
286,看这视频前刚冲完
287,女生生理期来前和来时
288,开头就和我是反的。十点还在晨伯时间
289,那这也永远也对不上时间了
290,我来看看
291,好有意思随便看看
292,哈哈哈他在笑
293,emmm
294,男性全天
295,我随时随刻
296,哈哈哈哈哈
297,确实真的。
298,姐妹们好。
299,帮我朋友看看
300,日常帮朋友
301,我只要醒着我就一直有欲望
302,？
303,做笔记
304,知道了，以后晚点睡
305,无中生友
306,我男朋友10点的时候恨不得吃了我
307,白嫖的欲望←_←
308,干觉了
309,确实
310,我啥时候都想
311,你这个朋友是不是你自己
312,《你说这个我可就不困了哦》
313,一本正经的胡说八道
314,無時無刻都想怎麼辦
315,笑死我了
316,哈哈哈哈哈哈哈哈哈
317,哈哈哈哈哈哈哈
318,为啥几百万播放量只有两万点赞？
319,？
320,也有女性看？
321,不存在，我一天都想
322,替朋友看一下
323,xswl
324,我有个朋友
325,哈哈哈哈哈
326,《我有一个朋友》
327,恩，不是人
328,居然一百多万播放量
329,不过
330,懂了懂了 中午不用睡觉 
331,不是每时每刻吗
332,我不对劲
333,我朋友叫我帮他看看
334,帮朋看
335,我替我朋友看看
336,正确
337,帮朋友看看
338,果然！！！
339,我帮朋友看看
340,666
341,？？医生你也是吗
342,时刻准备战斗
343,如果忙成狗，谁还想干那事？
344,qs
345,我帮未来的老公看看
346,真实！
347,帮朋友看的
348,我有一个朋友...
349,我全天没有欲望
350,10点？我夜里可老精神了
351,无中生友
352,帮朋友看看
353,好家伙
354,哪有我前女友无时无刻都想
355,无中生友
356,刚来了一发
357,全天都想
358,无中生友
359,好专业的样子
360,我有一个朋友
361,帮朋友看看
362,一模一样
363,我就是这样！！
364,帮女朋友看看
365,帮朋友看看
366,？？？？
367,女同事
368,抓出轨最佳时间
369,好家伙，还有20%以上的女性
370,你怎么知道浏览量的
371,我替朋友来看看
372,帮朋友看看
373,我替我朋友看看
374,我有个朋友
375,播放量赛高
376,第一千条弹幕
377,修行时间
378,真实
379,百万播放
380,替朋友看的
381,？
382,早上
383,这数据怎么这么精确，难道说网站是你们的人开的？
384,替女朋友看一下
385,我有个朋友
386,无中生友
387,白日做梦
388,我此时只有干饭的冲动
389,朋友啊
390,真实
391,？
392,真
393,wc
394,?????
395,晚上
396,我一整天
397,随时随地
398,我为什么要进来，我没有对象啊！！！
399,我时刻准备着
400,安娜激素这么慢，我都砍完了
401,真实。
402,他在憋笑
403,男男么？
404,哈哈哈
405,我有个朋友
406,我帮我朋友看看
407,真实啊
408,？？
409,虎狼之词
410,替我朋友看看
411,好家伙！
412,无中生友
413,不准
414,各位淑女们好
415,帮朋友看
416,面不改色心不跳
417,老师见解十分深刻
418,哟西
419,封面好评
420,帮朋友看看
421,太真实了
422,男性应该不用说，整天24小时都有欲望
423,老绅士了
424,兄弟们又进来学习啦？
425,阿这
426,？
427,？？？？
428,帮朋友看看。
429,早上
430,垂死病中惊坐起，朋友竟是我自己。
431,并没有
432,我有一个朋友
433,我有一个朋友
434,睡意朦胧
435,肘，跟我进屋
436,我有一个朋友
437,我时时刻刻都想为爱鼓掌
438,该死这些人都不上班的嘛
439,帮朋友看一下
