,弹幕
1,《论    持    久    战》
2,狮子虽然短，但人家一天上百次
3,真·活儿不如狗
4,鸭子看一眼就怀孕
5,曲子好听，搜不到
6,一触即发
7,一触即发
8,猫应该是5分钟左右吧，我好像见过
9,鸭子太假了
10,噗
11,真男人
12,别找鸭子的哈哈哈哈哈
13,谁拖了人类后腿？把我一小时拖成5分钟？？
14,我是树懒
15,平         均
16,？？？？？？？？？？？？
17,老鼠竟是我自己
18,老鼠局。竟是我自己
19,原来我是琵琶鱼
20,我已经输了
21,所以，琵琶鱼能活多久
22,这琵琶鱼厉害了
23,我不如狗
24,盲猜蜗牛
25,哈哈哈哈哈哈哈哈
26,鸭子？
27,13小时？？？？
28,人类？？？？
29,1s。。。
30,必然是ntxl啦
31,？？？？
32,真就狗都不如呗
33,？
34,？？？？？？？
35,？
36,所以都是快男才做鸭?
37,当年人类这个玩意儿有54个血细胞儿 现在只有两个了 哎 男人开始变女了 
38,为什么要推荐给我？
39,帮朋友看看
40,你好快啊
41,我才发现我好行
42,蚊子出息了
43,？
44,鼠？？！！
45,许仙牛批
46,海龟不会憋死吗？
47,我是狗
48,奇怪的知识又增长了
49,？？？？？？？？？
50,？？？？？？？？？？
51,持久战力
52,致敬
53,狮子哥
54,狮子最久吧
55,猎豹比我强
56,长颈鹿开玩笑的嘛
57,我居然是蛇
58,？我20min
59,秒男
60,老鼠离谱
61,一辈子？！
62,卧槽
63,树赖秒男
64,我半个小时
65,？？
66,人类一败涂地
67,开幕雷击
68,丁充闾跟鸭子五五开
69,人不如狗
70,多久?
71,人不如狗哈哈哈哈哈哈  夺笋呐
72,猪狗不如
73,马岛缟狸时间超长
74,狗强啊
75,动物是为了繁衍后代的，人不一样
76,一会我就给我媳妇看这个，看她还敢不敢说我
77,猪狗不如
78,？？？，才五分钟？不敢相信啊
79,噗哈哈哈一辈子是认真的吗难以想象
80,我三秒
81,我还不如一只蚊子?
82,蛇了
83,?
84,人不如狗？
85,？？？？
86,5.4分钟吗这么短
87,有个朋友
88,你们老老实实告诉我，谁一秒钟的？把我拖到这点
89,发生肾么事了
90,海底小纵队
91,……人类的是不是少了呀……感觉正常都有15到25吧
92,兄弟们 猩猩和人类差不多 大于1.5分钟就说明你可以啦
93,我有个同学三秒
94,我是蚊子？
95,人
96,有些人可以几小时的好吗
97,盲猜是狗
98,喔
99,坐等人类
100,？
101,到我了
102,人类一败涂地
103,哈哈哈
104,不如狗系列
105,稳如老狗
106,琵琶鱼名场面
107,想知道人类的
108,丑鸭子杨家翔
109,牛
110,猪狗不如
111,我肯定在最后
112,乌龟这...
113,我借我朋友的号
114,止步于此
115,不如狗
116,所谓如狼似虎
117,一辈子？？？？？？？？？？？？
118,各位都是在树懒和海豚之间吧
119,卧槽啊，蛇不愧有两根
120,人 不 如 狗
121,胡说八道!!，最新统计数据人类平均时间十五分钟左右!!，
122,网上见过人狗那啥的，原来是因为时间长
123,我又有信心了
124,????????????????????????
125,人不如狗
126,闪电战
127,？
128,哈哈哈哈哈哈什么东西就whz
129,哈哈哈哈哈哈哈哈哈
130,黄色闪光
131,？？？？
132,果然老鼠的儿子会打洞
133,？？？？？？
134,哈哈哈哈哈哈
135,？？？？？？？？？？？？？？？？？？？？
136,我有病一个半
137,猫科动物的时长错了
138,海蛇最长
139,树懒也能快一次了
140,老鼠啥意思
141,哈哈哈哈
142,我居然最快
143,就离谱
144,许仙牛皮了
145,？五分钟就完了严重高估我自己
146,汪汪队立大功
147,好家伙
148,不能说猛如虎了
149,鸭子怎么回事
150,人类一败涂地
151,许仙牛批
152,人类一败涂地
153,我们朋友三秒
154,人类，。
155,卧槽
156,你们是想看人吗
157,卧槽
158,我为什么点开
159,你不如个鸭子
160,一辈子是什么东西？？？
161,逐渐难受
162,鸭子快有人要吗
163,长颈鹿
164,好家伙
165,被平均了
166,中国拜你好短啊
167,4 5分钟是病得去zhi
168,我是最久的
169,是谁！拉低了人类的整体水平！
170,猪狗不如
171,老鼠就离谱
172,蛇？？？
173,答案是我
174,无中生友
175,人类好长熬
176,好家伙
177,啊？人不应该是俩小时？
178,好像是乌龟
179,2.5东
180,从瓜瓜的收藏过来的
181,树懒最快的一次
182,？？
183,?：
184,不是10分钟？
185,龟龟
186,5.4分钟
187,鸭子也是鸟啊。。。
188,鸭子没那么短吧
189,？？？？？？？？
190,5.4？我都半小时往上
191,庄彬宏不如一直鸭子
192,真就不如狗
193,你本来就是动物呀
194,人类竟是我自己
195,？狗都不如
196,听说海豚……
197,你们有谁拖我后腿了吗？
198,！？？？？
199,？？？！？
200,？？？？？
201,？？？？？
202,鸭子哥，加点油啊
203,琵琶鱼就离谱
204,半天
205,我有一个朋友
206,猛如虎就是我了
207,凭实力刷到的
208,才5.4?
209,快到我了
210,不愧是我
211,人类一败涂地
212,？
213,噗
214,强啊
215,人不如狗
216,只要是2分分钟就事正常
217,不好意思，我拖累了你们的时间
218,13个小时
219,5分钟 吹牛逼别带我
220,小说里的霸道总裁
221,海龟我可以理解，毕竟动作缓慢，老鼠十三个小时是怎么做到的？？
222,我段杰止步于此
223,人类一败涂地
224,啊这个
225,《无中生友》
226,我不如狗？
227,离谱了都没龟时间长吗
228,人也是分类吧，
229,哈哈哈哈哈哈哈哈哈哈哈哈哈
230,？
231,大象
232,人为什么只有5.4分？？？？？？？
233,盲猜人最长（狗头）
234,沃日，点错了
235,stm黄色闪电
236,人类一败涂地
237,人不如狗
238,我竟然超过了河马
239,天呐 狗都不如
240,几小时
241,？？？
242,奇怪的知识增加了
243,许仙nb的笑死我了
244,一辈子
245,我没变色
246,真给人丢脸
247,没想到啊，狮子老虎居然都是快男
248,我应该2小时吧
249,狐狸好色
250,又增添了奇怪的知识
251,哈哈哈哈哈哈哈哈哈
252,？？？？
253,菠萝赛东nb
254,盲猜人类
255,这就是传说中的如狼似虎吗？
256,？？？！！！
257,人呢
258,树懒好快啊
259,连狗都不如
260,蛇吧
261,菠萝赛东狂喜
262,盲猜狼
263,老虎一次很短，但是一个小时做几百次
264,真的假的
265,QKA
266,？？？？
267,原来我是河马
268,我凭本事刷到，为什么要反思
269,禽兽不如啊
270,人绝对不如狗。
271,谁拉低了平均值？
272,狮子时简短次数多几百次
273,兔子呢1秒
274,哈哈哈不如狗子了
275,不是我吗？
276,我10秒
277,盲猜是蛇
278,熊的力量！
279,真的吗
280,？？？
281,？？？
282,莱昂凯竟是秒男？
283,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，人家日本作品那个至少不也得一个多小时！！！
284,鸭哥你不行啊
285,什么时候到我
286,在残酷的自然界，越快越好（doge）
287,小时？
288,我是来学习的
289,猩猩等于人 所以人均1.5分钟 
290,好家伙这啥奇奇怪怪的东西
291,《长》
292,？？？？？？？？
293,看到狐狸时间长我就放心了
294,人不如狗
295,我属蛇
296,你再骂?
297,帮朋友看看
298,人在哪
299,王   瀚   哲
300,旺财呢
301,鸭子？
302,好家伙
303,我
304,♂
305,原来我这么强
306,？？？？？
307,琵琶鱼
308,？？5.4
309,6666
310,？？？
311,不如狗啊
312,离谱
313,自愧不如
314,另一个视频的BGM是火力少年王
315,谁拉低的平均时间？
316,5秒  5秒还是太短暂了
317,人类一败涂地
318,@qka
319,还不如狗
320,人类一败涂地
321,？？？
322,我居然超过了人类平均水平
323,老虎狮子人家是30秒一次好吧
324,猪狗不如
325,好人
326,树懒5秒是因为拔得慢？
327,最后是蛇吧？
328,人类一败涂地
329,又让我想起了常山药业的公告哈哈哈1.4亿人……
330,我猜是乌龟
331,小秦12.5分钟
332,仌
333,狗都不如
334,人不如狗系列
335,究竟是谁拖了我的后腿
336,be
337,戳一下？
338,你是琵琶鱼吗？
339,人类一败涂地
340,你赢了
341,人不如狗哈哈哈哈哈哈
342,人类一败涂地
343,许仙真男人
344,？
345,许仙nb
346,多人运动大师
347,我居然是国宝
348,原来老鼠人是褒义词dogr
349,哈哈哈哈哈哈哈哈哈哈哈
350,兔子呢？3秒啊
351,李光洙
352,平均人类 
353,熊猫为什么是国宝 就是这样了
354,人不如狗
355,有人么
356,帮我朋友看看
357,懂了，鼠人是褒义词
358,哈哈哈哈哈哈
359,人不如狗系列
360,王瀚哲好快
361,人不如狗
362,哈哈哈哈哈哈哈人类败
363,鸭子?
364,我有一个同学
