,弹幕
1,《 哈 哈 哈 》
2,海错图笔记的错图[doge]
3,自 吹 自 擂
4,阴 间 海 报
5,哈哈哈哈哈哈哈哈哈哈水猴子情节
6,好好好，买买买，都说到这份上了
7,水猴子
8,哈哈哈
9,这个章鱼的视频我小时候看过超印象深刻
10,我谢谢你
11,我买好了
12,豁～闹半天那是你写的
13,真不愧是小亮的书，买了
14,忙猜10后童年阴影
15,可恶 让他装到了
16,哈哈哈哈哈
17,多 有 意 思
18,哈哈哈哈哈哈
19,有没有意思我不知道挺辟邪的倒是真的
20,孩子很喜欢，已经吓哭了
21,地獄繪圖
22,1K的水猴子大海报吗？我挂床头
23,能写一本水猴子大全嘛？
24,好了看完了
25,好的，这就下单了
26,龙光玉魄出冰天
27,恭喜恭喜
28,哈哈哈哈哈草
29,买了一车，孩纸可喜欢吃了
30,隔壁小孩都吓哭了
31,好漂亮
32,水猴子
33,《哈哈哈》
34,《哈哈哈》
35,凡尔赛？
36,地  狱  绘  图
37,哈哈哈哈哈哈哈
38,哈哈哈哈哈哈
39,水猴子
40,能给我寄一只吗
41,图好看！
42,凡尔赛了
43,好的，马上往死里买幼崽版
44,好的，马上就往死里顶
45,幼崽版
46,海错图笔记的笔记
47,已经买了，孩子很喜欢，天天要和我去找水猴子
48,好耶
49,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
50,有水猴子吗
51,、
52,厉害死你啦
53,好家伙
54,谢谢孩子看了睡不着哦
55,是你写的？幼儿园的女儿老让我念
56,水猴子
57,卧槽，炫！
58,想要哈哈哈哈虽然我成年了
59,买
60,有捧哏教程吗
61,有水猴子吗
62,看不看无所谓，你买了就行
63,排面
64,厉害！！！！！！
65,哈哈哈哈哈
66,《哈哈哈》
67,《哈哈哈》
68,哈哈哈
69,恭喜恭喜
70,水猴子妈妈爱你(超大声)
71,《哈哈哈》
72,我小时候也感兴趣，买过现在证实了都是假的科普书
73,你自己科普，我要买
74,你自己科谱，我要买
75,海错图一套我都买啦啦啦啦
76,达贡！！！！
77,哈哈哈哈哈哈哈
78,不，吓人
79,敏感肌也能用
80,字太多了，出一本给人类幼崽看的呀
81,赚了不少钱
82,没有拼音
83,哈哈哈
84,螭虎鱼！
85,买了
86,已买，儿子天天放书包里
87,买了十套，煮着吃很不错
88,凡尔赛
89,海猴子
90,《挂墙上》
91,哈哈哈
92,？？？？？？？？？
93,芜湖
94,敏感肌很适合
95,这也太牛了吧 
96,在？为什么没水猴子？
97,突然小声
98,《水猴子异闻录》
99,水猴子
100,海猴子
101,哈哈哈
102,成年小朋友表示也想买
103,二十一岁的小朋友也想买
104,克苏鲁
105,已支持
106,已经买了
107,孩子吃了很喜欢
108,哈哈哈哈哈哈
109,《哈哈哈》
110,买了买了
111,新菜谱？
112,考的我人都木了
113,哈哈哈哈哈哈
114,怎么没用龙？难道你们没有被一条龙服务过？
115,懂了，买它！
116,奇怪的童年阴影
117,我买
118,买了，这书可以
119,护    眼
120,海猴子
121,老凡尔赛了
122,水猴子书
123,好家伙
124,老凡尔赛了
125,昊龙昊龙
126,宇宙这么大，我相信有
127,孩子们不得吓死
128,没有海猴子我不看
129,哈哈哈
130,买过这本耶
131,水猴子
132,《海错图笔记SE》
133,山海经
134,哈哈哈
135,哈哈哈哈哈哈哈哈哈
136,《哈哈哈》
137,克总
138,能吃吗
139,那么哪里可以买到呢
140,小孩的童年阴影增加了
141,童   年   阴   影
142,这幅图是水猴子吗
143,没海猴子我不看（正义审判）
144,谢谢你（八辈祖宗），太淦了
145,我也喜欢！！！！！xxx未解之谜系列什么的
146,暂停阅读
147,买买买
148,我看了好多次了，原来你是作者啊
149,牛逼
150,我还特意回来看了一下箭头是啥
151,水猴子！！！
152,海猴子
153,水猴子！
154,没想到
155,哈哈哈哈哈哈哈哈哈
156,出个海猴子笔记
