,弹幕
1,主持人叫啥
2,这波啊，这波是美人计
3,啊~ 这个蠢呆的表情  我暂停到了2333333孝鼠
4,美人计？我中招了
5,美人计
6,美人计！没错！就是美人计
7,他们好像发现了什么……
8,美人计？
9,好像陈璇卓啊
10,太懂了
11,美人计
12,美人计
13,真好看
14,不讲武德，居然用美人计！
15,秒 关 注
16,看来你们也掌握了收视密码。
17,区区美人计
18,美人计啊
19,这奇怪的播放量
20,美人计
21,关注了
22,美人计
23,美人计
24,区区美人计，我就吃这套
25,好家伙
26,卧槽，冰
27,舔
28,用不正经的BGM讲正经的事
29,美人计…
30,美人计
31,  美  人  计  
32,美人计！！！
33,美人计
34,出来吧，都别藏了，美人计！官方的
35,乾杯 []~（￣▽￣）~*
36,是你我就看
37,我不吃这套
38,美人计
39,官方美人计
40,我的心还是冰冰的哈哈
41,美人计
42,美人计！
43,我真的是喜欢科普
44,可恶！美人计！
45,美人计
46,冰冰失宠，打入冷宫
47,“这该死的美人计。呵！”
48,“这该死的美人计，呵，我怎么可能会中计。”林北冷笑道。
49,官方美人ji
50,冰冰你听我狡辩
51,冰冰你听我狡辩
52,美人计
53,美人计
54,sp集合地出现
55,求野生字幕菌
56,美女你谁
57,我就喜欢科普
58,美人计罢了，你以为我上不了这当？
59,喝的啥
60,明知是计，但我还是来了
61,美人计
62,美人计
63,可恶，美人计
64,解锁新美女
65,解锁新美女
66,暂停成功
67,切，就这
68,美人计可真有趣 
69,美人计 
70,官方老婆
71,嚯嚯嚯
72,这么厉害
73,美人计
74,区区美人计，关注也罢!
75,可恶。。。
76,啊这
77,啊这
78,官方老婆+1
79,老婆？
80,可恶，竟然是美人计
81,区区美人计
82,美人计？？
83,美人计
84,嗨！老婆我直接自信！
85,我可不会中记
86,这该死的美人计
87,可恶啊
88,直接关注
89,可恶，美人计
90,美人计？
91,简称民科(doge)
92,美人计！！！
93,新的一年，要多学习学习新的知识
94,透，是美人计
95,我不会中你的美人计的，老婆！dogs
96,狗网坚决抵制
97,竟然用美人计！人民网堕落了。
98,美人计
99,挤一挤还是有的（人才）
100,啧啧，快跑
