,弹幕
1,某幻量子力学大师发paper啦
2,毕  啸  哼
3,别      人
4,我币给冰了，有本事自己去要！
5,《一  头  好  人》
6,@老番茄 茄哥醒醒写paper了
7,从百草园杀到三味书屋
8,然而我只掌握了狼人杀“速死”的诀窍
9,就他们，有学历吗？文化是个大问题哦
10,？？
11,说赢了才开心本质还是把输赢放在第一位了
12,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
13,哈哈哈哈哈哈哈哈哈
14,太真实了！
15,吓得我马上投了个币
16,嗯，多人运动
17,我女巫第一晚也从不救人，筛狼回回准 狗头
18,2
19,jy囚徒
20,量词破碎
21,我玩过36人的，真的
22,等等，我截个屏
23,丁丫
24,炉石玩家禁止参赛
25,老番茄出来发paper
26,啊这段发言真的好差
27,我暂停记了三秒钟然后放弃了
28,不是九段吗！
29,一起在麻将桌上学打狼人杀123
30,出了我吧！
31,这算贴脸吗
32,想起火树
33,真实
34,恋爱了
35,我是哪个阵营的，哪个阵营就会赢
36,某人是不是毕业要发核心
37,已经看不懂了
38,哪里有1?
39,你再指？
40,没朋友系列
41,没看春晚
42,只是想凑人数而已（doge
43,2
44,像个啥？？？
45,我就常深水，顶着狼狂喊预言家出来，是神职两轮后直接跳
46,我在哪哪赢
47,44444
48,1
49,3
50,真的爱拖更
51,5
52,可是我要赢了才开心呢
53,3
54,哈哈哈哈哈
55,好家伙我直接好家伙
56,3
57,《简化》
58,第一晚不怕自刀狼吗？我都是第二晚救
59,@老番茄
60,我们班的划水就喊“我是美女~过~”
61,囚大！
62,真实
63,哈哈
64,4
65,用脚抠出了三室一厅
66,升华
67,没有喝酒的吗，酒那么好喝
68,有开黑选项吗
69,1
70,4
71,3
72,含泪打出CN DOTA BEST DOTA
73,哈哈哈哈哈
74,真实
75,疯狂水论文
76,哈哈哈哈哈
77,升华主题
78,这明明是PandaKill
79,是我了
80,哈哈哈哈哈
81,哈哈哈哈
82,1
83,发红包嘛
84,场外
85,一头好人
86,哈哈哈哈哈哈哈
87,刀了刀了
88,过分真实
89,真实
90,123
91,哈哈哈哈哈哈哈哈哈哈哈
92,等篇剧本杀，哈哈哈
93,焊跳狼
94,2021年3月8
95,44444
96,拜，拜拜，拜拜。
97,贱笑处刑曲
98,哈哈哈哈
99,表示自己是法官¿ ¿ ¿
100,sans
101,泪目
102,除了人数还得考虑时长等其他因素的
103,不屑还行。你不会玩就直说。。
104,我是一匹预言家，谁不信我就刀谁
105,然并卵 下次丕定
106,危
107,123
108,我狐美人叫嚣全场
109,杀人游戏更难好吧
110,囚徒
111,你活不过今晚
112,1
113,促进感情？
114,开局单走一张6
115,哈哈哈哈哈哈哈哈哈哈哈哈好
116,我以为自己是来b站充电的，没想到是来触电的
117,法官还需要表示吗
118,哈哈哈哈
119,刀郎表示：？？？
120,333333
121,傻币克高手
122,不可能随机的呀
123,好人狼人我都贴脸
124,2
125,1
126,歪哥说了算！
127,ResearchGate毁我青春
128,dota狂喜
129,靠，是申屠拍手局哈哈哈哈DNA动了
130,佛祖
131,1
132,新年快乐！
133,《一头》
134,哈哈哈哈哈哈哈
135,4
136,重庆人..
137,毕导真的带来了太多欢乐哈哈哈哈哈哈
138,我曾经女巫毒了猎人，猎人带走了女巫...GG
139,女巫装预言家保预言
140,异父异母的亲兄弟
141,恶灵骑士永远的神 反弹伤害
142,1111
143,@老番茄
144,？？？？
145,小横逼
146,3
147,脚
148,人性游戏
149,这不是要看板子
150,往后置位丢查杀
151,垂死挣扎真的会扰乱好人视野
152,0
153,低端局投话多的真实
154,1
155,@door川
156,4
157,第三方阵营容易赢啊（手动滑稽）
158,1
159,1
160,小姐姐好漂亮
161,就知道哥开根号除以二
162,哈哈哈哈哈哈哈哈哈哈哈哈笑yue了
163,刀郎哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
164,哈哈哈哈哈哈哈哈哈杀死法官哈哈哈哈哈哈哈
165,杀死法官哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
166,4
167,居然还有DOTA2
168,dota可还行
169,3333
170,一起玩手机
171,@老番茄 在？
172,脚
173,银水
174,pk排面
175,头发不错
176,弹幕呢
177,啊这
178,傻子克高手
179,刀郎
180,神tm刀郎哈哈哈哈哈
181,？
182,金            汁
183,同学间第一次玩的时候，都不懂规矩，第一夜狼人杀死了法官
184,哈哈哈哈哈哈哈
185,简单说：你们玩了个寂寞
186,是的
187,狼人杀感觉。。。就是一群人玩的时候觉得自己老聪明了
188,男歌手：？？
189,《有效》
190,3
191,神tm刀朗
192,3
193,下次一定
194,过于真实……
195,只要预言家不坑，好人容易赢
196,。
197,这在狼人杀官方的狼语词典里有啊……
198,抖 地 猪
199,3
200,1
201,丁丫排面
202,2
203,平民个：我跳预言家，查杀毕导
204,我是猎人，谢谢
205,12个人两个杀手？
206,狼人
207,太真实了
208,无限升华！！
209,我也想要上清华
210,我要超过那些人
211,一起学习
212,只要我不是狼，我每一把第一晚死的就是我
213,？？
214,哈哈哈哈哈
215,哈哈哈哈哈
216,真实
217,jy！！！！
218,AK老师抿全场！！！
219,桌面多人运动
220,勇敢者？我们新型潜水艇？
221,注意，这个是没有神牌的杀人游戏
222,我朋友有次发言在那自言自语要跳个什么结果全场都听见了
223,催更
224,44444444
225,你就是个孙子（）
226,33333
227,哈哈哈哈
228,潜水狼
229,333333
230,除了客户端……
231,能快速使朋友感情决裂
232,脚
233,JY!
234,剧本杀
235,当然是一遍都看不下去
236,16个人，两匹狼？
237,炭治郎
238,最后一期
239,不是应该去抠眼珠子吗？
240,脚
241,3
242,法官更容易赢
243,有效的促进感情
244,说了八分钟，对于狼人杀的技巧听了歌寂寞
245,我玩女巫第一晚从来不救人
246,4
247,刀郎。。
248,3
249,当场聊爆哈哈哈哈
250,原来在大气层
251,你在教我做事？
252,《   1   》
253,jy！
254,哈哈哈哈
255,好家伙，无限套娃，只要出游戏，我就有论文发（狗头）
256,脚
257,我是反过来的
258,新手多倒钩
259,wow
260,斗地主
261,益达
262,一起打牌
263,突然升华
264,刀郎可还行
265,但是我就想玩狼人，我是不是九年没学好
266,《易得》
267,一头预言家哈哈哈哈
268,举起你们的双手
269,天空是蔚蓝色，窗外有千纸鹤
270,话说毕导脖子上是啥
271,豹王冰冰
272,《我要是狼我吃耙耙三斤》
273,哈哈哈
274,够了
