,弹幕
1,黄金左手
2,棒高渊博看看
3,腰酸背痛身体还虚我才不啪！
4,手语大师
5,96式
6,越来越精神
7,啥都没有
8,都给我舔
9,浴血奋战
10,无中生友
11,好一个乐此不疲！
12,这就要调教了，随时能湿
13,一次就中的那些得去查查别吃了亏
14,2021年b就是通往心最近的道
15,机械？
16,卧槽？？太劲爆了
17,？？？
18,我替我朋友看看
19,弹幕中有人吃过？
20,？？？？
21,我很清楚，在座的各位都是单身（
22,帮朋友看
23,补点碳水也好
24,无中有友
25,指桑骂愧
26,《朋  友》
27,好尴尬的样子哈哈哈
28,？？
29,哈哈啊哈哈哈哈
30,三分钟十个动作
31,完了，看见牛奶豆浆喝不下去了
32,我帮阿淦看看
33,？
34,母胎单身看什么我
35,帮朋友看
36,哈哈
37,所以你也没否认，只是说不要过量
38,咯莫
39,罗翔老师同款手势！！！
40,你们踏玛的上课有过这么认真听讲吗
41,我帮我朋友看看
42,与男子？
43,帮朋友看看
44,我替我朋友业实看看
45,朋友：你来帮我康康
46,？？？？？
47,我帮我女朋友看看
48,片看多了，被洗脑了
49,注意力全在手上
50,金手指
51,手
52,66666
53,一次怀孕的兄弟。劝你做下亲子鉴定
54,以后女朋友半夜想吃甜的，我就有办法了
55,？？？？？？？？？？？
56,帮wjj看看
57,医生，您想多了，最限制怀孕的不是认知，是贫穷…
58,~>_<~
59,？？
60,帮朋友看看
61,？？？？？？？？？？？？
62,原来这叫吸血鬼。。。
63,我也是帮我朋友学习的。
64,帮朋友看看
65,好家伙
66,？
67,哈哈哈哈哈哈过
68,我用手就行了
69,虎虎酒请求出战
70,我特么直接好家伙！安全期两次没做安全防护！两次中标！
71,帮室友看看
72,总比燕窝有营养吧
73,帮朋友妈妈看
74,没有卵用
75,帮我朋友罗宇看的
76,兄弟们 我又来了
77,我帮朋友看的
78,老湿是一把好手
79,？？？？？
80,我又来了
81,我有个朋友
82,？？？？
83,只是一直一个姿势会酸而已
84,懂了，等下跟我朋友说下
85,我朋友好奇，他不敢看叫我来看
86,卧槽
87,？？？？？
88,？？？？？
89,？？？
90,自古弹幕出人才
91,恶心
92,替我朋友收藏一下
93,1234换个姿势再来一次
94,一年一次
95,苦
96,帮我朋友看看
97,还是过来人厉害
98,男人在外一定要保护自己
99,你是魔鬼吗
100,帮我朋友来学习一下
101,我替军哥出来看看
102,？？？？？
103,？？？？
104,害怕
105,我帮我朋友看一下
106,所以女孩子不要傻乎乎去捐卵子
107,奇怪，我在那里
108,？？？？？？？
109,？？
110,我吾了
111,hxnlf
112,？？？
113,？？
