,弹幕
1,25万收藏15万点赞⊙▽⊙
2,1
3,2222
4,班赛真的超好用！
5,2
6,2222
7,2
8,1
9,222222
10,3
11,2222222
12,用过脸好疼。。
13,2
14,3
15,是真的好用
16,2
17,3
18,龙珠软膏 鱼石脂 都可以催熟
19,1
20,全有.....
21,22222222
22,2
23,1
24,阿达帕林yyds
25,可是我擦了还没有效果 好多个月了呢
26,2
27,2222
28,3333
29,2
30,哈哈哈哈或
31,2
32,111
33,我用了没用，痘痘还是越长越大……
34,？
35,1
36,1
37,1
38,我用这个不知道点涂 结果忠诚猪头
39,3
40,喜欢雪碧
41,1
42,3
43,333
44,2
45,11111
46,2
47,2222223
48,1
49,总结，敏感肌活该
50,1
51,1
52,3
53,2
54,2333
55,班赛是强氧化性杀菌跟耐药菌扯不上半点关系
56,2
57,哈哈哈哈
58,11111
59,3
60,2
61,那我可以排除了，玫瑰痤疮
62,1
63,2222
64,2
65,33333
66,牛蛙牛蛙
67,1
68,永远的神
69,3
70,2
71,3333
72,3
73,1
74,不是不管用是需要复诊。在这里划重点。而且要坚持使用。病为什么那么久不能自己愈合。所以治疗也是需要时间的
75,美滋滋
76,我用完脸白
77,3
78,码住
79,11111
80,1111
81,12
82,3
83,1
84,对 医生们都说过几年就好了 
85,1
86,雪碧的敲啥
87,我用理肤泉b5没有效果
88,1
89,22
90,可口yyds？
91,22222222
92,1111111
93,111111
94,去了医院不仅没治好，还花了一堆钱
95,3
96,1
97,夫西地酸是处方药！要去医院开处方才能去药房买！
98,2
99,1
100,3
101,我愿称你为最强说明书！
102,1111111
103,看了一眼，根本不用跳转
104,看了一眼，也不用跳转了
105,2
106,星期八？？
107,3
108,3
109,2
110,1
111,1
112,11111111
113,2222222可口可乐天下第一！
114,22222
115,3333
116,1
117,3
118,3
119,22222222
120,11
121,3
122,3
123,1
124,1
125,3
126,痘坑不能用药膏解决吧只能靠医美
127,22222
128,1111
129,2
130,2
131,1
132,2222
133,1
134,理肤泉b5也挺不错
135,这个消红还不错
136,你这个坏人竟然敢引战
137,好家伙，你让我记笔记呢
138,333333
139,2
140,11111
141,1111
142,我怀疑我在看单口相声
143,2
144,2
145,1111
146,3
147,3
148,3333333
149,我用这个过敏
150,2
151,3
152,1
153,绝代双胶哈哈哈哈哈哈哈好可爱
154,3
155,谢谢谢谢谢谢你
156,1
157,1
158,6666
159,33333
160,1
161,3
162,3
163,3
164,3
165,3
166,2
167,111
168,哈哈哈哈哈哈哈
169,3
170,牛
171,1
172,2
173,1
174,阿达帕林不是敏感肌不能用么
175,3
176,淦啊
177,班赛都卖完了
178,333333
179,这个闷痘
180,2
181,111
182,我已经懵了
183,1
184,2
185,2
186,2
187,1111111
188,3
189,1111
190,老师你好可爱555
191,我要笑死了
192,你讲慢一点了啦！
193,1
194,1
195,22
196,222222
197,3
198,就是激光
199,？？？？有道理
200,2
201,111
202,2
203,3
204,111111
205,用这个，疼
206,给夫西地酸打call
207,哈哈哈哈哈
208,百事比较甜
209,用过，刺激，用得脸疼
210,1
211,121212
212,1
213,我用了以后 嘴巴边上红红的一圈
214,3
215,22222
216,1
217,壬二酸效果怎么样？
218,11111
219,3
220,一定要避光！
221,2
222,1
223,1
224,3
225,这个涂了脸会红肿痒呀
226,2333
227,哈哈哈哈哈哈哈哈
228,哈哈哈哈哈哈哈
229,3
230,2
231,1
232,2
233,2
234,11111
235,2
236,2
237,阿达帕林不错
238,1
239,333
240,11111111
241,1
242,1
243,3
244,我胃不好用了会 胃痛
245,33333
246,1
247,收藏大于点赞！宝藏
248,2
249,阿达帕林真的好用
250,2
251,33333
252,333333
253,3
254,2
255,1
256,1
257,不好用
258,33333333
259,1
260,3
261,克林霉素过敏可咋整
262,哈哈哈哈
263,333
264,22222
265,2
266,22222222
267,1
268,3
269,1
270,3
271,好用！！我的闭口一管就治好了
272,1
273,1
274,3
275,2
276,不押韵
277,真没用
278,3333
279,1
280,3
281,谢谢谢谢你！
282,3
283,阿达帕林效果立竿见影，但是我不良反应特别严重，过敏到吃药
284,2
285,22222
286,用过这个，变成猪头
287,1
288,1
289,我来打破2222评论
290,3
291,1
292,3
293,2
294,3           3                     3            3
295,2
296,3
297,111
298,111111
299,111
300,3333
301,估计是我脸皮够厚涂上去什么感觉都没有
302,1
303,1111
304,1
305,难怪我涂阿达帕林一周卵用没有还爆了一下巴生理痘
306,222可口可乐永远滴神
307,2
308,2
309,111
310,1
311,三连➕关注啦
312,手的温度会融化阿达帕林
313,一直在用  而且效果很好
314,阿达帕林可以
315,1
316,1111111百事偏甜口
317,？我敏感皮但是医生开了
318,1111
319,1
320,哈哈哈哈
321,3
322,33333333
323,3
324,3
325,1
326,3
327,333
328,3
329,1
330,太干了，这个刺激挺大的，我看医生都不让我用，开的口服液
331,不喝哈哈
332,11111
333,111111
334,1
335,111
336,2
337,666
338,2
339,2
340,1
341,1
342,收藏比赞多一半，白嫖的还是多。。。
343,2
344,3
345,1
346,括约肌？？？？
347,2
348,1
349,日最野的狗
350,2222222
351,11111
352,甲硝唑呢
353,33333333
354,1
355,3
356,1
357,3
358,2
359,2
360,1
361,1
362,3
363,222
364,22222
365,1111
366,我用了好几个月才有效
367,2
368,1
369,必须得是2啊
370,3
371,3
372,222
373,学废了这就去和痘痘对线
374,11111
375,我都有
376,111111
377,皮肤很敏感的这些都用不了………
378,我觉得阿达帕林太猛了，才涂了一点点脸上就爆皮了！
379,22222
380,1
381,百事可乐yyds
382,.+*
383,2
384,3
385,1111（因为百事可乐更多气
386,1
387,医生给我开的就是克林霉素
388,1
389,2222222
390,2
391,1
392,222222
393,1
394,1
395,1
396,2
397,我第一次用发红干燥脱皮
398,2222222
399,2
400,2
401,2222
402,1111
