,弹幕
1,帮李雲鹏看看
2,一天4次。。
3,我帮朋友看一看
4,我替王泽宇看的
5,为什么是中医
6,唉，基本都是靠手解决
7,一天三次
8,？？？？？？？？？？？？
9,建议每天一次
10,搁着养生？
11,色即是空没啥意思差不多就行了
12,？？？
13,过短怎么办？我帮我室友问的
14,夫夫生活呢
15,1
16,这个绝对正确，比那些科普一天7次的靠谱
17,建议20岁一个月一次
18,那个说3分钟的笑死
19,怎么也要一周三四次吧
20,30岁半个月？别闹了
21,我九岁几天一次比较好
22,吓得我马上去厕所排了三次
23,你这不行啊
24,我四十多每天一次
25,我帮我舍友看看
26,半天一次
27,没有女朋友呢
28,一天几次，连续几周了
29,一天四次
30,你搁着养生呢
31,19岁一天一次
32,y我有一个朋友
33,？？？？？30岁半个月一次？那怎么生宝宝？
34,我给朋友看的
35,我替污水蓝看看
36,吶吶，按这频率，女朋友说不行，是我的错吗doge
37,9
38,一天三组  一组十次
39,真扯淡
40,卧槽
41,我女朋友用这个视频催我交公粮
42,你做吗，咱俩可以
43,我替我哥腾飞看看
44,40就来月精了
45,我帮何爽来看看
46,30岁一天一次
47,30岁了，半个月一次
48,三十岁半月一次？
49,帮朋友看看
50,替我兄弟看看
51,一天三次
52,帮朋友看的！
53,帮我弟弟看看
54,劳资每天一次
55,26一天一次
56,文明用语
57,排精是那种方式？
58,幫朋友看
59,放屁
60,哎，50岁一天10次
61,？
62,《朋友》
63,刚冲完，大数据给我推荐这个视频?！
64,8岁多少次？
65,半个月？？？？？？ 那还怎么活
66,两天一回
67,养生？
68,憋不住
69,一天一次
70,25岁呢
71,半个月一次……
72,二十岁一天四次还有救吗
73,十八岁一天一次还有救吗
74,强而为之
75,《醉饱过度》
76,半个月一次？你想憋死我啊
77,一天八次我没救了
78,我朋友替我看的
79,还好还好我每次3分钟
80,一天四次
81,滚
82,？
83,次数离谱。。
84,20岁4天一次。。。。。
85,大夫，你男人不行，不要以他的标准来要求我吧？
86,哈哈哈哈
87,半个月一次有点过分
88,搁着养生呢
89,完了，一天一次，30岁，我要死了
90,一天四次怎么办
91,？？？？？？？？
92,罗志祥你怎么说
93,一天四次呢
94,滚
95,？？？？？？？
96,17岁呢？
97,你养生呢
98,我帮丁晶看看
99,我替丁晶看看
100,替朋友看的
101,每天一次！
102,好家伙，我一天四次
103,你憋得住那么长让你丈夫坚持？？？
104,?
105,一天三次
106,半个月一次，好难熬啊
107,帮朋友看看
108,21
109,帮我朋友看看
110,这不憋死了
111,?
112,这视频是鼓励性质的吧
113,帮我弟弟看
114,三十岁就半个月一次了吗，你可别害人呐
115,帮朋友看看
116,一天两次
117,怪不得那小孩说：“我乐意”
118,帮谢鹅鹅看看
119,希望你老公跟你一个月能来一次。按你说的来
120,要你管
121,一天一次8年
122,我已经快1年了……
123,10岁一天一次
124,我想天天都干
125,一日三餐啊
126,一天五次
127,我决定自宫
128,医生，地不耕有人偷着帮忙啊
129,所以说我十八岁一天可以九次
130,四天一次?生产队的驴都不敢这么休息
131,那12岁呢[doge]
132,15岁几次
133,我要发给我兄弟
134,帮我女朋友看
135,？？？？
136,中医果然离谱
137,帮朋友看看
138,憋死我了
139,一天一次
140,一个月不能接受
141,一天8次
142,我也想阴阳和合
143,我也想阴阳和合
144,我一天6次还想排，是病了吗？
145,我一天6次，算多了吧
146,胡扯八道。。。
147,我八岁
148,我管不了这只手啊！
149,？
150,十五岁，一天三次
151,15岁呢
152,十几岁的我
153,8岁呢
154,时间长容易前列腺炎，兄弟们
155,一天八次，是不是废了
156,我指腚是不行了
157,草，我朋友一天12次
158,帮我同桌看看
159,一晚上好几次，怎么办
160,一天四次
161,替朋看
162,一天三次
163,7年了，一周4次，没有什么不适
164,我一天三次
165,？
166,？
167,帮朋友看看
168,我tm每天一次怎么办
169,帮朋友看看
170,帮我朋友看看
171,拉倒吧
172,搁那念稿子呢
173,？？？
174,我有个朋友想知道
175,有个朋友看一下
176,半个月？
177,时间过长成为一种病，还好我没这种病
178,每天一次
179,各位朋友好
180,凉了，过度消费了
181,帮朋友看看
182,我一天两次是不是晚期了？
183,12呢
184,我月精来了
185,想想你为什么会点进来
186,一年两次 一次半年
187,和女朋友1天7
188,你是不是觉的男人应该像种猪一样
189,？？？？
190,男孩呢
191,又在劝我养生
192,这nm隔着养生呢
193,20岁一周两三次
194,3次吧
195,？
196,一周能冲多少次
197,放屁
198,放屁
199,我一天一次.
200,我特么一天4次咋整
201,一天两次
202,哦豁
203,16呢
204,帮朋友来看
205,我有一个朋友
206,一天一次的来报到 15岁
207,我一个礼拜7次
208,按你老公标准来的？
209,出售阴阳合合散
210,我今年40了，每天一次正常吗？​
211,一个星期没有3次正常吗
212,？？？？？
213,一千次
214,有没有男孩
215,一月一次，我记住了
216,一天10次怎么办
217,13一天一次
218,胡说八道
219,我一天三次咋办
220,一看你就缺少
221,我替我一个朋友问问
222,我帮我朋友看看
223,论自律的人有多可怕
224,？
225,我自己来看！
226,每个视频说的都不一样啊
227,30岁3天一次
228,养生呢
229,需要用卫生巾么？
230,为什么要一个女人来告诉我们？
231,一天一次
232,我帮我朋友看看
233,我四十岁，一天一次，坚持了二十几年
234,一天五次
235,一天6次，我完了吗
236,有一说一，实属fp
237,我替未来的老公看看
238,30岁，一个星期5次
239,我帮我朋友看
240,我朋友喊我看得
241,每天10次
242,一百岁的你还没说呢！
243,14次
244,帮友老
245,一天五十次
246,你是瞧不起我吗？
247,别排最好
248,滚！！
249,我替朋友看一看
250,我一天一次持续好几年了
251,这是要憋死我吗
252,30半个月？
253,我帮朋友看的
254,我朋友身体不好
255,我三十岁，严重超标了
256,卧槽 同岁数的女人 房事次数可不是这么说的  这是每个爷们都绿帽的节奏啊
257,一天两次，已经持续2年了
258,每天两次
259,还好，我就几秒钟。吓死我了
260,我不接受你的建议
261,我看成一天几次好了
262,我55每周三四次
263,14一天4次
264,我一般一天一次
265,一周一次，一次一周
266,我不管 超过3秒的就是吃药了
267,胡说八道
268,零次
269,一次也不排，让我的精精爆炸
270,。。四天一次不得废了
271,草
272,一天一次
273,10岁呢
274,半个月！
275,放屁
276,我有个朋友
277,我朋友想知道
278,？？？？
279,死中医
280,那我属于强行拍精
281,帮朋友一看
282,完了我一天5次
283,好家伙
284,时间短会被嫌弃。。。。。
285,up是主说得很好很中肯，我30岁男的，深有体会！
286,40岁每天都想怎么办
287,我一天两次还有救吗
288,操
289,这不是废了吗
290,哈哈哈
291,所以10岁2天一次（确信）
292,20岁的我已经过上50岁的生活了（哎）
293,隔着儿养生呢
294,替朋友看看
295,tmd一个月一次说的是五十岁的
296,一天两次
297,50岁？？？
298,帮朋友看看
299,超额完成
300,一天一次
