,弹幕
1,我为什么要去雨林？？
2,心  肺  骤  停 
3,蜘蛛：嘿嘿～（憨厚
4,蜘蛛：腿没了还怎么跑？？？？
5,还是挺吓人的
6,凯瑟琳
7,脱粉了
8,WC动了
9,你不要靠近我啊！！！！！
10,就更害怕了
11,蛮可爱的
12,是活着的...我以为晒干的蜘蛛...
13,夺笋呐
14,蜘蛛控狂喜
15,好可爱啊
16,我直接去世
17,草啊！（快速远离屏幕
18,苔xuan吧?
19,好可怕
20,啊啊啊啊啊啊啊啊
21,我不敢看见
22,谢谢，不买了
23,它能蹦哒到你脸上
24,我他娘的人没了
25,卧槽
26,卧槽
27,吓人
28,啊啊啊啊啊啊啊啊啊
29,所以可以学8种瞳术是吗？
30,你告诉我这玩意是随便能发现的？？（doge）
31,什么型号相机，什么镜头呢
32,腿毛
33,？！！！！！
34,相机真好
35,还是吓人
36,瞬间消失
37,可怕！
38,突然害怕
39,大猪猪
40,还有刺！
41,你干嘛！！
42,买了
43,听话的毛
44,手抖了我
45,卧槽
46,会贴身上吗
47,啊啊啊啊
48,啧啧啧啧
49,你会发现其实他们更吓人
50,心肺骤停
51,鸡皮疙瘩起来了
52,选择性失明
53,选择性失明
54,胖盘蛛?
55,又长又黑又直，我还很粗呢
56,快拿走！！！！
57,蜘蛛不属于虫类的
58,你给人家腿上弄刺青干嘛
59,你不要过来啊！
60,心 肺 停 止
61,心脏骤停
62,大？蜘蛛？
63,别跑
64,越南蜘蛛
65,一碰就瞬间消失
66,像螃蟹
67,心脏骤停
68,这手不能要了
69,长得像个狒狒
70,合着好吃不好吃，得靠摸
71,脸旁边的两个东西像小鸽子
72,每一个蜘蛛身上都有毛毛
73,原地去世
74,啊啊啊啊啊
75,这清晰度！！
76,好看欸
77,8个眼珠子，可以军用
78,卧槽卧槽卧槽卧槽卧槽卧槽卧槽卧槽敢用手
79,我擦心梗了
80,腿毛
81,就更吓人了
82,请找出图中的越共
83,好看
84,好吓人
85,螃蟹——
86,近看挺好看
87,进
88,噫，我看到了！
89,手砍了吧
90,我靠 吓死我了
91,心脏骤停
92,好恐怖啊啊啊
93,八只眼睛几乎都是近瞎的
94,人面魔蛛。
95,可爱
96,长得好憨
97,拿走啊啊啊啊啊！！！！！
98,蜘蛛:我听个毛呀
99,这个我看了！
100,蜘蛛就会跳到你的脸上
101,蜘蛛就会跳到你的脸上
102,蜘蛛就会跳到你的脸上
103,我还没跑呢你跑什么
104,就会吓死
105,可别凑近了！
106,我就会发现我心脏都不跳了
107,更吓人
108,《精致》
109,《好看》
110,tmd 挺懵的
111,蜘蛛不是虫子
112,?=?
113,心脏骤停
114,不看不看
115,啊！！！！！！！！！！！！
116,大猪猪
117,高额白脚蛛
118,我死了
119,精致
120,真的像花纹一样
121,手不能要了
122,你要是爱吃虫...
123,心肌梗塞。
124,啊啊啊啊啊！！！！！！！！！！！？你摸干嘛啊
125,你不要摸啊
126,？？？
127,你就发现它更吓人了
128,你不要过来啊
129,惊现2D生物
130,弹屏保护 
131,更吓人了
132,心脏骤停
133,好想给他脱毛
134,我说咋辣么刺挠
135,好渗人
136,有毛病？
137,《好看》
138,如果你乖给你买条该（不是）
139,？这是跑还是飞啊
140,一会抱你脸上
141,太吓人了
142,卧槽
143,罗恩骂骂咧咧地推出直播间
144,啊啊啊啊啊啊看着蜘蛛好难受
145,卧槽
146,看这小眼睛多可爱〔doge〕
147,没机会没机会。
148,卧槽
149,好可爱
150,卧槽
151,放大跟个螃蟹是的
152,精致
153,毛毛
154,一动不动才好看
155,精致有啥误解
156,笑死老子了
157,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
158,你不要过来啊啊啊！！
159,你再骂
160,舅舅的文章
161,还得跑图呢
162,不不不不不！
163,好可爱
164,卧槽
165,我想拉黑。。。
166,我谢谢你
167,哈哈哈
168,原地去世
169,啊啊啊啊啊啊啊啊啊啊啊啊啊啊
170,手剁了吧， 不干净了
171,一个新的博物声音
172,转生成蜘蛛又怎样
173,怕虫子就不该去丛林走（狗头）
174,啊啊啊啊啊啊啊你别过来啊
175,你就会发现他更吓人了！
176,精致
177,我去这个密集恐惧当场去世
178,每个人的身上都有毛毛～
179,比如说某个蜘蛛子
180,蜘蛛子
181,我人没了
182,好看
183,眼睛挺可爱的呢
184,头皮发麻
185,登 登 登
186,每个人的身上都有毛毛
187,操
188,别
189,心肺骤停
190,救命
191,啊啊啊啊啊啊啊啊啊啊
192,精致的吓人
193,救命啊我好害怕
194,呃啊我吓死了
195,我觉得挺可爱的
196,见过
197,你别过来啊！
198,好萌啊
199,好家伙，更吓人了
200,可爱嘻嘻(♡˙︶˙♡)
201,草史莱姆
202,哈哈哈哈哈
203,凑近更吓人
204,每个人的身上都有毛毛
205,雨林没有虫子只有荧光菇（Dog ）
206,去雨林跑图奥
207,小精致真东西
208,小别致长的真东西
209,好可爱的眼睛
210,救命
211,更吓人了
212,大鸡居
213,博物君啊啊啊（*/∇＼*）
214,我第一眼没认出来
215,当场去世
216,你瞅啥
217,那得更吓人了
218,我不去雨林不就行了吗
219,好可爱，想一口气吹飞
220,咬你一口更可爱
221,手机已经扔了，谢谢
222,可爱
223,可爱
224,可爱
225,小别致，长得真东西。
226,谢谢你
227,卧槽
228,卧槽
229,每个人的身上都有毛毛
230,我都不敢直视 
231,垮起个蜘蛛皮脸
232,你把这两个小黑点看着眼睛，把底下的看成嘴巴。蛮可爱的
233,好吓人
234,光遇党害怕
235,人言否？
236,妈耶
237,薅你毛
238,你不要过来啊
239,哦吼，我发现了宝藏。
240,瞬间把平板拿远
241,每个人的是你身上都有毛毛
242,小精致长的真东西
243,每个蜘蛛身上都有毛毛~
244,凑进看好可爱
245,卧槽
246,每个人的森上都有毛毛
247,更吓人了
248,其实挺可爱的
249,转生成蜘蛛又怎样！
250,《好看》
251,我毛立起来了
252,更吓人了
253,耳朵和舌头还有鼻子长腿上
254,诶，我有
255,邮政买都不送……
256,自从看了转生成蜘蛛，我觉的蜘蛛越来越可爱了
257,好家伙，随身携带狼牙棒
258,我能感受到我的头发炸起来了
259,腿毛
260,我死了
261,卧槽卧槽卧槽
262,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊wocccccc
263,@无穷小亮的科普日常
264,啊啊啊啊啊啊啊啊走开
265,我没了
266,每个人的腿上都有毛毛
267,我就是凑近了观察之后才害怕蜘蛛的
268,我害怕了
269,对不起，但是好恶心啊，我为什么坚持到现在（哭）
270,大鸡局
271,瞎搞！
272,好像很好吃的亚子
273,小眼睛瞪着好可爱
274,蜘蛛子
275,再见
276,水猴子
277,不好看
278,在近点，看看是单眼皮还是双眼皮
279,瘦盘蛛
280,我去暮土
281,更吓人了！
282,我k。。。。
283,为什么要去雨林？
284,我不怕蜘蛛这种，我害怕细长会蠕动的
285,薅♂你毛~
286,吓人
287,精致？
288,物博杂志
289,我吐了
290,越看越恐怖
291,我怕蜘蛛
292,农村人觉得这蜘蛛很常见
293,心 脏 骤 停
294,越共蛛
295,这时候跳脸上 我简直升天
296,真的看不见伪装太好了
297,你不要过了啊啊啊啊（喊破嗓子）
298,你不要过来啊啊啊啊啊啊啊啊
299,卧槽你不要过来啊
300,？
301,？
302,每个人的身上都有毛毛
303,笑死我了这长得像个狒狒
304,这眼神
305,精致的吓人
306,哈哈哈哈哈哈哈
307,扑你脸上
308,（（ 精   致））
309,这手不能要了
310,每只蜘蛛都有毛毛~
311,蜥——蜴——
312,就会发现更吓人了
313,精致的吓人
314,卧槽
315,还能接受吧
316,好薄
317,这手不能要了
318,更吓人了
319,好可爱！！！！！
320,你没腿，你也不跑
321,跳你身上（狗头）
322,蜘蛛侠直呼内行
323,妈耶
324,我人没了
325,？？？？？？？？？？
326,我死了
327,愤怒
328,哥！
329,哥！
330,就吓死了！！
331,不用了
332,他还靠近去摸它！！！
333,你别过来！！！！！！
334,它是活的啊啊啊啊啊啊！！！
335,？！！！！
336,二维蛛
337,眼睛好可爱！
338,眼睛好可爱！
339,秃然
340,？？？？？。？
341,就会发现我吓死了
342,一看他这猫还挺万能
343,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
344,啊啊啊啊啊啊啊啊啊啊啊啊啊啊
345,又长又黑又直
346,蜘蛛和虫子贴贴
347,每个人的身上都有毛毛
348,长在腿毛上？！！！
349,真八只眼睛？好酷啊
350,woc，你不要过啦啊
351,咦………
352,O.O
353,我敲拿远！
354,飞了
355,《精致》
356,嗯
357,卧槽
358,越共↓
359,更吓人了
360,哦，大只猪啊
361,腿毛
362,san值狂降
363,草
364,我们来找茬
365,腿毛
366,每个人的身上都有毛。
367,心肺骤停
368,腿           毛
369,这么多毛，可怎么吃
370,胖头陀瘦头陀
371,每个人的身上都有毛毛 让我来为你唱毛毛
372,手机都不想拿了
373,嗯...符合我的XP……
374,？？？
375,还真挺吓人的
376,大几居
377,好家伙这几页我都没敢看
378,这只蜘蛛好生气的鸭子
379,离远点
380,你用的啥相机
381,八个眼镜好家伙 我还以为内个可爱的小表情是他的眼睛鼻子233
382,这小精致真东西
383,卧槽是真的
384,厉害死了它
385,卧槽？
386,最上面那两个小眼睛好萌
387,我好看你毛线
388,能吃不
389,手截了吧
390,大寄居
391,卧槽害怕
392,你不要过来啊啊啊啊啊
393,喜欢蜘蛛（ 因为不会飞也不是肉乎乎的很容易爆浆的那种
394,啧啧，走开走开！
395,挺对称的多好看啊
396,唐老师好勇
397,对不起，不看不看，怕了怕了
398,哈哈哈哈哈哈哈哈哈
399,啊啊啊啊啊啊
400,听个毛啊
401,为什么第一反应是好吃的样子
402,卧槽卧槽
403,这是小亮吗
404,更吓人了
405,？？？哈哈哈哈
406,哎呀
407,更害怕了
408,啊啊啊啊啊
409,啊啊啊啊啊
410,卧槽
411,你不要过来啊
412,啊啊啊啊啊啊
