,弹幕
1,我就站在你面前，你看我有几分像从前
2,世  界  5  0  0  强
3,哇！金色传说！
4,是什么让我们在此相遇
5,我们不对劲 我们有问题
6,呜呜呜
7,是输暖管
8,双胞胎是有两个鸡蛋的
9,机翻实锤
10,冲丫！
11,好家伙！！！入侵
12,如果全进去了，那就生1亿个
13,震撼
14,集中一点，登峰造极~！
15,梦开始的地方
16,死在纸上
17,爷在以前就是个战神
18,小蝌蚪找妈妈
19,你如果觉得自己很没用那就看看这个视频你可是跑赢了3亿个人的天选之子啊
20,外射
21,这个时侯你的父亲就很爽
22,诸位，我有点兴奋
23,......
24,同喜
25,不愧是我
26,我好牛逼
27,鸡蛋
28,我的三亿个兄弟无了
29,感谢白哥不杀之恩
30,冲冲冲
31,这是主角吗
32,开幕雷击 你不要过来啊
33,鸡蛋。。。草。。。
34,怎么感觉跟机翻似的。。。
35,这种视频果然不能开弹幕
36,乌龟拳
37,横扫千军
38,红细胞正在拼命努力
39,生物老师又多了一个视频
40,防止多精入卵
41,透明带反应
42,黑客帝国既视感
43,我每次顶到这里  老婆都很舒服
44,我们都是第一名
45,梦开始的地方
46,博人传:什么都比我燃
47,刚过扁桃体
48,在现场，好多兄弟帮我打掩护，谢谢你们
49,大爷，来玩嘛～
50,mvp
51,所以说啊 先入关中者为王
52,异形的抱脸虫设计灵感就来源于这无疑了
53,卧槽
54,在那里我就是主角。
55,几十亿的小弟都被我打败
56,我感觉那时的我太强了。
57,细胞分裂中期
58,这是多短啊，游了这么半天
59,比博燃
60,世界真奇妙
61,是在下输了
62,我来自偶然 像一颗尘土
63,选生物的来了
64,兄弟们，我赢了
65,好奇妙啊
66,配音很帅
67,看了半天原来你们都会说话！我以为我射出来的都不说话呢！
68,BGM：Summersong2018
69,哇，金色传说
70,兄弟们好，哥哥来看你们了
71,生命，太神奇了
72,开幕雷击 
73,在座的各位谁当年不是个游泳第一？
74,比 博 燃
75,吃着雪糕，看的津津有味。
76,伟大的开始
77,开始基因排列
78,金丹
79,人类在出生之前就开始相互厮杀了
80,我真幸运
81,这么热血的吗
82,加油啊
83,天选之子
84,在 现 场
85,ohhhhhhhhhhhhhhhhhhhhhhhhhhhh
86,原来我们都打过仗
87,原来大家都是天选之子
88,这个我在现场
89,？？？？？
90,幸好我游得快
91,这是你们嘛
92,我得杀多少条生命
93,这是什么
94,这不比博人转热血？
95,老实看科普
96,这不是选修三嘛
97,亿 人 之 上
98,我们中的每一位在这场战斗中都赢了
99,中心体！
100,怪不得一次那么多
101,草
102,走位走位
103,想看进来之前的戏份
104,这不比博人传燃？
105,我以为有啥好东西
106,一个有味道的视频
107,曹文轩这就是你最初的模样
108,23对xx染色体
109,啪的一下，很快啊
110,星射线
111,泪目
112,哈？
113,梦开始的地方
114,顶体
115,大家都是那场游泳比赛的冠军
116,我反对这门亲事
117,比博人传燃啊！
118,在座的各位都是第一名吧
119,这不光遇吗
120,我竟然能从几亿人中脱颖而出
121,哇，金色传说
122,泪目泪目
123,《你》
124,当然是
125,太热血了
126,生物学来了
127,我们都是第一名
128,又回到最初的起点
129,呃呃呃呃
130,你人有了
131,真·大吃一精
132,金色传说
133,幸好当年跑得快，才能与在座的各位相遇
134,鸡蛋和卵的翻译一样
135,撞墙上了
136,？
137,一个个都是愣头青
138,算命的说我是一见终成万骨枯
139,不愧是我
140,科幻大片呀
141,好伟大
142,这不比博人传热血？
143,欢迎收看《使命召唤》
144,让我们恭喜这个b
145,泪目
146,老子好牛批
147,卧槽
148,生物选修？？
149,体力真好
150,金蛋
151,不靠运气，只博实力！
152,都是天选之子
153,对生命致以敬畏
154,女孩，是个女孩！！！
155,在座的都是我射出来的小蝌蚪
156,比博燃
157,有点熟悉
158,现在是外星入侵
159,爷青回
160,莫名的开心
161,男左女右的你想笑死我嘛
162,谁还不是个天才
163,在现场
164,天动万象
165,？？？？
166,干得好！装甲被击穿！我们重创目标（bushi）
167,现在感觉自己是无比的幸运诞生在这个世界上
168,透明带反应
169,苏教版生物书七年级下册
170,比博燃
171,这个我熟！
172,多胎入卵是怎么想的…多精啊
173,说直肠的就遇不到卵子了难道你从直肠里出生吗
174,奇怪的知识又增加了
175,梦开始的地方
176,↓人体已知最大细胞，有生物书上句号那么大【注:肉眼可见】
177,卧槽
178,我上生物课老师放过这个视频……【小声哔哔】
179,害怕害怕
180,我上生物课老师放过……(小声哔哔)
181,？
182,new life
183,妙啊！
184,在座的各位都是最优秀的
185,呜呜呜呜
186,www
187,在现场
