,弹幕
1,《美琪和她骂骂》
2,晃色的小椰猫
3,你说这是水箭龟我都信
4,《放 生 吧 吧 友》
5,大家直接迷惑就行了
6,情  比  金  坚  七  天  锁
7,学到了，这就去和我爸对线
8,《见缝插针式解说》
9,含猴量100%
10,含猴率100%
11,后天我还真是水猴子
12,就是天王老子来了，它也是水猴子
13,真水猴子
14,这个是真的
15,这是水猴子，我证明
16,这个确实是水猴子
17,真水猴子
18,这真是水猴子
19,嘎嘎嘎嘎哈哈
20,这还不是水猴子？？
21,这还不也
22,真水猴子
23,真.水猴子
24,好大
25,笑死了，真水猴子
26,真正的水猴子
27,会游的猴子我笑了
28,谁把猴扔水里了
29,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
30,真 .猴子
31,真水猴子，你游泳就是人鱼了
32,好大
33,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
34,哈哈哈啊哈哈哈哈哈，真水猴子
35,这是水猴子没毛病
36,啊
37,h
38,哈哈哈哈哈哈哈哈哈哈
39,含猴量极高
40,真水猴子
41,真的
42,这不是水猴子，是什么？
43,真.水猴子
44,水                猴子
45,哈哈哈哈哈哈哈哈
46,真水猴子！！！
47,水+猴子
48,真水猴子
49,真.水猴子
50,真水猴子
51,《真·水猴子》
52,？？？？？？
53,哈哈哈哈哈哈哈哈哈哈乐死我了
54,哈哈哈哈哈哈哈哈哈，学到了
55,学到了
56,狸克
57,真•水猴子
58,水猴子
59,梅开二度
60,守鹤
61,放生入刑法了，当心哦~
62,乔巴哈哈哈
63,吃过
64,前方高能  真水猴子
65,好像我吃过
66,核辐射污染了貉
67,你咋那么像捧哏呢哈哈哈哈哈哈
68,烟烟罗（
69,懂了这就去跟我爸对线
70,哈哈哈哈
71,这不是喵帕斯的具吗
72,人家叶子是圆的………………
73,晃色
74,？
75,什么憨憨会信？
76,装着马达的猴子
77,老北京没有路，只有地道
78,这样说话的一定扯淡
79,幸亏我关注了无穷小亮
80,哈哈哈吃瓜吃到自己家
81,生物鉴定
82,日落果原型
83,抠眼珠子
84,你俩不会合作了吧
85,好家伙
86,哈哈哈哈哈好家伙
87,刚刚看完亮哥的鬼畜哈哈哈哈哈哈
88,哈哈哈
89,狸克
90,哈哈哈哈
91,烟烟罗
92,霍！这水猴子！地道！
93,哈哈哈哈哈哈
94,一丘之貉
95,笑死，问就是水猴子
96,帽子不错
97,笑死
98,绝了doge
99,这种速度就离谱
100,确实
101,是狸克
102,哈哈哈哈
103,锦鲤：你撒开我
104,原来如此
105,徳鳓併吊叻茅地涸
106,hhhhhhhhhhhh
107,？？？
108,？？
109,好耶 这个我家有养（
110,哈哈哈哈哈哈哈哈
111,哈哈
112,水猴子
113,水猴子
114,水猴子
115,哈哈哈哈确实都差不多这样啊
116,《邻座的怪同学》
117,小
118,《生物鉴定》
119,好像莲雾啊
120,爹
121,哈哈哈
122,全对
123,獴
124,海王：感觉又被冒犯到。
125,蛋蛋还大
126,返祖现象
127,营销号专属声音
128,哈哈球球你别配音
129,蛇纹熊
130,长春人竟不记得有过这种云
131,狸猫
132,水猴子
133,中间那个看起来很生气
134,不知道设计师看到刚才那个小视频，会作何感想2333333
135,祖  安  带  师
136,拆  台  带  师
137,你见识短，就加上全球不知道，啥屁都能放 
138,？？？？？
139,哈哈哈哈哈哈哈
140,抱对
141,大叔
142,这不就是遥控玩具
143,迫真水猴子
144,这个《我们爱科学》里面曾经讲过，所以当时就知道哈哈哈哈
145,不好意思，鼻涕笑出来了
146,哈哈哈哈哈哈哈哈哈哈
147,哈哈哈哈哈哈哈哈哈哈
148,好家伙
149,腰果鸡丁 过完油嘎吱吱嘎吱吱倍儿香
150,哈哈哈哈哈哈哈哈
151,真-水猴子
152,印度杏菜
153,一生之敌
154,海王懵了
155,真·水猴子
156,酒吞，不亏
157,up主的视频好像被碧天蓝钻盗了
158,蛇纹熊
159,c 笑死我了
160,傻子尼玛多嘞
161,暴力
162,哈哈哈哈哈哈哈哈
163,哈哈哈哈哈哈哈哈
164,你真像丁真
165,缺德
166,哆啦a梦
167,对水猴子有什么情节？
168,为什么每期都有水猴子
169,上个不是？？？
170,不是口音！！！这是唱出来了的歌词！！！！
171,学到了
172,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
173,死胖子
174,特种兵猴
175,？？？
176,骂人！
177,烂 完 了
178,好家伙，你一说我更不会了
179,龙骨？什么龙骨？
180,笑死
181,真是水猴子
182,《看云识天气》
183,功德无量
184,宿  遷  賣  家
185,哆啦A梦
186,狸    克
187,好大
188,哈哈哈哈
189,涡轮增压水猴子
190,水猴子
191,水猴子
192,哈哈哈哈
193,暴躁老哥
194,哈哈哈哈哈
195,哈哈哈哈哈
196,哈哈哈哈
197,傈僳话哈哈哈哈哈哈
198,小耶猫
199,《爆 仔》
200,好肉
201,大狸子
202,哈哈哈哈哈哈哈哈
203,鞍山人直接迷惑
204,打歌调 汁多腊多
205,芝麻多
206,狸克
207,哆啦A梦
208,这是水猴子
209,地道
210,呜呜呜哈哈哈草
211,可爱呜呜呜
212,草
213,草哈哈哈哈哈哈哈哈哈哈哈哈哈
