,弹幕
1,哎呀，看得出来是反讽啦，但是老人更相信自己想相信的
2,断章取义，这是反讽，最后都说了要按时体检
3,脑癌咋治
4,除了胰腺癌
5,老人听不出反讽
6,老人听不懂啊
7,讽刺？
8,这断章取义我支持
9,医院检测准吗，基础医疗你知道现真实情况吗
10,大部分老人家看不懂反话
11,我家长就是这么想的！！！
12,胃肠镜值得做。胸部CT
13,反讽手法
14,说反讽的，有几个老年人能理解出来？
15,说反讽的，有几个老年人能理解出来？
16,说反讽的，有几个老年人能理解出来？
17,可是老年人没多少看b站
18,引用而已
19,我当时听的时候也觉的非常不合适，别帮着洗了
20,？？？
21,是台词
22,举报
23,恶意剪辑蹭热度，医者仁心？你配吗
24,建议您把小品看完谢谢，把视频标题换了吧
25,你这个标题定的不太好，那个是讽刺，不要duanzwy
26,反讽你看不懂吗？
27,哈哈哈哈哈哈您当真了
28,医生标题党是值得鼓励的 (●°u°●)​ 」
29,你这个标题
30,癌症能根治？我穿越了？
31,穷
32,对得起自己的党徽吧
33,这不是反讽吗
34,啥币
35,大哥，你没看完这个小品吗
36,相信医学
37,不是治不了，是治不起
38,你如果知道她演的人物兜里有多少钱就不会这么说了
39,你如果知道她演的人物兜里有多少钱就不会这么说了
40,那个是反讽吧？？
41,我感觉我三个都可能有
42,只要你有钱 都能治 而关键是没钱
43,这就是掐头去尾来解读
44,这个不是反语么？
45,严谨
46,只不过是个提醒，防止他人迷信，也有一些人脑子不懂出来提醒一下。
47,我感觉贾玲无辜 
48,穷
49,我爸妈每年体检2次
50,老任都不懂我们现在年轻人的梗和反讽的，别吵了
51,老人会当真
52,老人会当真
53,老人会当真啊
54,反讽
55,【去你妹的标题党】
56,我的钱只为医院存
57,第三位怎么没说完
58,但是中国大部分家庭都没富裕到经常体检
59,老年人是不想听懂，不是听不懂
60,钱呢？
61,穷病怎么治
62,您分得清小品和科普么？
63,这没看完就来说了吗？不严谨了啊
64,你当真了？
65,笑死我了跟小品讲道理
66,这不是反讽吗
67,这不是因为小品的搞笑包袱所需吗
68,haha
69,你是不食人间烟火吗？人家的意思是治不起。
70,她这是反讽啊
71,这不是讽刺吗
72,这是反话
73,没钱
74,穷
75,有人不会这样理解
76,我笑了，大哥可能第一次接触小品
77,大哥，你是分不清反讽和真话吗？
78,反讽老年人看不懂啊
79,司马标题
80,呵呵
81,别太认真这是小品
82,活到70吗 我到60都费劲 
83,应该是没看完小品吧
84,贾玲这里真的是讽刺现代老年人的思想
85,没钱治
86,你到便宜点啊
87,别人是指没钱
88,有病吧
89,"快g吧,别蹭热度"
90,我都没看出来是贾玲
91,乳腺癌呢？
92,老职业病了，我也这么认为的
93,呵呵，钱呢？
94,名言
95,可是那是反讽啊
96,哈哈哈这是一种反讽
97,呵呵，有屁钱
98,医生说的对
99,人还在钱没了，更痛苦。。。不如死了
100,如果有的人不理解说的是反话呢
101,后面就说了一定要定期体检
102,哪我社保怎么领
103,真的是杠精。。。
104,我还以为是瘦成一道闪电那句
105,你是没看懂吧
106,没钱啊
107,又不是所有人都知道这是反讽，这个视频不是给你们看的
108,不要断章取义好不好，最后那点贾玲也说了要改正自己错误的观点。
109,恐惧主要来自于穷
110,我感觉说的挺对的，能治愈还会复发呀
111,人家医生也是好心，你们搁这儿阴阳怪气啥
112,老人的生活阅历更丰富，他们只是固执，不是不懂
113,老年人是有多笨啊，怎么听不出来
114,还能不死咋的
115,胃肠镜太难受了
116,我现在一身病都治不好
117,有的恶性肿瘤发展过于迅速，一发现就是晚期，怎么办呢
118,早期根本发现不了 除非你半年一次体验
119,就当一个笑话听就好啦
120,心脑血管病第一位吧？
121,医生一片好心，怕老人会把节目当真
122,小品也说这是错的呀
123,把节目看完再说好吗
124,念稿啊？
125,建议改下标题
126,反讽看不出来吗 
127,乳腺癌
128,钱都要花在医院
129,真的，到后面就真的晚了，所以定时体检，也记得带父母去
130,？
