,弹幕
1,这患者怪眉清目秀的
2,袁隆平还是让一些人吃的太饱了
3,掏空
4,？？？？吐了
5,无法直视火龙果了
6,？
7,为什么不用可吸收缝线？
8,为什么不用吻合器？
9,生了，是个女娃
10,阿巴阿巴阿巴
11,好痛
12,还能吃么
13,还没吃么？
14,没麻醉啊医生！
15,最后那一下是因为救不回来直接盖上送走了么
16,火龙果怎么这么苦命
17,？？？我买的火龙果不是这样的，这就去投诉商家
18,空空的
19,剖腹产要把整块肉都拿来了吗
20,h o w t o b a s i c 行 為
21,？？？？？
22,厉害了
23,？
24,等等，整块肉刮下来？
25,胎死腹中～
26,卧槽埋雷又排雷
27,好家伙
28,感谢妈妈
29,縫的線不對，表皮要用多股線
30,霸王之卵
31,好疼
32,？？？
33,把孩子扔了养胎盘吧
34,卧槽卧槽卧槽卧槽卧槽卧槽
35,啊啊啊啊，我不想让媳妇儿生孩子了
36,倒放
37,我再也无法直视火龙果了
38,好吓人
39,？
40,？
41,？
42,代入感很强已经开始疼了
43,别这样，以后我都不敢吃了
44,？
45,哈哈哈哈哈哈哈哈哈哈
46,？
47,是你吗dio
48,哈哈哈哈哈
49,是你吗DIO
50,？？？？？
51,？？？？？？？？？？？？
52,手术完成，是不是该给送回去
53,又是恐婚恐孕的一天
54,？？？？？
55,看着都疼
56,整个身体都空了
57,bgm直接投币
58,你故意的
59,好恐怖
60,小亮哥你看，这是真的吗？
61,胎盘就是这么大，几乎能赶上孩子的大小
62,？？？？
63,双胞胎？
64,卧槽？
65,为什么和我的火龙果不一样
66,卧槽
67,不说等于没事
68,我害怕了
69,我不敢吃火龙果了
70,流产了
71,鲍勃迪伦
72,？
73,胎盘
74,不对啊，怎么才两把大弯，不是三把吗
75,《you belong to me》
76,顺产很痛，小孩身体更好
77,好家伙，胚盘都取出来 
78,咋就摘除了
79,？？
80,好痛
81,鲍勃迪伦的歌
82,天啊好变态
83,儿子跟爹一毛一样的
84,bobdylan！
85,摘宫了吗这是
86,哈哈哈哈哈哈哈哈哈
87,是我买的不对吗
88,？？？？？？
89,？？？？？
90,？
91,啊啊啊啊好可怕
92,？？？
93,你是要剖腹产啊
94,？？？？
95,？？？？
96,这是~把整个子g都扯出来了?
97,大网膜？
98,？？？？
99,感觉身体被掏空
100,臣卜木曹
101,不才咐钱
102,鲍勃迪伦！
103,？？？？？？？？？？
104,你是魔鬼吗？！！！！
105,双胞胎
106,胎盘吗
107,？？？？
108,好痛。。
109,我是公的
110,草
111,请对她好一点
112,我已经开始肚子痛了
113,太2？
114,好家伙，还是个横产式难产的脐带绕颈
115,我居然边看.口水还边往外流。哈哈哈哈
116,看的一后不敢吃火龙果
117,妈妈   这个火龙果在对我笑
118,？？？？
119,白布都盖上了
120,bob dylan
121,胎盘什么双胞胎
122,???1
123,你麻醉了吗就开刀
124,我求你别搞了好嘛
125,每次要吃火龙果的时候都会有阴影
126,好可怕  最后盖白布了
127,我吃的火龙果怎么不是这样？？！？
128,夹娃娃
129,好家伙
130,不对，这个火龙果有问题
131,看着都疼啊
132,火龙果 生 生姜
133,有这么大妈？
134,以～～撒～～～
135,好家伙，脐带绕颈
136,脑外科
137,脐带绕颈两圈
138,？？？。
139,火龙果：快给你儿子起个名字吧！
140,摔怀孕了
141,这表情  大娃
142,鲍勃迪伦的！
143,！
144,迪伦
145,好家伙这火龙果我不吃也罢
146,？？？？？？？？？？？？
147,？
148,我诅咒在座的各位老婆怀孕必平安，自己怀孕的必顺利
149,DIO
150,反正把它买回来了
151,前面的是不是顺产更痛苦啊
152,天生杀人狂
153,好家伙，剖腹产
154,？？？？？？？
155,？？？
156,？
157,迪伦的歌！！！
158,感觉被掏空
159,？？？？？
160,到底怎么塞进去的？
161,横位，脐带绕颈
162,草
163,好家伙好家伙，土匪进村了
164,？？？？
165,以为是开颅结果你来个剖腹产
166,？？？
167,火坚强
168,火龙果:你快把我吃了咱们结束这段孽缘
169,脐带绕颈
170,保大人
171,因为是孕妇流产了
172,我老婆必顺产
173,？？？？
174,大出血了？
175,？？？？？？
176,直接绝育？？？？？
177,？？
178,？？？
179,掏空
180,我擦
181,啊这…
182,胎衣
183,好家伙，直接摘除了
184,胎盘
185,这恒河里
186,胎盘我吃过，难吃
187,快进过来的…跳楼的你剪人家肠子干什么？解剖阶段啦？
188,？？？
189,鞋垫了
190,害怕
191,？？
192,盖上白布
193,盖上白布
194,太可怕了
195,迪伦永远滴神
196,哈哈哈哈哈哈哈哈
197,这尼玛还能吃吗
198,bgm好评
199,好家伙
200,?????????????
201,？？？？
202,最后一步：白布蒙头
203,实属二次元
204,？？？？？。？
205,。。。
206,摔流产了？
207,？
208,bgm是鲍勃迪伦好评
209,笑死哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
210,哈哈哈好可爱的医生
211,这孕妇表情也太坚强了
212,看着脸像dio 
213,稀碎
214,好家伙，我都不敢吃了
215,这么大的创口
216,火龙果已死透
217,我下意识以为是奶油
218,好大的胎盘
219,死 嬰
220,？？？？？
221,啊，胎盘这么大的吗……感觉以后不敢生孩子了啊
222,你有想过火龙果的感受吗
223,脐带绕颈
224,双胞胎
225,这就抢了一个火龙果？
226,脐带缠脖
227,还以为是脑手术
228,you belong to me
229,剖腹产
230,草
231,肚皮要切成翻盖的吗？
232,？
233,好家伙
234,害怕
235,？？？？
236,这个表情笑死我了
237,you belong to me
238,手里的火龙果瞬间不香了
239,肠子绕颈
240,你这个火龙果跟我买的不一样
241,迪亚波罗
242,哪来的这么多止血钳
243,你这胎盘赶上孩子大了
244,好好的一个火龙果不吃可惜了
245,好活
246,这是剪辑的啊，肯定事先放进去的啊，不然还能隔空放呢
247,火龙果躺枪
248,我妈说我当初脐带绕颈三圈，现在看看好nm吓人
249,我的妈还绕颈了
250,鲍勃迪伦
251,脐绕颈？
252,孕妇摔跤后太可怜了吧
253,我不知道为什么腿软的不能动了（狗头）
254,吹爆道具组
255,那个应该是胎膜
256,迪伦草
257,希望天下怀孕的母亲和孩子都平平安安的
258,非凡哥9t887
259,关注水果医生
260,一年霍霍了多少火龙果
261,摔了一下应该是早产了吧
262,？？？？？？？？？？？？？？？？？？？？？
263,不至于
264,牛
265,疼
266,？
267,痔疮？
268,鲍勃迪伦！
269,厉害了  道具牛
270,没有阴间配音好不习惯
271,扎小人
272,戒水果了
273,胎盘！！！
274,这个小孩儿是谁？
275,啊ｕbelong to me
276,像水果医生
277,鲍勃迪伦
278,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
279,视频很好，就是费水果
280,我就很好奇，怎么找的那么多像样的东西，咋放的啊
281,脐带绕颈
282,这就是你偷水果的理由？
283,火龙果不能摔，摔了会有孩子出来
