,弹幕
1,截图选老婆
2,没有它现代工业更能迈上一个一个新台阶。
3,前面内个文科生别跑
4,杂质，永远的神
5,草，杂质含量不少于99.9%
6,而这种物质则是下界合金
7,杂质竟是你自己
8,化学选择题搞死我了
9,痛了痛了
10,吃了几个蕾丝
11,高一看到硅的提纯开始骂骂咧咧
12,你说话能不能正经点
13,文科生狂笑
14,升  华 主  题
15,而这种物质则是下界合金
16,哈哈哈哈哈
17,啊，我要死了
18,淦
19,草
20,草
21,《博 人 传》
22,CaO
23,草
24,泪目
25,下届合金在仙人掌面前不值一提
26,心肺停止
27,暂停做题
28,截图选老婆过分了啊
29,文科生开始笑了
30,粗盐提纯
31,草
32,草
33,你再骂
34,草
35,和物理的神奇小滑快一个道理哈哈哈哈
36,心 肺 骤 停
37,草
38,截图选老婆
39,超极限
40,草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草草
41,氧化钙
42,我写吐了，有什么好技巧解决工业流程题吗？
43,脑开始胀了
44,草
45,草
46,心跳停止
47,要是没有它现代工业发展的更快
48,已经开始不适了
49,从字过来的，我以为是墨水草
50,可是这个杂质也才99.%啊，，
51,太是了
52,分析纯杂质
53,草
54,草
55,听力的嗓音
56,酒  精  喷  灯
57,哈哈哈哈杂质里面有杂质
58,开始泪目
59,这声音，好像以前电视剧里的太监
60,泪目
61,杂质是第一生产力
62,《理科生的诗句》
63,额
64,君克粉都来了哈哈哈
65,谢谢，已经开始骂街了
66,叫我干嘛
67,hhhhhhh
68,文科生的大敌
69,草
70,一坨
71,草
72,圣金源锭（bushi
73,杂质的杂质
74,除杂哭死
75,有没有人会停下来做题
76,玻璃？加点HF你试试
77,化学生DNA动了
78,杂质yyds
79,哈哈哈
80,草
81,开始不适
82,草
83,他就是试管
84,截图选老公，可长截图
85,截屏选老婆那个你够了
86,小学生朗读
87,杂     质
88,草
89,杂质中还有其他杂质
90,好像实验视频旁白（）
91,他就是作业
92,哈哈哈哈哈哈哈哈
93,纯杂质
94,纯杂质
95,↑你的老婆
96,你无法得到纯净的杂质，哪怕它本身就是杂质/doge
97,政 史 地 狂 喜
98,跳起来打你的那个
99,极限        单杀
100,挺尴尬的
101,分析纯杂质哈哈哈哈哈
102,哈哈哈哈哈哈哈哈哈哈
103,别念了 这声音
104,%能吃吗
105,草
106,草
107,还有0.1%是什么呢？滑稽
108,化历地枯了
109,哈哈哈哈哈
110,笑癫
111,草
112,哈哈哈哈哈哈哈
113,杂质咋治？hhhhh 
114,氧化钙
115,草
116,草
117,心肺骤停
118,草
119,所以你选择c
120,文科生+1
121,谢谢你让我想起来我的化学作业没写完
122,永远的神
123,你废话太多了
124,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
125,再来亿遍
126,经典咏流传
127,CaO
128,分析纯的杂质哈哈哈哈哈哈哈哈
129,杂志——超极限，三杀！
130,杂志   感冒的神
131,杂质里还有杂质是最草的
132,红红火火恍恍惚惚
133,杂志
134,草
135,草
136,暂停截屏记考点
137,泪目
138,草
139,莫
140,yyds
141,？？？？？？？？？？
142, 心脏骤停
143,从百草园到三味书屋
144,草
145,心脏骤停
146,笑死我了
147,抑扬顿挫
148,下界合金
149,文科生突然开心
150,文科生突然开心
151,文科生开心
152,文科生开学
153,草
