,弹幕
1,您拨打的电话正在通话中
2,原来是你!
3,原来是你
4,我竟然全都听过 !
5,还是你
6,原来是你
7,原来是你！
8,哈哈哈真相了
9,哈哈哈哈哈哈哈
10,！是你
11,原来是你
12,！
13,原来是你
14,原来是你
15,你也是
16,你也有份
17,草，就是你
18,这个我养过
19,声小自己不会调大呀。
20,太公太婆太公太婆
21,是你
22,？
23,我家后院全是这个声音
24,草
25,就是你
26,卧槽
27,是你
28,原来是你
29,原来这是猫头鹰叫声啊
30,这云雀和麻雀好像啊
31,原来是你
32,天天早上都是你
33,原来是你
34,哈哈哈哈哈哈哈哈哈
35,！！
36,我以前一直念白面姑，现在还没习惯念白面xiao
37,wc 就是你害我考前神经衰弱
38,菠萝菠萝菠萝
39,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
40,原来是你 淦
41,对，是这个！！
42,就是你啊
43,每天早上吵我睡觉的就是你啊！
44,是他！
45,每次都觉得叫的有点儿…慎得慌！
46,原来是你！！
47,哥哥别哭
48,原来是你
49,原来是你
50,原来是你小子天天午睡的时候在吵
51,丢雷楼某
52,原来是你
53,明天在宿舍外面吵醒我的就是它？
54,是你啊
55,大杜鹃
56,原来是你
57,@白面鸮(舟游干员)
58,今天在学校还听到了！
59,是你啊
60,算黄算割：告诉你收麦子不要着急  算黄再算割
61,这个真没见过
62,晚上小区有
63,早上在楼顶叫的就是你吧
64,原来是你！
65,biubiubiu
66,泪目
67,四声杜鹃在我们这叫做麦收杏黄
68,楼下有一只天天叫
69,噢原来是你啊
70,原来是这货！
71,卧槽原来是你，每天晚上都能听到
72,山上才有吧
73,小杜鹃哇啊啊啊啊啊，原来就是你
74,一直认为这是夜枭
75,原来是你
76,原来是你！
77,姑锥
78,哈哈哈可爱
79,这个！
80,熟悉
81,光棍好苦
82,原来是你小子
83,不愧是你
84,原来是你
85,原来是你
86,啊这！就是它吓的我
87,原来是你
88,举起手来
89,就是你
90,以前在市区老宿舍听过！
91,有没有 姑姑舅
92,没少吃它
93,哈哈哈
94,我的闹钟！
95,不好意思，没听见过
96,种啥啥好种啥啥好种啥啥好
97,狐狸叫
98,谁在吹哨
99,居然都听过……
100,我窗外现在就在叫
101,原來是你小子……
102,不孤……不孤……
103,原来是你
104,原来是你
105,这不是两种鸟在叫吗
106,不止小时候我村现在还有呢
107,还是yoll的咕唔咕好听
108,鬼鸮和长耳鸮声音都超可爱！
109,歪果洋
110,哭鸥
111,狗咕
112,原来是你
113,傻瓜喝醋
114,现在外面就有
115,喜鹊叫的是真难听
116,谁一直按电动车报警器
117,西游记
118,好听
119,原来是你！
120,斑鸠也会布谷
121,花花包谷
122,原来是你
123,原来是你
124,原来是你
125,是你啊
126,是你！！！
127,大雁不配吗哈哈哈
128,四声喜鹊找到了
129,！！！！！！！
130,山口山
131,激光枪
132,我家对面楼顶前几天还在叫
133,现在农村都很少了
134,卡姿兰大眼睛
135,会弹舌的鸟！
136,这个没听过
137,这个大概是6553的鸟叫终于找到了！
138,现在早上还能听到
139,现在是窗外的鸟和手机里的一起叫
140,好好听这个
141,哈 哈 哈哈哈哈哈
142,原来是你这小家伙
143,是你啊啊啊
144,淦，是你
145,咕咕咕咕咕咕
146,这个有！
147,萧的意思就是猫头鹰你懂个屁。
148,就是你最近天天叫！
149,我这边喜鹊一身黑，只有一小撮白色的
150,原来是你
151,杜鹃这么多
152,終於找到了我數學老師說要用氣槍打這些臭鳥
153,原來是你在我考試的時候叫
154,哈哈哈哈
155,麻雀
156,鸽子
157,包谷
158,老倌好过
159,张麻子来了
160,好家伙原来是你小子在叫
161,喜鹊我真的裂开
162,草
163,好家伙是你
164,为什么我怀念起了三毛
165,原来是你
166,姑姑！谷。姑姑！谷
167,哼，哼，哼啊啊啊啊啊
168,！！
169,蚊子叮屁股，叮进去二寸五，苦楚楚楚
170,找红果果
171,这个印象深刻
172,真的真的！！小时候只闻其声不知道长啥样
173,这个真的！！小时候经常听见
174,爷春回
175,刚才不是鸡叫吗
176,啊！小学教室冬天早上，老是有这个
177,我觉得它胖乎乎的挺可爱
178,换工做活
179,我的团长我的团
180,天呐！是你！！！！
181,原来是你！！！！
182,原来是你！！！
183,原来是你
184,光棍好苦
185,布谷
186,原来是你大晚上的瞎叫!
187,啊，又出现一个
188,是你！
189,原来是你!!!
190,这里好多
191,人面鸮
192,最后一个我一直以为是猫头鹰！！！
193,全都有  
194,原来是你
195,原来是你
196,布谷鸟，我们叫臭咕咕
197,what does fox say~
198,老家多的一批，天天一起叫，一个叫，全部就都来了，视频里面的基本都听过
199,原来我家有只八哥，人话一句不学。学鸟叫，学吹口哨的声音一听就会！
200,原来是你啊，走路上给我吓一跳
201,是你
202,原来是你
203,前方调低音量
204,原来是你
205,布谷鸟
206,嗯？？原来以前老家旁边有鹰
207,抓只喜鹊来
208,18年在竹林醒之前就是被这些叫醒的嘛
209,这个熟悉
210,小狗狗
211,油炒鸡胯胯
212,花花苞谷
213,我们这的喜鹊比这个圆三倍
214,原来是喜鹊啊 天天早上都听
215,原来是你
216,原来是你
217,好亲切
218,早上起来会听到
219,都好可爱啊
220,熟悉！！！
221,这个四声杜鹃印象最深
222,原来是你
223,听过听过都听过
224,有有有
225,布谷
226,西游记
227,怀念
228,太怀念了
229,我和我爸钓鱼一听一天
230,好好听
231,是你！！！！！
232,感觉被治愈了
233,哇天哪，这个我小学到现在每到清明前都会听到，童年啊啊
234,败家干部
235,就是你！！
236,好嘛   原来是你
237,终于找到你了！！！
238,原来是你！！！
239,原来是你
240,好好听
241,好家伙，喜鹊
242,我以为是鹦鹉叫了
243,吓死我了
244,原来是你
245,小时候听到这个声音我爸还给我讲故事说它喊的是姑姑还布
246,草
247,每天5：00起来的时候都是你在叫（doge）
248,来草13啊，来草13啊
249,涨知识了
250,原来是你
251,好多年没听到了
252,想起来了我的团长我的团
253,biubiubiu是你
254,原来是你草
255,卧槽吓死我了
256,原来是你！
257,就是你啊
258,想回老家了
259,现在车马喧嚣 真的很难听见这些鸟声了
260,心脏骤停。。。
261,原来是你！
262,爷青回
263,豌豆包谷
264,是你！！，！
265,李桂英
266,哈哈哈哈哈哈好可爱
267,好家伙原来是你
268,感觉像拿棍子打高压线
269,败家干部！败家干部！
270,前几天刚看过
271,？？好家伙，原来是你
272,妈耶全听过
273,今天打酒喝 明天卖老婆
274,原来是你
275,原来是你
276,原来是你
277,原来是你
278,原来是你
279,是你
280,豌豆包谷
281,原来是你
282,鳐鱼
283,走啊！走啊！
284,终于找到你了
285,原来是你
286,原来是你
287,是你
288,原来是你
289,早上经常听到
290,原来是你！！
291,哇
292,可爱！
293,原来是你
294,我们这还有，但是这几年很少听到了
295,感谢解开疑惑
296,昨天刚捡了只受伤的养着，取个小名叫珍珠
297,鸮就是猫头鹰
298,火烧包谷
299,哦哦哦哦哦哦哦哦哦哦哈哈哈哈哈哈哈哈哈
300,Aaa
301,呕——欧———呕————
302,我还以为是我肚子响了
303,我都听过，好怀恋啊
304,卧槽就是你啊！！
305,是你啊！！
306,啊啊啊啊就是这玩意
307,没听过
308,原来是你
309,鸮！！！！！！！！！！！！！！
310,鸮！
311,原来是你
312,是你啊哈哈哈
313,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
314,哈哈哈哈哈哈哈哈哈哈哈
315,原来是你
316,原来是你
317,卧槽
318,毛毛的
319,原来是你！！！！
320,好可爱
321,都听过嘿
322,就是你这么吵
323,吃过
324,这个我听过！
325,我会吹这个的叫声的口哨（骄傲）
326,原来是你啊
327,虽然名字叫噪鹃但我感觉好听
328,虽然名字张若昀
329,原来是你！
330,是我是长大了在我家院子里经常听到
331,这个
332,这个！
333,干活朝中
334,芜湖湖湖湖湖湖湖
335,芜湖湖湖湖湖湖湖湖湖湖湖湖湖湖
336,Sans好评
337,就是这个！！！
338,不如归去
339,现在天天都只能听到发动机声音，听不到鸟叫啦
340,哇哦
341,是你呀
342,哦哦
343,林正英
344,林正英林正英林正英
345,是你啊
346,拐古～拐古～
347,原来是你
348,四你！！
349,我最害怕这种鸟了555小时候傍晚着急忙慌补作业的时候老能听到这鸟叫
350,是你！！！
351,没有听过……
352,落泪
353,原来是你！！！！！
354,啊这！
355,啊啊啊啊啊啊
356,白   面   枭
357,卧槽原来是你
358,好听。
359,现在也天天听到好家伙是你
360,白 面 鸮
361,卧槽，原来是你
362,卧槽，原来是你！
363,啊，就是这个！！
364,原来是你
365,就是这个，每天早上醒来都有
366,很多年没听过了
367,原来就是你这家伙吵醒我睡觉的？！
368,云雀叫了一整天
369,好家伙是你
370,这个声音我太熟了，黄油红楼梦12金钗有
371,原来是你
372,原来是你啊
373,原来是你
374,干啥能行？。？
375,好熟悉的声音！
376,原来是你
