,弹幕
1,《 论  如  何  更  快  更  好  地  去  世 》
2,新   冠
3,您已被移出相亲相爱一家人群聊
4,好家伙心灵奇旅
5,wwwwwww
6,2
7,我没了
8,完了完了完了完了完了
9,我要没了
10,搬到医院对面了我！
11,塞（se）（sai）
12,模样跟我兄弟神似
13,2
14,全中
15,我妈晚上在家煮饭2
16,哈哈哈哈
17,熬夜距离猝死仅一步之遥
18,我熬了几年，差点挂了
19,熬夜两年，基本就快猝死了
20,有的一趟死的更快
21,不是所有心梗都能平躺的
22,懂了，这就去吃火锅放松
23,0
24,49万了哦~
25,2
26,2
27,怎么办啊卧槽
28,人是活生生鲜活的生命！不是资本的机器！！！
29,听你一说，喘不上气了（滑稽）
30,凌晨三点看这个视频
31,可能是福冈阿苍
32,2
33,别劝了别劝了（？
34,2
35,救命 我好胖
36,哈哈哈哈哈哈哈梦幻联动
37,阿苍那儿来的
38,已经很久不痛了
39,哈哈哈哈哈哈哈哈哈哈哈哈
40,我的币没了
41,哈哈哈哈哈离谱
42,十三岁的孩子就突然又好了
43,好家伙，我全都中了
44,我突然有点方了…
45,好家伙，我一般都是疼一两分钟
46,我说我怎么好端端就突然开始胸痛了，
47,救命啊
48,泪目
49,33333
50,@pdd
51,害怕
52,王冠红人馆打钱
53,3
54,2
55,2
56,？？？？
57,来自打工人的愤怒
58,好家伙
59,2
60,吨吨吨吨吨吨吨
61,2
62,出大问题
63,西内
64,刚准备发给家长...
65,2
66,过
67,哈哈哈
68,peace
69,没有爱过的人
70,为了魔兽 投币了!?
71,快哭了。。。
72,这也没中过九阴白骨抓呀
73,2
74,一日一餐路过
75,2
76,我都不敢看了
77,哦豁，完蛋
78,我也是打球崴脚
79,垂死病中惊坐起，老鼠竟是我自己
80,一盏灯一支笔一个通宵一具尸体
81,完了，已经开始猝死了
82,笑死了，弹幕真就人均心梗呗
83,正在熬夜看这个视频
84,hahahaha. \
85,投币了
86,正片开始
87,你这视频一转发爸妈，不得把我骂一顿啊，反客为主啊
88,实名吐槽资本家
89,222222
90,完了完了
91,2
92,危
93,雍正？？？？？？
94,1
95,2
96,2
97,我替我朋友过来看看
98,已经开始抽烟了
99,已经开始疼了
100,宋 小 宝
101,？
102,2
103,边写论文边抽烟 真的心累
104,是我了
105,主题升华了
106,1111
107,不像
108,222
109,好文案
