,弹幕
1,《帮  朋  友  看  看》
2,0乘2.5还是0呀
3,哈哈哈哈哈哈哈哈
4,哈哈哈哈哈
5,帮朋友看看
6,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
7,我有一个朋友
8,我替我一个朋友看看
9,？？？
10,我有一个朋友
11,沃野有个朋友
12,2.5！
13,摸头你看见了吗
14,我有个朋友想看看
15,三连推广给有需要的朋友，哈哈哈
16,寸止
17,五秒真男人
18,？
19,一分钟都没有的，五秒真男人
20,牛壁
21,我这就和我朋友说
22,危
23,？？？？？？？？？？？
24,我朋友懂了
25,diy
26,看看啊，有视频操作嘛
27,看看你的
28,麻b
29,这么高?
30,年  少  有  为
31,《修炼爱情》
32,修炼升级哈哈哈哈哈哈
33,这概率也太高了！
34,对事不对人。
35,哈哈哈哈哈哈哈
36,我很开心⊙▽⊙怎么办
37,DIY啥意思？
38,帮朋友
39,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
40,？？？？
41,DIY新定义！
42,那么哪里可以实战呢
43,无中生友
44,半衰期短是好事，但5Ht也是中枢的递质
45,互联网真是太精彩啦
46,想多了，会更快
47,我真的不行
48,每三个人就有一个 那么看视频的我不是 医生可能也不是 只有你了…
49,一盒好几百 别问我是怎么知道的
50,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
51,不一定
52,哈哈哈哈哈哈哈哈哈不一定
53,《我有一个朋友》
54,替我朋友看的
55,？？？？？？
56,我帮我自己看看
57,不太行•••
58,朋让我帮他看看友
59,。。。
60,我是66.9%
61,"biubiu,哈哈哈"
62,无中生有
63,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
64,这收藏量就离谱
65,我替我朋友薛松看看
66,离谱
67,哈哈哈哈哈哈哈
68,这个比例，男的出来看证明下
69,无中生友
70,哈哈哈哈
71,坏了，三年没碰过了，那我岂不是完蛋了
72,神tmDIY
73,无中生友
74,双修升级
75,修炼升级
76,biubiu
77,好，现在有三分钟了
78,如果他不放弃，那该怎么办？
79,真不行
80,我擦
81,？？？？？？
82,大家都是因为我的一个朋友来看的嘛
83,不同的人
84,哈哈哈哈
85,发生肾么事了
86,哈哈哈
87,无中生友
88,我和我兄弟相视一笑，然后看着up主。
89,plus
90,无中生有
91,无中生友
92,没有精神，根本听不见 
93,不同的人？
94,实践会更快
95,截图干嘛，愣着啊
96,你说的朋友是不是就是你自己
97,biubiu
98,哈哈哈哈哈
99,这我可没啊，就替我朋友看看
100,哈哈哈哈哈哈哈
101,看来网易云评论说趁人少 ta那方面…
102,无中生有
103,3分钟呢
104,越*越兴奋哈哈
105,利多卡因
106,截图发给我的朋友
107,朋友
108,糟糕
109,不对劲
110,哈哈哈
111,哈哈哈
112,帮朋友看看？
113,这也可以？
114,才2.5分钟？
115,172万播放就离谱
116,？
117,？？？？
118,无中生友
119,无中生有
120,？？
121,无中生有
122,麻了
123,双修？？？
124,《常见！》
125,完了，这药怕是要涨价了，一堆截图的
126,能开心嘛
127,无中生友
128,我朋友叫我来看看
129,《这也太刺激了吧》
130,biubiubiubiu
131,我有个朋友
132,麻了麻了
133,《你说清楚，那个啥》
134,实践出真知
135,我帮朋友看看
136,无中生友
137,哈哈哈哈哈哈哈哈哈
138,我进来学话术的，233
139,帮屑杰康康
140,无中生有
141,帮我朋友看看
142,我帮朋友看下
143,能实战我还用手？
144,哈哈哈哈哈
145,wgx不要看了
146,我朋友一个星期14次。
147,?????????????
148,虎狼之词
149,我懂了，七点五秒
150,?
151,我朋友说实战有问题
152,帮朋友看
153,我朋友说快不行了
154,缓一缓就直接没了
155,哈哈
156,法国朋友
157,放心了
158,bilibili
159,替我朋友收藏了
160,帮朋友看的
161,想一想，你为什么点进来这个视频
162,我帮我朋友来看看
163,帮朋友看的
164,帮朋友看看
165,我朋友就是这样
166,拿好小本本
167,战术咳嗽
168,小蓝片
169,我朋友摊牌了，他不行
170,无中生有
171,端正态度
172,整风油精
173,都是来帮朋友看的……
174,哈哈哈哈哈哈
175,替朋友看看
176,666
177,不同的人
178,帮我朋友看一下
179,我三分钟
180,医生，时间太长怎么办
181,无中生有
182,？？？
183,我从来不觉得自己不行
184,那我一个月一次反而是害了我
185,送牛奶？
186,嗯???
187,我帮朋友看看
188,无中生友
189,卧槽
190,无中生有
191,我去，这个小兄弟名字替换很多啊
192,我有一个py我有一个同学我有一个亲戚
193,无中生友
194,不同的人……
195,？？我一女生为什么要推荐给我？
196,实战更快
197,实践更快
198,啊哈
199,帮朋友看看
200,你的爱会将我灌醉
201,呃.....
202,无中生友
203,愣着干嘛？截图啊
204,哈哈哈哈，你真不是讲相声的吗？
205,草
206,大概有百分之50
207,我特么为什么会点进来
208,我10秒就那啥了
209,哈哈哈哈
210,！
211,帮朋友看看
212,三个人就有一个人是快男，有点东西
213,无中生友
214,懂了，从现在开始天天吃
215,我要打十个
216,医生去哪里实践？
217,早泄
218,当场分手
219,八千条弹幕，两千四百个人不行
220,六万的收藏
221,别骂了别骂了
222,别骂了别骂了
223,我都是按小时算的，你居然跟我说一分钟
224,一天三次
225,帮我那个朋友收藏一下
226,反手就是一键三连
227,帮朋友看的
228,w无中生友
229,《战术咳嗽》
230,我帮朋友进来看看
231,我tm一天一两次我是不是没救了
232,初   三   化   学
233,哈哈哈哈哈
234,？？？？？
235,跟我朋友袁义博一样
236,原来如此
237,哈哈哈哈哈
238,草
239,一周十几次怎么办
240,666
241,不开心
242,你币有了
243,当场分手
244,哈哈哈哈
245,要相信自己能行
246,在做的都是辣鸡
247,实战更快
248,乐趣♂
249,woc？
250,痛苦♂
251,帮男朋友看看
252,不会真有人进来看吧 我来了
253,不到一分钟woc？
254,帮男朋友看一下
255,水门？
256,正常了
257,我以后再也不能直视武侠小说了
258,我有个朋友
259,我一个朋友想看
260,截屏了
261,对   事   不   对   人
262,你说的这个朋友是不是你自己
263,好家伙
264,？？？？？？？
265,印度神油
266,?
267,哈哈哈哈哈哈哈哈哈哈哈哈哈
268,太刺激了
269,我帮我朋友看看
270,我帮我看看
271,当你打开这个视频的时候，你就输了
272,biubiu
273,我帮我朋友收藏一下
274,233333
275,我帮我一个朋友看看
276,这点赞量就离谱
277,我为啥会看到这个视频，看到了还点进来？
278,看来我是了
279,c
280,盐酸达泊西汀片
281,哈哈哈哈哈哈哈
282,2.5分钟嘛
283,卧槽
284,主要是不开心
285,想出来的话我一般40分钟
286,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
287,biabiabia biabiabia
288,？？？？？
289,我朋友来看看
290,哈哈哈哈哈哈哈哈哈哈哈哈
291,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
292,无中生友
293,我一女的看这干嘛……
294,哈哈哈哈哈哈
295,。。。。。。
296,帮我一个朋友看
297,害怕
298,6666
299,想想自己为什么会点进来!
300,？？？？？？
301,你再骂
302,播放量离谱
303,2.5s
304,哈哈哈哈哈哈哈哈，不好意思
305,你为什么不会笑啊
306,DIY:Do It Yourself 
307,DIY:Do It Yourself 
308,超级苦的，一言难尽
309,哈哈哈哈
310,我查~~  这描述绝了哈哈哈
311,hah ~~~
312,？
313,我不是，曾医生不是，那么……
314,非常常见
315,《修炼升级》
316,三人行，必有一个不行
317,战 术 咳 嗽
318,哈哈哈哈哈哈哈，这措辞是真的可爱
319,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
320,噢，是这样，吓我一跳
321,？
322,？？？？？？？
323,发生肾么事了？啪啪，很快啊！我大意了！⚆_⚆
324,收藏六万多，看来干货满满啊
325,shku
326,23333
327,DIY
328,哈哈哈哈哈哈哈哈哈哈或
329,帮慈皇康康
330,寸止？
331,？？？？？？
332,左手试试
333,草
334,草
335,炸膛哈哈
336,炸膛哈哈
337,无中生友
338,为爱升华
339,2.5也就3分钟啊，完全不够
340,哈哈哈哈
341,为什么你不笑
342,不会这么快，只会更快的。。。
343,哈哈哈哈
344,patrick医生
345,涂印度神油
346,我就是
347,无中生友
348,哈哈哈哈哈
349,手工
350,无中生有
351,实战了，很不行
352,帮朋友看看
353,电刺激法
354,哈哈哈哈哈
355,帮朋友看看
356,我和我哥一起看视频，看样子up不太行
357,实战更快
358,曾医生你怎么这么有经验，难道。。
359,《为爱升华》
360,《我有一个朋友》
361,《生活的乐趣》
362,我帮朋友看看
363,《？？？》
364,我以为是讲段子，没想到是科普
365,曾医生，我的朋友美不美
366,《爱的鼓励》
367,大清早就刷到这个
368,帮朋友看一下
369,你是怎么的做到一脸平静的
370,替朋友看的
371,？
372,哲学家
373,一本正经地开车
374,无中生友
375,哈哈哈哈哈
376,美国朋友
377,无中生有
378,无 中 生 友
379,尸
380,哇哦
381,我替朋友记下了
382,我朋友让我来看看
383,帮朋友看看
384,无中生友
385,为什么我听不懂
386,三人行
387,不同的人
388,神他妈升级，噗哈哈哈哈
389,开心。，，，
390,兄弟，等等！
391,正常？
392,帮怀田看看
393,实践是检验真理的唯一标准
394,朋友竟是我自己
395,无中生友
396,无中生友
397,帮朋友看看
398,我的朋友
399,我帮Csj看下
400,噗哈哈哈哈哈哈哈
401,哈哈哈
402,我有病？？
403,剁了
404,哦！无中生友
405,哈哈哈哈哈，我有一个朋友
406,我在吃饭 太搞笑了
407,很累啊
408,哈哈哈哈哈哈
409,哈哈哈哈哈哈哈哈哈哈哈giao
410,自己用手很快不是很正常
411,我进来干嘛
412,看看你们还整天吹牛
413,我摊牌了！我朋友不行
414,实践是检验真理的唯一标准
415,学习新思想，争做新青年
416,无中生有
417,学习新思想，争做新青年
418,学习新思想，争做新青年
419,无中生友
420,帮朋友看看
421,不同的人，划重点
422,真不行了，这么拉了
423,怎么会推给我这个
424,在哪儿实战
425,我帮我朋友看看
426,一周三次
427,帮朋友看一下
428,WOW
429,一星期一次
430,无情铁手
431,朋友竟是我自己
432,无中生友
433,修炼升级
434,哈哈哈哈哈哈“哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
435,无中生有
436,哈哈哈哈哈
437,无中生友
438,我想坐那67%
439,我帮朋友看看
