,弹幕
1,方言
2,尔来四万八千岁  不与秦塞通人烟（doge）
3,一个在左边，一个在右边
4,无差别
5,颜色
6,丽水人狂喜
7,耶？这话我怎么在别处见过
8,看不出来
9,ohhhhhhh
10,五万年不够吧，应该是个亚种
11,做个基因测序试试呗
12,好吃吗？
13,能吃吗
14,我觉得没有……
15,有口音
16,丽水人自豪极了哈哈哈哈，沾光了沾光了
17,丽水人自豪
18,地铁老人手机·jpg
19,保护生物多样性保护生态环境多样性
20,这
21,没有区别
22,百山祖冷杉
23,恭喜国人又多了一个物种可以上餐桌了
24,生殖隔离
25,hello！！
26,神奇宝贝！！
27,地理隔离
28,好耶！！！
29,新冠变异
30,头型不一样
31,丽水人表示第二声
32,脑袋顶上的花纹不一样
33,。。。
34,是你！毛利兰！
35,左边头上三角更突出
36,没有
37,口音罢了
38,好家伙
39,你看到的差别
40,看看存在生殖隔离不
41,提示
42,得益于环境的的稳定和没有人发现，更没有人吃
43,啊这，啊这，我看不懂
44,我们是一个被山包围的氧吧
45,丽水人来了
46,我感jio新朋友不太好康
47,⊙∀⊙！
48,差别
49,他们要学普通话么
50,确定不是个体差异?
51,升华主题
52,手脚 胖瘦
53,因为论文在国外也发布了
54,丽（li离）水
55,角蛙
56,二声
57,看着看着居然想到这种蛙腿上都没肉，肯定吃起来不香还是美蛙肥
58,丽水云和人报道
59,孤寡孤寡
60,这是我见过做好看的了
61,生殖隔离。
62,我小时候也抓过来的
63,li 第二声
64,好家伙，蛙类方言
65,地理位置的例子参考马来西亚和印尼的兰花螳
66,@亮记
67,可以吃吗？怎么弄好吃呀
68,呱~
69,口音不一样
70,主要是个太小，不好吃
71,地理隔离，生殖隔离
72,出来吧好姑娘缪里尔
73,绅士之谜
74,这叫地理隔离
75,看成祖安了
76,孤寡孤寡孤寡
77,你好！
78,祖玛
79,列文虎克
80,好小好可爱！
81,方言
82,哟，新角色
83,方言
84,头的形状，后背和腿上的花纹，
85,前面说亚种的您就是带专家？
86,丽水我老家
87,！
88,发现新物种，懒虫
89,好多
90,好家伙，针不戳
91,药用价值几何？食用味道怎样？
92,三角裤
93,挂墩角蟾能看得到肩膀
94,美人鱼？
95,百山祖冷杉
96,脚馋
97,变异了呗
98,方言不一样吧
99,惊现我丽水！！
100,丽水人表示丽水的丽读（离）
101,方言
102,。
103,？我看着都差不多，笑死
104,现在还能发现新物种
105,丽水中学报道
106,A苗条，B有点肥，所以导致花纹不一样
107,卧槽，我丽水人
108,地理隔离导致出现生殖隔离
109,生殖隔离
110,左边的技能是群攻，其他的都一样。
111,我知道！一个颜色深一个颜色浅
112,自带王冠
113,地理隔离累计一定程度可能引起生殖隔离
114,口音不同
115,说温州话你懂吗
116,方言
117,确定是新物种而不是新品种?
118,丽水人表示很赞
119,你好，朋友！
120,"""离水"""
121,水猴子
122,哇
123,地理隔离导致生殖隔离
124,我家！！！
125,方言
126,这种蛙类的起源也是韩国（doge）
127,颜色
128,一个爪子往里扒一个爪子往外弄
129,飞过去嘛
130,有毒吗？
131,小亮诱捕器
132,10里不同音，百里不同俗
133,好家伙，地理隔离
134,必修三
135,百山 主角 蟾
136,这不是论文投英文期刊嘛
137,孤寡
138,颜色不一样
139,说好吃的那个，你是在钓鱼吗？
140,丽水九县市有十几种方言
141,哪个好吃
142,离水
143,开吃
144,666
145,二声丽
146,这下不说发明了？？？
147,我姨妈家！
148,眼距不同
149,韩国要申遗了
150,十里不同音
151,主要是没物种入侵
152,这是…掉色了吧？
153,我看你特么嘴馋
154,别捏我腿
155,好小啊
156,好耶
157,还有方言哈哈哈哈
158,我的世界更新版本了
159,离水
160,OHHHHHHHHHHHHHHHHHH
161,味道和营养价值呢？
162,爪子不一样
163,自己的方言
164,方言
