,弹幕
1,说出口就没有回头路
2,呵呵
3,一模一样
4,离职
5,说走咱就走
6,马甲不错
7,加薪升职挽留
8,我们老板然而并没有挽留
9,离职本来也可以成为一种策略呀
10,一模一样啊
11,这么被动还打工
12,有了最好的选择，马上把你踢出公司。
13,那就狮子大开口嘛，多好的机会
14,我还说个屁
15,对资家千万不要有期望！
16,老板，我俩打算跳槽……
17,并不会- -
18,离职之前先提加薪啊。。。
19,太真实了
20,既然提出来了，想走就不是一天两天了。
21,说出去的话泼出去的水
22,始祖鸟
23,老板：怎么了？我：欠了一个亿
24,有什么好说的，离职就离职
25,我要走，绝不会停下
26,说的正是我
27,留人心也留不住。一根筋的人就不要留了，想玩斗争的则没问题。
28,好家伙，始祖鸟
29,不 只是工资不够用而已
30,一旦提了就不能再干了
31,就是啥都说假的，能不说就不说，不要，没有，没什么组合使用
32,离职
33,还好走了
34,回头不会有好下场的
35,老板：你怎么了，我：我欠债欠了一个亿。
36,老板的话能信？尤其是承诺
37,找好了就不一样了，
38,坚定走不跟老板当朋友
39,下家比涨薪还高出很多很多，一点不慌
40,一模一样
41,以后人手够了你就凉了
42,小李：老板，我也找好下家了doge
43,人家开一年8万挖我走，老板叫7万留我下来，然后我就
44,还没找下家，我先玩几个月。
45,没用的
46,形式上的
47,完全一致
48,还真是
49,不会，我会选择离职。因为考虑好了的事不喜欢变动
50,留下的是傻子
51,那那么复杂，要做就做，不做就走，来去自由
52,好大的始祖鸟标。。。。
53,都找好其他了的，不留不留
54,跑路
55,加薪不够。或者自己有自己的目标
56,加薪是缓兵之计
57,小白确实会想不清楚
58,这事没有必要纠结，行就行不装逼，关键在于到底合不合适
59,你先把之前欠我的给了吧，给完就走
60,一毛一样
61,真
62,老板：大喜临门啊
63,所以我最后带着小李一起走了
64,所以我带着小李一起走
65,为什么不呢
66,所以该离职就是离职
67,暖个屁
68,这是要你白白把小李练好然后就不怕你这位置没人顶替
69,TMD套残
70,666
71,原因：工资不够
72,就是工作关系，聊这么多
73,当然不留。没想好别走
74,这公司套路看来规模不小
75,找老板借钱然后离职
76,加一，但我还是直接走了
77,卧槽，一毛一样
78,真实
79,熟悉的剧情
80,既然开始了，就别停下来
81,骗人的，走就是了
82,都是套路
83,既然找到下家，一步不留
84,都是一个套路
85,我没有
86,走吧
87,朝三暮四，先拿三，这是猴子都明白的道理
88,老板的自我修养
89,真的哇，老板都是受过培训么
90,离职前先谈加薪
91,所以，我离职一般都是思考清楚，下定决心的。而且我的借口都是我亲戚开了家公司，要我去。。。
92,我：鬼
93,都要走了还跟他啦什么
94,侮辱性加薪
95,出来工作只谈钱就好了，没那么多事
96,等你的工作有交接的人了你看他翻脸不？
97,公式化套路
98,绝了
99,md，跟我经理说的差不多
100,缺钱哈哈
101,朱一旦外甥？
102,哥，，我好几次是被公司主动裁员。我凉了
103,暖意？！
104,所以留一手很重要
105,没事，就告诉他在这儿找不到男人
106,始祖鸟
107,还行
108,没这么复杂，真有一技之长还怕找不到工作，哪有那么多套路，套路的都是对自己技能心虚的
109,有人觉得up主讲的东西过于阴暗，但其实up讲的是人性，人性本就有阴暗的一面，你也许可以不阴暗，但你不能不防别人的阴暗，up就是教你如何识别他人的阴暗，感谢up
110,骗你的
111,小李:爷要离职
112,心理学？
113,确实，真实！！！！！！
114,说离开就离开，不要任何回头
115,离开
116,坚持走
117,不留
118,我希望每个月5百万
119,离开
120,饼好吃吗
121,up主优秀
122,哈哈哈哈哈
123,卧槽这一段真实一模一样
124,卧槽，我学会了
125,一摸一样....
126,老板:赶紧滚！
127,软硬兼施
128,刚遇上，我选择留下了
129,现在的老板，你不说辞职他不涨工资
130,哈哈哈哈一毛一样
131,是我了
132,离开   老板挽留只是形式
133,全是套路
134,提了就走
135,老板最坏了
136,真就一模一样
137,一模一样啊
138,不会留
139,一毛一样
140,完全一样呀
141,离开吧
142,不会的 想好了就不会变 不后悔
143,离职
144,自然是走
145,说个der
146,《和工作无关》
147,老板问下家给多少钱 直接说 他要是愿意涨到心里数值以上再考虑留不留  
148,说白了 老板不找不到比你更廉价的劳动力了 
149,对不起，这是我的私事
150,小李是傻子吗？
151,说啥大实话，拖出去砍了
152,一句瓷实话也别说
153,一句瓷实话也别说
154,愧疚 我愧疚个屁
155,不会因为承诺，老板的承诺最不值钱
156,想多了，有加薪计划不用考虑有没有我，必须有我，而且必须达到我的预期，不然就走
157,不留
158,不要留下，招到了人你就走了。
159,一定要坚持走
160,离开
161,全是套路，太真实了
162,一个月多给你一百
163,一看就是十几岁的程序员
164,真实
165,我去…累不累…走就完事了。
166,全是套路
167,始祖鸟啊
168,套路好深啊
169,太真实
170,算计来算计去，好没意思
