,弹幕
1,永远记住，，中国平民是全球最勤劳最吃苦最能韬光养晦
2,关键是报酬还不到位，还处处生活高成本
3,都是国家默许的
4,哪个企业推行双休了  估计只有公务员吧
5,工资谁给？！
6,这是你们公务员的
7,深圳底薪才2200，要是实行5天8小时，就拿个底薪，在深圳这种地方一个月才拿2200试问有多少个活得下去的？
8,会变得正常
9,并没有完全实现，坐标长沙，单休。经常加班
10,我最少11小时
11,内卷内卷
12,公司不愿意啊
13,以前每周工作84小时 现在一周63小时 已经觉得好多了
14,？？
15,浪费时间的视频，说的东西每个人都懂
16,从没有5天过
17,然而，给工资的人赚的少了
18,一个红脸一个白脸
19,吐了
20,想多了
21,不存在的
22,摸鱼
23,做梦
24,没有阿，就没有假期啊
25,是谁派你来的
26,确实不大  上6天那就5天活6天干 上7天也一样  总工作量不会因为你加时间就提升
27,?
28,年薪100万，公司就是我家
29,出气
30,我是单休
31,离职三个月不给钱
32,谁不是打工
33,人人平等
34,人才 哈哈 
35,企业:你在教我做事啊？
36,然并卵
37,卷吧
38,48小时，这么幸福的吗？
39,不行，老板赚的钱变少了，到时候怎么买私人飞机，包8个二奶
40,你反思有啥用啊，资本家又不会反思你反思有啥用啊，资本家又不会反思
41,智慧他吗指责，有卵用
42,万恶的gong帝
43,劳动法就应该规定，工作超过八小时用人单位和员工都应该受到惩罚。​
44,？？？？？？？
45,哈哈
46,实力强大是踩在人头上强大的
47,这样老板就包不起二奶了，这样不好
48,wtm直接抱着桃树啃好吧
49,好家伙抱着桃树啃
50,指责有屁用？这帮人要脸吗？
51,不要想这些不存在的东西
52,工时制
53,他们想要奴隶型人才
54,活在梦里
55,想的倒是挺
56,想得美
57,你应该说，竟然有公司实习了双休制。
58,那老板怎么换别墅
59,这叫推行？
60,人口老龄化得到解决
61,工地没得休，都可以安然无恙
62,应该问为什么仍有企业在双休
63,应该问为什么仍有企业在双休
64,放心，这类事情无时无刻不在上演，无论怎样都继续会有，我不管他新华网旧华网，说一遍还是说一万遍，根本不会有实质改变
65,没用啊，现在还是普遍996，997
66,我们不需要休息！我们要发展中国！
67,60
68,我们没事，哪怕是干坐着都要坐6天。
69,资本家：你想亏死我？
70,？滚，恶心
71,为啥不把这些纳入企业信用？这些只能国家管理吧
72,就算休假了。。领导也会在群里阿巴阿巴
73,善意有用要法律干嘛
74,因为人多你不干有的是人干
75,阿里华为给多少工资，这些老板肯出三成吗？
76,说一堆跟放屁一样
77,公会是摆设
78,老板赚的钱少了
79,我被安慰到了哦
80,现在也还是单休
81,国家默许了
82,再过25年都不会有双休
83,呵呵
84,放弃的吧
85,人民的幸福感会提升很多
86,客户说，明天周六我就要！周末你给我修改，周一前我就要！！！
87,人狠吃肉的那叫狼性文化，卖力吃草的那个叫牛
88,月休三天路过
89,这句话真实，我感觉我一个人干了三个人的活
90,哈哈哈
91,哈哈哈
92,7 公司没利润倒闭
93,梦醒了
94,你好没积极性啊
95,“严格执行”
96,“老板”怎么办呢
97,每天都是12小时吧。
98,现在不是一直上班吗？
99,有屁用
100,？？？？？
101,因为法律只保障休一天啊，而且就这还现实中很多地方实现不了
102,说了有什么用，没有一点惩罚谁管你那么多
103,有的是半个月休一天，一天在线工作差不多十二小时
104,所以公司的利益关我们什么事
105,865还差不多
106,央企
107,我们全年无休
108,一个月都做不完的流水线，你22天做完？
109,有用吗？
110,搞工程的我全年无休，上哪说理去！
111,说这么多有什么用呢，现在钱就是一切
112,我们的剩余价值呀！
113,七天无休工程岗位
114,这是理想
115,我有时候连续一天都要工作18小时
116,马云：老子第一个站起来反对！
117,你要记得给你发工资的是资本家，不是国家！
118,为什么法律不制裁？
119,搞工程的007
120,现在一样没实现
121,扯淡，欧美工作时间那么短他们效率不是一般低
122,能单休就偷着乐了
123,？？？
124,麻烦把劳务派遣干掉
125,太理想了 橡皮擦呢
126,我还活在1994年
127,然后就变成了一周50小时不止
128,没有什么怎么样，去国外看看就知道了
129,欧美都是很严格的
130,不定时工作制怎么办
131,我一周保底60小时
132,笑死了
133,我现在是十小时工作，偶尔还要拖到十二小时。
134,单休都没有怎么说 
135,哈，还有高薪
136,能摸鱼绝不干活
137,产他吗
138,就是喜欢恶心人
139,你想少了
140,老板少了
141,努力人=奴隶人
142,有单休就笑天了！
143,一月给10万我住办公室都行
144,单休都快没了，还双休？
145,老板可不喜欢，他们只想让员工来承受一切
146,别闹了！上夜班去了
147,土壤二字也
148,想多了
149,求单休。
150,什么时候严格执行过，全是口嗨！
151,小时候？儿童才有这种生活吧
152,我呸
153,这种up挑拨国家言论已举报，不谢！
154,人太多，劳动力市场处于卖方市场。
155,会变得正常
156,我们从双休改单休了，NND
157,给老板努力换辆车
158,得了吧 假期都没休息还想双休
159,信我，会更好
160,我们还是单休
161,退步了
162,你想到的都是员工思维
163,不强制有啥用
164,老板要事业型人才，这个就假了
165,工资变低
166,！
167,有法不依啊，又是裁判又是运动员的来执法
168,老马亏死了
169,有个屁用
