,弹幕
1,对。碰到很多你随便说说，他们会当真，过几天就冷落你，呵呵，不熟悉的千万不要说真话。
2,。。。。。。哪这么多事？？？？娘们唧唧的
3,现在公务员查户口一样的亲属关系表，怎么办？
4,滚
5,最简单他问你啥你就立马问啥就行了
6,真有这么恐怖？我同事跟我都很好
7,一般般，就那样，差不多
8,害，我就喜欢交流感情，但是不得不防，还是要看清人交朋友
9,还好还好，我不用上班，不然估计会被整很惨
10,太腹黑了
11,我直接说滚
12,我外婆活了98岁你知道为什么吗？
13,有有有
14,关你屁事!
15,我会重复一遍对方的问题～(￣▽￣～)~
16,我的天！苦活累活就是我做，美约其名夸我能干！
17,我不知道 啊吧啊吧
18,为什么要顾及那种煞差问话人的感受呢？道不同不相为谋
19,这不等于什么都说了么
20,优秀
21,反问对方，对方还不高兴了
22,我：关你柒事!
23,一般问我家在哪里，我都说在我们心中，我们都有一个家名字叫中国
24,你呢
25,都没有
26,就这应对？
27,我也金鸡独立了
28,我的妈 我从来都是照实讲 聊个天还这么套路
29,啊啊啊啊啊真的好多这种人！
30,生气了
31,学会了
32,原来如此
33,我靠 
34,遇到这种问的细的，我都一笑不回答。
35,我就说还凑合，打工就是混时间
36,不是打探，是脑子进水了
37,假话全不说，真话不全说。
38,哇 真的有道理！
39,大数据真可怕 我身边就有个这么狗的同事 天天人口普查
40,我的一个同事就特别爱摸别人家底。。。
41,我不太懂这些
42,我会直接回答，你查我户口呢
43,老阴阳人了
44,用魔法打败魔法
45,我不和别人说，你说吧
46,直接说关你屁事
47,真的讨厌
48,阴阳怪气
49,我上面有人
50,你是我老婆吗
51,鬼！
52,熟练使用关你屁事和关我屁事，可以节省人生一半时间
53,信息必须是对等的
54,怎么问你 你怎么问他
55,出了领导派活，我们同级之间工作都没啥交集没有竞争
56,是真的
57,交浅言深此乃大忌
58,拉黑
59,。。。回答的不如不答
60,卧槽
61,同事老爱问我攒多少钱 我多少钱关你毛线事
62,喵啊哈哈
63,哈哈
64,我们领导问过
65,鬼
66,知道又能怎么样，还能欺负到我头上。
67,先骂后打
68,国企事业单位很常见
69,问就是没有 全瞎说一通
70,金鸡独立
71,警察叔叔安排你调查间谍么？
72,up你这是真无聊
73,直接怼 你查户口啊。。
74,生不生二胎阿
75,这种闲的波疼的同事真多
76,曾是惊鸿照影来
77,我知道了，你没朋友
78,无事献殷勤非奸即盗
79,GNPS
80,你问过东北姑娘么？
81,杰哥
82,特别讨厌
83,哦初入职场，那不用喷了
84,你不管哈
85,我和老板睡过了
86,就是打太极嘛
87,太真实了.....隔壁科的都知道了
88,关你锤子事
89,我家有矿啊 还是比特币矿
90,可以可以
91,然后这些人就在背后说你没教养，反正怎么说都不对
92,关你屁事
93,你还没入职，人家就摸透了
94,我：你呢
95,那你这样阴阳怪气就好？笑死了
96,没错，就是我，小丑竟是我自己
97,金鸡独立了
98,有钱没钱从平时也能看出来，时间久了也都差不多摸清了
99,哈哈哈哈哈哈
100,讨厌这种人
101,遇到这种同事，真的好想离他远点，保持距离
102,哎呀
103,关你屁事
104,呵呵，你这是假聪明
105,真实
106,大哥，也许别人真就随便问问呢？几个同事至于搞得这么神秘吗？
107,查户口？
108,你在相亲吗
109,我问“你呢”
110,学不会
111,想多了
112,我们这儿但是还好，没人问
113,心疼up
114,有矿，还不止一个，两口矿泉水井
115,没事 我们单位都是有根儿的，没根儿根本进不来。
116,哈哈哈哈哈哈哈
117,ynm
118,早几年知道这个就好了
119,你先说
120,关你卵事
121,最讨厌
122,凡尔赛开始
123,这样的人可太讨厌了
124,那是没话聊了
125,完了我
126,窒息……我有时候也会这么问别人，但真的只是闲聊好奇，以后不问了
127,是这样确实
128,我会冷冷的看着他问“你有事？”
129,这是上班还是宫斗，闲得慌
130,鬼
131,真实！
132,回他一句关你屁事
133,关你屁事
134,家里自己住天桥房子地球那么大没有对象
135,关你屁事！
136,新时代了
137,这是真的
138,噢噢
139,啊
140,一般就反问，转移话题到对方身上
141,回：关你屁事
142,这种同事，我会适当回应，他非要继续逼近，然后说与你何干
143,我家拆迁
144,确实
145,真是无聊的人
146,學習了
147,金鸡独立
148,他们都造不过我
149,纯粹八卦
150,傻乎乎的什么都说可能是给你介绍对象。
151,同事饭桌上问我，我告诉他你问的太多了
152,关你屁是
153,我直接阿巴阿巴阿巴
154,你问这个做什么
155,关你屁事
156,学着点没毛病
157,公司人事都会问的
158,你喜欢吃苦瓜吗！
159,还好我警惕心重，对这种事很敏感
160,真实了
161,我就该早点看到
162,高中就这样了
163,还是自己没钱么。
164,我家就我一个  你家人很多吗 你有种动手啊  看谁被灭门呗
165,这种人确实烦
166,熟练的让人心疼
167,666
168,哈哈，事业单位政府机构进去问你就是要给你相亲的
169,厉害
170,窒息
171,管的着么你
172,高中的时候就这样了
173,不清楚
174,很清楚
175,人心隔肚子，谁都信不过
176,优秀
177,你这个内容，不是原创吧，我曾经看到有其他博主说的话跟你的一模一样
178,小明的爷爷不多管闲事儿。
179,小明的爷爷活了108岁。
180,职场不一样的，人心险恶
181,不用那么麻烦，打个哈哈，然后扯上别的话题，人家就不会继续问下去的
182,跟药水哥学，ta问一句你回一句   您呢？
183,有用…应该每个人都被问过吧，我在学校就已经被问过了
184,我就是被造谣了
185,一个字 滚 呆逼
186,干他屁事
187,我就是那个傻子
188,会被过度解读
189,也不一定
190,我北方小地方五套房子
191,你查户口呢？
192,你说的跟外交官一样，正常人都会觉得你虚伪
193,受教了
194,直接一个字：滚
195,你是八万个为什么，垃圾人太多了
196,查户口呢，当场回个gun
197,真有病
198,有病
199,你猜呀？
