,弹幕
1,那到底是哪几种病
2,我们这有个人体检不过，院长是考公务员不容易，给他过了吧，真事
3,不用面试，笔试前就可以去了。不用白费力气
4,脂肪肝 肾结石影响吗
5,都怀孕了还叫女生 我真是笑死了
6,全面检查
7,为什么还要查视力啊
8,请问地贫轻症会不会被卡？
9,老婆
10,脂肪肝呢？
11,好美的公务员
12,我高二裸眼5.2  现在好像只有5.0了
13,搞得这么恐怖
14,甲状腺呢
15,姐 哈尔滨的？
16,你是哪个单位的（一本正经）
17,是自己给钱吗？
18,问题来了，要自己检查吗？
19,我怕地贫
20,多少钱呢
21,胆固醇高会不会卡掉
22,我比较担心血压跟转氨酶
23,好像金晨啊……
24,经期最后一天做的，想着影响不大，结果血红蛋白还是超了
25,赶上部队的了
26,好看
27,等等妹子，女的有前列腺？？
28,我近视太严重了
29,我不要卡掉，我要卡妹儿❤️
30,我是一身病。。。25岁
31,妇科检查真的好痛
32,痔疮影响吗
33,你管人家用什么口红？有病
34,口红并不好看，不自然，跟妆不搭
35,？这么多
36,梅毒
37,妇科？？？？？？？？？？？？？鸭嘴钳？？？？？？
38,居然有人驾驭了芭比粉，女神
39,前列腺县长
40,梅毒是性病
41,现在不都会预检吗？
42,同黑龙江上岸
43,执法执勤岗位就是要求裸眼5.0。不是矫正视力
44,性病
45,哦哦
46,我很想知道前列腺跟我的工作有个屁关系？
47,上岸！
48,真假的，从小到大体检都没脱过
49,我也是黑龙江的，考上公务员了
50,这彩超真多
51,正常人不可能有，不用担心传染病。主要是血常规和高血压
52,裸眼不可能5.0，那是矫正视力
53,我们这从小学到高中体检都要脱光
54,免费不
55,鼻炎会有影响吗
56,警务技术
57,事先找个医院做个公务员体检套餐！
58,有点像金晨
59,不 是看你有没有毒
60,好看的小姐姐
61,我想知道有没有纹身的检查
62,老婆
63,血小板50单位不行吗
64,特发性血小板减少看来不能考了555
65,我担心的是笔试
66,小姐姐考的哪个单位，我也刚上岸黑龙江
67,桥本甲状腺炎呢
68,突然有了想和别人天长地久的想法
69,那是你不知道
70,漏说了血液病：比如地贫，白血病，蚕豆病
71,你们体检项真多啊
72,性病
73,梅毒不是霉毒
74,卡掉
75,小姐姐真好看
76,今天粉色口红好看
77,不是要矫正4.8吗，我们这里不到就要复检
78,听说要脱光？这是最不能接受的
79,请问小姐姐甲状腺是会做彩超吗？甲状腺结节的话，可以过吗？
80,胆固醇呢？脂肪肝怎么办？
81,女生憋尿男生不要
82,有关系的早就知道了
83,好漂亮啊
84,嘿，你还真漂亮
85,没啥看头，除了脸
86,后期要补，不合格还是会辞退
87,老婆
88,我滴妈耶，这么多
89,借美女吉言！
90,不，我已经不健康了
91,梅毒是啥病呀
92,我感觉我啥都不做
93,黑龙江的小姐姐都好看
94,黑龙江好评
95,颜值有点高
96,乳腺也会检查吗
97,单眼弱视能考
98,来看颜值的朋友，请镜像播放，食用效果更佳。
99,听起来还是挺公平公开的
100,这个挺好 感觉挺人性的
101,有谁和我一样是来看颜值的
