,弹幕
1,因为压根不富
2,因为没多少头发了
3,没时间
4,我和他们炫头发
5,放屁 因为程序员的钱都用来植发了
6,因为没钱
7,不是炫发量和发际线吗
8,因为敲代码挣的钱都拿去植发了（doge）
9,应该炫头发
10,因为穷
11,因为买不起房啊
12,炫富要出镜，会暴露发际线的。
13,我给你看看我的显卡吧？ 我也想炫，但没人懂
14,程序员的富你看不懂
15,p，真正的炫富是打开g站，几万星
16,你认识的程序员跟我认识的不太一样 大师
17,人家炫富你看不懂，adobe的软件一年几千块钱
18,没时间
19,没富可炫
20,因为头发没了
21,没没没，是才花几十万种植的头发
22,炫了个寂寞，没人懂
23,都去植发了
24,理工男一般是比较低调的
25,因为不富
26,不是炫头发吗
27,因为没多少钱啊
28,这算下来，和车房都不是一个数量级。各种配置拉满也用不了半套房
29,血汗钱炫啥？
30,我心思几万的电脑几千的键盘能和房车比？
31,炫发量
32,应该要炫秀发
33,不是程序员我也一个电脑几万一个键盘几千
34,不应该是一头秀发两万块吗
35,程序员也不富啊
36,不是植发？
37,你没看见他向你展示那一头秀发？
38,程序员007那有时间炫富
39,炫头发？？？？
