,弹幕
1,？？？？？？？
2,？？？？
3,学到了
4,酒席这么贵
5,那我加一条 999感冒灵49块会怎么样
6,自动填充
7,？？？？？？
8,厉害
9,？？？
10,哦哦哦
11,ohhhhhhhhhhhh
12,声音诉讼
13,?
14,牛掰格拉斯
15,？？？？？
16,新版office的智能填充，WPS没这功能
17,ohhhh
18,开局一个爆破给吓死
19,玛德吓死我了
20,？？
21,求和，求和，李姐万岁
22,？？
23,吓到了
24,我去，牛批
25,？？？
26,ohhhhhhhhhhhhhhhhhhhh
27,？？？
28,卧槽早餐吃这么多
29,没操作出来，跟版本有关
30,？？
31,直接两块钱学费
32,牛掰
33,发回去重新填
34,？
35,卧槽，学到了
36,分列不香吗？
37,？？？？
38,你声音好像保彪呀，这不会是你小号吧？！
39,万能的ctrl加e
40,学到了
41,厉害厉害
42,所以为什么要文字和数字弄一起
43,正则啊
44,学到了
45,好棒
46,哇
47,！！！！
48,夸张
49,卧槽，学到东西了，ctrl e
50,？
51,03版无智能填充怎么搞
52,03版excel没有智能填充怎么搞
53,好的！学废了
54,666
55,？
56,牛掰
57,？
58,????
59,？？？
60,妙啊
61,打印
62,分列
