,弹幕
1,非机动车道在右边
2,我感觉脚趾拇都抓紧了
3,哈哈哈给弹幕教练气坏了
4,这种人开车门也不看后面，真害人啊
5,好家伙
6,我一档跑得直线行驶
7,我们这儿除了加减档 其他时间都是二档
8,我们zhei
9,开车的时候要注意 不想扣分回炉再造一
10,直线快一点
11,我们教练天天骂
12,太温柔了
13,教练太好了
14,走错道了，妹子
15,后面的小哥还没考啊
16,练车可以说话考试不行
17,训练车就得再非机动车道上开
18,看了那么多期，唯一一个打转向灯的？
19,右手开门
20,周杰伦唱首歌放松一下
21,练习道路一般都是在路边开
22,非机动车道怎么宽？
23,这方向灯都打回去了...
24,没摄像头冲就是了
25,这算远了 有些坐个垫子加怼方向盘脸上
26,心态崩了
27,练车的时候我直线能开到40，不自觉速度就上去了
28,噗
29,这么少的吗？我们这儿是扣100
30,这路况算好的了
31,座椅是根据个人的身高体型调的，弹幕在说什么呢，练过车吗
32,要是我练车的时候，教练在拍视频我会直接投诉
33,看着像个大学生
34,她为什么速度不提上去
35,停车刮空档？哪个社会老师傅教的？
36,她一直在低速度高档位
37,挂档都挂错那还考啥
38,这都扣分？？？
39,直线行驶要跑到四五十才行
40,这是自动挡
41,后面是等待模拟考学员啊 一次不会只教一个人啊
42,不适当
43,科三过了，我也喜欢看这些
44,我们教练也很温柔很冷静，教练骂人反而学不好
45,又没行驶过程中怎么不能低头了
46,打方向盘不专业
47,能挂错档也是可以啊
48,当初练了一周的早高峰，贼6
49,看她表情。。唉冷静啊姐姐
50,厉害，到路口了不看路，转头看教练
51,个
52,安全带
53,心态炸了
54,你搁这儿直角转弯呢？虽然考试这么转不容易压线，但是太别扭了
55,我科三教练天天睡觉  但我还是一圈考过了
56,这叫平时练的好？教练脾气太好了
57,嘿万经常越级将挡，空档滑行
58,看后视镜了
59,各个地方难度不同
60,方向盘稳住你跑15都行
61,直线行驶跑20够了。。。
62,人家是教练 自己学员
63,驾校为了考试都是这样坐的，离得特别近，科二坐的更近
64,车还没走为啥不能低头看档
65,方向盘打的比我好
66,不会熄火只是有抖动感
67,科目三最好考，细心一点
68,我当时就直接顶着转向灯，不让它变回来
69,这路车好多
70,座位是不是太靠前了？
71,怎么又是这个小伙子
72,老面熟人了，这小哥还没考么
73,不是放手刹？
74,一档起步2档转弯3档正常行驶
75,心态崩了
76,这都扣啊 
77,三蹦子越来越远了...
78,我一直很好奇这么慢能超谁的车
79,三挡30就够了
80,感觉小姐姐要难受哭了
81,我们这不匹配扣死
82,欧豪你不去拍戏跑后排看戏啊
83,考完都开自动挡为什么不直接考自动挡呢
84,这都有三十码了吧！我们这边正常行驶不能超过25，而且只能二挡
85,我是练的时候全是问题，一考试就能过
86,自动挡yyds
87,看着都难
88,杀手
89,学员练习，你一直哔哔录像拍视频
90,开车开的慌的一笔可还行
91,后座是周杰伦
92,考驾照只能一档一档的降不能越级，但是出去开车的时候用到这种会特别多
93,我人都傻了，弹幕就硬杠，合着你练科三教练还得专门给你找有虚线能变道的路呗?脑子都没有
94,我们这一档只能开50米，两档200米
95,又是个开门不看后视镜的
96,驾校车不扣分 没事的
97,从未来的我告诉你其实不是
98,这样还叫练的好啊？
99,小伙1-5号的视频
100,这教练也太好了，好温柔
101,滕州的吗？这女的是我前女友，看了半天才看出来。。。。卧槽
102,经 典 复 刻
103,谁能抚慰我这颗绝望的心
104,昨天科三一把过 快乐
105,我们这车辆档位不匹配100分
106,这方向盘都怼胸口了开车咋开
107,女生紧张了
108,方向盘怎么那么大
109,我当时是人工监考
110,哈哈哈哈哈哈
111,这还严？
112,我们这一百分
113,左转左道，右转右道
114,这真不像是补考两次的
115,这个座椅也太近了吧。
116,就是科目三练习路线吧，不过咱们都是直接在路上开的
117,我这边的科目三很好考
118,安全带呢
119,还是自动档好哈哈
120,刘教练一点不老实，女司机毕业前都被卖了
121,这水平也太拉胯了
122,心态已崩
123,这不是非机动车道嘛
124,除了加减档，我全程1档15码走完，满分
125,低头看档不合格
126,左弯就得拐大弯
127,23432
128,不观察就开车门 这意识 考过也是个马路杀手！
129,后面的老演员了
130,发现问题了，那么多学院挂档不熟悉
131,大不大？
132,我再滕州考的时候基本上是25   30
133,在滕州考  你别慢   交警监考  很多学员考科目三   你要是慢了  他有可能会给你一脚刹车
134,我们直线行驶都是四档 直线行驶结束就退回三档
135,代入感很强，我已经感觉被骂了
136,草
137,浙江这可以越级降档
138,一群小学生
139,弹幕都是考几次过的人才
140,我就是这样，换一个档方向盘也转了
141,座位也不调，这样开车不难受吗
142,拿了驾驶证最喜欢看这些了，真刺激
143,钥匙怎么掉地上了
144,42 31檔位不分 不太優吧
145,方向盤太近了吧
146,这车况最好练车有车来车流量也不大最适合练车
147,来看冒烟
148,在非机动车道上练车还是拍摄的角度问题
149,我们得练得差不多了，教练才让报。。
150,比我们这里严。
151,国内挡位都有问题，住处匹配，都是扯
152,15年驾龄能挂 你是在吹什么牛逼
153,错的好多
154,直线变道。。
155,老乡啊
156,等等，路中间停车吗
157,新妹子表情太6了
158,好家伙
159,问车道的都是没学车的吧
160,低头看档我们这就是不合格，其他地方不清楚
161,这么说后面的兄die上次挂了啊..是被1900吓到了吧哈哈
162,走成华大道
163,后面小哥可能是实习教练，我猜的doge
164,学习学习
165,对，我同事也是，平常练车没问题，考试时心态不行，已经挂三次了哈哈哈哈哈
166,你们那里考的太细了吧
167,大脑放空了～根本没用
168,科目三是长训吗
169,后面的小伙子老演员了
170,超车速度这么慢的呢
171,他这个第一次右转就跑错道了，跑到非机动车道了，后面一直实线变道
172,妹子看着文文静静的
173,@女流66
174,你打那么急干什么，快了点一下刹车就是了
175,路口要是没这么近打死很危险的
176,都是杀手，档位都分不清楚
177,哈哈哈挂档还能挂错？
178,到路口了还变道，太可怕了
179,这路况。。敢让学员开？？？？
180,女的开车方向盘都调的特别近，不知道为什么
181,1965
182,超行人吗
183,走成华大道
184,他是怕你干他
185,离得怪进来，就隔着个湖
186,我十五年驾龄去考这科目三估计也得挂，太细了把
187,后面小伙子眼熟哈哈哈
188,我都忘了
189,安全带
190,这开门开的
191,第一次觉得开车好难啊。。。
192,别空挡停车，踩离合停车，不然容易溜车
193,开车门也不观察
194,这个内容真的细
195,白线
196,怎么又是他哈哈哈哈
197,滕州菜煎饼
198,转向听到语音就打灯，宁愿时间长，每个路口踩一脚刹车，轻轻的，
199,可以以空挡为一个基准去记住档位，但是切勿停顿，一回空挡马上挂档
200,拿了驾照回来看，档位其实很好记，，挂档的时候在空挡松一下，就是正中间，前后三四档
201,滕州不是在薛城考吗？
202,离方向盘太近了
203,不是，这也离方向盘太近了吧
204,看完我不会开车了
205,是和我们不一样，我们要跑五档，这个到现在一直没速度，在我们这肯定挂。
206,感覺快哭了
207,刚好复习一下，我感觉我在路上开都不够规范
208,太紧张了
209,这确定是考过两回的?
210,你们生来就会开车吗？
211,其实这样还好啊
212,龟速超车
213,我血压上来了
214,坐的也太靠前了
215,可能是科二要求你座位近点方便学习，到了科三改不掉了
216,考试加减档必须先到空挡再加减，不然设备识别不出来你就哭去吧
217,减可以越啊，升不能呀
218,补考第三次连档位都搞不清还考毛线？
219,后来小哥不就是1900分的那个嘛
220,压实线啦
221,这考场成好少阿!我们考场车多的一比，掉头等10分钟
222,请出一期后面小哥的
223,这档位都不熟悉咋考
224,小哥一看昨晚没睡好
225,又是后面的小哥，哈哈哈
226,发网上群嘲不好吧
227,正常开车，越级降档还挺正常的
228,我是手压着转向灯的
229,并不会挂，它的设置挺合理的，你这个15年也太水了
230,这就是典型的考试杀手，被杀的
231,又是这个好教练
232,好家伙挂错三回了真是不走脑啊
233,哇，我大滕州耶
234,为什么要难为自己，多交几百考自动挡不行吗
235,这个考试没有学校路段和公交车站吗
236,视频看多了，他这个路线我都会开了
237,我就是指纹太浅科目四补考了一次
238,我科目三发着烧迷迷糊糊就过了
239,刚来 请问什么时候冒烟
240,换挡的时候方向盘手上不能使劲，如果你把手都松开，方向盘不会自己动
241,档位已经是基础中的基础了这个都记不得那还搞个鬼
242,1900来的
243,要哭了
244,模拟考试好吧
245,这教练教的够仔细了
246,我是问你该走哪个道。
247,折磨
248,太僵硬档就容易挂错
249,差点害死一个电动车
250,新手就是这样的
251,驾照考试越严格越好，毕竟上路了就得对他人负责！
252,考试不能说话的
253,同1900来的，又是这个生无可恋的教练
254,为什么总上非机道。。？
255,这教练犯了什么事，都是他摊上？
256,看完扣了2000分的那个女的来的
257,龟速超车哈哈哈
258,"像极了我学科三的样子，我变档2,4分不清楚。"
259,我学科二的时候，个顶个方向打的死死的，助力泵感觉随时都要爆。
260,扶方向盘手臂微弯感觉最舒服，单手打盘子的话就差不多伸直了
261,卧槽实现变道，不怕扣分？？
262,这里，我们教练说左手按着转向，别让它跳，哈哈
263,好慌感觉她
264,可怜兮兮
265,滕州啊
266,这是趴方向盘上开呢？
267,1900分来过
268,我考试开的老慢完事了安全员都嫌我开的慢
269,座椅调这么靠前真的得劲么
270,背景小伙还没毕业啊
271,停路中间？
272,滕州？是在邹城旁边的那个滕州吗，俺是邹城里
273,长知识
274,脾气真好
275,自动挡考试的话 路考得出多少事情
276,怎么没注意到有没有学校公交站点
277,抱着方向盘开 遇紧急情况能转弯吗？
278,现在不都是机器打分吗
279,从扣一千多份那来的
280,后排周杰伦
281,后面怎么又是这小哥
282,这太严了吧
283,照这种机器规定死的，我觉得我现在15年驾龄也得挂
284,1900分来的
285,这个姑娘完全是慌乱的
286,直角拐弯？
287,每个地方  都不一样
288,姑娘嘴唇子都白了
289,这妹子感觉坐太靠前了
290,市区违法鸣号，罚款200元不计分
291,这速度是科二吗
292,后面的那个小伙子没换人啊
293,低头看档就不合格了吗
294,我记得当时我考的超车是打转向灯就行了
295,未系安全带
296,直线行驶要到35码以上吧
297,为什么档位都能记不熟呢？
298,考了两次了这档还挂不明白么……
299,模拟考就不行了
300,这么复杂么？我当时怎么过得？
301,这是训练，不是考试
302,我们教练教的是慢开左右手快速小幅度左右调晃方向盘，我就这么过的，但真开车谁这么开谁就是傻子吧
303,我是练车的时候练的一般，模拟也就凑合，考试虽然紧张的要死，但最后还是一把就过
304,直线真的不要减速 扶稳了盘一脚油门就过去了
305,直接踩刹车换挡都行
306,直线了还变道
307,档位都没拍熟…
308,一样四天
309,脱档了…这么空
310,我觉得要是我那暴躁教练可以骂到天上去了
311,不是考试
312,这是教练
313,驾照还愿
314,这一看就是会读书不会考试那种啊
315,这个教练脾气是真的好
316,低头看档，直接不合格
317,后面还是那个小哥
318,升档只能逐级升，降档可以越级降
319,太折磨了哈哈哈
320,看这抱方向盘姿势就知道不是个好司机
321,小姐姐好漂亮
322,这也太多车了
323,还是这个教练，还是这个男学员
324,直线蛇形走
325,花圃：我当时害怕极了
326,练车不是考试
327,我直接好家伙
328,方向盘打死，再回轮   新手玩法
329,科目三我练了三天就去考试了，就一个转向灯没三秒被扣分了
330,人家这是练车呢，实线也得变道
331,这座位离方向盘太近了吧
332,这越实线了吗
333,这拐弯这么拐……
334,看着就感觉姑娘特别紧张了
335,有点过
336,我都是二挡跑的直线
337,她不坐进 小短腿够不着
338,竟然是滕州
339,后面这小伙眼熟
340,哈哈！刚拿证
341,太紧张
342,一直瞟速度表
343,考试肯定不能录视频，说话呀
344,这次的好看点
345,考科三的那天遇上台风暴雨，还过了，考完不碰车现在也不敢上路
346,这座椅调的太不舒服了吧
347,实线变道啊
348,公开处刑
349,疯狂看公里表
350,弹幕都是高手，说不定驾照都没拿到，xswl
351,老演员了小哥
352,考试路段没事
