,弹幕
1,那公司搬家呢？
2,能问出这个问题的HR就是没啥情商的
3,钱
4,如果回答这些，背调干嘛用呢？
5,老板挂了
6,反正我的回答是：老板拖欠工资～我辛苦工作换不来报酬
7,哈士奇 假冒 大狼
8,说白了，没人愿意听大实话。不说或者说官样话
9,我就是这么说的
10,你直接说我不要工资还免费加班
11,hr ：你走吧 我们这都是关系户
12,妙蛙！
13,H
14,Hr表示 我们都是关系户 我就是老板的小蜜
15,这是能力和适应力不够的表现
16,hr表示我们都是关系户
17,这两年直接甩锅给疫情就行
18,这话说出来不假吗？hr会信吗？
19,我一次读研离职，一次生孩子离职，你都没提
20,不提不就行了
21,自信点，把也许去掉
22,哈哈哈  我内调  除了第一次 后来再也没被问过
23,高估我们这hr了
24,你以为hr是机器人？
25,不一个意思吗?
26,互相骗，都是大忽悠
27,你隐瞒了你的缺陷，隐瞒了你工作的动力，这算不算欺骗？等到后面再发现再开除你耽误双方时间，对自己和公司都不负责任
28,社保试用期按劳动法实质要买的
29,是的
30,其实一听这些话就知道你是有备而来，如果笔试成绩不够好你就可以滚蛋了
31,你的认知是什么？
32,长太帅同事无心工作，所以被辞退了
33,你的认知是什么
34,事实是说什么都是不对的
35,真逗，你這麼說還不如前一種說法
36,打工人最想得到的就是钱，而不是大饼(◐‿◑)﻿
37,钱太少
38,钱
39,钱，难道还为了梦想？
40,钱
41,垃圾人力
42,特么的就是事实
43,玛德很多问题都是人力挖的坑
44,结果这个HR就是关系户哈哈哈
45,感觉我遇到的HR没想到这么高深
46,高情商（）
47,考入单位根本不需要面试( •︠ˍ•︡ )
48,大家心知肚明，HR也是员工，话术太模式化了。
49,然后开卷？
50,钱
51,所以hr这个岗位是真贱啊。。。
52,累不累，大家都是出来工作有几年的老妖精，话术什么的谁也不是傻子，大学生学学罢了
53,工资太低
54,虚
55,那你完了
56,左边是我眼花吗？
57,你tm能不看稿念吗
58,钱
59,钱少事多离家远
60,说的太表面了
61,夸就完了。
62,钱，是钱阿
63,怎么样行骗哈哈哈
64,空降兵那可真不少
65,面试官：之前我面试的999个人都是这么说的～～
66,？
67,肯定是钱
68,因为hr太能BB而离职
69,跟小姨子跑了
70,你的人认知是什么
71,你的认知是什么
72,跳出舒适区这句话出来，我直接一票否决
73,冠冕堂皇，我觉得你这个人没一句真话，pass（doge
74,？？
75,hr不就是老板的。。。。
76,呵呵呵呵
77,我就是想涨工资，赚钱
78,建议分成左右低情商高情商（doge
79,…
80,面试是双向的。
81,你的认知是什么？？？
82,明知故问，谁不知道离职主要原因就是薪资。
83,三连走一下
84,hr说我们的也不太匹配你的预期...
85,直接pass 
86,越发觉得HR脑子都有问题
87,HR现在是一句实话都听不进去了吗
88,教你撒谎
89,以后看到这么回答的就知道是看你视频了
90,说那么多没用的，工作还能为了什么？钱肯定是第一位的。
91,问题是这么问基本没人会说真的
92,面试就是比谁谎话说的俏
93,人家hr心里清楚得很，只不过想看你怎么回答而已，跳槽
94,你的认知是什么………狗头
95,不为了挣钱，谁出来打工
96,钱
97,为了钱完
98,不好意思我们关系户更多
99,老子不想干了，就这么回答
100,钱
101,说实话，hr真的没什么卵用，很喜欢招学历高能力低的人
102,很好，销售这个岗位很有挑战性
103,反向画饼？进公司就摸鱼
104,身体不好上班太累，肯定没人敢要哈哈哈哈哈
105,我肯定三观不正
106,猪摸摸直呼内行
107,我问你的认知是什么
108,背调要经过你的同意
109,你的认知是什么
110,你的认知是什么
111,那不行，我们需要多方位人才
112,钱钱
113,工作什么目的，当然是挣钱
114,舔就是了
115,？？？？
116,有能力还用怕怎么应付hr？先武装好自己再去应聘，怕个毛线
117,这都不能说的话，这公司不去也罢了
118,hr还查社保呢啊
119,hr：新的岗位也排挤
120,能被挤走的基本都是情商低
121,不要把别人的小肚鸡肠 都视作自己情商低
122,hr为什么会跳槽 打算干几年
123,疫情原因
124,面试要问为什么老板开公司 老板以前上班为什么离职
125,然后HR也是个关系户
126,看重钱啊
127,？？？？？
128,今天早上起来看到雪了，魔王看到了吗?现在阳光很好，天空湛蓝，你怎么样?
129,更新啦！
130,up有些像我同事
131,画面边上一直在闪
132,哈哈哈
133,被资本家洗脑洗出优越感出来了
134,你上次跳槽也是这么说的（
135,钱
136,HR我给点更刺激的
137,行了，等通知
138,很不幸，hr我根本就不认识
139,hr就是些蛋疼痛经的嫂子
140,个人原因，家庭原因
141,那就是互吹呗
142,你呢
143,没错，我一个做设计的之前去应聘，老板觉得我沟通很在行，想让我去销售，我当场拜拜
144,格局小的公司都会这么问
145,学习学习
146,hr：不好意思我们也不上社保
147,谢谢阿婆的分享，正好在找工作
148,就想问，你和你前任
149,我就是为了钱来的
150,受人排挤其实就是人缘不好。
151,我们这也不是很公平，你走吧
152,然后就让你去了销售岗位
153,用人单位一条筋要做背调咋办？
154,挑战性？HR又会想这人可能挺能干的，然跟用人主管说效率高想挑战新的方向，实际跟应聘者的理解相差一大截
155,有几个给上
156,生存动力
157,说谎的话，有些公司会背调的。我觉得就实话实说，拿数据支持自己观点就行
158,HR会说我们这里也不一定能让你学到什么
159,就是不能说实话的意思
160,我老板跑的比我快，疫情初期时候出境社
161,被关系户顶？
162,钱吧
163,我的工作都没交过
164,除了挣钱还有什么？
165,。。新的地方也是这样呢？
166,蹲一个科代表
167,懂了，工资给太高了
168,左下角什么一直在闪
169,你的自我认知是什么（最近挺火的）
170,真的好工作都是内推的不会问这些
171,关系户不好说啊
172,这还不是一样
173,就是同样的事情换个说法
174,其实背调是看不到社保的 一般都是直接问你前单位的hr 他们hr有专门的圈子
175,我是HR我只相信对方3分之一的话
176,看完觉得HR都是250？
177,高考式面试有何意义
178,钱啊
179,我直接吐槽加班严重，现在发现真的不懂事
180,就是撒谎么
181,学到了，点赞
182,公司觉得你不安分
183,真会说话
184,有鬼
185,过一段时间又露馅了
186,关系户hr:你在叫我做事？
187,？？？？？？
188,太难了…
189,我把老板给炒了
190,你的认知是什么？
191,公司喜欢裁人，就没有呆够2年的人
192,hr表示我就是关系户
193,有些HR自己的三观都有问题
194,公司倒闭了，所以要离职
195,前面这位麦克风给你请说出你的故事哈哈哈
196,非常感谢Up主，很实用。
197,钱
198,还不就是想得到钱
199,旁边是什么东西一直在晃？
200,反正就是贵司符合预期
201,听到这话，关系户的HR开始了脑内风暴
202,先点赞，再观看，支持nova。
