,弹幕
1,呵呵，阴暗？你怕是还没出过社会，不知道社会的险恶
2,高，都让你高完了
3,狗眼看人低罢了
4,他慌了哈哈哈哈
5,这个人是真的牛主持人是真的蠢
6,可以，你说完方案后你的价值在哪里了？你这么好心建议面试的时候帮对面做个规划书
7,她看了也可不要你啊，也不是阴暗，她说再聊一下也没有想一定要这个人
8,好家伙白嫖是天性
9,鬼
10,我也很好奇那个说北大研究生没用的得是什么学历
11,北大有国际关系啊。。
12,是，白嫖方案
13,白嫖方案
14,干销售？毕竟有局限性
15,你新冠吧你，还销冠
16,这个确实
17,你和你爸一个姓 就能证明是你爸吗
18,这个人
19,他说的没问题
20,确实是的
21,说白了，就是杠精
22,哈哈哈哈哈
23,哈哈
24,套话。。
25,我的新闻联播下载好了？
26,这说的真的没错，职场被套方案，很正常的
27,哪酸了，人家本来就这学历，那人说他不是
28,已经开始撒泼打滚
29,？？？
30,说心里阴暗的，估计都还没毕业
31,面试的时候这种做法屡见不鲜了，很多面试官都会以考察的名义白嫖面试者的方案，甚至还有一些会试图套上家企业的内部信息
32,传说中的证明你✘是你✘
33,不至于不至于
34,这个人太自信了
35,现实就是白票
36,成年人世界哈哈
37,职场差不多就是这样了
38,我电脑响了
39,说阴暗的还没进入社会吧
40,这心理也太阴暗了
41,格局真的小
42,这里倒也不必
43,倒也不必
44,？
45,这个人真的是个骗子
46,那个应聘是你吗
47,哈哈哈
48,我们没有国关？
49,BBC？
50,山水哥？
51,你能证明这个身份证是你的吗？
52,有点酸
53,不觉得啰嗦呀
54,。。。。
55,格局小了 兄弟
56,你真啰嗦
57,松鼠AI不行呐
58,？北大就是叫国际关系学院吧
59,??
60,这人谁这么狂
61,白嫖你的智力，你还要肯定她？
62,人家说不定就是看看你有什么方案啊……你这阴暗了吧……
63,这有什么好质疑的？查一下不就行了
64,这些企业还有几个活着的
65,这个主持人有问题吧
66,成年人世界太复杂
67,前面你什么学历？敢说研究生北大没用？
68,你放屁没有
69,比特币不懂，不是压着就行嘛？
70,老板不咋地，这个面试者也好自以为是
71,呵呵
72,这个人好自以为是，受不了
73,多少公司白嫖面试者？
74,娱乐节目而已
75,好像那个辛巴
76,这人心理太阴暗了
77,节目效果满分
78,这人有饼吧
79,干得漂亮兄弟支持你！！
80,？？？？
81,La到
82,格局太小了兄弟
83,大佬有几个是好人 
84,大实话，研究生北大真没啥
85,这个老板破产了
86,精灵树辣鸡
87,上节目的老板都不是什么好人
