,弹幕
1,美人落泪痣
2,辛苦了
3,辛苦了
4,55
5,一直感觉怪怪的，美颜关了会好点吧
6,辛苦了
7,这美颜
8,辛苦了
9,你好，派克曾医生
10,感谢，辛苦
11,你最让人讨厌啦
12,意外地眉清目秀
13,满脸开心
14,又拯救了一条生命，非常的开心，。
15,了不起
16,辛苦了
17,辛苦了
18,黑眼圈
19,辛苦了
20,美女好
21,哈哈哈哈
22,辛苦了
23,辛苦了
24,辛苦
25,辛苦了
26,封面以为是女医生
27,辛苦了
28,辛苦啦，春节快乐
29,辛苦了
30,满脸写着高兴
31,辛苦了
32,必须投币
33,派克
34,感觉你可像我实习时候的师兄诶
35,辛苦了❤️
36,辛苦了
37,辛苦了
38,和我一样有媒婆痣
39,辛苦了
40,派克曾医生
41,扭曲惹
42,辛苦了
43,辛苦了
44,辛苦啦，
45,派克曾医生
46,眼袋好重
47,辛苦了
48,辛苦了
49,hhhhhhhhhhh
50,辛苦了
51,辛苦了，谢谢
52,辛苦了，谢谢！
53,辛苦了
54,派克曾
55,辛苦了，曾医生
56,派克曾医生好
57,辛苦了
58,美颜了？
59,辛苦了
60,辛苦啦！！
61,辛苦啦！！
62,哈哈哈哈美颜
63,开了美颜
64,辛苦了
65,执着的滤镜
66,派克曾
67,辛苦了
68,我不看了，柜子动了
69,今天的美颜哈哈哈哈
70,美颜挡不住的黑眼圈
71,派克曾
72,辛苦了
73,辛苦了
74,辛苦了
75,辛苦了
76,辛苦了
77,辛苦了
78,曾医生红扑扑
79,大家好，他是派克曾
80,辛苦了
81,加油
82,这是开了美颜吗 好粉嫩
83,辛苦了！
84,盛世美颜
85,辛苦了
86,眼影口红在哪买的
87,眼影在哪买的
88,辛苦了
89,有需求
90,辛苦了
91,辛苦
92,手术做的慢的医生
93,王菲！！！）
94,原来是凡尔赛呀
95,辛苦了
96,辛苦了
97,小年快乐 辛苦啦
98,辛苦了！
99,这个美颜哈哈哈哈哈哈
100,辛苦了
