,弹幕
1,为什么我的并没有消失而是变色了
2,底下是红的或者花的怎么搞？
3,你在教韩国人去水印？
4,10秒了
5,好家火
6,妈妈，我要学这个
7,千万不要让盗图的看到
8,肖斯拉
9,十秒到了 
10,芜湖
11,消斯啦
12,能去衣服吗
13,这是10秒吗
14,时间到
15,10秒过了
16,大家一起来它盗视频
17,大伙儿来啊一起盗视频
18,这个普通话我，噗嗤
19,十秒到了
20,原创怎么办啊
21,十秒到了
22,十秒到了，说好的十秒搞定呢
23,每天一个入狱小技巧
24,10过了
25,你在教营销号怎么做啊？
26,原创者怎么活啊？
27,"= ：。。,。%。。 @。 。    。  ！       '   。。。。。  ， 。，。 。 。 。 = +     。      。    , 。 % @  。。   '         ！  "
28,"好,      '"
29,一. . + . *.   .*.* */ */  .    .* 。 ：。 .+  .       ！！       ！    %  ！   ！        +  
30,"⊥   *,  %。   =        ！ *.**...   .*  *！ . ..  "
31,   ，   . . . . . ， ，. 
32,"'w        ,   ！：（   '      *.    +   + *"
33,上一. @. .            ！           ..=  .  @ 
34,              。%。  。     .+/.
35,d. （   ！@，   ' ！      ！  
36,"！，      ！   % @        *..,  */' ,'   '！  =，  ！ ！！ '   //    "
37,还能不能     .   ' * *        ！ 
38,一一一               *.   . *        
39,b. +    .           '        +      。，  。。。。 。（  @  ： 。     
40,d   '       '       
41,"       ：%  ,。。。          ！ ！ '   "
42,"→  +/  .,*  ,     * .. '         .* '    '        '     。。,。   （=      。 @ （  。=  "
43,   '      .    '   +' *  。 
44,"亠。 。  。  。 ！ '            **    *                  . *   * ** . *  '        （,       = ：         。  "
45,"小      ！,   @   ！          '         *                     ！            .    .        *'           。"
46,  ！   （@ ！ + '：       
47,  .  *   .   *  ！       
48,      '      '       ！     . ！  ！         （% 。%%      ！     ....  + .      
49,一'     *  . .  .*   .      . '           +   '
50,的    
51,"  *. . *..  *. 。 。 ： （          ，    ：    %。     . ..  *    ' '  '  ，,          "
52,"   ... *. + .。。。 ,  ......  ..  。  。  。。 ， ：。。    。。    。 *.    * ... *,    ..   .    +/.. . . . .  "
53,    。。。。，。 。。。。 + 。。   ' '  *。。  / 
54,的一二一一一一二一 
55,"。。          。，   。 。 。，  。，                ., "
56,上
57,所以说曾经火了一时的去除马赛克软件的原理就是这个
58,马赛克可以去吗
59,20秒了
60,20秒了
61,你超过十秒啦
62,10秒了
63,干货啊
64,过了
