,弹幕
1,我觉得up主打这个广告很用心啊 能加到这个主题里
2,广告猝不及防
3,标题妙啊
4,是直播卖表的吧？
5,看到那条说姐有当rapper的潜质，给我笑到了哈哈哈哈
6,3
7,猝不及防
8,ilil
9,123
10,让她恰
11,后面的要做笔记，很真实  认真评估工作  不要贪 不要装
12,猝不及防
13,硬核植入
14,哈哈哈哈哈哈
15,牛批
16,66666
17,这些名表的皮质表带特别容易坏
18,我的闪光点：走后门
19,好爱听姐说话
20,123
21,说太对了
22,猝不及防
23,高冷
24,草
25,这点很对
26,3
27,123
28,我哪里买得起
29,对
30,3
31,猝不及防
32,完蛋 我就喜欢有设计感撞色叠穿的，枣糕
33,我靠
34,猝不及防
35,猝不及防
36,123
37,老板是我弟弟
38,对对对
39,3
40,1
41,猝不及防
42,我家里人在我参加工作后第一个礼物是一辆车，虽然是电动车
43,给朋友送了一块
44,？
45,3
46,这么专业吗
47,好家伙
48,好家伙这个逻辑速度跟不上了
49,看具体情况吧
50,...
51,孩子很喜欢吃 敏感肌也可以用
52,敏感肌可以用
53,123
54,猝不及防哈哈哈哈
55,33333
56,不支持呢
57,你们有没有遇到这种人就是人际关系很好但是他还经常跟你说他很内向关系很差
58,123
59,123
60,我都是保证自己不光着去上班 在冬天只做到保暖 其他什么都不在乎 
61,私下提意见  公开推动
62,哈哈哈哈哈哈哈哈哈哈哈哈你也太可爱了！
63,学到了
64,嘶
65,但是没钱
66,好好看
67,好!
68,123
69,哈哈哈哈
70,3
71,额……
72,向上管理
73,猝不及防哈哈哈那个小绿表确实挺好看的
74,3
75,。。。。
76,4
77,声音好好听
78,？？？？？？？？？？？
79,猝不及防
80,学习了
81,很少见的，哈哈
82,123
83,我还是喜欢智能表一点
84,123
85,3
86,我从初中有戴手表习惯，到现在读研依旧每天戴表
87,123
88,123
89,觉得很可。。关注
90,买个手环怎么样
91,123456
92,别骂了
93,123
94,好看
95,这一段说得很有用
96,jennie
97,3
98,哇我爷爷也给我爸买过
99,3333333
100,多少钱让我死心
101,6666666
102,搭伙不叫你太真实了
103,3
104,哈哈哈哈哈
105,33333
106,你慢点说，我跟不上！
107,5块钱一斤，你看不起桔子
108,真的没想到。。
109,？？？？？
110,没有刘海是不可能的，额头高，漏出来很丑
111,这种人特别少，至少我没遇见过
112,一开始干不好骂的特别难听，也就只能受着
113,猝不及防
114,无语
115,123
116,12
117,让她恰！
118,在厂子里完全不用考虑这些
119,猝不及防
120,3
121,123
122,猝不及防
123,33333
124,无误
125,猝不及防
126,过分了过分了
127,xswl
128,他们会把不用脑子做的累活交给你
129,33333
130,猝不及防哈哈哈哈哈哈哈哈笑死
131,3
132,男的带啥表比较好
133,姐姐的说话方式听着好舒服哦
134,1
135,向上关系
136,我就是
137,哈哈哈哈哈哈哈
138,猝不及防
139,还挺好看
140,3
141,看完种草这块表
142,123
143,根本不会化妆咋办啊，我还是过敏体质
144,12
145,猝不及防
146,虽然很好看，但是哈哈哈哈哈哈哈哈猝不及防
147,123
148,过分了哈哈哈哈
149,2
150,就特么流畅，过度顺滑
151,确实挺好看的
152,谢谢
153,笑死我了
154,哈哈哈哈哈哈哈哈哈哈
155,做技术的会买一个 apple watch
156,猝不及防
157,好家伙
158,人家看得上你吗 前面的
159,真实
160,3
161,123
162,秃头
163,出现了
164,123
165,重点
166,买橘子没什么，但是发给别人我真的做不到
167,感觉说话有点疲惫
168,累了带不动
169,人间真实
170,得看领导有没有脑子 没有脑子的：诶这人怎么总跟我唱反调呢。。 芜湖完蛋
171,3
172,啊这 大可不必
173,13
174,哈哈哈哈哈哈？？？
175,猝不及防
176,真实
177,3
178,33333333
179,职场人际社交
180,种草了，拿到正式offer去买
181,123
182,猝不及防
183,3
184,哈哈哈哈猝不及防
185,1
186,猝不及防
187,猝不及防
188,你这个是我第一次没有预测到有广告
189,？?
190,没错 只要眉毛和发型对了不化妆也会看起来很精神
191,买不起买不起
192,3
193,1
194,表妹你好
195,这个表确实好看
196,哈哈为什么我也想笑
197,？？？？？
198,3
199,呵呵
200,被骗进来啦
201,3
202,333
203,我脑门有疤怎么办
204,有些领导你说了不行都没用，不会去协调，规定时间做不了就扣工资或者让你走人
205,我看手机就行了
206,真实了，只赚钱，不交友
207,3
208,我小米手环怎么样
209,我在等什么   赶紧买
210,猝不及防
211,结果蹬鼻子上脸咋办
212,我以为有啥意义
213,好家伙
214,其实广告时间可以稍微短一点，这期内容还是很有用的
215,好家伙
216,搞了半天原来是广告
217,啊这……
218,秃头不配
219,卖表
220,全中QAQ
221,3
222,WC
223,？成不成家关你啥事啊太平洋警察
224,123
225,3
226,要怎么表达才做的工作显得得体又不那么显摆呢？
227,前面什么东西？？？谁管你要成不成家
228,我以为up主恰广告大家都已经习惯的事了
229,好家伙我直呼好家伙，猝不及防
230,原来是卖表视频
231,点赞了
232,123
233,1
234,但是刚工作也不清楚自己具体一件事要多久能做完
235,3
236,1
237,确实还挺好看的
238,敏感肌可以用吗
239,3
240,？
241,66666
242,66666
243,123
244,是我小朋友
245,累了带不动+1
246,3
247,挺有气场，，我28了还有点小孩样
248,猝不及防
249,凭啥帮你
250,123
251,27还是新人！
252,3
253,3
254,1
255,2
256,猝不及防
257,3
258,大学也是同理，是来学习的
259,这个介绍也太长了
260,猝不及防
261,最爱甜茶啦
262,z真实
263,all
264,卖表
265,3
266,无缝衔接要点
267,有道理
268,123
269,收藏过万了
270,收藏惊人
271,宝藏UP
272,666
273,秀秀秀
274,3333333
275,哈哈哈哈
276,猝不及防
277,3
278,123
279,…
280,123
281,真实
282,22222222
283,…
284,333
285,猝不及防哈哈哈
286,3
287,"1,3"
288,123
289,哈哈哈哈哈哈
290,太对了
291,对
292,猝不及防
293,太有道理
294,3
295,3
296,价格有点低，还有再贵一点的推荐吗
297,3
298,3
299,猝不及防
300,123
301,但我觉得一个人吃饭也没啥
302,3:可以跟领导称兄道弟吗
303,3
304,？？？？
305,3
306,绝了
307,不用把同事当人的，他们也不会把你当人。
308,其实技术型这种面向内部的工作，完全不用注意
309,为了卖手表出的视频
310,明白了这是为了卖手表出的视频
311,知道了，只是买表的视频。其实完全不需要特别注重形象，特别是负责技术等向内的工作。同事根本不用当人
312,让她恰
313,表掉了两个，不想买了
314,3333
315,123
316,33333
317,一本正经
318,3
319,你且坐在这里
320,真实
321,123
322,？？？
323,猝不及防
324,猝不及防
325,快进中哈哈哈
326,up主手好看
327,3
328,2
329,一般买10块橘子
330,广告占了一半以上
331,3
332,人踩人
333,1
334,不不不 你肯定没看诺兰的电影
335,？？？
336,？
337,有用
338,有用
339,好真实
340,恭喜恭喜～
341,。。。。。。。
342,主要是投入产出比 你接了活最后领导那你背锅就悲催了
343,形象
344,123
345,123
346,猝不及防
347,123
348,卡西欧不香吗
349,333
350,有能力的人别人就会主动找你，工作好了就会有志同道合的人
351,恭喜恭喜
352,3
353,123
354,3
355,1280
356,男孩子呢
357,111
358,123
359,3
360,哈哈
361,甜茶一说职场话题 就很御
362,这期好御
363,甜茶我来啦
364,求口红色号
365,万能甜茶
366,万能茶
367,宝藏up
368,靠谱
369,恭喜发现我的姐姐
370,宝藏甜茶又来啦
371,谢谢姐姐
372,33
373,123
374,有点像关关的感觉
375,博主也要吃饭。。。。罢了罢了
376,见仁见智 看自己喜不喜欢 对于自己来说必不必要 像我还是觉得手链好 简约款即可
377,猝不及防啊
378,但真的好看啊
379,敏感肌可以用吗
380,3333
381,123
382,对
383,对
384,哎呦我去
385,好家伙
386,抱金砖
387,别人凭啥帮我又没给他钱
388,这广告有点突然啊哈哈
389,雪花飘飘，北风萧萧
390,3
391,我竟然被UP住说服了
392,上班一年之后基本懂了这些
393,一针见血
394,好看！
395,?
396,3
397,1
398,？？ 啊这
399,猝不及防
400,123
401,真实
402,123
403,等等，跑偏了，开始吃饭了
404,嚯 
405,123
406,123
407,猝不及防的广告
408,别影响到我就行了
409,小米手环可以吗
410,进入主题
411,3
412,猝不及防
413,iwatch它不香吗
414,孩子喜欢吃？你是魔鬼吗
415,哈哈哈哈哈
416,猝不及防
417,广子
418,123
419,123
420,123
421,别念了别念了
422,哈哈哈哈哈哈哈
423,123
424,都在认真听么哈哈啊哈没有弹幕
425,123
426,看不穿 猜不透 是你........
427,123
428,猝不及防
429,哈哈哈哈哈哈哈哈哈哈
430,没错没错，我姥爷给我讲过他参加工作第一件事就是去买了手表
431,3
432,我大意了，没有闪
433,123
434,123
435,无情的打工人
436,3
437,3
438,我买我买还不行吗
439,是我
440,123
441,13
442,学到了
443,哈哈哈，一样
444,那Apple watch呢？
445,猝不及防
446,这一点太感同身受了！
447,3333
448,3
449,3
450,主题姐姐
451,。。。。。。。
452,。。。。。。。。。。
453,。。。。。
454,我反而喜欢一个人吃饭……
455,这……
456,？？？
457,你是之前那个戒烟的吗
458,。。。。。。。。
459,逐渐忘记主题
460,3
461,逐渐偏离标题
462,duck不必
463,apple watch 不香吗
464,123
465,比我们语文老师还能说
466,说的太详细了！没必要那样，记住一点，做一个有用的人，在平台上发挥自己最大的价值。让雇佣你的人觉得付你工资是值得的，其他都是烟云！
467,该来的总会来的
468,猝不及防
469,向上
470,我的天啊哈哈哈哈
471,哈哈哈哈哈
472,。。。。。。
473,好
474,。。
475,33333
476,3
477,3
478,3
479,逐渐偏离主题
480,。。。。。
481,3
482,对
483,靠谱
484,123
485,13
486,123
487,123
488,1 2 3
489,123
490,又来了
491,职场的秘密之小绿标
492,说得真好！
493,UP主有当rapper的潜质
494,你快闭嘴吧
495,1，3
496,卡西欧
497,……………
498,职场上一个人做任何事情都是有目的的，情感是真是假自己判断，
499,猝不及防
500,？？？？？
501,猝不及防
502,我爸非要我带劳力士怎么办
503,123
504,3
505,？
506,好家伙
507,猝不及防的广告
508,醉了 猝不及防
509,123
510,123
511,猝不及防
512,3
513,人间真实
514,123
515,333
516,333
517,666
518,4，你真的27?
519,猝不及防
520,。。。。。。。。。
521,3
522,111
523,123
524,我工作快十年123还是不对
525,123
526,好的姐姐
527,精辟
528,是我
529,真实
530,。。。。。。。。
531,3
532,好看
533,撤了撤了
534,我秃头怎么办
535,买橘子的有笑到
536,33333
537,我是进来学啥的来着？
538,是我
539,3
540,3
541,这应该是第一建议
542,好会说啊
543,嘴皮子好快啊
544,原来如此
545,北京人吗？说话这么不用劲儿
546,666
547,真有你的
548,123
549,1223
550,我累了 带不动同事
551,3
552,而我只想和女上司
553,猝不及防
554,3
555,3
556,3
557,？？？
558,？？？
559,有点好看
560,哈哈哈哈哈
561,好看
562,2222
563,23
564,3333333    3
565,。。。
566,促不及防
567,33333
568,猝不及防
569,3
570,3
571,1.2.3
572,3
573,猝不及防
574,全部
575,猝不及防
576,123
577,。。。。。。。。。。
578,猝不及防
579,3
580,1
581,3333
582,阿这
583,我点赞咯
584,说话的速度波动很小，老手了
585,？？
586,这个表好看
587,123
588,我寻思眉毛不是本来就有的么，再一想，悟了
589,手环也可以吧
590,3333
591,哈哈哈
592,猝不及防猝不及防
593,直播带货
594,3
595,123
596,猝不及防
597,123
598,这个不给链接说不过去
599,123
600,2
601,2
602,。
603,3333333
604,吟唱时间也太长了吧
605,这………
606,其实一点就够了，享受孤独
607,3
608,333333
609,对
610,1 3
611,阿姨，我不想努力啦
612,多少钱
613,3333
614,123
615,吃饭
616,123
617,123
618,123
619,123
620,123
621,cbjf
622,不防
623,13
624,多少钱
625,额头大就不用想这个了
626,无缝衔接
627,好溜啊
628,zhe
629,3
630,不，有些時候只要是個人就錄用
631,2011？？？
632,学到了！
633,手好看
634,123
635,不对不对，猝不及防
636,123
637,而且会害怕你抢走他们的位子
638,6666
639,123
640,3
641,312
642,好家伙，裤子dou
643,123
644,太有用了
645,123
646,33333333
647,123
648,222
649,3
650,1
651,在这儿等我，我去买些橘子
652,话真多
653,甜茶真好看
654,精辟
655,精辟
656,精辟
657,都要！
658,啊这读研就这感觉
659,好家伙
660,直接好家伙
661,2222
662,啊 真是好看 羡慕 细节满满
663,男生戴可以吗？
664,how money
665,顿悟了！！
666,甜茶很合适
667,购物车好久了
668,朱自清
669,喜欢
670,真实
671,真实
672,漂亮哦
673,人间袁华
674,真实
675,宝藏 都有用
676,带货就完事了
677,好家伙
678,猝不及防
679,恭喜恭喜
680,123
681,甜茶又漂亮了
682,职场孤独不是常态？
683,你和那个大厂经理很像
684,来了
685,123
686,程序员直呼内行
687,靠谱
688,看完专门回来评论
689,宝藏up
690,宝藏up
691,宝藏up
692,/
693,猝不及防
694,混日子
695,4
696,错付的感觉
697,谢谢甜茶
698,躲着走怕叫住是我
699,格子衬衫，运动裤，拖鞋上班三件套
700,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
701,浪琴名匠更香
702,真实
703,画面表现力不太好，黑屏太多，下次可以用其他的表现形式
704,感觉不对
705,猝不及防
706,哈哈哈，措不及防
707,最后一个建议说的很好
708,3
709,挺不错的 挺好看
710,猝不及防哎呀
711,说的不就是我么？
712,真实了
713,哈哈哈哈哈
714,升职加薪
715,宝藏up主
716,甜茶好
717,猝不及防
718,换位思考
719,要拍马屁的
720,领导不可能关注你 只关注你的活
721,你应该带卡地亚
722,一样的班主任
723,甜茶好御
724,下单十个了 孩子喜欢吃
725,看过这个表
726,恭喜
727,恭喜
728,恭喜恭喜
729,可爱
730,哈哈哈哈哈
731,扎心了
732,不要把自己看太重
733,同事没有朋友
734,暖心
735,真实
736,同意
737,同意这条
738,真实了
739,雪花飘飘
740,真实
741,职场绿茶怎么办
742,升职
743,甜茶姐姐
744,甜茶来啦
745,猝不及防
746,我要全选
747,enough
748,都困惑
749,123
750,3
751,恭喜
752,123
753,恭喜up
754,惨
755,3
756,优秀
757,这么厉害的吗
758,猝不及防
759,3
760,3
761,123
762,真实
763,都苦恼
764,泪目
765,哈哈哈哈
766,很适合甜茶的气质
767,好看
768,我第一？
769,猝不及防……
770,3
771,1
772,。。。。。。。。。。。。。。。。
773,333
774,身在东北国企，根本没有KPI这种东西，很无奈。
775,3333
776,3
777,快跑
778,猝不及防
