,弹幕
1,工賊
2,弹幕没有反驳，只有无能狂叫哈哈哈哈
3,不同意的都等着吃亏吧
4,我家被商铺收割了，气死，我老妈太上头了
5,说的挺实在的
6,房住不炒
7,了解一下LPR
8,我们家商铺早就回本了
9,不买最好
10,没有投资想法
11,真尼玛扯淡，意思是我和我将来的小孩就定居三四线城市就是罪过。人人挤去一线，你一线城市就没弊端？三四线城市不配拥有人口？
12,溜溜哥
13,废话
14,刚需
15,看不起了，
16,我买的loft是住宅产权呢
17,利息也不低了
18,房住？不，炒！
19,醍醐灌顶！
20,住房不炒就该打你这种人
21,能别以这种说教的讨厌方式说话么
22,我买来自己做生意呢？
23,我第二次买房，终于换到了这里最好的房子
24,深井冰。没一条对的。
25,。 。        
26,第一句话就跑偏了，小城市刚需买房也是投资？
27,全款岂不是亏大了
28,利息大于通货膨胀
29,果断反对
30,有格格呢
31,以后通缩了咋办
32,昆山花桥建医院 建了五个小学 人口流入啊
33,有钱任性。想买啥就买啥
34,利息跟你本金一样多，你说他是小钱？
35,看完了，说的很中肯
36,舒
37,说的好像说买就买一样
38,问题：买房要不要参考未婚妻的意见
39,投资和刚需面前，大部分是刚需吧
40,这个没错 先上车再换
41,垃圾，废话太多
42,我只是想买个房子住的舒心 这辈子也没什么大能耐 不想买太贵的压抑自己 买个离工作单位不远 附近有学校医院的就行 不指望投不投资 因为就只能住这一套就买个自己舒心的吧
43,买房子为什么是投资呢，你要拿来炒吗
44,这都点不醒的 可以退出b站 或者大可一笑了之哈哈
45,利息可不是小钱，30年的利息相当于本金翻倍
46,第一点我就觉得扯蛋，我买房是拿来住得舒服的
47,本来就是投资啊，你想买一个不断贬值的房子？
48,虽然不像他说的那么绝对，但这十条都有非常非常重要的参考价值
49,发“活着”评论的你怎么还活着
50,你这么说以后还有谁回去建设自己家乡？
51,我们这商铺，100万买的，年租金8万，我觉得很好啊
52,果然从经济角度入手的都是短视
53,义乌城里均价三万了
54,不喜欢这样的话，可以不听
55,对
56,对
57,不管哪的房子都会涨 有钱投资一二线 没钱投资三四线
58,公寓确实不要买
59,买来住，变成尼玛投资了……
60,前期还的大部分利息
61,良心话
62,然后一辈子为房子银行活着
63,放住不炒
64,自住房是负债
65,房子不是用来住的吗
66,十三行的越来越贵
67,前面的，你家利息好几十万？？？？
68,提前还款利息不变吗
69,海淀，西城：我这老房子均价15w
70,认为永远会通货膨胀是么
71,负债负债
72,LPR教你做人
73,工资就是不涨啊
74,有毛坯房 只是越来越少了
75,就是  不能一步到位
76,可是我家买了店铺，早就回本了…长沙黄兴路步行街
77,学经济学的表示买房确实是投资，不进入消费核算
78,说了这么多你在哪买房了
79,……
80,现在三线也不行了
81,三十年低通胀你信吗？
82,一百万贷款那也是小钱
83,南京路商铺
84,一六年六千买的四线老家房子，二零年一万八卖掉的那些咋说呢？
85,你是说给穷人听的
86,认可
87,抖音上关注了鹤老师，B站又刷到了
88,商人思维
89,深圳湾一号是正儿八经的住宅
90,投个屁啊，这辈子也就买一套房子了
91,我买的房子就是一见钟情，看了2小时马上下定买了
92,有病吧
93,放屁
94,利息太低了 房贷5.1 
95,我舅舅买了几个商铺
96,我不认同
97,那我喜欢住，就喜欢某个房型，就喜欢某个楼层，不能买？
98,我就是消费
99,全对的！
100,尽量少负债
101,这是对的啊
102,闭嘴吧
103,现在强制动态利率，还想住上海还2000贷款？
104,投资和消费不是非此即彼的！！
105,劳资在省城
106,我上车了，快祝贺我
107,所以我买毛坯
108,有钱，我都要
109,提前还是为了买下一套吧？
110,这个逼说过996是福报
111,投资个毛，刚需房肯定想买啥样买啥样了
112,四五线人民只配睡大街么
113,限购使我秃头
114,我卖房的，你第一条说错了买房子是用来住的，那是个家！首先是位置和户型，其他的都是衍生品。
115,放屁一样的东西
116,没有那么绝对
117,房住不炒
118,你在助长炒房？
119,我自己住不是投资
120,提前还没压力
121,我地段好 房子新，我有钱
122,滚你妈
123,未来实体也会越来越惨?  对不起不认同的  
124,你可算了吧
125,工资不涨
126,前面的 有几个城市像北京金宝街一样 别拿特殊性对比普遍性 up意思是大多数选择
127,人家说的是大规矩大原则，弹幕里那么多杠精真是够了
128,我买不起，没事
129,那我啥都买不了了。。。。
130,投资毛线啊，我是刚需，要住的，当然是消费了
131,工资不涨，555555
132,利息低个屁 贷188万，连本带利还360万
133,lpr???
134,?
135,已经买了已经后悔了
136,你以为我现在买的起吗
137,不不尽量一步到位因为贷款第一套最便宜
138,虽然我提前还贷了但是还是觉得有道理
139,那四五线的人就别住了？
140,你这不是在害死人？
141,刚需，没资格投资
142,对的，我就是买错了
143,我连这一笔钱都没有怎么办
144,一句话，没钱呀，买不起，哈哈哈哈
145,现在这种人都有人看吗？
146,买得起？
147,全款买的
148,你看看春熙路呢，多少年了
149,刚刚提前还完了
150,看见投资就说是炒？啥时候涌入了这么多小学生
151,大家都知道！好钢用在刀背上刀把上
152,废话
153,提前还完的脑子有泡，就算有也不应该提前还完
154,已看完确认都是正确的别骂了
155,在上海的投行人看完确认十条都是正确的
156,也许你工资会下跌呢，
157,说利息好几十万的是真不懂
158,投资？？？？对不起没钱，只买得起一套，刚需
159,？？？？
160,现在网络时代 很多工作不一定要在一二线城市
161,房租太乱这其实看出房东这人不行
162,住着难受说什么都是白费
163,说投资就不好了
164,允许自己试错
165,试错
166,扯淡
167,lpl不变?
168,投资？开玩笑吗呵呵
169,时间差
170,funny mud pee误导别人
171,哎
172,若果将买房子视为投资，那一定是要用投资的逻辑，成本、收益率、现金流等都是你必须要考虑的事情
173,投资有风险，下面是什么
174,大城市买房不一步到位，房票都没有了，还换啥？
175,lpr不变吗
176,LPR了解下
177,up主这样讲还点不醒的，菩萨都帮不了你
178,小沈阳：说得对
179,提前还贷是对未来风险的控制，把钱放在手里也很难拿到更高收益
180,提前还贷是好事
181,什么p理论
182,你说的是啥啊
183,利息低
184,买两套解决了
185,四五线城市不住人的么？
186,众人皆醉你独醒
187,哈哈哈哈哈哈看到那么多人喷你我就放心了
188,废话
189,？？利息小钱？好几十万呢
190,实体不行？国家现在就抓实体呢，没了实体也就完了
191,就消费咋地
192,这货怎么还活着呢？
193,不提前还？利息几乎等于本金了 是不是撒啊
194,早几年看到这条视频都不至于后悔
195,投资？呵呵
196,这个不要提前不赞同
197,老房子 大部分都是学区房啊
198,国家已经在锁贷款了 就是通胀来了 吃不消
199,住房不炒，那也是投资，买房子几百万，不管你用来干嘛，你都会关注这笔钱值不值
200,很明显，b站里真的很多都是年纪小的学生，屁都不懂只会在这叫嚣，实话就是实话
201,走了 
202,up主还是太年轻....
203,四五线才不便宜，全靠卖地，房价反而贵
204,实体才是根本好不好
205,我tm住四五线不用安家？
206,炒=投机
207,笑死个人
208,？？？
209,房地产必然崩盘
210,看完来发弹幕，老师颜值不错
211,没后悔 住着太香了 上班十分钟
212,利息比应还本金还多，我不知道怎么安慰我自己了
213,四合院
214,滚吧，不懂就不要说
215,我自己住我喜欢什么就买什么
216,不会真有很多钱的人来这看这个视频吧
217,不值得细品
218,......
219,买涨不买跌么
220,超过20年的房子可以入手么
221,净说大实话
222,正解
223,伱脑回路可以啊，商铺也有赚钱的
224,说的针对！！！！！！！！！
