,弹幕
1,爆亏哦
2,这是别人晒的
3,Up下载个WPS吧，免费的
4,？
5,白酒
6,1.28 已经跌疯了一段时间了
7,过年了当然很多人都买白酒吃年夜饭了
8,up主好帅
9,预言家
10,我就是在这儿亏的
11,笑了
12,今天直接爆炸
13,追涨
14,up主好帅
15,已经亏了10点了
16,前两天回调了10%
17,什么时候走
18,就是任何时候
19,已经卖了十套房梭哈了
20,有钱就买。别问
21,1.20不合适
22,我买了一1w，一周亏1500
23,现在已经连续暴跌了
24,今天几号
25,暴跌了
26,我已经亏了好多了
27,666666
28,等几天再看，你这说法就离谱
29,这几天大跌，1月18
30,我就是定投白酒
31,天啊
32,都是泡沫
33,对，夏天比较低，冬天会涨
34,up，你一定朋友很少吧
35,呵呵呵
36,年年都说高估了，一直到现在
37,绝对不会亏
38,你现在才知道招商白酒嘛
39,泡沫来了？
40,连续跌5天
41,刚进去
42,1.11开始狂跌
43,我买了十块钱的
44,拉裤兜子了
45,已经拉了
46,只要我不卖，我就永远不亏（盈利-12.6％）
47,14号，白酒亏出血了。
48,懂了，这就梭哈
49,请问这几天，白酒哪天入最好？
50,l
51,最近怎么都在说这个基金
52,6666
53,上个星期和今天都在跌
54,连续跌了几天了，该赎回赎回，别贪心
55,现在别买了，真的
56,攒
57,一月八日跌了3.02
58,永远滴神
59,UP好帅
60,我买的就是这个啊
61,10年定律，还有4年 冲
62,我买的也是这个
63,我153%的盈利，我有什么好怕
64,今天白酒一片绿油油的全在跌
65,我只信白酒
66,白酒永远的神
67,现在已经超高估值了
68,只涨不亏的是不可能的
69,真寄吧降了3个点
70,今天已经负3了
71,已经跌了哈哈哈
72,8号才跌
73,小丑原来是我自己
74,今天下跌大
75,一买就跌，一卖就涨……
76,已经抵押了房子梭哈了
77,今年白酒别超过34月别问为什么
78,..................
79,jungong
80,最好入手的时间永远是昨天，什么时候入手都不亏，因为跌的没有涨的多
81,哈哈哈哈
82,ap好帅
83,酱香科技叼打一切
84,卧槽，预言家
85,硬核记录数据
86,22%了，一个月
87,别问，问就是加仓
88,怕不是就买了10块
89,¿
90,别，现在已经是非常高估了
91,重仓拉裤里了
92,你应该这样做这样做，但本视频不够成建议
93,他是我的神！
94,白酒买蓝筹啊
95,今天白酒疯了
96,刚卖了
97,我去
98,6日 满盘绿
99,最怕的就是馋疯了
100,已经卖房梭哈了
101,1-6今天看很及时。。
102,一般情况下还差不多
103,亏了就是时候没到
104,8月份买的涨了50%
105,最合适的是今天
106,1.6真亏了
107,跌了
108,老白干买了抛早了，亏了2000多，早知道留到现在
109,有色
110,收益百分之百后就卖掉了
111,up，新能源适合入那一只
112,新能源买什么比较好
113,白酒就是神
114,白酒可以当股票来玩
115,最适合买白酒的时间永远是昨天
116,有没有张坤，坤哥的粉
117,？？？
118,up主好帅
119,科技做个板块
120,牛啊
121,我关注了
122,去年春节到现在翻了一倍多
123,现在可以入手吗?
124,今天把白酒卖了，看不懂。
125,搞懂白酒的商业逻辑你再进场，有利于你长期持有
126,会有人很惨
127,我买的就是这个
128,三连
129,兄弟个人建议你整个excel 更加专业一点 看起来会舒服很多
130,好家伙
131,好实在
132,∪P主实在，分享的很实用
133,就离谱
134,今天涨的吓尿裤子
135,正好是十二月初买入的
136,最适合的时间就是每一天
137,我买的就是它
138,然而7月初入11月末卖的我还是赚了10%几
139,19年7月不是-3点几吗
140,Up主好帅！！！！新能源
141,那你又懂了
142,买它!
143,为啥白酒一直涨？？？
144,我还以为周一到周五5天为一个周期呢哈哈哈哈
145,所以白酒现在是要卖了嘛，还能在持有观望一阵子，我有点点害怕
146,易方达蓝筹和易方达中小盘那个好
147,已经三连了
148,明天绝对大跌或者中跌！！
149,给你投币
150,给你点赞
151,来了来了
152,今天我赚了，哈哈
153,明天会涨吗
154,牛啊
155,加油，无私奉献的UP主
156,白酒打了很多人的脸谁敢预言
157,干货
158,硬核
159,牛
160,强烈明示
161,谢谢分享
162,够早
163,可是去年十二月初就开始猛涨了
164,为何联合利华发行股价能秒2个茅台
