,弹幕
1,腾讯呢
2,腾讯
3,蜥蜴
4,冠希锅～
5,国内游戏公司 米哈游 腾讯有一个3a么
6,正道的光
7,肖战行为
8,这个不是假的真人秀吗？
9,我是秦始皇
10,并没有 现在越来越垄断了 特别是房地产业
11,假的
12,养肥在杀
13,人笨但他又不是坏人。为什么要说他活该被骗？
14,蠢人为什么就活该被骗呀，阿婆主你有良心吗？
15,所以不要充会员
16,啥意思
17,没错！不同人的价格还不同！
18,腾讯
19,腾讯过来挨打
20,我。。这。。
21,小丑竟是我自己
22,nb啊
23,好想也是
24,300块就能回香港，开玩笑
25,韵达真不行
26,你在说什么呢
27,真会有人信
28,50万好多的
29,谁都能想到，就智库想不到，你猜为啥？
30,所以国外银行和电信运营商什么时候能进来？
31,这个是真的我两台手机同时点结果配送费和包装费贵了两元
32,苏联就是这么解体的
33,《憨憨》
34,小米做各种电器家具
35,拼多多就没有菜篮子了？
36,拼多多都上市了，你敢信么？
37,貌似一个都没有用过呢→_→
38,你试试，国家出手，五十万就是敲打，让他们收敛一点。不然没好果子吃。
39,希望这些公司解体
40,漂亮
41,我不吃外卖的
42,先让他们吃点肉，养肥了，宰了吃
43,泪目
44,可以卖给他们啊
45,拼多多产品原价30元，打折50元
46,王者荣耀真实案例
47,楚门的世界
48,哈哈哈哈哈哈哈哈哈哈
49,所以我有好几个号
50,良性竞争促进产业发展
51,千万分之一
52,50W
53,腾讯
54,？
55,所以这个故事告诉我们不要充会员
56,设计游戏
57,躲得过我不玩
58,哈哈哈哈哈
59,太过分了吧
60,是罚的太轻
61,先养猪
62,京东会员领不到优惠券
63,尤其是游戏的发展
64,确定反了吗？
65,上千亿的公司怕50万吗
66,我同学这么和我玩被我当傻子
67,我是渣渣辉
68,gangstar
69,美团优选，橙心优选
70,让它们变得更强，好把平民欺负得更惨？
71,屁
72,???
73,离谱
74,阿里和腾讯都不小了，到该宰的年龄了。支持公私合营
75,别说跑题跑题的了！把视频看完再说不行吗？
76,游戏平台
77,家里的地都被包了
78,老百姓活不了，有钱人都别想活
79,我秦始皇不要钱
80,一一点名
81,好家伙
82,手势好单一……
83,所以我一直白嫖
84,漫画，游戏，网文了解一下
85,呵呵
86,哈哈哈哈哈哈哈哈哈哈
87,楚门的世界？
88,好耶
89,有被冒犯到
90,人家是群发的
91,看看韩国三星不就知道了
92,燃起来了
93,我在北京遇到过
94,全世界的无产者，联合起来！！！
95,庄家通吃
96,在卖菜
97,13亿的选择题
98,你这故意的站位，扭来扭去我是看的真尴尬
99,明日之后
100,哇哦
101,不买立减100%
102,看不懂的都在说标题哈啊哈哈哈哈
103,赚的钱连包装费都付不起
104,我家店就是，在饿了吗上面亏死了
105,拆了他们
106,阅文罚的少了！
107,无线充电
108,@企鹅
109,阅文是真的离谱！！！
110,驴唇不对马嘴
111,这两个例子有关系吗？能类比吗？
112,片面
113,九牛一毛上的毛尖尖
114,养熟再宰
115,50W只是警告
116,？？？
117,好好笑哦，我打了你一巴掌你再跑来让我踹一脚吗
118,就发现弹幕里面有脑子的人很少
119,牛逼
120,每天换个号买
121,盘子越来越大  也越来越小
122,胡一统
123,@企鹅
124,聪明的我从来不交会员
125,我在这打过工。
126,顾大局？
127,国内游戏靠小厂...腾讯
128,腾讯
129,腾讯
130,腾讯
131,我，秦始皇，打钱
132,卷！都给我卷
133,我们祖国习惯先礼后兵，50万后不听的后面更狠
134,侮辱性极强
135,陈冠希是谁啊？
136,因为就是勾搭你充值会员
137,店大欺客
138,是不是跑题了小胖子
139,所以和那几个观众被骗什么关系
140,可笑，跟地摊小贩抢饭吃
141,好
142,我荆轲没走，给我300快我去刺秦王，然后他的东西我分你一半
143,你小心点
144,50万 打发乞丐呢
145,正道的光
146,？？
147,恒大汽车跟蔚来汽车就是最大笑话
148,打钱
149,我 打钱
150,屠龙刀早已锻造好，就等少年长成肥龙
151,赵高直呼内行
152,自己说自己聪明可还行
153,这个音乐老营销号了
154,干得漂亮
155,哈哈哈陈冠希莫名背锅
156,Salute
157,华为真的是榜样
158,有一个浪费时间
159,杀马特
160,，
161,说得好，担着毫无意义
162,公司的阴谋
163,公司的阴谋
164,哈哈哈哈
165,五十万目的不是罚，而是震慑是为了表明国家的态度
166,？
167,瞎说吧只有英国
168,钱在他们手上毫无卵用
169,可悲
170,可悲
171, 充了会员的我总觉得自己赚了
172,？？？？？
173,腾讯
174,五十万只是九牛一毛啊
175,赵无延是你吗
176,拿视频来换
177,50万？不好意思，下次还敢
178,内卷了
179,正道的光
180,就我这样的，简历评审都过不了吧
181,阅文
182,四名吗？你说的也是假的
183,谁有枪？
184,卖菜
185,monopoly
186,老年人容易被骗
187,左撇子
188,？？？？。。
189,你好，我秦始王，打钱
190,楚门的世界
191,卖菜
192,50万刮痧都算不上。。
193,50万刮痧都算不上。
194,好想把他的手剁了
195,双寡头
196,太少了
197,大数据杀熟？
198,大数据杀熟
199,全世界都在演我
200,逐渐忘掉标题
201,50亿差不多，50万算个屁
202,人民共和国
203,难道这最开始不是用来搞笑的梗吗 原来是诈骗啊2333
204,社区的菜快涨价了
205,美团出来挨打 
206,这个本来就是搞笑模仿陈冠希说话的样子不是诈骗
207,不，我很笨
208,我军阀打钱要武器装备
209,我能躲过陈冠希不过是因为在网上看段子多了
210,因为腾讯
211,楚门的世界
212,离谱
213,这就是华为在国内被骂的原因
214,只要我的余额为零，他们就杀不了我
215,很好
216,寻找下沉市场
217,砸钱 增加新客户 没毛病
218,我，秦始皇，打钱
219,5元更好
220,马化腾直呼内行
221,楚门的世界…
222,格兰仕姓外了
223,无产者联合起来
224,商人古代地位低不是没有道理的
225,面壁者马云，我是你的破壁人，您的表面意图，对钱不感兴趣，真实意图疯狂圈钱
226,企鹅
227,要打游戏
228,@阿狸腾讯
229,salute
230,小丑竟是我自己
231,噶篮子
232,胡一统
233,就是给个警告不要做的太过分
234,你在缝合？
235,先吓吓他
236,@腾讯
237,？？？
238,爆炸了
239,建议罚五千亿
240,巧了，我没钱我不买
241,我只薅羊毛
242,尼玛
243,杀杀杀
244,太少了
245,淦政治期末考的这个
246,内卷
247,salute
248,？？？
249,我现在是能不点外卖就不点，太坑了
250,我也发现了，我直接投诉了
251,不是钱的事，主要是提醒
252,楚门的世界
253,可以模拟太空环境的
254,这50万就是警告
255,这次主要是警告，而不是为了罚钱
256,旅游的真的黑
257,hhhhh
258,国有化
259,阻碍创新确实是说到重点了
260,穷人不是因为你不会受骗而是因为他们不需要在消费端去重新榨取你的钱，在你赚钱的时候他们已经压榨够你了
261,没钱使我崇明
262,前期节目组制发明了假的“重力仓” 所以无重力那个圆过去了
263,两头杀
264,所以我都不买会员
265,你不知道说明你年轻，你高兴了吧？可以闭嘴了吧？
266,楚门的世界
267,好像罚了几千亿吧？
268,在卖菜哈哈哈哈哈
269,呱
270,小丑竟是自己
271,逐渐远离标题
272,在拼多多买了一台格兰仕
273,上一个想做车的已经没了
274,至少他们去了一次别人认为的假太空
275,罚酒三杯？
276,还是该怎样怎样
277,怎么可能，太空是无重力的，察觉不到吗
278,全世界无产者联合起来
279,我从不点外卖
280,能源，通信，烟草，金融
281,还是要有的
282,讲到标题了
283,真的有这些人……
284,啊这
285,狼总是有贪心不死的
286,就是这样子，所以我发现以后再也不买会员了
287,夺笋呐
288,卖白菜
289,哎，我不用
290,五十万？别人都是百亿算你五十万算什么
291,我也只是回敬一下希望你还在
292,就欺负国内，外面就差太多了
