,弹幕
1,致敬
2,啊啊啊啊啊啊啊啊啊
3,谁不是钱如命
4,我为什么会刷到某爽
5,娱乐圈需要整治整治了
6,正道的光
7,建议转行，卖个鸡的惨
8,戏子误国
9,不要脸！穷疯了
10,中印边境的英雄呢？不说吗
11,最可爱的人
12,程龙
13,都是按当地最低工资算的
14,说溥仪的嘴里干净点！大清的领土比你们大！
15,戏子不能强国
16,危險那就別做呵，退圈啊
17,辣雞明星
18,鄭爽真噁心人，這種東西之前還當明星，呵呵
19,好耶ヾ ^_^♪
20,活该
21,哎，整她就完了
22,那你们可以做安全低薪的工作啊
23,突然没有字幕
24,还赚了3亿
25,高危也没见几个拍戏嗝屁的啊
26,致敬
27,致敬！
28,致敬
29,郑爽是恶心
30,观众叫做流量，演员对得起金主就好了，关流量什么事？普通老百姓不要把自己看的太高
31,同意 希望大幅减少娱乐圈收入向日本看齐
32,小伙伴们都看看
33,致敬
34,静音状态下看，突然没有字幕
35,这比FBB的税还多
36,让我来
37,涨！
38,消费群众情感
39,李静是谁
40,你说什么就是什么？
41,举报你
42,这些人真的是够了
43,心疼
44,郑爽都有12亿，艺人得多有钱
45,致敬
46,张雨绮真的不错
47,太好了
48,好耶
49,中国人就这样！国情
50,总有傻子爱捧这些戏子的臭脚
51,没道德底线早晚翻车
52,神人
53,明星收入应该加税
54,明星不能强国他们只会害了下一辈
55,看看吴孟达！
56,扣去社保2000多真的很普遍在全国
57,高回报
58,鬼知道她有多少钱。不也没上吊吗
59,不如挂闲鱼了
60,致敬
61,太好了
62,我觉得这有问题，真的有问题
63,好
64,拼多多
65,致敬
66,这才叫演员啊
67,因果报应
68,高危？
69,致敬
70,说的不对 这些人不能用钱衡量 他们权力大家
71,哎。。。
72,我的天哪。。。
73,缉毒警察 国防 消防官兵 必须的加工资 
74,我感觉你在偷偷的笑（doge
75,致敬
76,艺人是高危
77,心疼
78,这
79,nice
80,致敬
81,致敬
82,其实！大部分收入进公司口袋
83,致敬
84,他们才是应该拿高工资的人  可怜都被戏子夺去
85,这叫贱
86,张碧晨更恶心，未婚生子还凹清纯无辜人设
87,？？？
88,恶心
89,你们赚的就是这个钱！装什么惨
90,2000？！
91,拿点钱去搞科研吧，别给这帮cs了
92,它
93,演员还需要努力吗？有什么努力比科学家和医生还努力吗？比得上一个博士生努力吗
94,致敬缉毒警察
95,我呸
96,啧啧啧
97,人不要脸，天下无敌
98,致敬
99,这些艺人何得何能得那么多
100,但愿是真的，这种人法制管不了只能钱让她痛
101,干得漂亮
102,我国给艺人的待遇太高了
103,是谁敢住凶房啊
104,！
105,戏子敛财吞富银，高住金阁秀清贫，壮士卫国忘生死，退隐山野藏功德
106,不要脸
107,得了便宜还犯贱
108,大快人心！
109,致敬
110,什么时候本分变成了情分？！
111,站的越高摔得越狠
112,明星缺钱吗
113,身价十亿能算现金吗？没渠道拍戏还是没收入啊！
114,鲜明对比
115,棒棒
116,全都是在凡尔赛
117,没危险何来高薪
118,咋不说艺人高收入
119,字幕没了
120,你是很有知名度，但我爱中国
121,非法集资
122,又当又立
123,普通人不比她们惨
124,她可不缺钱
125,凭什么
126,哈哈哈哈
127,致敬
128,这些收入分给科研强化科研环境不香？
129,致敬
130,老凡尔赛了
131,致敬
132,致敬
133,妙不可言
134,心疼
135,字幕君在哪儿
136,缺钱?我看缺德
137,这一点我就想说 科学家比这还辛苦 不过他们这样站出来挺棒的
138,致敬
139,最主要的是，前几年有个缉毒警察抓某明星过程中殉职，那明星的粉丝居然还在为他们的呕像说话
140,刚刚看了扶贫工作报道，我？？？？
141,致敬
142,一个明星怎么会这么有钱？
143,我是不是听到了喵叫？
144,演员就是在演你
145,好家伙 网络乞丐
146,呵呵
147,应该用它
148,娱乐至死
149,只谈薪资不谈其他？
150,三体三部才40多
151,应该给他们涨工资
152,很漂亮
153,太棒了
154,英雄枯骨无人问，戏子屁事天下闻。
155,对！
156,活该
157,nb
158,凭什么啊
159,舒服了呀
160,。。。。。
161,致敬！真正的英雄
162,戏子地位的确太高了
163,将军孤坟无人问，戏子家事天下闻
164,明星不能强国！
165,致敬
166,活该罪有应得
167,猫咪叫声
168,不知廉耻
169,真是太过分了……
170,真是不要脸
171,划重点，能看到的收入
172,一年，说少了
173,“他”
174,这就是饭圈呵呵
175,真的是何不食肉糜
176,一个亿普通人得挣几十辈子
177,码了个寂寞
178,致敬
