,弹幕
1,扯
2,分析的很棒啊，3月份来看评论真有趣
3,准了
4,论预判我只服【股德猫停】，那预判才叫真神准
5,打脸
6,预言家
7,卧槽 三月来报告
8,“牛市？”
9,早点儿看到就好了
10,赚庄家的钱，牛逼
11,又马后炮
12,算命先生两头堵
13,真的是神真的是神
14,出来啊
15,现在呢？
16,笑死
17,3月熊都是死了
18,猜对了才有资格说话
19,厉害
20,大预言家
21,不用到4月，3月分就已经崩了
22,股票玩的不是钱   是人心
23,没按你的策略走，暴跌提前
24,男人不善于表达，但执行力很强，有投资思维
25,怎么说你都能有理
26,好人好
27,好人好
28,好人好
29,未来都是猜测
30,优胜劣汰
31,有些人就是缺少社会的毒打 他们不走就别管他们
32,08年奥运会 你知道股市跌了多少？
33,前年追东方通信的人还套着呢
34,连擦皮鞋的都知道买茅台 不跑是傻子了
35,阿狗阿猫都在买基金 你还想赚钱 你赚谁的钱?
36,只要不贪心怎么会天台见
37,r..
38,持币过年，不慌
39,酱香科技
40,说预测的基本pass
41,一句话涨多了就会跌
42,有点吓人
43,“牛市”
44,基金经理也不是傻子，，
45,这下面是不是有点大了！
46,上一个预测的博主这会脸都人打肿了，希望你保护好自己
47,报团
48,宏微观学得真好
49,再说了过年不买白酒买啥子哦
50,二月初来告诉你白酒又回来了
51,真能预测准直接自己满仓就好了啊
52,不是抬棺材？
53,跌回2800
54,不是巫师
55,说中了
56,军工人
57,？？11月底国外都减持白酒基金，现在你又来
58,我就打算在二月底全卖出
59,如果疫情没结束，就跌不下去，要么就都天台见吧
60,好的我马上关视频
61,你知道啥是牛市吗
62,你这推理有点大，二月初直接预测四月大跌
63,你猜？
64,哥，你一个散户赚庄家的钱？
65,但是，为什么要搁以前对比呢？
66,转庄家的钱也太秀了吧
67,如果股市没有泡沫，那还赚个屁的钱
68,所有预测涨跌的都是神棍
69,庄家也会不讲武德
70,白酒年年领涨
71,真是砖家
72,奥运会跌很正常弟弟
73,懂不懂啊，你特么做短线的吗
74,卧槽，中国巴菲特啊
75,转弯
76,学会与泡沫共舞，哈哈哈
77,春节开盘？
78,前来考古
79,疫情一严重你看就 下来了
80,因为要过年了吧
81,银行
82,告诉你个事 明年冬奥会 在北京
83,垃圾的越来越垃圾
84,感谢分享
85,回来点赞
86,4月份再大发行基金不就得了
87,声音：巫师？？
88,震荡确实是下一轮的起点和机会，问题在于买谁
89,因为银行在大力推销，身边同事都被拉进来了。
90,1499的哪儿买
91,并没有
92,上市的也多啊
93,牛市不牛
94,要注意触点的改变才行
95,炒股不看pe的
96,炒股不是庄家吃散户吗
97,你这么懂还做视频呢？ 我要是你早就闷声发大财
98,我认为这是真的牛市，不同意你的看法。
99,庄家的钱你能赚到？
100,谢谢啊！
101,利好茅台
102,卖也只卖1499
103,2000多太夸张了
104,要过年了呀
105,然后跌了呀
106,短跑
107,以后壳就没用了
108,今天就是22号了
109,十年前炒房的时候也有人这么分析的
110,还有很多炒港股了
111,明明一直在收紧
112,3月末？这是哪年的
113,退市要变多是牛市利好
114,我也觉得，有钱没地方投
115,我也这么认为，一月已过，马上见分晓
116,市场是无法预测的
117,机构报团也不是一次两次了
118,面对泡沫更要抓住机会
119,哥已经戒赌了。
120,2月份也创新高 3月份再创那得推到6月
121,来了他终于来了
122,请问up主是作手新一吗
123,。。
124,？？？
125,茅台不就是贵州省补偿财政吗
126,算命呢
127,弹幕护体
128,你就是神！
129,很多人都推断说今年一季度应该有行情
130,没有泡沫哪来牛市
131,大空头
132,这是哪一年的日历？
133,看美国 美国转给中国 中国转给谁呢
134,你好，中国巴菲特
135,但是老基金里面的钱也会被赎回，最终增量资金可能没那么乐观
136,收紧不会，但是宽松的势头会收紧
137,有点东西。分析的挺对。就看行情了
138,该来的总会来
139,不然呢。。。立马暴跌。。。
140,白酒领涨吗……
141,没错不过是年底
142,感觉会有但是不会这么快吧
143,最起码第一季度，不会有什么大问题
144,牛尾  也快完了？
145,受教
146,拜登不放水为先
147,点赞
148,赞同
149,战略电音
