,弹幕
1,2
2,所以不买
3,2
4,收藏也会没，只能缓存
5,弹幕
6,2333
7,1
8,2
9,22222
10,222222
11,这不就是传销吗？
12,弹幕
13,2
14,你每个月不都在买么
15,做过三个月 溜了溜了
16,保险公司对内对外都是了你，保险应该倒闭
17,真的带着偏见夹带私货
18,保护
19,2
20,2
21,1
22,1111
23,是要整改了
24,这怎么是好
25,哈哈，新华保险
26,哪个销售公司不需要人
27,1.5
28,老传销了
29,啊这
30,一人在银行  全家跟着忙
31,2
32,希腊
33,保护
34,合法的骗子传销公司！
35,保护
36,222
37,不喜欢
38,保护
39,1
40,1
41,就是传销
42,我能骂人吗？
43,保护
44,1
45,会买寿险和意外险
46,不好意思，三连晚了。我认可这个视频的内容和勇气
47,保险招聘都靠骗
48,2
49,安利传销模式
50,卖保险有个毛社保
51,员工就是客户
52,新华里
53,2
54,1  没办法  有车呢
55,保险没用啊，这也不保那也不保，就买个安心，真出事了该没还是没
56,这不就是传销么
57,没买过保险
58,不是这样的哈 你这说的是传销了
59,1
60,都在精算师的算法里了
61,2
62,把弹幕打在保护上。
63,把弹幕打在保护上
64,22222222
65,1
66,葛优躺那么远你看得到他秃
67,222
68,1111
69,这bgm燃了
70,Bgm好评
71,喜欢但是没钱
72,有种手法叫做价格扭曲
73,弹幕打在保护上
74,万物基于传销
75,你是干啥的，懂的真情多
76,2
77,保护
78,那把保险公司都关闭呗？
79,2
80,重疾险
81,保护
82,2
83,一点
84,可是首年的现金价值很低呀
85,一个弹幕没有？
86,999
87,2
88,工作了16年的小姐姐？那叫老娘儿们
89,人民永远不能放弃团结起来作斗争的想法
90,人民永远不能放弃团结起来做斗争的想法，更不能放弃应有的暴力不管是哪方面的
91,这个小姐姐三十五六了吧
92,2222222
93,不买保险是傻子，基本保障险都买了。特别是医保。
94,我爸喜欢
95,2
96,就是传销，做到某个级别的真就躺着年如百万上千万。
97,每天都能拉到一个优秀的组员
98,1
99,111111
100,保护
101,保护
102,别人是顶着压力，你是蹭热度
103,会所
104,我想骂娘 这么黑暗
105,22222
106,传销就跟病毒传播一个道理
107,我媳妇就是这样去平安的
108,。
109,2
110,视频侵权了吧
111,2
112,运费险真实
113,这个小姐姐现在还好吗
114,保护
115,这不是公认的秘密么？
116,保险就是杀熟
117,银行也一样？
118,2
119,22222
120,2
121,2
122,2
123,国人真是“聪明”
124,银保监会更知道，为什么不处理呢？额，还是谈谈美国疫情吧！
125,p2在哪
126,保险跟传销的差别，就是传销真的卖保单
127,梦巴黎～～～～～
128,啊这
129,保护
130,1
131,2
132,22222
133,2
134,保护
135,弹幕
136,保护
137,好漂亮啊
138,好人一生平安啊
139,2
140,房产中介也这样
141,2
142,信息不对称
143,保护
144,2
145,保护
146,222
147,对
148,2222
149,保护
150,哭哭
151,2222222
152,我认识一个人，入职给全家人来了一套，立马优秀新人
153,1
154,要不了解清楚再来发视频？
155,保护
156,保护
157,7000的现金价值？你做梦？
158,2
159,2
160,（除了车险真不知道为什么有人买）
161,传销？
162,2
163,一人买保险全家不要
164,2
165,保护
166,2
167,2
168,2222
169,2
170,合法传销
171,在我们中国也不会有绝对的光明，那些阴暗的人的勾当还在瞒天过海
172,见怪不怪
173,美国大多数是保险经纪人制度 包括欧洲 香港 和我国大陆地区的保险销售都不一样
174,希望大家能看完，资本的受害者千千万
175,保险都不靠谱了我的保护还管用吗？
176,没得p2
177,2
178,2
179,然后身边的亲戚朋友每年都还得交保费
180,我在保险公司那几个月，天天跳神奇的操。
181,会扣年终奖的，不值得，除非量够大
182,保护
183,2
184,保护
185,保护保护
186,半泽直树？
187,2
188,0
189,老鼠仓
190,保护
191,点名红浪漫
192,2
193,我看晕了，对数字极其不敏感
194,吹哨嘛
195,2
196,讲的太肤浅
197,应该说清楚，你说的是寿险公司的经营模式，不是保险公司
198,我觉得讲解的太肤浅
199,金融玩的真溜，总有人会发现漏洞。背后利益巨大。
200,这跳的不比某创的男团选秀强多了？
201,早就知道保险是骗钱的
202,2
203,保护
204,新华里增员操，鬼畜鼻祖
205,2
206,2
207,2
208,保险公司都这样
209,保险业不就是传销模式吗？
210,一下子没听明白，哎。105%
211,被骗过
212,只要有利润，啥事不敢做
213,保护
214,2
215,3
216,2
217,保险公司 假发票chengduj
218,2
219,1
220,代理退保
221,收藏没有用 缓存才行
222,这个是真说对了
223,35这个点怎么来的，不解释一下，听不懂
224,彩票呢？
225,今天没有重疾险，以后指望水滴筹
226,这有什么喜欢不喜欢的，必须要配置的
227,一直没人管
228,保护
229,保护
230,买房我都不会买，还会买保险？
231,222222
232,我不可能买保险
