,弹幕
1,人家不会捂盘吗？求大于供 需求摆在那里怎么调都没用
2,合  理
3,我觉得应该让各种商铺房租降降价比较好
4,说真的.放开土地房房价就可以恢复正常。最恶心就是现在这样 
5,大多数人没买房根本不能结婚
6,调控是为了继续稳定的收割
7,房产税赶紧来
8,支柱产业，不会降价的，最多不涨。
9,本质是经济活动的繁荣程度
10,过段时间财政吃紧又要开始卖地了
11,寂静岭
12,改不了
13,我还是喜欢农村
14,被动做低省税
15,被动做低房价省税
16,这批钱割了然后投科技，又能迈过下个百年
17,2020 让我资产翻了倍
18,首付太高，老老实实搬砖
19,你深度啥了？
20,资本本性就是逐利，没有正邪，只是人有正邪
21,据说一张烂床值380万
22,接下来房产税，收割（我瞎猜的）
23,货币收紧搞的不是楼市，是股市
24,土地价都X2了，你让房价怎么跌？
25,我猜是防输入性通胀。毕竟美国…
26,所以要把股票全部卖了？
27,金融房地产从来都是邪恶的
28,是贪婪
29,毁灭吧
30,不生了
31,2015年喊出房住不炒，然后全国房价疯涨
32,调控从来都不是为了降价，而是稳定的持续增长
33,我的天，13
34,BGM最爱寂静岭这个
35,各地拍地这么贵，再怎么控制也没用，不可能一万六七的地开发商卖我们一万
36,金融属性
37,当初放水也是没办法应对美国
38,让它涨
39,越是打压反弹越大
40,房主：我可以不参考你的参考价
41,那些个说蓄水池的，拿钱买了房，地产商转手就花出去了，蓄什么水了？
42,懂了，这就去贷款买茅台
43,经济学都白学了
44,然而并没卵用，过两年涨的更猛
45,一顿操作猛如虎
46,普通人不贷款买个鸡房
47,中介有的是关系
48,没什么用，中介会帮你打通银行关系，现在是风头，过几个月就没事了
49,每3年换个学区好了。。哪来这么多屁事
50,这个up有点水平啊
51,还没到500万一平呢？看不起未来的30后？
52,本质上美元放水，人名币不想接盘
53,十三万一平米
54,是我听力不好吗
55,跟日本差不多就危险了
56,四川没有控贷
57,假离婚如何限制？？？？
58,你不买我不买中国航母要靠谁
59,打击中介才是硬道理
60,都是中介
61,控锤子房价  这不就是在自保吗
62,虚假的繁荣
63,就是视频没有深度了？
64,毁灭吧
65,promise好评
66,现在已经都炒到天际了才想控房价？早干嘛去了？这么多年了？
67,呵，晚了，回光返照罢了，帝国完了
68,本质：买不起房的下辈子也买不起了
69,参考价不具有任何强制性
70,新闻说了十几年控制房价，买房的早自由了，没买房的人还在看新闻
71,调控了也买不起
72,银行都是国家的，所以房价还是国家说了算
73,房价已改变了我们的命运，只愿我们的后代不再为房价所改变
74,两边再怎么博弈，受伤的总是有实际需求的人
75,大A股蹦了
76,不会有孩子了。你还可能有孩子？
77,A股死了  又有多少万亿 要进入楼市？
78,房地产要死 必须要 A股存水 慢牛
79,因为最能存水的股市不行， 每次都跌的惨，  就会流向房市
80,现在股市已经腰斩
81,因为中国A股不行， 本来股市是最好的存水地！ 但是资本市场打不过美国。
82,收水 每次跌的最惨的都是中国A股，楼市没啥影响？
83,大城市房价还要疯涨
84,才20万亿?绝对不止
85,解绑
86,货币升值，牛皮了!!！
87,我家就8千万人之一
88,中国不跟了，美国心态爆炸
89,伤刚需呗
90,绝对不生孩子了，没房子住没工作
91,但房价是根据人口来走的一个原因
92,没用不接受问就想茅台显卡
93,失踪人口回归
94,是税
95,金融
96,这一刀精准啊
97,他急了他急了
98,这一话一出已经能说明问题了
99,消费个毛线。。。不抓紧时间再想办法搞钱，老了怎么办
100,再坚决也阻止不了我买房的热情，5年收益比股票可确定多了
101,谁便去吧
102,真的感谢我的女朋友，不要房不要车-我要给她买一罐进口护手霜
103,再来一次金融危机会怎么样
104,还是买不起QAQ
105,寂静岭2bgm？
106,资本狗
107,继续涨！1000万一平最好！然后一起拿冥币买房子
108,调个屁！越调越买不起
109,水多，总有一款要当蓄水池
110,意思就是房价是银行炒起来的咯？
111,终于更新了
112,简单点吧，勉强能懂
113,bgm：寂静岭the me
114,还贷款。压倒多少年轻人？
115,你的币有了
116,你越是涨我越不买，我买算我输
117,十几万握草
118,bgm 好评 silent hill2 promise
119,QIANBO
120,只会不停的被薅羊毛
121,早几年不搞
122,片面，本质全都是，是综合体现
123,而且，茅台喝完，就是垃圾了。
124,每年都控制房价年年长
125,加油！争取到20W一平
126,我们这四线城市 最贵的达到1.2w
127,这是在催生房地产黑市啊
128,bo
129,之前业主们联合起来哄抬售价
130,成都
131,直接房地产破残泡沫
132,资金才是根本，那些人口老龄化都是概念
133,信贷才是根本
134,深圳湾有钱人多，3000万都能全款买，但我们这种刚需盘就必须靠贷款了，被误伤
135,来了来了
136,不会有孩子了
137,哈哈哈哈diss我一把
138,神操作
139,2019是60%
140,光说不练
141,厦门呢
142,15条能干啥？
143,房价怎么可能会降，最多降一点点
144,是银行不愿意吃亏 
145,青岛新地又创新高 这简直乎脸
146,浅bo？
147,13万
148,好
149,风险不大就继续啊，怎么怂了
