,弹幕
1,背后的真相让人暖心（狗头）
2,《娃娃菜》
3,注意是人均不是总的
4,它们就不配当个人
5,太燃了
6,一股营销号的感觉，恶心死了
7,那年代不是谣传   现在回子杀人也不犯法
8,搞的神神秘秘
9,因为人多。。。
10,夺笋啊
11,小国无土地
12,反垄断一直有，外国也有，甚至有一家公司挨着几亿百万的反垄断的罚款。依旧垄断没办法，想不垄断都难。罚款远不如垄断带来的利润高，那么垄断无法停止，只有注意强力的打击才能。反垄断。
13,干得漂亮，好​
14,抽烟还容易致癌，不是还有人抽
15,人多白
16,社区团购出来挨打
17,就俩倍？你确定？
18,谁跟你讲是因为泡菜？
19,阿伟你超勇的
20,日本泡沫经济
21,牛逼
22,制造仇恨？
23,说实话 你说的不必那么激动
24,现在也是
25,夺笋那
26,不算一下人口？
27,好！
28,牛
29,致敬
30,支持国家
31,国家当然钱会出手
32,那年代谣传：回子杀人不犯法
33,请回答1988
34,那肉呢？
35,脏话
36,没用过社团购，只是觉得别人选的菜，不放心
37,胃癌，韩国非物质文化遗产
38,现身吧，有形的手
39,宇宙寿光
40,尊重
41,艺术来源于生活 癌症梗
42,那个时候冬天天天都是白菜啊！或者偶尔吃个土豆
43,杨安泽，是你
44,这人是黑社会头子。。
45,马爸思，万业生
46,此生无悔入华夏，来世还做中国人
47,那是菘菜
48,致敬
49,应该会管管这些了
50,这叫平衡！！！！
51,时代会一直进步，你哔哔也没用
52,14亿人的国家，吃饭问题都解决不了的话，还算什么？印度吗？
53,正道的光
54,家里做红烧肉确实一碗就一斤不止了
55,明白了，阿里滚吧
56,好家伙，哪找来的神棍数据公知
57,先辈们牛皮
58,不叫“爱吃”而是“无奈”
59,贵啊
60,确实是这样的，自己家吃无所谓，主要是进货，网上便宜一些
61,显卡呢？
62,所谓的互联网就是垄断
63,首富轮流做，明年到我家
64,祖国的今天离不开他们
65,中国人才是世界上最有钱的人
66,东北的菜产量是真的大
67,中国土地比他们多，擅长种菜
68,真是吐了
69,滚行吗
70,他们也配称资产家？买办阶级罢了  软弱的阶层​
71,2000斤
72,三连了
73,投币了
74,牛
75,何庄子
76,真是可笑至极，泡菜是蔬菜做的，那米田共还是精细的五谷杂粮呢，你吃吗？
77,这才是离谱的！
78,国粹
79,种豆得瓜 照在了大腚上
80,我还是愿意去菜市场
81,到现在我们家这边还有大型的蔬菜博览会哈哈哈哈哈
82,出现了，我就知道，我们家
83,漂亮，我们的政体最棒
84,开心
85,不能忍！
86,资本家，干tm
87,这词有些年没听到了哈，给它点个赞
88,感谢国家
89,汉族震怒
90,致敬
91,？？？？？？
92,在黑龙江冬天一般都是把白菜淹成酸菜
93,燃起来了
