,弹幕
1,金融最大的作用就是整合各种毫不相干的资源
2,杀
3,投资
4,没有正义和非正义。只有博弈
5,是内部瓦解
6,既分高下，也决生死。
7,赚钱不跑真是傻蛋
8,明明是多投跟空投的战争...散户那就是韭菜
9,燃起来了
10,散户是打不赢的不可能打赢的
11,此处应该  Get一下齐天大圣孙宇晨老师。
12,王侯将相宁有种乎
13,btc dot Uni
14,明白了吗？一键三连是流氓操作 
15,你以为你反割了，其实是人家让你以为你反割了
16,好嘛
17,想起当年为国护盘的中国人了
18,夭寿啦!一家人打一家人啦
19,你想多了吧
20,其实这都是华尔街的计划而已，主导者也是华尔街，引诱那些散户去接盘罢了
21,卧槽，我黑莓竟然还能涨
22,比特币
23,比特与以太
24,  iii  i    ii ii iiti ttttu ttitittttiiiiiibiiiiiibiihihihihhh
25,哈哈哈
26,哎呀，直接去华尔街弄死一两个金融巨鳄，这波不信小散们不赢
27,华尔街内战
28,然而中国股票里散户永远是韭菜
29,这是最后的斗争 团结起来到明天
30,哈哈哈哈 牛逼
31,怎么可能吹爆？裁判，都是我们的人
32,已经输了GME
33,魔幻
34,显卡
35,散户里带头的就是个金融业的，你细品
36,？这就是自由，不是反话
37,然后又跌了一半
38,信你个鬼
39,这种视频没有说中国一样的我倒立洗头
40,那都在买  谁在卖呢
41,散户只是表面，后面买高财团才是主力
42,别傻了
43,你以为就那点散户干的？
44,这是游击战的精髓
45,现在散户大约200万人在参与这场战争
46,还真有相信这是散户和人民的胜利？？？脑子
47,250？
48,这瓜吃一年，停车场反杀龙卷风
49,死活都是美国人
50,屠龙者
51,6比
52,按时自己是庄家
53,vqg
54,我不耍流氓
55,斗地主
56,。
57,黑莓都搞出来了
58,看着吧，散户会死得很惨
59,好家伙 过几年 金融大片 《决战华尔街》
60,懂的都懂，不过是两头炒作，让散户资金扩大市场
61,这是斗地主？
62,香橼经典操作
63,原油宝？？？
64,快进到拔网线
65,大佬能拔网线，散户能肉体消灭，冲啊
66,现在383了
67,他说：一键三连是流氓操作
68,我感觉是这几家大佬玩的套路。
69,股票反着买，别墅向大海
70,直接不要脸了
71,是暗示什么吗？
72,拔网线
73,未来是属于人民！！
74,牛啊
75,为了自由
76,人民战争万岁
77,全世界无产者团结起来
78,瓜子，瓜子
79,后面说的这是啥啊文案拼错了吧，顺序都反了
80,哈哈关服了
81,明示三连
82,然后散户做空
83,多读书，就能知道金融的好处了。
84,啥啊 机构之间的互杀哪有那么多的散户
85,这瓜
86,各打五十
87,自由
88,看。股市。以后也是我们中国的命脉
89,都是机构 散户都是幌子
90,中国有自由市场吗？
91,人家能斗地主，你能么？
92,疫情还没过去，真的是钱比命重要
93,早知道买点黑莓的股票了
94,机构必胜
95,厉害了
96,做空机构做多。。。
97,从未设想过的道具
98,金融可以把一个国家给搞崩溃。参考。苏联。
99,世界级瓜瓜
100,是经济危机
101,说不定是自导自演呢
102,券商才是庄家
103,白银上涨了6%？银饰佬要发财了？
104,这居然是个真火炉
105,欢乐豆
106,这是一场复仇 散户们已经对于自己的得失不在乎了
107,哈哈，魔幻
108,你死我活，就是你没个好
109,全是虚的，实干兴邦
110,哈哈哈
111,都是机构哪来的散户
112,？？？？？
113,哪个基本面不好就炒哪个，太牛了！
114,可怕
115,打起来了 打起来了
116,好耶
117,太无耻了
118,规则只有一个，就是大佬不能输
119,黑莓还在？
120,qq币市场
121,美丽的风景线
122,哇哦，这瓜真猛
123,这个将来会拍电影
124,全世界的布尔什维克人民联合起来！
125,散户后面有大佬
126,杀疯了
127,美国散户加油！
128,打不过就加入
129,拉到吧哪来那么多散户
130,然后散户头子被收编，成了新的大鳄
131,不起暗示，是明示了…
132,这道菜是烤猪蹄
133,峰值500美元
134,金融到底给世界带来了什么好处？
135,哪里有压迫哪里就有反抗
136,都300多了
137,to the king
138,to the king
139,白银纯属转移火力
140,下次一定
141,不是关停买卖，是禁止散户买，机构还能正常买卖
142,内战，就是内战
143,这瓜真大
144,要感谢多媒体的便利
145,啥叫做健全的金融体系？看看美国就知道了。想让你带不走，你绝对带不走。
146,然后呢？被莫名抬高的股价，价不符值，等谁解盘？
147,666
148,暗示三连
149,哈哈哈哈
150,暗示三连
