,弹幕
1,生孩子给人打工吗
2,太好了
3,等没人了，我的价值就体现出来了
4,自由
5,鲁迅的书啥时候成禁书呢
6,发消费券
7,我没收到过一分钱
8,给一个乞丐和一个千万富翁各一千元
9,每个人都有想桃子吃，八成是生孩子的发钱然后诞生出专门生孩子骗补贴的人
10,要是每个人都发100亿，那差别就大了
11,觉得up说的都是废话的 为什么要点进来看呢 ？
12,保护保护保护
13,说这话的人简直就是头猪
14,不不不，是欧美人拿走大部分劳动成果
15,漂亮
16,好耶！！！
17,确实是胡说的哈哈哈
18,好耶
19,太坏了
20,均衡
21,2%的人拥有98%的财富
22,朝鲜啊
23,白色孔布
24,本来就是胡编胡编乱造的 哈哈哈
25,胡编
26,因为说实话就删帖封号查水表
27,瞎扯
28,1000岁退休
29,不让说话了？
30,宁为玉碎不为瓦全
31,太好了
32,你们这些老油条，赶紧去生，多生几个，替不生的人多生几个。
33,大家都死亡，等于没人死亡
34,跌的漂亮
35,普天同庆
36,好耶
37,好耶
38,好耶
39,买啥养老金？活的到65？
40,多了，继续降
41,这算都发？
42,好时代，来临力
43,嘻嘻嘻，房子继续涨价，多涨点
44,少生优生 幸福一生。。。。。。滑稽
45,哟西 索达
46,太好了
47,好耶
48,正道的光
49,哈哈哈哈哈哈哈
50,还好我人在东京
51,成功就不会发视频了赚钱了
52,好耶
53,好耶
54,好耶
55,有多成功
56,阿巴阿巴阿巴阿巴
57,跟疫情有很大关系的
58,我巴不得下降50%以上
59,太棒了太棒了都别生了
60,好耶
61,正正好是今年出现
62,他本来就不懂
63,再加把劲就可以封号了
64,好耶
65,谁想生啊？
66,牛
67,少生优生 幸福一生
68,好耶 超载掉这个文明
69,人口锐减
70,结个婚都有费劲的。
71,有啥条件生。
72,好耶
73,放屁
74,注意是净增人口。净增
75,资源有限的情况下
76,好起来了，nice
77,好耶
78,这屁股，我弟弟说它吐的到处都是
79,棒
80,贵阳前几年房价涨得那叫快哦
81,这不是万达吗
82,好耶
83,税收靠平民，那些处于经济顶流的支柱有几个正经交钱
84,好耶
85,我们伐子弹
86,好！
