,弹幕
1,弹幕护体
2,跟人口流向没关系，如果不调控一样全国飞涨。
3,利滚利就是这样啊！
4,确实啊
5,要看的到这涨幅
6,说的很对
7,上来就看到我家这边
8,我就是这么还的
9,买了之后到现在翻了多少倍呢？千万级别的吧
10,房子是用来住的不是用来投资的
11,这货说的很多都是瞎扯的
12,07年200W的房。。现在没有几千万买不下来吧
13,提前把贷款还了不就少还利息了吗
14,这是今天往回看
15,还会再涨?
16,我是4.65
17,又是你
18,别通货膨胀了   今日已不同往日  房价涨幅远没有以前那么厉害了  
19,这样银行还说亏损呢
20,好家伙，乐昌
21,鞍山人表示真实
22,不是所有下跌，肯定有停滞不前，停滞就等于亏了
23,但是不贷，存那么多年也存不下来啊
24,我的5.5
25,高利贷合理化
26,这不是很正常
27,全是废话
28,我家还没有收缩
29,很正常
30,要 shouhua
31,跌个鬼
32,Lpr了现在
33,学区房就行
34,薛之谦
35,07年两百万现在随便都上千万了吧？怎么算都是赚
36,07年200w的房子？也就北上广了吧
37,要啊
38,49年入国军
39,今时不同往日了
40,买鹤岗
41,现在呢？
42,我想贷都贷不了
43,那么房子现在多少钱
44,我们同事就是啊
45,等额本息偿还
46,等额本息偿还
47,三千块工资别推了 举报了
48,怎么老给我推送它 贩卖焦虑
49,赚了呀
50,很真实
51,薛之谦
52,这是以前哦
53,07年房子才多少钱
54,公积金3.25第一套 商贷4.95第二套
55,4.95
56,你的时间呢
57,恶心
58,这才过了十年，3800一平的房子现在上万了。这怎么说
59,我也这么算的差不多
60,小城市以后拿来养老吧哈哈哈
61,房屋有保值曲线的，要保值还要会换手
62,所以说其实买房总价请加上利息
63,对
64,现在房还会涨？
65,这已经说得很清楚了
66,我的利息比本金多
67,你丫像张东升
68,才207
69,义乌？！
70,当年的存款年利率都很高啊
71,那怎么才能上对车呢？？
72,听说B站的人都很有素质，今天看弹幕见识到了
73,我买房子又不是炒房子，我管他涨还是跌，70房产权
74,前十年除了东北随便买套房都会涨，我们家两套房就是现在差不多涨了100w
75,但是那么早不需要200万买房啊
76,跌了吗？
77,评论里那些骂的都是啥人？什么心态？人家正经的用数据研究楼市，你们却在这喷。这些鸟人估计不是些未成年的小喷子就是些开发商或者狗中介。
78,我们赚了
79,说实话，房价不跌没有未来
80,我看到了义乌
81,房价永远涨吗？????????
82,不算存款？30年存款利息也过本金了
83,您现在说以前 不是隔这放屁呢？
84,对
85,好家伙，一眼就看见我老家
86,有一说一，你却是在放屁
87,房子为什么不能变现？？
88,你这么想，不还是炒房思维么
89,住房不炒
90,不然呢，能直接拿出来的有多少
91,放屁
92,你怎么不说房价涨了多少？
93,欧美 香港 日本房贷利率只有1点几！
94,怎么又给我推送这货的视频，恶心至极。
95,不，你已经没钱了
96,4.9
97,谁敢保证房价还会持续这样涨下去？
98,如果房价跌了呢？
99,文不对题
100,反向高铁 孙一峰 ！
101,我觉得你在嘲讽 孙一峰 ！
102,然而07年房价还没现在的五分之一呢
103,我的5.05
104,你要看地段，能不能卖出去，卖出去的手续费和税率
105,2021年讲个笑话房价跌了
106,5.39路过
107,要，能贷多贷多少，能分多久分多久
108,为什么我还能刷到你？
109,鹤岗？
110,当时买房的时候还好避开了几个只跌不涨的小区
111,那要
112,请考虑通货膨胀
113,房子能直接变现吗？
114,通胀赚钱可真是睿智
115,当然要
116,07年房价也不高啊
117,薛之谦是你吗
118,10几万了
119,刚需怎么办
120,我的利息好像是4.9左右
121,老仗育发言了
122,早就知道了
123,嗯 知道
124,通货膨胀
125,今年第一次实习，确实第一次听说，震惊了
126,现在都3点多了我们这边
127,小城市跌？
128,哦
129,数学不及格
130,不能这么算的
131,物价变了
132,07年你赚多少钱，现在呢。 
133,07年当时房贷利率有折扣啊，
134,十三年翻两翻也就是10出头的年化
135,现在五环都大7w 6w有点偏僻了
136,大哥，你这是从现在看过去
137,燕郊
138,水涨船高
139,商住两用
140,利息每年要根据利率重新调，再一个考虑贴现，并不亏
141,屁
142,房子赚了你可以卖，你可以换个地方生活啊
143,07年房价不贵，准所说08-13-16年是房价大梯度上涨的时间段
144,货币是有时间价值的啊
145,30年后房价1个亿了
146,还是赚的
147,天啊
148,你可以不借啊？银行欠你的？没钱你还超前消费，活该！
149,购买力研究一下
150,差不多了
151,图呢
152,07年500万可以随便买了
153,07年房便宜啊
154,薛之谦？
155,你是不懂啥叫通货膨胀吗
156,但大家都是提前还贷了，
157,刚需 买了也不会卖
158,是啊 当时物价呢
159,咋不去北京上海，还个几辈子
160,笑死了，算通胀贷款更开心了，你买到手的是不动产在升值，用掉的是货币在贬值，这都不能？
161,刚需
162,07年买的房子50w现在700w
163,东莞？
164,薛之谦懂的真多
165,这就是吃人
166,风险无处不在，小聪明
167,瞎说，你在06年知道现在6万？
168,谁他妈知道对错
169,年轻人很多
170,你就一套房，涨了有用吗，跌也只是心里难过
171,马后炮了
172,差不多
173,怎么不去说蚂蚁花呗和借呗
174,但是对于刚需房来说，何来的赚钱一说呢
175,秃了？
176,那这钱是房子价值啊
177,还让活不
178,2019年买房热真是害人不浅
179,我的5.635
180,不过那时候200万的房子现在能值几千万吧
181,房住不炒，这种视频就房产涨价的催化剂
182,要
183,没卖出去就不算赚吧
184,工资不算房价不算？你以为日本啊30年不变还在这科普?
185,房子的产权也是一个问题啊
186,你会算贷款吗？房贷是分期，真实利率要乘2
187,我买房子，是为了住，不是为了让它涨或者跌
188,有没有电子版的城市名单啊？
189,然而并没有卖出去的可能
190,一线城市 离中心越近越好 简单明了
191,因为你先还200万的利息，再还本金，不是一半的本金一半的利息
192,扯淡
193,一身冷汗，我居然没有在07买
194,公积金
195,同一时间才能比较。
196,房价涨了至少一倍，你就偷着乐吧。。。
197,来东莞买套房试试
198,抚顺 哈哈哈哈哈哈
199,已经很低了，30年啊，买基金早翻倍了
200,义乌
201,说没算通胀的麻烦去补一下货币时间价值里面的利率的概念
202,能不能换套衣服....
203,看破不说破
204,你不要努力了！你应该换个方向！
205,北上深
206,和花呗一种算法，喷就喷全套，别单指着马云
207,北上广
208,。。。。。。。。
209,首套5.47？上海二套才5.25
210,打脸了 人家考虑到的通货膨胀
211,看到海南的好多地方了……唉
212,07年你在哪买房要200w？？？
213,利息是每年不一样的
214,07年房价便宜
215,量力而行吧，都这样高杠杆买房，你可知道短期还不上房贷是会被银行收房的
216,有房贷的都知道，啥叫第一次听说？不识数？
217,刚需要卖么
218,07年就开心了
219,现在本息等额抵押贷款更便宜。
220,鬼才经济学
221,现在问题是，你今年能贷到款吗？
222,我收回
223,通胀，时间价值，呵呵呵
224,你借了这么久，这点利息很多吗
225,炒房呢在这
226,岂止还是那么多……地段好40年价格照样上天
227,东莞？
228,似乎在老师
229,鹤岗
230,看见我的老家  大冶
231,怎么听起来像炒股
232,用了十多年的房子，价格还是那么多吗
233,鹤岗考虑一下
234,其实比本金还多
235,买房的钱去买了股票
236,害怕
237,算通胀就赚得你妈都不认识
238,先点差评
239,买鹤岗的
240,算上通胀的话，你的贷款都在给你赚钱
241,你他喵的算过通胀么？
242,理性思考
243,加油
244,来了
