,弹幕
1,说的都是我想听的
2,有点像佛说
3,讲半天没重点
4,眼神向上
5,念稿么
6,老师好，我已经困了
7,升职？啥升职？
8,要钱以人民币的价格要美元啊，升值就多要
9,有种央视手语翻译员的感觉
10,被美国逼的
11,你吼辣么大声淦神魔？
12,rmb升值重复三遍了你倒是快点说啊
13,哈切
14,她肯定是老师
15,这年头哪个傻子出境游？？？
16,我听不进去了。对不起老师
17,政治老师即视感
18,我进货便宜了，但出口贵了，不利于国家出口，赚钱
19,虾球说
20,虾球吹
21,钢管那个你别走，你那边我步枪守两组（doge）
22,意味着某可乐还是3 元
23,美国去年印25万亿人民币的钱，你们知道中国印了多少吗。。。20万亿，20万亿，20万亿。。。
24,像极了政治老师
25,只要美元印的快还能升
26,只要美国再印20万亿，还能再升10%
27,用人民币的多了？？
28,划重点
29,梦回课堂
30,老师好
31,别的货币贬值
32,国内媒体，不管升值贬值都赢。
33,你换的着美元吗
34,怎么感觉是被美元霸权收割
35,因为美元贬值了 所以显得人民币升值了
36,哈哈哈哈哈，原来是这样，老师好
37,老师，我没睡觉
38,好家伙不敢眨眼和我上学的时候节奏一模一样
39,瞌睡来了
40,国内也不可以啊
41,有内味了
42,老师我没睡觉
43,其实跟普通人没多大关系
44,疫情期间还处境旅游的是嫌命大
45,化简为繁
46,升值就是换的美元少了
47,人家印钱买我们的货物和资金
48,旅游无感
49,吃撑了
50,不要美元。。。。要专利
51,所有现在是2:7吗
52,我没有睡觉呜呜呜
53,会要命
54,感觉不利于出口啊
55,对其它货币均未升，这是几个意思？？？
56,美元贬值了
57,升值了，美国欠我们的钱又能少还点了
58,跟我们老师似的
59,坐等7:1
60,货币是特殊的商品
61,上课的感觉，太棒了
62,真像我政治老师
63,quan
64,老师好
65,对于资本家是好事
66,被美国强迫升值？
67,哦～这个语气像我的翼装飞行教练，爱了
68,就是钱依旧不够花
69,对外出口用美元结算没有直接关系啊
70,班主任哦哦哦哦哦
71,哈哈
72,不是人民币升值而是美元贬值了，放水4万亿了，全球货币都在升值，除了印度这个奇葩，他自己印的更多，美元收割，头一个死的就是印度
73,是
74,物价也升值了，厉害了
75,感觉来了
76,我们变穷了
77,到澳大利亚吧
78,姐姐好有气质
79,要黄金………
80,你去找物管啊
81,讲得好棒
82,已经开始困了
83,物价膨胀
84,越来越不值钱了
85,你老吓唬我！
86,人民旅遊換的外匯和國際貿易的金額比起來根本微不足道
87,升值不一定是好事儿啊
88,听不懂
89,都升值相当于不升值
90,内循环开启就是了
91,美元不变值
92,我们有钱了
93,升值了，变得更有钱了
94,唐山口音吧
95,我在上课吗
96,高一政治!
97,突然抬高音量有内味了
98,韩老师
99,有老师那味了
100,然而物价并没有下降。
101,这人咋长的跟无常一样
102,很大声
103,出口外销的得亏死
104,一半可能是做事，但旅游的还真多
105,那么大声干嘛
106,老政治老师了
107,648没了
108,就是有钱人变的更有钱了
109,必修一，哈哈，哈哈哈哈
110,听课了
111,利于进口，不利于出口
112,你吼那么大声干嘛
113,你吼那么大声干什么
114,美国印钞了解下
115,哈哈哈哈哈哈哈哈哈哈
116,老师好！！
117,感觉回到课堂上课
118,搞不好泡沫经济会崩盘 要挤泡沫
119,出口不琢磨了，进口买买必须的
120,那又怎样？还是买不起房
121,我没存款诶
122,梦回高一
123,通胀怎么办
124,老师好
125,那完了，钱更不经花了
126,美国印钞还钱
127,我老师，我没睡觉
128,语文老师的语气
129,价格！
130,可以拿人民币出去消费了
131,所以说，贬值和升值是相对的？
132,塑(shuo)料doge
133,真·老师好
134,意味着跟很多老百姓没关系
135,有大学老师那味了
136,我感觉我在上课。。。。
137,当年被支配的恐惧又来了
138,班主任既视感
139,只说利不说弊？
140,讲的浅显易懂
141,主要怕新冠病毒
142,老师好
143,老师
144,老师好
145,鬼去外国
146,懂了老师我去写作业了
147,这个语气我当场暴毙
148,小面已经7块一碗了
149,大学老师的既视感…
150,人民币升值，房价是不是要降价了
151,债券（quan）
152,美债被美国流氓赖掉很大一部分
153,靠
154,塑料
155,讲了个啥，怎么不讲菜为什么买不起了
156,老师好
157,弊大于利
158,啥叫有利有弊 对于现在我国的进出口顺差 得倒多少外贸公司
159,是美元贬值
160,政治必修一知识点
161,美国印多了钱
162,还有一半啊?
163,高 一 政 治
164,苹果会变便宜吗？
165,困了.....
166,换到更多的美元了，多买点便宜货
167,债券quan
168,哈哈哈
169,升值国债就不值钱了
170,我差点儿睡觉
171,哈哈！
172,意味着穷的更穷，富的更富
173,东西该降价了？外国货该降价了
174,这都是被动的好不，这很危险
175,离岸价，到岸价不一样
176,有我政治老师内味了嗷
177,老师就会这么喊
178,这个脖子怎么这样？
179,上数学课。
180,参瞌睡的同学醒一醒
181,人民币升值，美国开心了
182,意味着中国东西越来越贵
183,升值一点都不好
184,工资又少了
185,物价涨价了
186,抑扬顿挫反而容易困
187,美国我们都在印钱，只是美国放的水比咱多比咱快。
188,因为美元贬值了
189,外资流入中国是看好中国经济发展
190,会上b站
191,因为美元贬值了
192,意味着什么呢
193,升值=出口商品价格上涨=竞争力下降
194,这次是真的因为美国印钱才升的，实话  其实就是人民币贬值了
195,不 我们要黄金
196,升利进，贬利出
197,人民买东西贵了不少
198,买东西贵
199,意味着你的存款缩水了10%
200,美国欠我们的钱就少了。
201,老，老师好
202,不懂别哔哔，倾听这么难？
203,肯定要印钱啊，不然怎么刺激经济呢，不然怎么应对别国单方面货币贬值呢
204,                                                                                               是的呢
205,就像曼哈顿岛从不向国外输出一张富兰克林，但就是可以薅全世界的羊毛
206,是不是好事要分别从短期和长期来看
207,吓醒了
208,哈哈哈哈哈。困意全无
209,都怪美帝印钱
210,有吗？
211,还有电脑配件
212,好耶！！
213,我已经开始yy了
214,我已经可是yy了
215,拿那么多货物换了一堆超发的纸
216,这说话太像我老师了
217,好像我老师哈哈哈哈哈
218,视频结束还是没讲意味着什么
219,老师好
220,又蒸发几艘航母
221,这种突然的大声真的很有老师那种感觉
222,物价怎么还涨啊
223,哈哈哈哈老师好
224,不敢睡觉
225,相对的
226,这是老师吧？
227,这语气，和老师讲的一模一样，说的我都想睡觉了
228,老师好
229,这一声给我吓一激灵，老师好
230,像我地理老师
231,教授就是教授厉害
232,我一个理科生看得这么投入？
233,因为美元超印
234,别人没讲错一群人逮到语气不放，有趣
235,因为其他国家降值了（doge）
236,老师职业病？
237,钢管 工程塑料 (doge)
238,嘿嘿嘿
239,非战斗人员请撤离
240,意味着买房越来越难了
241,哈哈，政治老师
242,姐姐讲的很好
243,是好事还是坏事
244,废话
245,天津人肯定了，听出口音了
246,意味着我在香港更像土豪了
247,不降10%都是好的了还升？
248,放屁供求决定，就看你能买多少东西，值不值钱决定
249,升值是个屁的好事
250,美元印的比人民币多。
251,突然大声容易受惊犯困
