,弹幕
1,巴菲特近几年收益不行了，因为不懂互联网企业
2,你管谁关心他，你点进来不就是说明你关心么，这些弹幕这有意思
3,人家是八年定投70万
4,没有止盈吗？
5,牛逼
6,坚持 每天进步一点点
7,不错
8,走路拉风
9,不错了
10,数学真差，14.7年化7年应该是涨幅应该是161%
11,我想知道现在卖掉了吗
12,不说别的，真能定投8月这执行力点一个赞
13,八年已经几个牛熊了
14,没人关心
15,看弹幕没人认识你呀，谁关心了
16,还是买顶流的主动基金好些
17,不关心你们出去不就好了
18,70万买房不止增加2倍吧
19,成功人士
20,前方高能预警
21,杠精是真的多
22,坐上中国经济发展的红利
23,有钱任性
24,刘叔你好有钱
25,比特币风险大 你当初会投吗
26,快开始买基金了
27,人傻钱多速来
28,吹nm
29,封面还以为是陈睿
30,有些评论想啥呢，70万的本金是分八年投入的，收益肯定不止14%
31,那什么时候卖呢
32,nb
33,好亏
34,投茅台早上千万了
35,歌帝梵挺好吃的
36,石门一路 兴业太古汇
37,人工智能定投
38,大叔挺帅的
39,基金买了就跌，没涨过怎么定投
40,8年才翻倍，你在搞笑？
41,草 
42,可以 牛批
43,有钱人
44,这是临港吗
45,兴业太古汇啊
46,其实都是去年涨的
47,牛，3000
48,12年定投过来的，中间肯定几次大牛市，肯定要经历高点的
49,12年70万买个房子现在随便都有几百万
50,走路有点嚣张
51,那为啥不喜欢富时A50和中证100或者沪深300增强
52,真不如买房
53,人家又不是14年一次投入70万  你们有脑子吗，说买房的
54,每个月3000不断八年才70的又不是上来就70w
55,最近买的基金亏的一批
56,兴业太古汇啊
57,前提你得有足够的钱和耐心
58,走路太吊了
59,这大哥说的很好，是让我们理性看待，更重要是学习在行动
60,你们怎么知道他没买房。。。
61,快止盈了今年
62,翻倍了哦
63,高手
64,哈哈哈哈哈
65,太古汇
66,弹幕评论又酸又臭
67,这算的是啥，直接除了下叫告诉我复合年化率？
68,哈哈哈
69,跑赢沪深300指数的主动基金一大把
70,对，理财贵在坚持
71,想知道中间买卖情况
72,废话太多了，直接说不行吗
73,真能拿
74,12年5月份大盘2000边上
75,想知道，怎么算的收益率，，，大概算九年翻倍，有年利率14吗
76,说70万买房的那位你站住
77,我喜欢上证50
78,说没碰见牛市的那个，人家买了八年啊，怎么可能碰不到牛市啊
79,有钱人啦
80,很不错了
81,104期投了70多万，你以为梭哈呢！
82,北京买房，最少3倍以上吧
83,还真不如买房
84,你要是买房多好
85,今年
86,一天就跌掉
87,差不多每个月7000
88,买房赚的更多
89,太古汇
90,滚......
91,还是不错的，坚持
92,呵呵
93,8年两倍？呵呵
94,定投主动加指数呢
95,买房的那个还不如买墓地。那个单位面积涨的更爽
96,不错了
97,8年翻倍 其实真不是很好
98,沪深指数具体选哪个
99,有钱
100,误导，定投不定赢利，如同过山车，水里来水里去
101,Woc
102,Wc
103,你不止盈吗
104,说买房的是不懂定投啥意思
105,你坚持诺安我看看
106,不咋地
107,厉害了
108,有点帅
109,8年欸，买两套房不是更开心
110,买房也不需要关心
111,8年才这么点，不如贷买房，
112,价值评论策略了解下
113,我关心谢谢
114,现在沪深300高估了吧
115,你要定投纳斯达克更多
116,前面的，哪怕没有去年和今年年初的行情，也有下年的行情或下下年的行情或下下下年的行情
117,打扰了
118,八年定投
119,牛批  了
120,这有点像彭于晏！哈哈
121,年化14%就是一年总收益是14%的意思？
122,赔钱的就不说了
123,不如12年买房
124,向刘叔学习
125,说比特币的都是全知全能的，做什么投资啊去当神仙好了
126,能拿八年的人会等不到一个牛市吗
127,嫌少的你去做股票啊，保证你负14.7不是难事
128,前面算成30%年化的，为何有脸笑话别人
129,70w12年买套房 现在也200w了
130,？？？
131,好帅呀
132,跑赢了通胀
133,血亏
134,尔冬升 尔导？
135,讲得很实在，我直接关注了。
136,陈睿？
137,不如定投主动式基金，找一个稳一点的
138,得看你什么时候入的
139,八年，你这个基金账户应该算上本金有将近百万了
140,要在12年买套房
141,刘叔够扛冻的 拍个视频也不容易
142,巴近50年是21%年化
143,对的，我也这样
144,刘皇叔
145,我想知道你到底要去哪？
146,定投纳斯达克指数收益会更高
147,你定投了沪深300，我定投了比特币，我们都有美好的未来
148,@诺安
149,可以
150,我也一样
151,主要是2020行情好
152,这种自信看起来像3000万哈哈哈哈哈哈可爱
153,确实穿越牛熊周期了，收益可以接受，其实主要是之前半年涨了很多，要不然年化10%都很多了，半年把收益增加了一半
154,最近半年涨的多
155,低估多买是为了拉低成本
156,跌了多买点涨了少买点
157,是真的能拿的住，基金就是要拿的住才有收益
158,看行情的，去年行情好给了很多人错觉
159,不要盲目追求长期，如果是可以预期的行情低迷，可以高点卖出再低点买入，收益率更高
160,介绍几个好基金
161,喜欢定投混合基金
162,定投的那只 分享下
163,刘叔有你的
164,前方到达旺旺大厦
165,兴业太古汇 蔚来旁边
166,长期坚持这么多年，一次都遇不到牛市？弹幕说话不过脑子的？
167,要是一开始就买70万，现在肯定不止140万
168,要是一个月3w块，现在收益高多了
169,不去买房
170,上证50不香吗
171,发际线危
172,8年都不卖出？
173,你这个70万本金要算折现率吧
174,请问一下，投的是哪个公司的300指数基金？
175,我家那里唉
176,比我工资都高了
177,一天天比特币，有人破产怎么不说
178,为什么要走在马路上分享
