,弹幕
1,扭蛋区彩蛋up主
2,哈哈哈哈哈哈哈哈哈哈
3,感兴趣
4,银行利息
5,炒外汇也是
6,我老师在疫情刚开始买zoom的股票 好像是90美刀左右每股 现在都320美刀每股了
7,别产生这种心理 玩炒股玩的就是心态
8,买股票肯定要结合时事啊 比如一般公司刚上市 股价就会上涨(没出什么事的话)
9,毕竟high risk = high return
10,赌狗心理
11,欧
12,赌狗
13,超级感兴趣
14,这 点 钱
15,基金还得是坤坤
16,?
17,看的很开心
18,俗称人菜瘾大
19,好好好
20,流口水
21,感兴趣
22,可以！
23,比特币5万美刀了
24,危
25,感兴趣！！
26,年少不知白酒香，错把科技加满仓
27,前面的，余额宝有限额的......而且还特低
28,图一乐
29,不太行啊，买基金一个月好几百了
30,刺激
31,心脏受不了
32,存折 哈哈哈哈
33,成年人自己负责喔
34,66666
35,危
36,感兴趣
37,你直接投100亿吧
38,这是我用的
39,诺安！
40,BTC
41,一上头
42,《赌怪》
43,？？？？？
44,别买指数，至少要买指数增强
45,卧槽 和我买的一样 元芳你怎么看
46,蔡嵩松：找我就对了
47,余额宝是货币基金
48,感性趣
49,看人炒股很舒服
50,买基金
51,散户股市就算
52,感兴趣
53,合理
54,买半导体
55,超级感兴趣！
56,。。。
57,余额宝是支取灵活
58,66666
59,有！
60,这是赌博不叫理财
61,太短了
62,是因为海运费价格大涨的原因 这个RECP只是其中一方面
63,最近我觉得我越来越多钱了
64,借给股票市场上的那是收益凭证类似银行存款
65,逆回购是国债，央行用于补充市场流动性。
66,银行也有收益啊
67,一个月太短
68,外汇更可怕
69,医药加油 也算是支持发展
70,-8000
71,人无法赚到认知外的钱 迟早亏回去
72,这就是赌博 没有如果 没人能预测
73,长期下去不可能一直如果
74,赶紧卖吧
75,最刺激的
76,这东西肯定要定投 
77,基金这一个月看不出来 可能你下个月要亏1000
78,债券
79,没意思
80,余额宝不就是钱包吗 放着就行
81,一个月能看出啥 放两年
82,可
83,危
84,<--------一万多的打灯
85,上头
86,66
87,6
88,牛批
89,实战失败
90,有那钱 还是图一乐得了
91,土块
92,上头
93,有兴趣
94,继续
95,感兴趣
96,大起大落 金钱观错乱了
97,禁止理财套娃
98,不，这是指数类的基金，比股票基金稳一点，
99,666
100,再等一个月就血亏了
101,危
102,感兴趣
103,炒股的每个人想法
104,比特币是真容易跳楼，别买
105,随机区UP
106,三连了
107,我擦
108,期权来一波啊？
109,不要那样想
110,河里
111,标题=鹅愣子行为
112,看标题就像是鹅愣子行为
113,可可可可
114,没关系的
115,那就是亏了，因为有通胀
116,感兴趣
117,亏
118,感兴趣！！！！！！！
119,你这也没入门呢，得谨慎一点说啊
120,指数基金
121,我一天跌到哭
122,好有想法哦
123,感兴趣！！！
124,可以科普下基金怎么买吗
125,建议bsv，btc现在估值感觉过高
126,请继续
127,自信点，去掉可能
128,期权？我看你是没玩时时彩
129,股票和基金会买没什么，会卖才最重要
130,感兴趣
131,蓝筹，永远的神
132,这不比歪椅子香？
133,？？？
134,呱呱是谁？
135,炒美股
136,建议尝试期货（狗头）
137,易方达蓝筹
138,有意义
139,加仓
140,酱香型科技
141,可以  感兴趣
142,感兴趣
143,感兴趣
144,若安人若安魂
145,欧皇
146,2个月60%起飞
147,你不用理已经自由了
148,酱香科技
149,运气
150,我这点钱
151,感兴趣
152,六脉神剑！
153,股票真的不要！轻易去碰！！！
154,拉克丝……雷克塞…
155,赌徒
156,感兴趣
157,我主要是没大钱qwq
158,哈哈哈哈哈
159,各位千万别尝试。
160,幸好你没碰期货
161,玩的就是心跳啊
162,好聪明啊..这是有天赋
163,射手影音
164,越来越有钱了》
165,后面十音的电脑没了？
166,感兴趣
167,？？？
168,量子区up主
169,一个月还来出视频，有对比性吗？
170,并不并不 有个UP充了十万没了
171,1111
172,挣了主要是年底到现在基金股票都在疯涨，算是全大盘风很大
173,可以
174,厉害啊
175,那我可以说，希望你亏吗？
176,新闻联播区UP主都可以做了
177,买斐讯系，才有机会赚
178,期货才是最可怕的
179,股票是真的风险太大，当然也可能暴富
180,买基金总体来说还是风险比较低的（不要跟余额宝比）
181,理财真的太少了，基金股票多一点，但是当然风险也大
182,一个月直接跑赢通胀
183,我也上头
184,元芳你怎么看
185,虚拟货币碰都不要碰……
186,又理财力
187,白酒永远滴神
188,感兴趣！
189,明星多恒星少
190,lks安利区up主，给我安利好些人了
191,期货那些杠杆高的更可怕
192,基金经理赚佣金
193,头两个都是货币基金，只能保持流动性
194,给孩子个三连吧
195,是宽基指数基金，不是股票基金
196,输了也抽成啊 这不是最基本的金钱交易吗
197,建议加杠杆，赢了财务自由，输了失去自由
198,股票就是这么买的，这不是运气，是厉害
199,这个不是运气了
200,非常感兴趣！
201,炒股两年亏了6万
202,股票两年本金折半
203,上头
204,白酒
205,指数很稳啊
206,有意义啊
207,我要去玩股票了
208,都是货币基金
209,《勉强》
210,有有有
211,非常！
212,感兴趣！
213,卧槽
214,指数基金适合定投 只要大盘在一个长区间内是涨就行
215,好家伙，10万图一乐吗
216,可以
217,巧了  突然一个分红到账信息  打断了我看视频
218,有兴趣
219,白酒，yyds
220,三连了
221,好孩子
222,上头
223,期货试试
224,定期啊
225,@巫师财经
226,@巫师财经
227,卧槽，欧皇
228,非常感兴趣
229,也亏了
230,亏了
231,去期货好了长期做空石油 
232,我也买了
233,期货了解一下
234,盲目理财
235,感兴趣！！！
236,杠杠的开始
237,感觉就跟抽奖一样，不知道下次是啥情况
238,可以可以
239,三联了
240,好家伙
241,《我这点钱》
242,建议再去看看数字货币，再加杠杆，心态就淡然了
243,这操作是套期保值啊哈哈哈哈哈哈
244,。0
245,应该是我这亿点钱
246,1111111
247,一个月肯定赔
248,指数哦
249,超级感兴趣
250,真实
251,厉害
252,宜宾纸业才是真妖
253,危
254,感兴趣
255,熟悉的味道，小白理财课淼商学院
256,对，12月末到1月初这几天基金涨幅特别大
257,想看
258,你永远可以相信酱香科技
259,这纯属运气好
260,运气不错
261,12月整个月，大部分基金都在涨，不俱代表性
262,我太有兴趣了
263,可以
264,??
265,学到了
266,放银行可以给国家建设hhh
267,节目效果有了
268,所以投资不要想着靠运气
269,起飞
270,千万别买白酒
271,最近正好想理财
272,军工的永远都不碰
273,可以可以
274,感兴趣
275,老股民表示这个月股市行情原本就好，不能当依据。
276,前海开元永远的神。。
277,你亏的时候，咋不想想要是你投的是20万，而不是2万呢？
278,跳过
279,？？？？？
280,非常感兴趣
281,白酒！
282,输了算你的，赢了咱俩分
283,勉强？一个月6%就是年化72%叫一点么
284,这些产品根本不叫理财，这跟存银行根本没区别
285,2到300的佣金？有这么高？
286,卖了吧，别亏了
287,上头了
288,有兴趣
289,利好茅台
290,这是怎么借的？日利息不到万分之一，也就是说年利息不到3.65%
291,想看比特币
292,拉克丝
293,一点小钱
294,11111
295,哈哈哈哈哈
296,还是要人带的
297,这和运气没关系
298,一个月短了
299,上头了
300,感兴趣
301,小心大宗
302,基本面大师？
303,期货啊，期货风险低(狗头)
304,一万？？
305,就是我了
306,？？？？
307,有！！
308,xue微
309,心脏不好的别碰股票，受不了大涨大跌的刺激
310,《多看新闻的重要性》
311,深渊也在注视你
312,袁芳的产品，挺好的
313,感兴趣
314,比特币更离谱
315,眼光好
316,活期超低等于没有
317,感兴趣
318,赌
319,信息
320,感兴趣 一起上天台
321,感兴趣！
322,哈哈哈哈哈哈哈哈哈
323,别上头！
324,有前途小伙子
325,你运气也太好了吧
326,一个月的馒头？一天一顿的话
327,你这可太小白了点儿
328,今年中旬行情要下去的
329,12月行情好而已
330,可惜买不了小破站
331,膨胀
332,宁波有自贸区吧
333,maotai
334,两万就上头了
335,感兴趣
336,上头了
337,赌怪！
338,原来你有这么多钱呀
339,你变了
340,赌徒之心理
341,新一代股神诞生
342,NB
343,感兴趣
344,好
345,茅台稳赚不赔
346,不错
347,理财前提是...
348,危
349,ohhhhhhhhhhhhhhhhhhhh
350,怎么不去买B站股票
351,天地板
352,怎么选的
353,这个是etf
354,错觉，很关键
355,很有精神！
356,up主也是问了别人会买的推荐的
357,感兴趣！
358,俺也一样
359,刺不刺激 意不意外
360,散户长期基本都会亏
361,高风险才有高收益
362,余额宝现在年化太低了
363,钱多了
364,我也在买
365,可以可以
366,先蹲一个哈哈哈
367,超级有兴趣
368,女子
369,感觉up还是不摘墨镜好看
370,跟赌博有点像
371,跟赌博有啥区别呢 阙值高低不同
372,这俩货 也都好不到哪去 细品一下
373,原始投资者套现了
374,期货
375,买期货原油 亏了3万
376,上次买原油
377,就图一乐
378,新版图一乐
379,虽然感兴趣，但是怕你血亏
380,说的对，别碰股票
381,感兴趣
382,感兴趣
383,不能这样想 股票大忌贪
384,买白酒呗
385,厉害，直接天地板
386,一万……你好牛壁
387,开始上头
388,怎么办 我心动了
389,感兴趣
390,现在卖出比特币！赚翻了！
391,懂了，余额宝最稳
392,沪深300最近还可以
393,可以的
394,这时候不得不说原油宝
395,这不说酱香科技？？？
396,可以
397,指数
398,好家伙，我喜欢
399,来了来了
400,开始了开始了
401,爆仓了解下
402,这个就算了
403,全挣了，牛逼
404,梭哈就完事了
405,感兴趣！对这方面完全没经验
406,P2P
407,感兴趣！！！
408,接广告还算难。。。哎
409,去掉可能
410,要要要，汇报
411,不感兴趣
412,。。。。
413,感兴趣
414,赌徒心理
415,期货加杠杆，直接一把 倾家荡产。。。
416,开始了开始了
417,危
418,作为初次尝试的视频，已经做得很好了，真实可靠~
419,？？？人言
420,可！！！
421,？？？？？…？？？？？？
422,感兴趣！
423,？？
424,两开花
425,。。
426,用现变现吗。。
427,up是盲人吗
428,lks：我就不一样了，我本来就财务自由
429,感兴趣
430,逐渐上头
431,宁波海运连续涨几天 涨停
432,基金1.5% 1万块钱 只要你150
433,财务自由 3000W以上
434,随便买的，新能源和白酒已经不行了
435,已上头
436,之前白酒
437,草
438,宁波海运我也买了。。
439,佣金已经在每日收益里扣除了的
440,感兴趣
441,需要！
442,我连玩这个的钱都没有
443,有钱真好
444,期货
445,关注了
446,不买比特币？
447,还好
448,定投基金吧，强烈推荐
449,太弱了，来做合约，一分钟100%
450,太感兴趣了
451,和赌博差不多
452,赌徒心里
453,你胖了？
454,这6种方法加起来，家底还可以哈哈
455,这是指数基金啊
456,信托
457,赌狗
458,支持
459,大宗玩不起啊
460,有兴趣
461,有啊！
462,七老八十还能接广告 本身就很了不起啊
463,赚还是亏我自己背哎哎哎
464,有意思
465,太可怕了
466,可怕
467,感兴趣
468,买十万比特币
469,还是买股票好
470,还是股票好
471,交这么多
472,？？？？
473,混合基金还好
474,会变赌狗
475,刚好遇到牛市
476,彳亍
477,哈哈哈哈哈哈
478,1w余额宝就7毛
479,可以可以
480,大家真的要理智！！！
481,真的，见好就收啊
482,感兴趣
483,非常感兴趣！！！
484,哈哈哈哈 我也看不上那点 放在余额宝就是当粮仓
485,？
486,离谱
487,12月基本都赚了吧
488,冲冲冲
489,你也会上头
490,12月全买白酒基金
491,有钱了 三连也不要了
492,想看!
493,感兴趣
494,感兴趣！
495,真的容易上头
496,支持
497,卧槽
498,想看！！
499,害怕
500,111111
501,可以！想看理财！
502,薛薇高那么一扣扭
503,哪哪都有你
504,期货老狗表示：佛系佛系~
505,余额宝是亏本！不是保本！比CPI低的都是亏本！
506,草
507,尼玛
508,债券基金呢？
509,截至目前 我觉得 这都是绝对保本的
510,一定要小心
511,诺安的
512,比特币还是算了
513,好好好
514,感兴趣
515,超感兴趣好嘛！
516,这是你找的人推荐的好
