,弹幕
1,这叫分时图
2,我贡献了200w
3,我就叫张坤
4,还不如我自己炒
5,很开心，希望基金经理盘子控制在500亿以内就好
6,太好了，可以买入了
7,赎回是好事，割的就是这些韭菜
8,好事情
9,我就买了前两名
10,易方达已经把那些人整得快倾家荡产了
11,现在不可以了
12,所以b站什么人都敢来分析
13,备忘录PPT
14,双重字幕
15,今天不是周三吗？
16,想起了毛毛虫
17,这交K线？
18,我有5支
19,山芬
20,尬黑 尴尬的永远你别人 
21,看了半天…这么老的视频
22,酱香科技就是可怖
23,比特币吸了A股的钱
24,蔡经理
25,他还有麻麻?
26,生死要做诺安人
27,诺安牛逼
28,我都买了的，我是被监视了嘛
29,赚钱蔡哥亏钱菜狗
30,这还可以，拉到吧
31,这么看的话还是白酒稳，都成这样了还没人退
32,活该，接着重仓
33,这是kdj
34,蔡跌跌
35,好冷
36,买了2000
37,不要嘲笑人家，你行你上啊
38,过完年会回来的！
39,900万资产，只有1-2万的波动？？？
40,？？
41,尼玛
42,你币有了
43,怎么没人买广发小盘？
44,看到中间那个尖了么！我站在那里
45,哈哈
46,果断买2000入场
47,已经赎回了，还有啥好说的
48,讨论赎回多少需要比较买入了多少吧
49,主意 up不带任何投资意见，你们看看就好，自己买了涨了是你自己的眼光，赔了也不要来骂人。
50,我18年买了10块钱的景顺长城，今年变成14块了。大赚
51,这样的基金经理缺德
52,买入的机会
53,那也不影响张坤继续暴涨
54,噗呲 就我懵？
55,我值钱真把里面的几只赎回了
56,为什么还要把渣男拉出来打
57,这是什么app
58,除了诺安 我都有
59,这就叫股灾，那前几年千股跌停的时候叫啥
60,涨那么多不赎回才傻
61,呵呵
62,可可爱爱
63,你知道什么叫股灾……还股灾
64,这么点还浮盈较厚？逗我
65,搁这儿读PPT呢？
66,这叫K线？
67,我靠，都是我刚进去的
68,股市走低 不赎回等亏？
69,是
70,土豪!(^O^)y
71,应该满仓梭哈
72,这不叫k线吧……
73,就这
74,那新买入多少呢
75,也就白酒可以了，其他的真看不到啥了
76,消费类的就买癌股
77,科技类的还是去买港股，美股
78,你真有钱啊 富二代
79,在 看看诺安
80,买入更多
81,我赎回了景顺
82,这k线走得跟鬼一样
83,骂人家没意思
84,赎回了209，申购了有500亿
85,有钱人
86,山顶好锋利
87,都是提出钱来过年。年后还会重新放进去。
88,赎回了好
89,中小盘都限2000了，随便抛，抛的越多约好
90,这个是净赎回
91,年底脱手过年很正常
92,笑了
93,医疗赎回不是有人看长期跌，稍微回本就有人卖了呗
94,诺安那个垃圾走势，纯短线，去就是送
95,1万/209亿
96,萧楠才对
97,别个早就调仓了。
98,才401亿，说话不过脑子？
99,这是K线？
100,哈哈哈，没事还有个支撑线，还算可以
101,我吐了
102,只看赎不看进么，除了诺安我估计都是变多的吧。
103,(⊙o⊙)哇，千万富翁
104,12月基金公告，蓝筹规模是667亿。
105,那你说个屁啊
106,蔡狗子出来挨打
107,4季度。。现在都什么时候了
108,你叫分时图我都不喷
109,天天张坤，这蹭热度说明实力没啥内容得视频
110,天弘中证电子也一样
111,春节了，要用钱。
112,这尼玛是K线？
113,4季度赎回，但是1月份净值又创新高了
114,诺安我在最高点卖了
115,全买了
116,屁
117,这叫k线？
118,诺安债基大坑！我上了贼船了
119,赚钱了就会赎回呀
120,只看赎回不看申购什么意思？还赎回一半，这标题不是纯误导人嘛
121,你看的不是净赎回，蓝筹精选4季度规模大幅度提高了
122,赎回了 蓝筹还是全市场第一
123,你搞笑么 四季度赎回咋的了
124,白酒算好的了，总不能买100pe酱油跟120pe食用油←_←
125,放屁
126,这不叫k线吧
127,哈哈哈
128,说真的一年三十几的涨幅超极高了，套进去的都是梭哈贪得无厌的人吧。
129,标题党，我看完了
130,才字很精妙
131,有人要用钱赎回正常，你算下申购多少
132,？
133,四季度赎回正常，我刚玩，结果赎回晚了
134,张坤分红都吃饱了，几年不开张也无所谓了
135,说了个寂寞，难怪没有粉丝
136,这声音给我听y了。。
137,这个过山车比股票刺激多了
138,花里胡哨的，讲点正经的
139,山顶的就是我了…
140,蓝筹和医疗是带着收益走的，拿钱过年
141,赎回多申购更多。真是莫名其妙？你是认真的吗
142,不是。20年四季度的拿出来说？赎回是多，但是买入更多啊
143,赚钱蔡经理，亏钱经理蔡
144,哈哈
145,你咋不来句震惊。
146,我都有
147,哈哈哈哈哈哈
148,咋不说半导体，跌的简直了
149,韭菜离场有啥大危机
150,今年3000多亿啊
151,菜狗么
152,因为买的人太多了，所以赎回也多，这个排名没有太大意义
153,茅台：还有谁？！！！
154,你把你的持仓卖了就是赎回，你卖诺安，诺安就赎回基金了
155,净赎回呢
156,才？
157,你不计算一下人家资金流入有多大吗？
158,up主说话好尴尬
159,为啥不说第四季度规模最后有多大？
160,和菜经理没关系……
161,你这骂人骂的，半导体本身波动大
162,两个月赚这么多少了？
163,资金量大赎回肯定多啊
164,哈哈哈诺安这个可以理解
165,我要是拿了一年赚了80%我赎回一大半过年花，留下赚的钱继续生钱没毛病
166,哈哈哈哈哈
167,规模大，按比例算也是赎回大
168,所以就读自己稿子有啥意思？
169,我在最高点上过车
170,基金10亿8亿的一大把，人家怎么都有一两百亿，我都不知道你想说什么
171,好少
172,你这蓝筹也是抛了啊
173,白酒股价超过打盘的3500就好玩了
174,我昨天也赎回了，因为要过年了，持币过节
175,买入又是多少呢
176,请问买入多少？
177,居然没有白酒
178,不是讲基金亏损情况嘛
179,你再骂
180,张坤牛
181,你这说的不严谨啊 怎么比的
182,这是净赎回还是啥
183,蓝筹都限购了
184,科技板块玩的就是心跳
185,哈哈
186,都赎回了我好买
187,才
188,哈哈，菜狗
189,基本都是大热的基金
190,管老蔡什么事呀
191,六支里买了四支…
192,这说了啥
193,我也不知道说了个啥
194,哈哈哈哈
195,也才
196,你不看净赎回有啥意义。。。
197,段子手啊哈哈
198,你也不能这么说别人 半导体行情差他有什么办法 
199,赎回是啥意思啊 今天的标题没看懂 小白求助 下期讲讲
200,世界第三酒庄易方达
201,我知道你也是
202,蔡公主
203,你再骂！
204,你太了解我们了
