,弹幕
1,凯恩斯选美共识
2,居然是真的高压线
3,说服他全家
4,煞笔
5,坏了
6,扯淡
7,傻逼
8,逐渐开始跑题
9,我不用说服他们，我给他一个难以拒绝的价格
10,鹤老师的黑粉多到我觉得像买的
11,因为便宜
12,我家冰箱比我大，我二十一【狗头】
13,…………这玩意怎么有的粉丝
14,说正在用的人那是因为你特殊，你不一样
15,说毛呢
16,？？？
17,？？？？
18,我家住了几代人了怎么可能卖
19,在看，在用
20,有，我就装修过一个别墅，房子边上就是高压线，那院子能让孩子玩么
21,精神病吧
22,煞笔
23,现在5万了
24,可以修仙
25,那就让他们觉得没问题
26,这么久，和电线杆扯上了没
27,确实
28,？为什么讲不能买高压线房子？？我还以为是什么科普视频
29,冰箱这栗子不好，还在用呢，伤害不大，但侮辱性极强
30,5.5万了
31,你哪个学校毕业的，我以后躲着点
32,最上一口一个唯物主义真让你住就不这么说了
33,风水不行
34,你以为你以为的不是你以为的
35,买了你卖不出去
36,薛之谦兼职了吗
37,我家现在也是高压线房子，周围2公里内3个商场，其中一个是万达
38,降价一半，我敢买，房地产交易中心的评估价也不同意！
39,我还在用啊
40,确实
41,小丑
42,我还怀孕了
43,好看吗？
44,你在说什么？前言不搭后语的，也没有解释为什么不能买
45,那找有学问的不就好了吗？
46,高压电确实有危害，但是从他说的真不咋地
47,怎么不敢，够便宜就行
48,你买得够便宜就行了啊
49,买也便宜卖也便宜啊
50,万代直呼内行
51,敢啊，便宜啊唯物主义者怎么了
52,说的没毛病啊
53,这个视频将会浪费你生命宝贵的一分钟。
54,你见过哪段高压线边上有住宅？
55,五万了
56,买了不涨
57,以前的电视没卖是坏了
58,薛之谦？
59,敢
60,666你们继续看我溜了
61,感觉是正确的，房子是资产，但是如果因为我这一点赚少了也不开心，也搞改善生活
62,二十年的房子我现在也能住啊
63,雷击
64,5w了
65,靳东
66,房子首付都付不起啊阿sir
67,偷换概念厉害得一p
68,太对了哥
69,心里会有隔应
70,懂了！这就去低价买高压线附近的房子
71,说话好像薛之谦
72,不卖，但是以后想改善环境就难搞咯
73,说的没错，我们现在的房子就想置换了
74,我家附近就有个电塔啊
75,有钱和没钱也不一样
76,工贼
77,砖家说
78,墨迹
79,你工人爷爷来了
80,工贼
81,不，现在30万美金了
82,知识越少 辐射越大
83,抬杠？？？
84,不是好人
85,房子和电视，冰箱能比吗？呵呵呵
86,说的没毛病啊……
87,所以高压线旁边房子怎么了
88,很难不支持
89,5万了
90,一群钢筋可真能杠，笑死
91,精资给爷滚
92,电
93,说的啥玩意 ？怎么会有这么多粉丝
94,说得很好
95,说敢的十个里十个都没到买房子的岁数
96,额额
97,不卖，贵贱不卖，就是不卖
98,消耗品和不动产能一样吗？
99,一个是消耗品，一个是不动产，明白？
100,敢啊
101,你他妈但是说为啥呀
102,风景不好
103,a I dju
104,去你的我就住这了
105,嗯？他是怎么有10万粉丝的？
106,那高压线会不会下地 改电缆
107,买房的人都想便宜，就算不信高压线会影响身体健康，他也会借此压价，上哪找那千年不遇的倒霉蛋呐
108,偷换概念，照你这么说你当了你爸这么多年儿子怎么不换一个爸？
109,？
110,这不是教育还要继续加强吗
111,凶宅？解剖室我都睡过
112,弹幕在骂啥呢？不懂
113,声音有点像薛之谦
114,薛之谦
115,说什么批
116,比特币永远的神
117,在看在用
118,哥哥有多努力，女人有多辛苦，你知道吗！（认真脸）(   ･᷅ὢ･᷄ )
119,我今年23，我家的冰箱25了
120,好的，给旁边规划学区
121,找个学历高点的买了不就完了。学历越低辐射越大。
122,那么问题来了，高压线旁可以建房子吗？开发商怎么想的？
123,马老师
124,酱香
125,早点知道就好了！
126,？？？
127,电离辐射会让你失眠头晕啥的，但离开后就恢复了
128,高压线长期对人是有害的，持续性的。
129,老工贼了
130,给小三买
131,你说的是有钱
132,只要够便宜一切共识都不存在了
133,酱香科技直呼内行！
134,是因为我在等拆
135,薛之谦？？
136,shui四声  说服
137,但是高压线边的便宜呀！
138,降价卖不就和up说的一样血亏嘛，还非说敢敢敢，原价你愿意吗？
139,你物理好，你牛逼
140,高压线过几年政府改造就埋地里去了，怕啥
141,买，凶宅必须买，便宜量又足，尤其是米花市
142,那么你是怎么去买的呢
143,我买来是等拆迁的，管你有没有高压线呢
144,你怎么知道20年后还有没有共识？
145,为什么B站的黑了别人他的视频我还能看到。
146,对啊，高压线以后会不会改地方啊
147,那高压线20年后会不会改地方啊？
148,在用怎么办
149,数码宝贝一直在看
150,房子和电器一样？
151,你在说什么？
152,？？？
153,你怎么知道我没在用？
154,不好意思 ，不卖，等拆迁
155,阿猫阿狗都自称是老师
156,说敢的脑子让驴踢了吗？
157,这讲话像薛之谦
158,啥b
159,sowa
160,sowa
161,不和共识作对，那就甘愿吃shi。你也是坨shi
162,你觉得没问题买，那就卖给也觉得没问题的啊
163,在用
164,三缸机
165,送你俩字儿，扯蛋。
166,？
167,逐渐离题
168,吵呀
169,知道辐射这个词 天天拿来唬人 早点滚蛋
170,有道理
171,你喜欢你就住哦，呵呵
