,弹幕
1,自首吧
2,死刑
3,叶凡的鼎
4,到罗老师的领域了
5,卧槽
6,这个玩意儿出来，直接死刑
7,鞋拔子
8,好家伙土还没掉呢
9,锅。。。。。。
10,太狠了
11,嚯嚯嚯
12,都他么掉土了 新鲜出土的吧
13,这他娘的叫锅？？？
14,好家伙，鼎这估计无期有望
15,好家伙
16,快去请罗翔佛祖
17,万物母气鼎
18,fanzui
19,哈哈哈哈哈哈
20,哈哈哈
21,有期变无妻
22,fz哈哈哈哈
23,分钟
24,要春秋就直接进去了
25,哈哈哈哈
26,《朋友》
27,掉土了
28,天天量刑
29,谁敢拿这做饭
30,够死刑了
31,布 鲁 克
32,mf
33,你手里还那么多货呢，分不出这批东西是什么时间的？
34,完了说漏嘴了
35,鼎啊
36,"""一线朋友"""
37,罗老师跨界铁粉
38,还带土
39,小几年
40,wocao
41,才挖出来的
42,鼎
43,鼎可是重刑
44,房子
45,夫子
46,《锅》
47,卧槽
48,罗老师啊
49,这特么肯定去吃牢饭了，我人傻了
50,还特么掉土呢……
51,罗老师请上身
52,逐渐离谱
53,老    矛    头
54,哈哈哈哈
55,无期
56,牢底坐穿
57,哈哈哈哈哈哈哈谢老师好可爱
58,好家伙
59,鼎啊
60,挺好看的
61,快进到直播大粽子
62,有内味儿了
63,布 鲁 克
64,真的蠢
65,鼎啊
66,鼎啊
67,卧槽中古
68,这些盗墓贼真是气人，还无知
69,罗翔
70,烦躁
71,哈哈哈哈哈哈哈
72,对这个年代来说，你这个就是犯罪
73,春秋你就出不来了
74,好家伙
75,无期
76,牙刷？
77,嚯嚯嚯嚯嚯嚯嚯
78,你，你你吃牢饭吧你
79,20年牢饭
80,20年妥了
81,罗翔上身
82,1
83,铜镍合金带点铅
84,卧槽nb
85,罚站
86,《锅》
87,无期
88,您就是张三
89,哈哈哈哈哈哈
90,上周的
91,春秋鼎，兄弟你是嫌你进去时间太短是吧
92,直接没了
93,二手的一刚
94,鼎啊，胆子真大
95,我去，都是青铜的
96,草
97,哈哈哈哈哈哈
98,宁朋友可真大方
99,罗翔附体哈哈哈哈
100,直接罗翔附体
101,真就赶着吃牢饭啊…
102,跟我一样的鼠标垫
103,牛逼
104,都掉渣。。。营销号吗？
105,做旧做旧成分那么明显
106,能真实点吗？
107,fz
108,NB
109,中午的
110,“他们跟我说……”我默默拿出手铐。
111,模仿罗老师。
112,罗老师视频没少看
113,中古
114,妈耶中古
115,万物玄黄鼎！这是叶凡的帝兵！
116,fz
117,天天朋友给.哪个我结交，w直接供着他
118,火锅
119,锅
120,《锅》
121,站焊的
122,直接死刑
123,哈哈
124,判小几年
125,妃子
126,这些比人真的狠
127,又是倒爷
128,无期
129,好家伙，还敢往上说
130,中古
131,盗墓贼
132,无中生友
133,宝友，FZ了啊
134,靠
135,这个我都能从历史书上看了
136,都是上周的
137,摸多了不长个儿
138,这个够十年
139,十年起
140,fz
141,这不是d的？
142,《鼎》
143,妈呀土掉桌子上了
144,樱桃的鼠标垫
145,还掉土。。。真牛逼
146,这个锅就很过分
147,.同款鼠标垫
148,我的朋友胡八一
149,焊的
150,这个10年以上了
151,老北京了
152,fz
153,这是扒了个王侯墓啊
154, 。  
155,泥还在呢
156,十五年吧，宝友
157,站焊
158,哈哈哈
159,哈哈哈
160,哈哈哈哈哈哈哈哈哈哈哈
161,同款鼠标垫
162,小几年（过万不说万）
163,牢底坐穿
164,日，这都有灰了
165,无期
166,三足鼎立
167,《锅》
168,都还带着土啊
169,鼎啊，国器。
170,大几年
171,泥土？
172,拔了个王侯墓
173,哈哈哈还好还好
174,无期
175,哈哈哈哈哈哈哈哈哈
176,为什么人头在飘
177,同款鼠标垫
178,锅？
179,几十年
180,建议上交国家
181,问鼎?
182,建议上交国家
183,无期徒刑
184,10年
185,wc这个，牢底坐穿了吧要
186,哪来的朋友
187,好家伙，敢动锅
188,哈哈哈哈哈哈
189,…
190,鼎
191,《稍晚一点》
192, 站着焊的
193,fz犯罪
194,那得是一线朋友
195,哈哈
196,敢卖鼎，牛比啊老哥
197,哈哈哈，无期
198,罗老师鉴宝专栏
199,看桌子上的土。。。！
200,罗翔
201,青铜鼎太猛了
202,前方高能预警，罗老师上身
203,哈哈哈哈哈
204,一秒上身
205,樱桃鼠标垫     大家买它   太好用了
206,樱桃的鼠标垫
207,盗友啊！这可不兴玩啊！
208,十年
209,前方高能
210,罗翔行为
211,三足锅
212,无中生友
213,同款鼠标垫
214,福建现在还管锅叫鼎哈哈哈哈
215,这个直接无期或者死刑
216,祭司的
217,好家伙，终身吃牢饭
218, 战焊
219,罗翔上线
220,呼呼呼呼
221,没文化啊，哪有锅这一说啊哈哈
222,大的来了满足你
223,王 自 如
224,青铜鼎
225,部队火锅
226,大概到2080年吧
227,无中生友
228,宝友加油，就快出不来了
229,我的一个土行孙朋友
230,妈诶，
231,《他们》
232,返祖现象
233,方尊
234,好家伙
235,盗墓
236,站焊
237,青铜器都是犯罪
238,哈哈哈
239,很像呀
240,法证
241,f z
242,哈哈哈
243,同款鼠标垫
244,漂亮
245,我滴妈………
246,牢底坐穿
247,好锅
248,哈哈 来了
249,哈哈 来了
250,出现鼎就不大对了
251,无期
252,好家伙青铜器
253,哦吼吼吼
254,哈哈哈哈哈哈哈哈哈这反应
255,不是祭器鼎，没啥问题，不能上拍卖和出国而已。。
256,这是个食器
257,哈哈哈哈
258,法制频道
259,十年起
260,鼎也敢拿出来
261,鼎
262,好家伙
263,犯法啦
264,有期徒刑安排
265,鼎可以死刑
266,自将磨洗认前朝
267,估计十年了
268,拔万
269,哈哈哈哈哈哈
270,叶凡的三组两耳鼎来了
271,惟妙惟肖
272,非洲
273,你这真的嚣张……估计要进去了
274,这个厉害了
275,犯罪
276,好好哈哈哈哈哈哈哈哈哈
277,《 锅 》
278,哈哈哈哈哈哈哈哈哈哈哈哈哈
279,20年吧
280,都是生料
281,直接判刑
282,？？？这不是我书上看到的嘛
283,还有土
284,这个好
285,“锅”
286,他们是谁？在哪？能联系到吗？
287,这个鼎有大来历了
288,好家伙，看这大开门的铜鼎我人傻了。
289,罗翔
290,前面还有几年加上这个可就大发了
291,这是真国宝，，千万上亿了
292,玩的都是直接进去的
293,罗翔
294,好多年
295,fx
296,地下的朋友
297,罗翔哈哈哈
298,什么程度？吃200年国家饭
299,《锅》
300,青铜器，牛逼
301,我想看桌子上的币，那玩意才好玩啊
302,牛逼了
303,见鼎必进去
304,牢底坐穿
305,要是去天天鉴宝钓鱼执法
306,fz犯罪
307,罗老师上身
308,鼎啊，牛大发了
309,地下的朋友？
310,fz
311,布鲁克？
312,国家帮养老
313,他们
314,中奖
315,这尼玛是个鼎，10年朝上了
316,哈哈哈哈哈哈哈哈哈哈哈
317,稀粥，蘸糖
318,中午时期
319,？？？
320,真粘焊来了。。。。
321,鼎阿卧槽
322,鼎…
323,哈哈
324,樱桃鼠标垫
325,青铜鼎可真是国宝了！
326,哈哈，这辈子吃国家饭了
327,死刑
328,我尼玛。。。。鼎也敢拿出来
329,站着焊的
330,掉土啦 哈哈哈哈哈哈
331,f
332,出不去了
333,土坑
334,天天鉴刑
335,哈哈哈
336,站焊
337,饭醉
338,春天的
339,是春秋就gg
340,这你可出不来了
341,疯子
342,这完蛋
343,张三
344,这种东西也敢拿出来鉴定？
345,这绝对模仿罗翔老师，笑死
346,西格玛时代
347,东汉末年
348,戴飞是你吗 我是米奇呀
