,弹幕
1,禁止在麻瓜面前施魔法！
2,你 以 为 我 在 第 一 层
3,黑羽快斗直呼内行
4,剪辑的吧
5,快跑，魔法部找到这里了！
6,省了，省了省了
7,千数熟练
8,傻孩子快跑这是魔法
9,？？？？？
10,注意看，无剪辑
11,剪的不真实
12,卧槽
13,顺走
14,好朋友。哈哈哈
15,我还以为一副牌都是一样的
16,哈哈哈哈
17,哈哈哈哈哈哈哈哈哈哈哈
18,智慧偷了张K
19,了解了
20,花切
21,哈哈哈哈哈哈哈哈草
22,麻瓜面前禁用魔法
23,9
24,哈哈哈
25,？？
26,卧槽
27,卧槽
28,哈哈哈哈哈哈
29,当魔术遇到剪辑
30,这个在步步高家教机里有教程，想学的不用谢我
31,这是魔法
32,总有人用魔术来掩饰魔法
33,试图砸场子
34,魔术回战
35,？？？？？草
36,卧槽
37,？？？？？
38,好家伙
39,魔术师对战魔导师
40,非常乱？
41,不乱啊
42,要用魔法打败魔法
43,两级反转
44,不是你牌还我
45,？？？
46,？？
47,挖槽
48,注意：就变成了你的牌了！！
49,哈哈哈
50,有的时候全是同一张牌
51,0.5倍依然看不明白，这绝对是魔法！
52,这是魔法
53,卧槽
54,切牌控顶
55,强选迫牌
56,魔法部来抓你了！快跑
57,这是魔法
58,哈哈哈哈哈哈
59,卧槽
60,人才00
61,我淦
62,这不是托吗
63,托
64,危
65,危
66,可以，还顺走一张牌
67,？？？？？？？
68,？？？？
69,特异功能
70,魔法打败魔法
71,要用魔法打败魔法
72,小伙子你还是太年轻了
73,哈哈哈哈哈哈哈哈哈哈哈哈
74,魔法
75,回來臥槽
76,！
77,哈哈哈哈哈哈哈哈哈哈哈哈
78,视屏剪辑有问题，假的
79,哈哈哈哈哈
80,班哥大喊：牛批！
81,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
82,右边刘谦
83,魔法士吃多了吧
84,哈哈哈哈哈哈哈
85,是替身攻击！
86,tmd碰见茬子了
87,魔法
88,牌不还给人家？
89,小心魔法部
90,？？？？
91,这个人的目的就是为了顺走人家一张牌
92,？？？
93,提前卧槽
94,双下切
95,？
96,朋友，这就不厚道了
97,你来切他可以临时换魔术
98,？？？？？？
99,《赌侠》名场面
100,看看背景是谁
101,我看出来了，魔术师实锤
102,卧槽
103,迫牌了
104,在麻瓜面前不准使用魔法！
105,提前卧槽
106,这剧情反转，NB
107,好家伙哈哈哈哈哈哈
108,我淦
109,危
110,赌神
111,卧槽
112,卧槽
113,《博弈》
114,草
115,wc
116,高手
117,哈哈哈哈
118,卧槽
119,回来卧槽
120,？？？？？？？？？
121,哈哈哈哈哈
