,弹幕
1,9500
2, 穿脑魔音
3,10367，我聋了
4,10000
5,16000
6,八千多就没了
7,八千就听不见了
8,我聋了
9,我8000就听不到了诶
10,你们能听到后面我不信 手机也发不出来吧
11,14000
12,大家在出去的时候一定要把音量调小哦
13,1.38
14,1万4
15,wr我死了
16,我就说怎么一开始就听不到，原来静音了，草
17,一万
18,9000
19,9万4
20,1.6w
21,听不见了
22,8k就冒得了
23,聋了
24,听到了16000
25,一万八
26,11000
27,抱歉，我有神经性耳鸣，治不好，有声没声都会响
28,听不见了
29,9000后听不见的可以尝试戴耳机声音放最大
30,13000
31,听不见了？
32,一万三最好了
33,16000还能听到一点声
34,1.7W
35,13636
36,？听到一万四听不到了，然后鼻子通了
37,8300
38,没了
39,13000
40,20000
41,9500没了
42,也就9000
43,最高9400
44,已经小消失
45,音响外放，表示很淦
46,9000就没了
47,最大16264
48,谢谢，听完之后耳鸣了
49,我猜你们现在把音量开到最大了
50,9400
51,一万四
52,14000
53,9600
54,已经听不到
55,全听到了怎么办 
56,我聋了
57,一万三
58,9393
59,9500
60,115
61,一万三之后就聋了
62,1.3w
63,1w左右
64,1.3
65,狗能听见人听不见的声音
66,聋了聋了
67,9300
68,一万三
69,16000
70,耳机党阵亡
71,1万3
72,1
73,13856
74,9200
75,10000万
76,13000
77,一万一
78,一万
79,你们听不到吗
80,能听到多少完全看我的设备能力
81,？没了
82,9000极限
83,吐了
84,我的手机喇叭怎么回事？
85,一万四左右
86,一万三后面就听不到了
87,14000hz
88,没了
89,最大音量能到一万五
90,一万三？
91,听不见，重来！
92,我就是那5%
93,9500
94,1.4w
95,16800
96,1.3
97,流弊
98,9000以后就听不见了。
99,到此为止了
100,？我为什么还能听到一点
101,7900
102,不到12000hz
103,"13,000."
104,9400
105,兄弟们带耳机
106,13809
107,1.8w
108,13436
109,9500
110,鬼
111,我听到了14000
112,1万
113,15704
114,9000多
115,我都怕我手机炸了
116,一万六
117,1.0000左右就听不到了
118,耳朵疼快点跑
119,1.5万多，后面听不见
120,1.4
121,9500
122,14903
123,9000+
124,没了
125,没了
126,13916
127,不到一万就听不见了
128,9400
129,听不到但是耳朵很难受
130,九千多
131,1.3
132,骗子
133,9500
134,我只能听到13000。
135,9400
136,我手机喇叭不好使
137,现在听不见了
138,应该是手机的问题我蝙蝠的叫声也能听到
139,8000
140,我玻璃碎了靠北
141,10000就没声了？
142,听得到
143,9300
144,9400
145,8000
146,11968
147,1w
148,只能听到一万二
149,12342
150,9000
151,一万
152,到14000
153,一万二
154,脑袋有点疼。
155,13000
156,9700左右
157,9000
158,听不到的，也可能是设备不给力，发不出来这种频率的声音
159,1.4左右
160,没了
161,聋了
162,9807没了
163,劳资手机坏了
164,已经成次声波了
165,1.3w
166,9400
167,12155
168,9500
169,15000
170,13516
171,听不到了
172,14000
173,要是我的扬声器动了我把手机吃了
174,声音开最大14530
175,1.3w听不见
176,12888
177,1.3w
178,明明是我手机问题
179,吵死了
180,耳朵疼
181,9500
182,14903
183,听不到的都是耳机不好
184,听不到声音但是耳膜有点涨
185,15157
186,19000
187,9993
188,10000
189,1000
190,13000
191,15000
192,8000没了
193,16000
194,13000
195,我聋了
196,我的设备最高上限一万二
197,你确定手机有这功能
198,你确定手机有这功能
199,一万三哭了
200,12000
201,听不见了
202,13000
203,16157
204,13500
205,1.6w
206,13182
207,17800
208,9300
209,聋了
210,给我听的有点难受
211,我聋了
212,一万三
213,13420
214,1万4
215,到1.5真就听不到啥了，即使带耳机声最大
216,八千没了？？
217,9000
218,13983
219,13209
220,9400
221,13
222,听到了吧咂嘴的声音……？
223,1万 我聋了
224,根本就没出声音
225,13000
226,我聋了
227,9k
228,1.4
229,14000就听不见了
230,音量调到最大能听到13000
231,听不到了
232,8312
233,9887
234,9967
235,为什么我听到了吧唧嘴的声音
236,9500
237,1.3万
238,13000
239,13000
240,1.4
241,什么时候变成光
242,13889
243,13000好像就没了
244,9500没了。。。
245,没了
246,13809
247,一万
248,9000
249,1.4
250,13983
251,12000
252,1.3w
253,1w3
254,14500以后就听不到了
255,八千就听不见了
256,12000
257,一万
258,10113Hz
259,1.5w
260,1.7w+
261,1.7w+
262,9000
263,1万！极限！
264,12000
265,1w7以后就听不见了
266,九千多
267,1.3w
268,一万开始聋的
269,9400
270,就九千多
271,10434
272,13000
273,14000
274,17000
275,15000
276,就我3000 淦
277,9400
278,到这就快没有了前面好刺耳
279,16000
280,没到一万
281,我8000以后就听不到了
282,一万往后就听不见了
283,9400
284,9000
285,9000就没声了
286,神tm19000，根本放不出来的
287,"16,000."
288,14000之后就是间断的声音
289,9600左右
290,14000
291,14129
292,我4000？？？？？？？
293,13100
294,到了14000就像断掉了
295,9000多
296,9900以后
297,我只能听到9500。
298,14000
299,1.6
300,九千多
