,弹幕
1,一看就是老阴阳人了
2,这种就是来显摆的，，，残忍又自大
3,这是从俄罗斯买的吗
4,我靠，这是什么人家啊
5,北极熊标本，这绝对不是一般人
6,卧槽那么贵？
7,无语都是标本
8,好家伙
9,。。。。。
10,也不说话，就怼一个大脸
11,哈哈哈哈哈
12,阴阳怪气哈哈哈
13,.......哈哈哈哈哈哈哈哈哈哈哈哈
14,无语了这种人
15,不觉得吓人吗
16,你寄吧谁啊
17,牛逼了
18,卧槽
19,？
20,哈哈哈哈哈哈哈哈哈哈
21,琥珀呢
22,卧槽
23,？
24,哈哈哈哈哈哈哈哈
25,宝友啊，这玩意儿可不兴戴啊
26,兄弟们下一个视频，《调音量》
27,都是干尸
28,老阴阳了
29,看傻了
30,卧槽
31,这你都认识哈哈哈哈哈
32,？？？？？？？？
33,我擦哈哈哈哈哈
34,长脖鹿
35,假的，说个毛线啊
36,肯定给啊，假的嘛
37,都是假的
38,好可爱
39,哈哈哈哈哈哈哈哈哈哈哈哈哈
40,阴阳怪气的
41,我以为活的
42,卧槽
43,...
44,怕不是有点病。。。。
45,不是一般人
46,这人有病吧
47,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
48,哈哈哈哈哈
49,2333
50,可口可乐
51,前方老阴阳人
52,？？？？？
53,我也觉得漂亮，但是不是说这种标本会瘪了过后很难看吗
54,哈哈哈哈哈哈哈哈哈哈哈
55,太可怜的吧
56,？
57,真有爱
58,唉有钱人的乐趣就是这么豪橫又奇葩
59,老师这情商
60,是琥珀长颈鹿吗？
61,牛道德
62,???
63,谁不认识长颈鹿啊
64,沃德天这得花了多少
65,真得有钱啊
66,包邮说话啊
67,哈哈哈哈哈
68,恶心
69,哈哈哈哈哈哈哈
70,鲶鱼：这个不兴玩啊！
71,哈哈哈哈哈哈哈
72,郭小宝鉴宝
73,还有不认识长颈鹿的？
74,牛批
75,吓我一跳
76,哈哈哈哈
77,题材值三千
78,恶心
79,算个人吗？
80,草吓我一跳
81,这不违法吗
82,卧槽？
83,谁不认识长颈鹿？
84,曾小贤
85,哈哈哈
86,？
87,我去
88,这B怕不就是个打工的吧
89,？
90,hhhhh
91,woc
92,woc
93,卧槽
94,？？？？？
95,？
96,？？？还估价
97,你这不行于大爷家里还有琥珀的长颈鹿呢
98,q
99,宝友 这可不兴戴啊
100,？？？
101,哈哈哈哈哈哈哈哈
102,这爱好残忍又让人无语
103,活的狮子二十多老虎五十多，标本可能贵一点
104,？？？
105,莱昂凯
106,多新鲜呢
107,操，还可以花钱打猎
108,别说人说认识长颈鹿阴阳， 别人一辈子不需要去动物园啊！！！
109,造孽
110,哈哈哈哈哈哈
111,直接判刑，想都不用想
112,吓一跳
113,哈哈哈哈哈哈哈
114,。。。
115,？？？这是真的？
116,伞兵
117,？
118,卧槽
119,有钱人真是玩什么的都有
120,只说现实，不只是非洲，我国也有狩猎场，我记得最高可以打二级保护动物，当然也没很多人想的那么夸张，是先统计多少动物可以打死再拍卖这些名额，去了也没那么刺激，有专人带你去找，全程支配你打猎，再带你回去。
121,？？？
122,杂碎
123,杂碎
124,好像假的 真的假的啊
125,WTF
126,哈哈哈哈哈哈哈
127,您还真知道价格
128,牛逼
129,标本
130,哈哈哈哈
131,？倒霉熊啊
132,无语
133,？？？？
134,50块钱一斤
135,恶心，
136,于谦的琥珀砸开了
137,？
138,可是够畜生的
139,这你都认识可太秀了
140,哈哈哈
141,九万美金都不忍换个3g网
142,所以说人和生命都是有价钱的
143,还挺可爱
144,这是单纯来秀的吧
145,天天鉴宝就是一搞笑频道
146,这是于谦家把
147,喜欢动物，指每顿都得有
148,如果里面会来一个真的那人直接没了
149,？？？？
150,好家伙，一屋子畜牲。
151,卧槽
152,多新鲜呢。
153,于大爷家琥珀里面抠出来的
154,于谦家琥珀里面扣出来的
155,炫富
156,卧槽
157,合法的
158,《有    爱》
159,好家伙
160,多假，
161,野性的召唤
162,北极熊都要灭绝了
163,北极熊也猎？
164,该死的偷猎者
165,残忍
166,？？？？？
167,一个敢拍一个敢估
168,雄狮不是不捕猎吗
169,草
170,就是炫富
171,十二生肖
172,哈喽，宝友，你好你好
173,？
174,莱昂凯
175,这不是麒麟么
176,妈耶宝友这个你不新戴啊
177,说美洲狮的人呢哈哈哈哈哈出来
178,的尸体
179,哈哈哈
180,？
181,好家伙！
182,外边那层琥珀哪去了？
183,是于老师家吧
184,非洲打猎带回美洲狮
185,非洲有北极熊？
186,…
187,哈哈哈哈哈
188,？
189,我看着咋像美洲狮呢？
190,这个是大连市博物馆大门内上面回廊上的北极熊标本，这不是个人的。
191,纯傻币
192,7*9=63
193,装nm呢
194,好家伙，这是个动物园啊
195,我的妈呀
196,脖酱你怎么了啊
197,多新鲜呐
198,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
199,哈哈哈
200,我去
201,牌子写的非洲狮
202,墙颈怒
203,大西几
204,一脚踢死黎永国
205,？
206,倒霉熊哈哈哈哈
207,卧槽
208,卧槽
209,醉了
210,北极打猎
211,多新鲜
212,哈哈哈哈
213,哈哈哈哈
214,这都认识
215,非洲野牛，big five之一
216,哈哈哈
217,好东西，只准进口，不准出口
218,不懂就问，这位是GAI老师吗？
219,哈哈哈
220,哈哈哈
221,？？
222,草
223,，
224,这是美洲狮
225,于谦家吧
226,关键是也没人买啊
227,牛虎铜案？
228,啊啊啊啊
229,估计是国外买回来，向国人炫耀一下。老凡尔赛了
230,继续炫
231,《有爱》
232,我滴妈？？！！
233,这可不可爱
234,哈哈哈哈哈
235,？
236,？
237,琥珀
238,我说一个数！
239,98！
240,赶紧扫码
241,50万？
242,好拽啊这个人
243,这不是美洲狮吗
244,有爱
245,自然博物馆吧
246,好家伙，你是于小谦吧？
247,于老师也来了！
248,草
249,哈哈哈哈哈哈哈哈
250,这标本好漂亮
251,谦大爷的琥珀让你给扣了？
252,动物之友
253,这你都认识啊
254,?
255,《这你都认识啊》
256,你是来炫富的吧
257,这个题材都值一百万
258,这tm美洲狮去非洲打猎打来的
259,这位宝友  需要wifi方案么！！！！
260,无期
261,够无私了
262,一
263,博物馆
264,卧槽这是大哥啊
265,100万，玩过
266,这你都认识啊
267,倒霉熊
268,多新鲜啊
269,哈哈哈
270,草
271,吓死了
272,顿顿得有
273,矿里有家
274,还真估啊
275,前浪
276,这谁不认识？
277,多新鲜啊
278,还美金，学啥看电影。路灯安排
279,这tm就是博物馆库房好么
280,这他妈估个价
281,莱昂凯！
282,后浪
283,这标本做的好逼真啊
284,动物杀手
285,？
286,哈哈
287,草，这都哪来的土鳖暴发户
288,姑你妈
289,就是来装逼的
290,牛太可怜了
291,有于谦骨血的小矮马嘛？
292,有小矮马嘛？
293,公狮捕猎…
294,还真有价？？？？
295,废话
296,这不就是纯炫富
297,吓死我了
298,这也能鉴
299,哈哈哈哈
300,没有琥珀啊
301,哎哟，长颈鹿你都认识呀
302,于心何忍
303,喜欢动物搞这玩意儿？
304,诶哟宝友这北极熊可不兴戴啊
305,这就是来炫富的吧。。
306,哈哈哈
307,哈哈哈哈
308,动物标本可以估吗
309,这叫喜欢动物？？？
310,合法来的就没啥可说的，网友们就别替外国的动物操心了
311,嚯打的话
312,于谦
313,这是来炫富的吧
314,什么都知道
315,哈哈哈哈哈
316,asdasdasdasdasdasd
317,iilylv。jjijyn
318,好家伙......
319,哈哈哈
320,我家里琥珀里面也有这个鹿
321,来秀的吧！
322,我聋了？
323,好家伙了
324,呦这你都认识啊
325,美洲狮……神特么非洲
326,非洲有这个？
327,这个做成琥珀就值钱了
328,我的天。。。好残忍。
329,原来是你把牛吃了
330,哈哈哈哈哈哈哈哈哈哈
331,woc
332,《真有爱》
333,撸一下
334,这他妈叫有爱
335,多新鲜啊！
336,？？？
337,《真有爱》
338,这他妈美洲狮
339,？？？？
340,这你都认识啊
341,低情商：长颈鹿谁不知道 高情商：呦，这你都知道
342,我才卧槽！
343,这位宝友叫于谦
