,弹幕
1,自从买了把刀，家里就只剩刀了
2,小哥又切了一只鞋子，小编也是很惊讶呢
3,自从买了刀，我家里就只剩刀了
4,这个五角星他凶我
5,↓这把刀你也买不起
6,乔瑟夫行为
7,ダイヤモンド
8,？
9,啊？
10,救命啊怎么这里都有李马克！
11,这是扫了个脑CT吗
12,谢谢推荐，孩子特别爱吃
13,这是锯的吧
14,啊啊啊啊你别过来啊
15,？？？？？？
16,阿  尔  卑  斯
17,流血了巢
18,gena
19,？？？？？？？？？？？？？？？？？？？
20,不---------------------------要------------------------------啊--------------------------------------
21,来了
22,、
23,奇 行 种
24,呛啷啷宝刀出鞘，只见那刀刀宽背厚刃儿飞薄，杀人不见血光豪。紫微微、蓝洼洼，霞光万丈，瑞彩千条
25,到最后家里除了破铜烂铁就剩下刀了
26,横着切竖着断的屑刀
27,这清晰度  好舒服
28,家里只剩下刀了
29,禁止迫害春太
30,别ky了
31,猝不及防
32,没碎？
33,天堂制造
34,？
35,好美
36,好臭
37,扯呢这菜刀切的
38,新——百——伦——
39,能切个刀吗？
40,众所周知，相机不要钱的。
41,你这是买了个百微镜头。
42,Minecraft————————————————————
43,瓜子仁
44,原来固体胶带真的是固体
45,啊啊啊好想一jio踩稀烂
46,这个好看
47,厨刀切出来不是这样的
48,人体切面
49,哇，这刀不错，请问相机多少钱，什么牌子。
50,？？？
51,前方高能预警
52,？
53,？？？？
54,刀好快
55,害怕
56,渣男
57,切渣男会怎样
58,妈见打系列
59,？
60,我的世界能不能滚啊看到就烦
61,不是蛋糕？失望
62,鞋——子————————————————————
63,牙——膏——
64,鞋——子——
65,杨——桃——
66,紫——甘——蓝——
67,自从买了刀，家没了
68,Minecraft
69,草
70,解开了我二十年来的疑问
71,ohhhhhh！
72,好辣眼睛
73,@白敬亭
74,@白敬亭
75,g
76,卧槽
77,卧槽
78,这真的不是相机广告吗
79,真·开机
80,有味道了
81,这……不是推广菜刀？
82,相机：WDNMD
83,全场最佳:菜板
84,这是买的电锯吧
85,好家伙
86,好家伙
87,用你的刀切你的菜板会怎样呢
88,好家伙我以为是蛋糕
89,相机不要就给我啊
90,作孽吖！
91,于谦：好快的刀啊
92,厉害
93,怎么感觉有点像糖
94,建议开高码率观看以下内容
95,妈见打
96,我的世界：你才变了
97,有味道了…
98,脑子…
99,蜱虫
100,真.开机
101,是买了相机
102,哪都能扯到医学生我也是服了
103,？
104,？
105,！
106,害怕
107,你切把刀我看看
108,原子斩
109,好家伙
110,切个手雷看看
111,我莫名想到了植物大战僵尸
112,来 切了这把刀！
113,？
114,san值狂掉
115,不去切原子弹可惜了哈哈哈
116,解开我多年的疑问
117,朗锋菜刀
118,好像耳朵
119,你不要过来啊……哦是杨桃
120,卧槽！！
121,为什么要切鞋子？它做错了什么
122,HE染色
123,第一个就这？没切过菜？
124,?
125,CT
126,二乔行为
127,万物皆可刀（doge）
128,这刀真丝滑
129,神使：苍溟（幻视）
130,看起来还挺凶滴
131,？？
132,真久作
133,这是自从买了台高端相机，生活都变了。
134,痛苦面具
135,头皮发麻
136,有本事切aj！
137,重生细胞：108boss细胞
138,刀和相机我都要
139,密恐患者头皮发麻
140,看到了腿毛
141,谢谢你，狗子
142,《挤眉弄眼》
143,《丝滑》《水润》
144,楼观剑
145,我缺的是刀吗？我缺的是相机
146,曹，我还以为是游戏《我的世界》
147,？？？
148,闻到味了
149,我受不了了
150,我不信，这刀能切玻璃
151,成本有点高
152,英—————伟—————达——————！！！
153,英—————伟—————达——————！！！
154,！！！！！！！！！
155,？？
156,高————露————洁————
157,脑子吃掉了你的僵尸
158,妈见打
159,对  诚  宝  具
160,妈见打
161,1 4 3 7 大 帝
162,啊这
163,mc
164,剩下半个人就是恐怖片了
165,自从家里买了把刀，家里就只剩刀了
166,自从家里买了把刀，家里就只剩刀了
167,自从家里买了把刀，家里就只剩刀了
168,旁轴相机
169,镜头真好
170,charr！
171,其实看封面我以为是糖
172,你确定你买的不是镜头是刀？
173,有点解压
174,夺笋呐
175,菜板nb
176,把人民币切了
177,精微素描get
178,？？？？？？？？？
179,爽
180,大成本
181,这刀不能用了
182,密集恐惧症表示很难受
183,纵享丝滑～
184,富士龙危
185,相机哪里领啊
186,？？？
187,克苏恩克苏恩克苏恩
188,？
189,？？？
190,废弃相机的正确使用方法
191,哈哈哈哈
192,哇哦
193,鸡皮疙瘩起来了啊啊啊啊救命！
194,美产nbl 。。。1k多
195,脑子
196,不要给我卖了也行
197,？？？？
198,刚刚那个开海螺的怎么这么像克莱因瓶
199,好耶
200,缺半个脚
201,哇塞
202,紫～～～～～甘～～～～～蓝～～～～～
203,好家伙这刀一定是用德芙做的
204,不！
205,经费爆炸
206,流口水了
207,卧槽
208,好家伙
209,这个就离谱
210,？？？
211,想看你家
212,Intel~~~~
213,道~~~路~~~
214,这把刀能到茄子吗
215,孩子们看到了吗，水果和蔬菜就是这样生产的
216,吓到我了
217,隐者之紫
218,你怕买的不是刀是镜头
219,哈哈哈哈哈啥都切
220,索隆：？？
221,我静静的看向了我家的刀
222,原来海螺里面长这样啊
223,这么硬的菜板哪里能买到
224,挤眉弄眼
225,这个有点吓人
226,666
227,666
228,诶？
229,谁说全场最佳菜板的
230,好漂亮
231,没想到在这都能看到马颗粒
