,弹幕
1,收藏从未停止，学习从未开始。
2,知网，知网是什么？
3,什么是知网
4,毕业了
5,收藏比点赞多，过分了
6,呱呱呱
7,宝藏up主
8,呱
9,报到
10,呱
11,报道
12,报到
13,呱
14,报到
15,报道
16,呱
17,呱
18,瓜
19,呱
20,报到
21,报道
22,报到
23,报道
24,下次一定
25,变大
26,报道
27,报到
28,报道
29,报道
30,报道
31,谢谢！！！
32,报道
33,太感谢了呜呜呜
34,报道
35,呱
36,报道
37,报到
38,我是一个没有良心的女人
39,来你这白嫖的
40,报道
41,报到
42,呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱
43,看得认认真真
44,报到
45,报道
46,瓜
47,报道
48,呱
49,呱
50,报道
51,下次一定
52,报到
53,报到
54,报道
55,这个我有用
56,报道
57,呱
58,报道
59,这次一定，真的很有用！！！
60,报道
61,报道
62,在b站推荐b站
63,报到
64, 。
65,这次一定
66,报道
67,呱呱
68,报到
69,报道
70,报道
71,呱，跟up同城诶
72,难道不是应该眼巴巴的看着助教老师吗doge
73,呱
74,这次一定
75,报道
76,报道
77,瓜
78,呱
79,这次一定
80,报道
81,报道
82,看up主这么用心已经三连
83,呱
84,Libgen
85,报到
86,报道
87,报到
88,报道
89,报道
90,来了来了
91,呱呱
92,呱
93,宝藏up主
94,报道
95,B站确实老学习网站了233
96,报道
97,这次一定
98,报到
99,在看呢
100,呱
101,报道
102,这次一定
103,呱
104,报到
105,我直接投币
106,报到！
107,报道
108,报到
109,内蒙古有吗
110,报道报到报导
111,报道
112,哇
113,呱呱呱
114,报道
115,报道
116,来啦
117,报道了
118,报道
119,报道
120,书格呱呱！
121,先瞟为敬
122,这次一定
123,呱
124,报到
125,确实好用
126,呱呱呱
127,呱呱
128,呱
129,看到贵州的，谢谢up大大
130,mooc就拉倒了吧= =
131,报道
132,呱
133,报道
134,这次一定
135,报道
136,报道
137,报道
138,报到
139,报道
140,报道
141,报到
142,报道
143,报道
144,报道
145,一定
146,这次一定
147,bilibili名副其实的学习网站
148,下次一定
149,嘎嘎嘎
150,嘎嘎嘎嘎
151,报道
152,呱
153,报道
154,报道
155,我还是先白嫖你吧
156,新的一周了一套想法了啊？
157,呱。呱叫
158,下次再给你一次机会了啊
159,新的变化不一样想法了啊
160,呱唧呱。切。！
161,曝光了另一个空间想法了啊
162,看见学科网就咬牙切齿
163,报道
164,报到
165,这次一定
166,报道
167,报道
168,报道
169,ohhhhhhhhhhhh
170,太牛了
171,良心up主
172,报到
173,呱
174,报到
175,报到
176,报道
177,报道
178,报道
179,报到
180,报到
181,呱
182,报道
183,呱
184,报到
185,报道
186,报到
187,报道
188,报道
189,下辈子用，谢谢
190,呱呱呱唧呱唧
191,报道
192,报道
193,报道
194,报道
195,报道
196,报道
197,报道
198,报道
199,报道
200,报道
201,报道！！
202,呱
203,报到
204,报道
205,呱
206,报道！！
207,报道
208,报道
209,报道
210,报道
211,报道
212,报道
213,nbnb
214,报道
215,呱
216,报道
217,这次一定
218,要钱
219,呱
220,这次一定
221,花钱的
222,瓜
223,报道
224,报道
225,报道
226,下次一定
227,报道
228,就是这个书!我们老师喊我们做批注读一页一个的那种，书里还有题。还有一周就开学了我还没开始
229,太棒了
230,报道
231,报道
232,报道
233,报道
234,呱
235,报道
236,报到
237,报到
238,报道
239,哈哈哈又是你
240,报道
241,报道
242,报道
243,报道
244,报到
245,报到
246,报道
247,报导
248,报道
249,报道
250,报道
251,呱
252,报道
253,报道
254,报道
255,qiao
256,报到
257,报道
258,报道
259,这次一定
260,报道
261,呱呱呱～
262,报到
263,报道
264,报道
265,报道
266,呱
267,呱
268,nice报道
269,XX幼儿园前来报到
270,报到
271,呱
272,报到
273,报道
274,报道
275,呱
276,看完一定点个赞
277,这次一定
278,感谢！
279,报道
280,报道
281,这个真的是高三一直用
282,报道
283,报道
284,报道。
285,这次一定！！！
286,呱
287,报道
288,上次给了
289,呱
290,报到
291,睡觉觉
292,报道
293,报到
294,libgen了解一下啊
295,报道
296,报道
297,呱
298,报道
299,报道
300,呱
301,报道
302,报道
303,呱
304,收藏了
305,这次一定
306,呱
307,报道
308,报道
309,报道
310,报道
311,宋浩排面
312,呱
313,报道
314,报道
315,报道
316,1
317,报道
318,报道
319,报道
320,报到
321,报道
322,报道
323,报到
324,报道
325,报道
326,这次一定！
327,不错
328,呱！！
329,报道
330,报道
331,报道
332,好贴心
333,呱
334,报道
335,报到
336,报到
337,报道
338,报到
339,报道
340,报道
341,baodao
342,真不错
343,报道
344,报道
345,hh
346,报道
347,暗示白嫖
348,这次一定
349,报道
350,报道
351,报道
352,下次一定
353,报到
354,呱
355,报道
356,报到
357,报道
358,报道
359,报道
360,报道
361,报到
362,呱
363,呱？
364,呱
365,呱
366,报道
367,报道
368,呱
369,报道
370,报道
371,这次一定
372,宝岛
373,报道
374,哦哦哦
375,报道
376,呱
377,江苏哭唧唧
378,woc
379,报道
380,报道
381,报道
382,报道
383,报道
384,报道
385,报道
386,报道
387,报道
388,下次一定
389,，
390,？
391,报道
392,体育没有？？
393,这个超棒
394,报道
395,报到
396,报道
