,弹幕
1,去吧，去进我的收藏吃灰吧！
2,ps全能
3,偷懒了
4,雷姆
5,如果爱有颜色那一定是蓝色
6,学废了
7,woc
8,学动画暴怒
9,？描图
10,美琴，美琴！！！
11,老婆
12,学废了
13,卧槽！
14,我点新建动作一点反应都没有，盗版的pscc2020
15,有龟龟
16,靠，干啥呢
17,雕虫小技
18,2020？？？
19,我信了你的鬼
20,数字图像处理？上学期刚学的。
21,学废了，学废了
22,啊，我暂停到了雪乃
23,收藏比点赞多系列
24,蕾姆我老婆
25,老板一句话的事，哈哈哈
26,两行代码的事的那位 别丢人现眼了/嘲讽
27,我丢
28,眼
29,？
30,为毛我两次暂停都是空白啊啊啊
31,这个牛批
32,6666学到了
33,前面的是我小号
34,自动画
35,t
36,RPG
37,近日，一位外国小哥
38,程序员表示两行代码的事，这么麻烦
39,你们搁这儿搞蟠桃大会呢？
40,雷姆我老婆后面都是我发的
41,这么容易。
42,为毛我两次暂停都是空白啊啊啊啊
43,边沿检测
44,蕾打不动
45,你老婆很棒
46,这个贼详细 ，比抖音上的好多了 
47,拼多多有些店家也是这样用的，然后打印出来卖给别人，图片都没授权。。 。
48,?
49,我去
50,这是我老婆
51,截图远老婆
52,老婆~
53,这个牛逼
54,学会了
55,学到了
