,弹幕
1,《赞 不 绝 口》
2,哈哈哈哈朋友送我的牢饭哈哈哈哈
3,坐牢了汉代的
4,眉
5,阴间朋友
6,哇可恶啊
7,别碰它啊！
8,为啥好东西就感觉一眼就是真的
9,焊的
10,做旧的感觉
11,俩加起来十年
12,封你筒
13,无中生友
14,这朋友会飘吧
15,无中生有
16,无中生友
17,这得枪毙
18,这牛点意思啊
19,日子越来越有判头了
20,金雷竹
21,天天鉴刑
22,蚊香盘
23,好朋友
24,气愤
25,暴殄天物
26,啊 终于想起来这个老师像谁了，鱼翅！
27,10年
28,判刑大师  只估判
29,魔封波
30,加刑
31,／ ￣￣￣￣ ＼　 |　乀         　√   \　 ／￣￣￣￣﹉￣＼|　 ◉　      ◉  |   |      哎哟妈耶宝友    \\　      / ▱\        
32,冲这个题材+3000
33,火气上来了
34,你说的朋友是不是你自己啊
35,太假了
36,日子越来越有判头了！
37,哈哈哈哈，南北朝的东西
38,刑部尚书
39,死刑
40,蚊香盘儿
41,妮豆子
42,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
43,老师们好厉害啊 一眼就看出来了 还这么年轻
44,小人吃得嘛呀
45,不兴卖啊
46,还有一个！
47,无中生友
48,咋看着像在吃奥利给
49,赞不绝口
50,无中生有友
51,牙签筒
52,老师只是多说了个年字而已。其实还是给估价了
53,尤老师
54,这是嫌时间短了啊
55,无中生友
56,吃的奥力给呀
57,宝友啊你朋友想让你牢底坐穿
58,无中生友
59,草，鉴宝部执法官
60,坩埚！
61,一年一位数
62,咋看着像蓝精灵呢
63,肯定不是阳间的朋友
64,牛蛙牛蛙
65,100年了
66,装蛐蛐的？
67,监狱风云之我的好朋友
68,自  主     加    刑
69,天天盗墓来了啊
70,哈哈哈哈
71,牙签筒
72,？？
73,蚊香盘
74,老师好厉害了
75,只能吃四年免费饭吗？
76,五年费劲哈哈
77,您这朋友是不是躺着给您的呀
78,出土文物
79,什么叫大四年
80,刑部尚书
81,分担罪名
82,你还挺骄傲
83,你这个朋友叫胡八一？
84,无中生有
85,你说的这个朋友到底是不是你？
86,火折子
87,青铜都是刨坟才有的
88,无中生友
89,我一直觉得判官老师像鱼翅
90,氧化了
91,老朋友了，文物都是朋友给的
92,有这样的朋友何愁不判死刑？
93,背景的字哈哈哈哈哈刑部尚书升堂了吗
94,同一个坟里刨出来的
95,古代人放TT的
96,去他的，好朋友上周刨出来给他的吧
97,抽的烟好像是 沉香
98,这个是用来装太监的命根的。
99,太监装宝贝的
100,古代蚊香盘
101,《好朋友》
102,里边放的是火绒，在野外可以来打火用
103,妈耶宝友，这吃的个嘛啊
104,毁坏文物
105,朋友估计看他不顺眼故意给他送（doge）
106,燃 灯 古 佛 
107,哟
108,盗墓＝朋友送的
109,哟老师
110,好朋友送我的牢饭
111,烟灰缸？
112,拽爷 补送
113,牛有点意思
114,阴间朋友
115,养蛊的
116,丘丘人祭坛？
117,铁阴间朋友
118,加刑
119,两件10年 可以了可以了
120,够五年了
121,烟灰缸
122,大五年
123,这些盗墓贼太猖狂了，警察呢？
124,我想要这样的朋友
125,烟灰缸
126,那个刑牛逼了
127,这肯定不是墓里的，因为这是盗墓工具
128,封泥筒里边一般都是放机密文件用的
129,我去
130,几年啊
131,明显就是墓里的东西
132,五年费劲
133,有点意思
134,经典4年
135,…
136,坐牢四年？
137,朋友介绍下
138,这墓不小啊，，，，
139,数罪并罚警告
140,一年多少钱
141,灯盏的灯盏
142,说好的五年费劲呢，马上就五年了
143,？？？
144,稀粥的吧
145,千年朋友送的文物
146,胡八一吹灯的时候顺出来的
147,汉代？
148,宝友，这可不兴玩啊
149,你朋友还缺朋友吗？
150,嗯，宋代古墓鉴定完毕
151,牛检察官来啦
152,合计约10年。
153,真站焊的。
154,刑 部 尚 书
155,火折子
156,汉代点烟器
157,贤宝宝，哈哈
158,打火机？
159,这够判死刑吗
160,牛蛙
161,判个刑吧，老师
162,聊德
163,刷刷当烟灰缸吧
164,三星堆
165,里面要是有字有信，一段历史就没了
166,这朋友别是躺下面儿呢吧
167,亚欧大陆（幻视）
168,刑刑刑谢谢老师
169,盗墓贼垃圾！！
170,这朋友怕不是送徒刑的
171,贤宝宝干副业了？
172,哈哈哈哈哈原来是判刑啊
173,没有了
174,恶心盗墓贼，文物糟践了
175,有我千年积木厉害我
176,无中生有
177,五年够了
178,这不烟灰缸嘛
179,天天鉴刑
180,谁来整个千年积木
181,火锅
182,10年
183,看看量刑
184,什么好事都让牛老师赶上了
185,真品啊！！！！？？？
186,称量瓶
187,牛蛙老师
188,牛蛙
189,牙签盒
190,哈哈哈哈
191,汉代的朋友给的，不行啊
192,蚊香架
193,汉代的点烟器
194,牛老师牛啊，啥都认识
195,判不绝口
196,龟龟
197,奥特曼？
198,。。。。。。
199,没有了老师，一听就不对劲
200,要凑个整10？
201,《判不绝口》
202,你就说多少年吧
203,尼玛
204,好给
205,有点意思
206,这土
207,牙签筒
208,背景都开始刑了？
209,带字基本人没了
210,朋个锤子
211,刑？？
212,狱友
213,《我的朋友在墓地》
214,琉璃盏
215,地球
216,费 劲
217,合计十年
218,蚊香盘
219,烟灰缸
220,土地爷给的
221,牛老师在直播里见到的古董比人家博物馆还多
222,无中生友？
223,朋友花样复仇
224,牙签筒
225,无中生友
226,无中生友
227,破坏文物
228,大理段氏
229,赞不灭口
230,后面那个刑字牛批
231,朋友给的？谁信啊
232,奏乐
233,啊这……不是青铜古灯吗
234,古滇国哈哈哈
235,朋友给的？真可笑，盗的吧
236,啊
237,这东西，不是挖墓出来的我不信
238,弹烟灰
239,有点意思
240,都是朋友给的，跟我没关系
241,出土之前
242,地下的朋友给的
243,阴间朋友
244,无中生友？
245,放牙签用的
246,这朋友好啊
247,朋友介绍下
248,比博燃
249,《朋友给的》
250,天天量刑
251,蚊香盘
252,带字的，完了死定了
253,牙签筒
254,上周的蚊香碟
255,汉代点烟器
256,点烟器
257,某种意义上比那个剑尖掉了还可惜
258,人人都说是朋友给的
259,原始竹子太值钱了
260,好家伙
261,汉代的竹子，好家伙
262,放蚊子的 
263,雨花石
264,蚊香盒 
265,贤宝宝鉴宝
266,抽的95吗？
267,少数民族也懂啊，老师厉害啊
268,烟灰缸
269,蚊香盒
270,后面一个刑
271,蚊香盘
272,朋友送刑
273,哈哈哈哈哈哈哈哈后面那个纸
274,这土和锈做的也太刻意了吧
275,还不放氮气箱里供着?
276,奥力给 干了兄弟们
277,奥力给 干了兄弟们！
278,一年多钱
279,热乎的
280,热乎的
281,长乐
282,当烟灰缸不错
283,这是剑三特殊buff音效？？
