,弹幕
1,这BGM！！！大芳！我表示很慌！真怕冲出来个王者！
2,财大牛逼。
3,财大牛逼呀！
4,¿¿¿¿¿¿¿¿
5,！！
6,白嫖失败
7,卧槽
8,财大NB!!!
9,财大牛逼
10,好家伙
11,牛牛牛！
12,牛逼
13,财大牛逼
14,nb
15,白嫖失败
16,刚开始我以为捏的是头像
17,牛逼
18,财大牛逼！
19,牛批
20,财大nb!
21,财大NB!
22,财大NB!!
23,财大NB
24,财大NB
25,财大NB
26,财大NB!
27,财大nb
28,财大nb
29,财大NB！
30,这不比博人传热血？
31,财大NB！！！
32,财大nb
33,下巴太短啊
34,No
35,财大牛逼
36,卧槽
37,新魔方之家
38,es033
39,OHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
40,OHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
41,卧槽！
42,(⊙o⊙)！
43,BGM，liberators
44,财大nb
45,NB
46,财大nb！
47,财大nb
48,牛批！
49,白嫖失败
50,白嫖失败
51,白嫖失败
52,nb
53,NB！
54,有才又有财
55,卧槽，这是啥？？？？？
56,小魔方
57,牛
58,财大nb
59,牛！
60,财大nb
61,提前卧槽
62,nb
63,卧槽！
64,财大NB
65,卧槽
66,财大牛逼
67,牛
68,NB
69,钞能力
70,秀儿
71,法佬？？？？
72,财大NB
73,财大NB
74,卧槽
75,财大NB！！
76,财大NB
77,nb！
78,nb
79,你不！
80,nb
81,财大NB
82,财大NB
83,财大NB
84,财大NB
85,说下巴的笑死了
86,卧槽？？？？
87,财大nb
88,有强迫症的我看着有点不舒服。
89,财大NB
90,正片开始
91,财大牛逼
92,欢迎来到百草园！
93,提前卧槽
94,liu
95,牛B
96,牛B
97,nb
98,卧槽
99,财大牛逼
100,财大nb！
101,财大nb
102,财大牛逼
103,卧槽
104,财大nb！！
105,不错不错
106,白嫖失败
107,卧槽nb
108,财大nb
109,牛逼！
110,财大NB
111,财大牛逼！老番茄牛逼！
112,nb
113,牛逼
114,牛
115,牛逼
116,财大nb
117,这个币必须投
118,卧槽.
119,卧槽
120,财大牛逼
121,牛逼
122,财大牛逼
123,6666
124,牛逼
125,财大器粗
126,财大nb
127,好活
128,卧槽！大佬牛逼！
129,财大NB
130,财大nb
131,牛
132,卧槽财大牛逼
