,弹幕
1,卧槽，没想到
2,艺术就是爆炸
3,这他妈给BBC又可以写好几篇了
4,消逝的迪克
5,牛皮
6,比博燃
7,？？？？？？？？？？？
8,外部主结构消失，成员昏迷！
9,卧槽
10,草
11,哇塞
12,草
13,实拍！大片！
14,电影特效
15,百万特效
16,大制作
17,我的圣剑
18,額滴聖劍
19,未监护人请在成年人的操作下陪同
20,大制作！
21,奥斯卡获奖者
22,塞班岛？
23,塞班岛
24,泪目
25,?????
26,幽灵车
27,牛
28,卧槽
29,我他么直接好家伙
30,这不比雷霆战将好看？
31,奥特曼呢？
32,无人驾驶
33,卧槽
34,好家伙
35,666
36,大片
37,比博燃
38,这不比
39,比伯然
40,牛逼
41,无人驾驶
42,这是上战场了？
43,请未成年鞭炮在成年鞭炮陪同下观看场面极其恐怖
44,厉害厉害
45,摄像机，你变了……变的那么会骗人了T_T
46,诺 曼 底 登 录
47,比博人燃系列
48,我突然学会了怎么做电影
49,比博燃
50,大片
51,奥特曼来了
52,我会拍电影了
53,这不比唐探燃？
54,《论002、075的正确拍摄手法》
55,比博燃
56,比   博   燃
57,比博人传还燃
58,我已经开始笑了
59,摄——像——机——
60,带制作
61,大作战
62,这是鞭炮？！
63,大制作
64,燃起来了
65,你管这个叫科幻前面的?[恼
66,大制作
67,我先来:打上军火
68,泪目
69,国产那种神剧就是这么拍的
70,牛皮
71,希望人没事
72,有童年的感觉了
73,牛批
74,泪目
75,这不比博人转燃？
76,卧槽
77,我丢
78,带制作
79,饿滴圣剑！
80,车——车
81,俄罗斯小擦炮（doge）
82,卧槽
83,哇哦比斗燃
84,特摄片的制作过程
85,？？？？
86,大制作
87,woc 牛逼
88,？？？？
89,无情
90,饿滴圣剑！！
91,国产大片
92,好家伙
93,抗战片都学学
94,这不比斗罗大陆燃
95,额滴圣剑！！！
96,比博燃
97,卧槽
98,你管这玩意儿叫鞭炮？？？
99,我弟圣剑
100,无人驾驶
101,牛逼
102,厉害
103,大制作
104,卧槽
105,？
106,《比博燃》
107,抢滩登陆
108,百万
109,？9
110,NB！
111,卧槽
112,我弟手机
113,牛逼
114,无人驾驶
115,类目
116,比燃
117,这不比博人传燃
118,兄弟加油
119,强啊
120,博人传不比这燃？
121,博比燃
122,有内味了
123,比博燃
124,挖
125,？？？？？
126,卧槽
127,厉害
128,比博燃
129,？？？？
130,？？？？
131,卧槽
132,？？？
133,特 摄 片
134,比博燃
135,搁这拍电影呢？
136,反手一个赞！！
137,带制作
138,比傅燃
139,66666
140,高端
141,抗日神剧的撞车现场也是这样拍的
142,卧槽
143,666
144,？？？？？？？？？？
145,比博燃
146,卧槽
147,五块钱特效
148,团长！
149,这特么比博燃
150,?????
151,牛比
152,卧槽
153,哈哈哈哈哈哈哈哈
154,握草
155,这项目我投了
156,卧槽
157,卧槽
158,大制作
159,比博燃
160,日本特摄
161,大片啊，几个机位啊
162,不   ！
163,大导
164,大片既视感
165,卧槽
166,车！
167,卧槽
168,牛
169,？？？
170,秀啊
171,？？？？
172,？？？？
173,大制作
174,666666
175,卧槽
176,牛逼
177,卧槽
178,大师制作
179,卧槽，还有灯
180,牛皮
181,大工程
182,卧槽
183,大片啊
184,？？？
185,比斗燃
186,好家伙
187,抗日神剧那个，现在不神剧了hhhhhhhhhh
188,你告诉我这是鞭炮？
189,卧槽
190,？？？？
191,缩写：论炮打法
192,额的圣剑
193,草草草
194,厉害了
195,厉害
196,山本！！！
197,大制作
198,牛逼牛逼
199,NB
200,比博燃
201,大制作
202,前方高能
203,前方高能
204,前方高能
205,卧槽
206,大片
207,6666666
208,这车，质量好
209,诺曼底诺曼底
210,带制作
211,看封等
212,车-----车-----
213,卧槽！
214,带制作
215,卧槽
216,卧槽
217,卧槽
218,泪目
219,大片啊
220,牛
221,？？？？？？？
222,芜湖
223,芜湖
224,带制作
225,6666
226,大制作
227,带制作
228,师——团——长——
229,我看封面以为是进击的巨人呢
230,好家伙
231,比博燃
232,我的圣剑！！！
233,额滴圣剑
234,把我带走啊淦！！
235,我差点就信了
236,泪目
237,ohhhhhhhh
238,草
239,啊！
240,草
241,卧槽
242,燃
243,比博燃
244,I!E!D!
245,鱼雷起步
246,好活
247,牛笔
248,草
249,6666
250,草
251,原来拍电影可以如此小成本
252,车车——
253,大制作啊
254,带制作
255,给国产剧一点面子吧
256,火柴炮
257,额滴手机
258,艾伦.耶格尔！
259,大片啊
260,毫无违和感
261,强啊
262,草
263,车上没人
264,带制作
265,带制作
266,比 博 燃
267,车上为什么没有人
268,大制作
269,握草
270,车——车——
271,经费炸裂
272,经费炸裂
273,战争片
274,这不比博人转然
275,比博燃
276,饿滴手机
277,无人驾驶
278,最新无人驾驶汽车
279,666
280,卧槽 大片儿
281,比博燃
282,卧槽
283,卧槽
284,草
285,车：爷没事
286,大制作
287,比博燃！！！
288,卧槽
289,这是特摄技术
290,封面女巨人
291,卒
292,离我远点
293,长按开启电影模式
294,这不弄个假人在里面
295,比博燃
296,牛蛙
297,带制作
298,卧槽
299,额的小车  额的小车
300,车爆炸加点特效就更牛了
