,弹幕
1,照片是张起灵和三叔的合照？
2,前面说床上有古尸的你站住
3,戴佳伟
4,全是青铜啊
5,魂瓶？
6,都是来这自首的
7,这BGM一秒魂穿泡泡桑
8,卧槽
9,这照片，妈呀，我同学，其他两个弹幕也是同学吗
10,下半辈子有着落了
11,狗胆包天
12,黏黏糊糊，刚出土？
13,好家伙，都是半阴半阳的藏品，怕是贩子吧
14,土都没刷，我也是服了
15,好家伙，公家饭能吃到老了
16,老祖宗挖的时候落墓里面的
17,土还有点湿？
18,我去
19,封面小图我以为是热水袋
20,sc壶
21,当场跑路
22,沃日，够枪毙了
23,卧槽
24,无期徒刑
25,铜卣
26,好家伙
27,还精确到两位有效数字
28,一线工作者
29,哈哈哈
30,日子越来越有判头了
31,夜壶
32,民 间 工 匠
33,wc
34,哈哈哈哈
35,卧槽
36,卣
37,好家伙
38,还是铰接的
39,尿壶
40,哈哈哈哈哈哈
41,哈哈哈哈哈哈
42,《先崩后问》
43,抢答
44,优
45,盗时候再来
46,商周水表
47,看见标题就已经笑了
48,卣
49,现在鉴宝要学刑法了？
50,刨坟出来的
51,盗墓贼吧
52,这个是打算卖嘛哈哈
53,死刑
54,那就不用说多少年了！
55,这个不是  灰盒？
56,你tm这也太牛逼了
57,《等一下》
58,这古代的东西怎么还带连接的
59,温酒用的？就是斩华雄那个人用的？
60,夜壶
61,商
62,这是个夜壶
63,尤老师​
64,哈哈哈
65,数罪并罚枪毙
66,卧擦
67,西周 卧槽
68,怎么不穿裤子哇宝友
69,能值几年
70,挺值
71,“（宝友）也够年限了”
72,天天量刑
73,妈耶
74,偷得？？？
75,值几年
76,大型判刑现场
77,土都特么挂着呢
78,敢卖就准备等着吧
79,合一起无期
80,有粘头了
81,中四到小五就是5000-2万
82,卧槽。。。照片里有我
83,对
84,卣
85,三木咋开始鉴宝了
86,枪毙几回
87,我还以为床上有古尸
88,铜铲沉沙铁未销
89,够100年
90,夏商西周？
91,夜壶
92,卧槽
93,？
94,水表
95,我去
96,卣
97,卧槽！这照片怎么这么像我初中的毕业照
98,刚出的吧？
99,这也太老了都
100,。。。
101,那个坑里流出来的
102,够判刑了
103,西周？公元前的！
104,跑这来估刑来了？
105,《小》
106,夜壶
107,够年限（指量刑）
108,天天鉴刑
109,现在好东西都不是讲钱了，都按年算了
110,现代工业的残次品
111,《不会卖的》
112,姓尤啊
113,卧槽，西周？几千年了啊
114,好家伙，你有一整套？摸金的还是搬山的？
115,好家伙都早到奴隶社会了
116,摸金校尉
117,天天坐牢
118,万一真的是博物馆修复组呢
119,合理计划人生，提前安排后半辈子
120,商代？
121,没穿裤子
122,死刑
123,开始跑路（不是
124,济南屁王
125,商都是神器了
126,卧槽 商代的
127,好家伙
128,卧槽？？？
129,商带的，批发商那里带来的
130,卣
131,好家伙
132,天天量刑
133,自来卷三木老师
134,好家伙，看样子是直接判枪毙了
135,斩华雄的那个温酒？
136,汉代南北朝
137,妈耶
138,上周的
139,醍醐永
140,天天鉴刑
141,祖传工具
142,?
143,牢有所养
144,无期
145,四十万到五十万
146,还有一个】
147,？你还有呢
148,？你还有啊
149,直接无期起步
150,卧槽！！！！！！！！！？商周
151,嘿嘿嘿
152,这张照片？
153,真稀粥？
154,法老，你不搞说唱了？
155,有粘头了
156,刚挖出来的
157,？
158,刚从土里刨出来的吧？
159,好家伙
160,起码得判无期
161,茶缸子
162,啥都有
163,不兴戴啊
164,新土
165,商周的
166,卣
167,？？？？
168,两个酒器，不卖就啥事没有
169,跑路了
170,四五百还是四五十
171,刑部尚书！
172,《作案工具》
173,上周的
174,加起来到可以退休年龄了
175,无证考古队
176,这是一线老哥吧
177,水坑保存得好啊
178,我擦
179,没穿裤子吧
180,痰盂
181,上周的
182,woc
183,⬇️好家伙，都会抢答了
184,这个有点像鸭掌
185,这不是尿壶
186,我靠
187,好家伙还有
188,好家伙
189,上周的
190,直接毙了吧
191,盗墓笔记
192,新鲜的
193,我靠，这么久
194,好家伙，偷出来的？
195,水坑出来的
196,不让卖的哈哈哈哈哈
197,洗发水哈哈哈哈哈哈
198,又是冥器
199,还国宝呢，又不是艺术品哪来那么多国宝，疯了吧
200,同一个墓里的
201,盗墓
202,面色狂变
203,明显刚出来不久
204,够  年  限（能量刑）
205,草，你让我以后怎么面对贤宝宝
206,工地刚出土
207,好家伙
208,青铜器都是不可以卖的。
209,土夫子
210,这货倒斗的吧
211,看着像新出的
212,加起来够无期了
